posterior_id,proxy_name,subset_size,method,temperature,top_k,weight_power,posterior_mae,posterior_p90_abs,posterior_spearman,best_mask_mae,top100_mask_mae,median_mask_mae,ess,ess_rate,inclusion_prior,inclusion_abs_shift,inclusion_min,inclusion_max,inclusion_top20_mean,inclusion_bottom20_mean,posterior_score
h017_joint_k150_top250_t8e-05,h017_joint,150,topk,8e-05,250,1.0,3.7889470858777725e-05,5.131866968756069e-05,0.9954887218045112,4.5707192134898914e-05,7.48210427197775e-05,0.0008883470605450714,235.79653473756656,0.013099807485420365,0.6,0.05529126200660155,0.45594916042490513,0.9488684193001056,0.7757708950842627,0.5002609261229487,4.264637967695256e-06
h012_public_k150_top250_t8e-05,h012_public,150,topk,8e-05,250,1.0,3.7885158389398386e-05,5.1346490545200895e-05,0.9954887218045112,4.571694543610049e-05,7.482019805535172e-05,0.0008883208225959364,235.7989065934398,0.0130999392551911,0.6,0.05529109505148658,0.4559513070417359,0.9488618833793407,0.7757677379277232,0.5002632405537941,4.267300747339765e-06
h017_joint_k150_top100_t8e-05,h017_joint,150,topk,8e-05,100,1.0,2.6402815390601676e-05,4.6340281492616475e-05,0.9969924812030074,4.5707192134898914e-05,7.48210427197775e-05,0.0008883470605450714,97.84290610945736,0.005435717006080964,0.6,0.06429166449580465,0.37983439058881413,0.932395961069603,0.7909835332066824,0.4715783585804919,4.301745146950309e-06
h012_public_k150_top100_t8e-05,h012_public,150,topk,8e-05,100,1.0,2.64054658925374e-05,4.637064840554238e-05,0.9969924812030074,4.571694543610049e-05,7.482019805535172e-05,0.0008883208225959364,97.84302063320364,0.005435723368511313,0.6,0.06429216748753343,0.3798222409020915,0.9323886217618305,0.790980980594756,0.4715775472738445,4.311896478444381e-06
h017_joint_k125_top500_t0.0003,h017_joint,125,topk,0.0003,500,1.0,3.443446307045414e-05,5.863703060524868e-05,0.9924812030075187,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,497.5896654192976,0.02764387030107209,0.5,0.04184887404154832,0.4097835621913653,0.8033995721444979,0.659788426671004,0.43155006142131064,4.372607716479758e-06
h012_public_k125_top500_t0.0003,h012_public,125,topk,0.0003,500,1.0,3.443766604232122e-05,5.8671848074488695e-05,0.9924812030075187,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,497.5897140045019,0.027643873000250105,0.5,0.04184873601699499,0.4097824842839216,0.8033997237007842,0.6597882326137989,0.43155042985587755,4.384531618603239e-06
h017_joint_k150_top100_t0.00015,h017_joint,150,topk,0.00015,100,1.0,2.700592790947781e-05,4.715546255567496e-05,0.9969924812030074,4.5707192134898914e-05,7.48210427197775e-05,0.0008883470605450714,99.39899587784133,0.005522166437657852,0.6,0.0640665698069983,0.3798851642378159,0.931286110368956,0.7912077295049506,0.47126035472951344,4.72070702267877e-06
h012_public_k150_top100_t0.00015,h012_public,150,topk,0.00015,100,1.0,2.7006232876911584e-05,4.7189034203349624e-05,0.9969924812030074,4.571694543610049e-05,7.482019805535172e-05,0.0008883208225959364,99.3989983871908,0.0055221665770661555,0.6,0.06406687257985368,0.37987903051670047,0.9312822426453677,0.7912063279088292,0.4712600109779279,4.7293679001287e-06
h017_joint_k150_top100_t0.0003,h017_joint,150,topk,0.0003,100,1.0,2.7346538309576482e-05,4.76034641273205e-05,0.9969924812030074,4.5707192134898914e-05,7.48210427197775e-05,0.0008883470605450714,99.85221227328505,0.005547345126293614,0.6,0.0639524600925373,0.37993810917601173,0.9306456722091581,0.7913496662297526,0.47087448786184016,5.0661532759724894e-06
h012_public_k150_top100_t0.0003,h012_public,150,topk,0.0003,100,1.0,2.734681296160833e-05,4.7638911443527104e-05,0.9969924812030074,4.571694543610049e-05,7.482019805535172e-05,0.0008883208225959364,99.8522090151503,0.005547344945286127,0.6,0.06395261655123899,0.37993514615133417,0.9306437499909958,0.7913489544320689,0.4708742746894942,5.07527185084772e-06
h017_joint_k125_elite500,h017_joint,125,elite,0.0,500,1.0,3.488560723925683e-05,5.958223136596848e-05,0.9924812030075187,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,500.0,0.027777777777777776,0.5,0.04171199999999993,0.4100000000000003,0.8040000000000006,0.6596000000000004,0.4316000000000003,5.076476960448207e-06
h012_public_k125_elite500,h012_public,125,elite,0.0,500,1.0,3.488880373136577e-05,5.961992678922092e-05,0.9924812030075187,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,500.0,0.027777777777777776,0.5,0.04171199999999993,0.4100000000000003,0.8040000000000006,0.6596000000000004,0.4316000000000003,5.0890973083702585e-06
h018_hard_k150_soft_t4e-05_p1.5,h018_hard,150,soft,4e-05,0,1.5,3.678691302318555e-05,6.0811179251676596e-05,0.9969924812030074,4.496481047016601e-05,7.51540671978966e-05,0.0008933847423319962,206.7492109146873,0.011486067273038183,0.6,0.056559154128420164,0.4519922317763436,0.950415503137952,0.7746764047699819,0.5002770318296852,5.32291009257398e-06
h018_submission_k150_soft_t4e-05_p1.5,h018_submission,150,soft,4e-05,0,1.5,3.678691302318677e-05,6.0811179251680066e-05,0.9969924812030074,4.4964810470165486e-05,7.51540671978968e-05,0.0008933847423319961,206.7492109146873,0.011486067273038183,0.6,0.0565591541284201,0.4519922317763441,0.9504155031379523,0.7746764047699819,0.5002770318296854,5.322910092576075e-06
h018_hard_k125_top500_t0.00015,h018_hard,125,topk,0.00015,500,1.0,3.511419720783875e-05,6.0330991581523996e-05,0.993984962406015,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,490.3199560626011,0.027239997559033394,0.5,0.04206563343524098,0.4116765385708415,0.800039548754248,0.656910268011067,0.43070858276560636,5.3896705947502324e-06
h018_submission_k125_top500_t0.00015,h018_submission,125,topk,0.00015,500,1.0,3.511419720783858e-05,6.033099158152729e-05,0.993984962406015,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,490.319956062601,0.02723999755903339,0.5,0.04206563343524096,0.4116765385708416,0.8000395487542478,0.656910268011067,0.4307085827656064,5.3896705947508855e-06
h018_submission_k150_top100_t8e-05,h018_submission,150,topk,8e-05,100,1.0,2.7266011045751996e-05,4.817674459307328e-05,0.9984962406015038,4.4964810470165486e-05,7.51540671978968e-05,0.0008933847423319961,97.94721117664542,0.005441511732035857,0.6,0.06485981380255691,0.4200661893769565,0.9331642361894876,0.7868147677864522,0.47030107946863203,5.467913599881223e-06
h018_hard_k150_top100_t8e-05,h018_hard,150,topk,8e-05,100,1.0,2.7266011045751996e-05,4.817674459307623e-05,0.9984962406015038,4.496481047016601e-05,7.51540671978966e-05,0.0008933847423319962,97.94721117664548,0.00544151173203586,0.6,0.06485981380255694,0.42006618937695617,0.9331642361894873,0.7868147677864522,0.4703010794686319,5.467913599881945e-06
h017_joint_k150_elite100,h017_joint,150,elite,0.0,100,1.0,2.767698229911731e-05,4.803793597995492e-05,0.9969924812030074,4.5707192134898914e-05,7.48210427197775e-05,0.0008883470605450714,99.99999999999999,0.005555555555555555,0.6,0.06384000000000004,0.38000000000000017,0.9300000000000006,0.7915000000000006,0.4705000000000002,5.479300379319079e-06
