best_mask_mae,top100_mask_mae,p01_mask_mae,p05_mask_mae,median_mask_mae,best_mask_p90_abs,best_mask_spearman,proxy_name,subset_size,n_masks,uniform_row_mae,sampled_prior_inclusion,config_score
7.229120331475169e-05,0.0001092781446464624,0.00014464771195530984,0.00025018140530402166,0.0012457947018404334,0.0001541504579879383,0.9699248120300751,h015_public,80,18000,0.0012235873900171656,0.32,0.00011831797230977906
3.199874448114809e-05,0.00011645164505535714,0.000222297193139925,0.00039743571180237753,0.0008795987059548319,7.316367420231625e-05,0.9954887218045112,h012_public,180,18000,0.0008854300328161129,0.72,0.00011921638883550132
3.2016012524973666e-05,0.00011646821361116575,0.00022232699198279624,0.0003974636997590271,0.0008796286785797295,7.311121811432489e-05,0.9954887218045112,h017_joint,180,18000,0.0008854594958915736,0.72,0.00011924025428655346
7.554072046365174e-05,0.00010985225390874988,0.00014068533931269777,0.00020840619771248935,0.0009744266445923175,0.0001393377188468317,0.9578947368421054,h012_public,60,18000,0.0008854300328161129,0.24,0.00012126912585066942
7.182404745683735e-05,0.00011069284277189789,0.00014248547475344576,0.00020897376135059668,0.0009827899691629061,0.00018021703070549103,0.9609022556390976,h018_hard,60,18000,0.0008902505820982335,0.24,0.00012127033444227885
7.182404745683743e-05,0.00011069284277189794,0.00014248547475344763,0.00020897376135059565,0.0009827899691629066,0.00018021703070548914,0.9609022556390976,h018_submission,60,18000,0.0008902505820982349,0.24,0.00012127033444227912
7.555448229387167e-05,0.00010985416995213184,0.00014070462563633344,0.00020839495093098783,0.00097442433025399,0.0001393572764896073,0.9578947368421054,h017_joint,60,18000,0.0008854594958915736,0.24,0.00012127641098396994
6.025112592992158e-05,0.00012026798514287771,0.00019310531616873125,0.0004549021536601202,0.0012239758113131442,0.00013771749190228974,0.9714285714285714,h015_public,125,18000,0.0012235873900171656,0.5,0.00012749844109937407
5.936967392299363e-05,0.00012379529623505835,0.00016044886754915246,0.00024807631652162116,0.0012682468910935067,0.00014723594237240034,0.9624060150375938,h015_public,60,18000,0.0012235873900171656,0.24,0.0001330104210195942
5.521365048668861e-05,0.0001362712719283186,0.00017539185293363998,0.00025004851700827175,0.0011003841904077235,0.00013496758833769678,0.993984962406015,h012_public,40,18000,0.0008854300328161129,0.16,0.0001465943209711743
5.522119145355015e-05,0.00013627143400408903,0.00017537468605661143,0.0002500608164538591,0.0011003779451947584,0.00013501465057902214,0.993984962406015,h017_joint,40,18000,0.0008854594958915736,0.16,0.00014659465160095725
6.636432424037847e-05,0.0001376369202207564,0.00017554514841781784,0.0002513789070227888,0.0011075075770416829,0.00015334830163140866,0.9924812030075187,h018_submission,40,18000,0.0008902505820982349,0.16,0.00015080808003240724
6.636432424037908e-05,0.0001376369202207564,0.0001755451484178177,0.00025137890702279104,0.0011075075770416833,0.00015334830163140606,0.9924812030075187,h018_hard,40,18000,0.0008902505820982335,0.16,0.0001508080800324074
8.919268104942372e-05,0.00015163826971125368,0.0001924693565326479,0.00028641677958919106,0.0013251609009565517,0.00022475625238051834,0.9894736842105262,h015_public,40,18000,0.0012235873900171656,0.16,0.00017229916510055863
6.756445000808114e-05,0.00020139612373576969,0.00035414610653752295,0.0005877218119993617,0.0012258045771642912,0.00015719365751032082,0.9894736842105262,h015_public,150,18000,0.0012235873900171656,0.6,0.00022401763636522646
0.0002519241882197602,0.00037072449151376384,0.00044244834120945795,0.0005504972495044676,0.0008731588360325945,0.0003151813433534313,0.9969924812030074,h012_public,210,18000,0.0008854300328161129,0.84,0.00045284059825355947
0.00025195510306266647,0.00037075555051424585,0.00044247888281999994,0.0005505289290246014,0.000873189004578081,0.0003152052418702471,0.9969924812030074,h017_joint,210,18000,0.0008854594958915736,0.84,0.0004528824401258223
0.00025270268980381996,0.0003712893573984969,0.00044285936376355,0.0005525137282792405,0.0008776443417244405,0.00030983153637574834,0.9969924812030074,h018_hard,210,18000,0.0008902505820982335,0.84,0.00045364119178971667
0.0002527026898038208,0.0003712893573984971,0.0004428593637635496,0.0005525137282792404,0.0008776443417244411,0.0003098315363757454,0.9969924812030074,h018_submission,210,18000,0.0008902505820982349,0.84,0.00045364119178971704
0.00021702687162891183,0.0004440234641119499,0.000573433623431947,0.0007562847738566598,0.0012174700973448275,0.00026100506494126366,0.9924812030075187,h015_public,180,18000,0.0012235873900171656,0.72,0.000528249108272147
0.0006473950949687697,0.0006880899670209985,0.0007100862006865759,0.0007465985663140559,0.000870064255482783,0.0006851504305347875,0.9969924812030074,h012_public,240,18000,0.0008854300328161129,0.96,0.0008982375863957582
0.000647425580194274,0.0006881199870975578,0.0007101161749959688,0.0007466285403078367,0.000870093561716342,0.0006851799431439774,0.9969924812030074,h017_joint,240,18000,0.0008854594958915736,0.96,0.0008982782252096329
0.0006529893304772903,0.0006914821032130311,0.0007137794773385354,0.0007503409615250098,0.0008746954277126843,0.0006935404379223392,0.9969924812030074,h018_hard,240,18000,0.0008902505820982335,0.96,0.000903397609130117
0.000652989330477292,0.000691482103213032,0.0007137794773385371,0.0007503409615250109,0.0008746954277126851,0.00069354043792234,0.9969924812030074,h018_submission,240,18000,0.0008902505820982349,0.96,0.0009033976091301184
0.0006185399443250065,0.0007220559582292392,0.0007944382012763343,0.0009011523554446324,0.0012119534516688124,0.0006655079858182038,0.9879699248120299,h015_public,210,18000,0.0012235873900171656,0.84,0.0009312956666937634
0.0009815419590582818,0.0010265501806530448,0.0010510716949973715,0.0010885102140761442,0.0012096458239503464,0.001001406744241411,1.0,h015_public,240,18000,0.0012235873900171656,0.96,0.001354242839917352
