kind,raw,bc,raw_weight,bc_weight,oof_loss,oof_delta_vs_stage2,jepa_bad_ratio,jepa_bad_cos,raw_good_ratio,raw_good_cos,public_safety_rank
global,raw075,bc_noq2_075,1.0,1.0,0.5590329712016676,-0.008497953488149523,-0.020850463944450656,-0.017728738994229803,1.4421147411367967,0.5367812079577028,-0.009137953488149523
global,raw075,bc_strict_075,0.75,1.0,0.558901072532474,-0.008629852157343132,0.030571670038603872,0.027171754302348534,1.1191909639139752,0.4354497786858807,-0.009086422137111508
global,raw05,bc_noq2_10,0.5,1.0,0.5590263714277924,-0.008504553262024706,-0.02832003319794127,-0.024881082485174698,0.6657703671453545,0.25605622462505334,-0.009037169555740989
global,raw10,bc_strict_075,0.5,1.0,0.5590354184987371,-0.008495506191080082,0.0269978934147254,0.024949460957349987,0.8733369859051372,0.3533039599876469,-0.00897351883059173
global,raw05,bc_noq2_10,1.25,0.75,0.5591992665211853,-0.008331658168631795,-0.014794695483972645,-0.014487132286898859,1.374327775359016,0.5891177155244487,-0.008971658168631795
global,raw05,bc_noq2_075,1.25,1.0,0.5592367893098538,-0.008294135379963374,-0.01830487810713601,-0.015685065219657658,1.4004196322455107,0.5253068231198175,-0.008934135379963374
global,raw05,bc_strict_075,1.0,1.0,0.5590432054036492,-0.008487719286167983,0.032941240089053025,0.02910820186000539,1.1504196322455107,0.4450072452419504,-0.008930071845633665
global,raw075,bc_noq2_10,0.75,0.75,0.5593165441302529,-0.00821438055956425,-0.01900578822427395,-0.019927236947055407,1.093099107027481,0.5017138642523664,-0.00885438055956425
global,raw075,bc_noq2_075,0.75,1.0,0.5593540027180843,-0.008176921971732809,-0.022515970847437596,-0.020343785071347167,1.1191909639139752,0.4426705601304304,-0.008816921971732809
global,raw10,bc_noq2_10,0.5,0.75,0.5594508931912839,-0.008080031498533202,-0.022579564848152725,-0.024965518034552037,0.8472451290186426,0.4100808212181334,-0.008720031498533202
global,raw05,bc_noq2_10,1.0,0.75,0.5594582748649997,-0.00807264982481748,-0.01663621817382507,-0.017314327719144113,1.1243277753590162,0.512246889039025,-0.00871264982481748
global,raw10,bc_noq2_075,0.5,1.0,0.5594883486843474,-0.00804257600546976,-0.026089747471316073,-0.024543326129595595,0.8733369859051372,0.35965057545145224,-0.00868257600546976
global,raw05,bc_noq2_075,1.0,1.0,0.5594961355892595,-0.00803478910055766,-0.020146400796988446,-0.018093875707472465,1.1504196322455107,0.45229916007301185,-0.00867478910055766
global,raw075,bc_strict_075,0.5,1.0,0.5593615654295109,-0.008169359260306264,0.02890616313561729,0.02698192241400091,0.796267186691154,0.3253693373675402,-0.008632936030845483
global,raw05,bc_strict_075,0.75,1.0,0.559364641814302,-0.00816628287551513,0.031099717399200796,0.028599900606715932,0.9004196322455106,0.36248363180497584,-0.008619684571119925
global,raw10,bc_strict_075,1.0,0.75,0.5595003873551557,-0.008030537334661414,0.02202685016739613,0.02157543587818364,1.5586494315033868,0.6683300519531956,-0.008538376233657037
global,raw10,bc_strict_075,1.25,0.75,0.559504857554434,-0.00802606713538312,0.02273822220993695,0.020064893439271182,1.920108108333201,0.7417224029842294,-0.008529637802123497
global,raw075,bc_strict_075,1.25,0.75,0.559543319201218,-0.007987605488599114,0.027508896512166578,0.025669049688057357,1.7274336102982413,0.7056240104215348,-0.008462552109526116
global,raw05,bc_noq2_10,0.75,0.75,0.5597793220004504,-0.007751602689366699,-0.018477740863677313,-0.020313154178046373,0.8743277753590164,0.42076357030849,-0.008391602689366699
global,raw075,bc_noq2_10,0.5,0.75,0.5597763976957585,-0.0077545269940586525,-0.020671295127260868,-0.023192789838590237,0.770175329804659,0.37827729265871723,-0.00837066725790238
global,raw075,bc_noq2_075,0.5,1.0,0.5598144956151211,-0.007716429074696052,-0.024181477750424184,-0.022985656366708844,0.796267186691154,0.33133571800230577,-0.008353442824048976
global,raw05,bc_noq2_075,0.75,1.0,0.5598175719999123,-0.007713352689904807,-0.02198792348684067,-0.020580123423519406,0.9004196322455106,0.3689300895309926,-0.008353352689904807
global,raw10,bc_strict_075,0.75,0.75,0.55974312764754,-0.007787797042277167,0.021315478124855316,0.0231075145805569,1.1971907546735734,0.5681419730183425,-0.008299904173528036
global,raw10,bc_noq2_075,1.0,0.75,0.5598797640862567,-0.007651160603560414,-0.01778888049713494,-0.017620165477604813,1.5586494315033868,0.6758419952790454,-0.008291160603560414
global,raw10,bc_noq2_075,1.25,0.75,0.559884234285535,-0.007646690404282119,-0.017077508454594114,-0.015206743519325239,1.920108108333201,0.7484671730474423,-0.00828669040428212
global,raw075,bc_strict_075,1.0,0.75,0.5597479307002111,-0.007782993989606024,0.025843389609179795,0.026448484740936522,1.4045098330754195,0.629232967798246,-0.008267933651950946
global,raw075,bc_noq2_075,1.25,0.75,0.559922695932319,-0.0076082287574981144,-0.012306834152364485,-0.011600686346056346,1.7274336102982413,0.7128104627402422,-0.008248228757498114
global,raw05,bc_strict_075,0.5,1.0,0.5597481779028002,-0.007782746787016959,0.029258194709348297,0.027793760484275756,0.6504196322455102,0.27047603425210537,-0.008127533324557276
global,raw10,bc_strict_05,1.25,1.0,0.5599478084576298,-0.007583116232187326,0.01792202497451236,0.015597026231521776,1.9238149703795153,0.7329146252018441,-0.008115584082340251
global,raw10,bc_strict_05,1.0,1.0,0.5599534869697708,-0.007577437720046376,0.017210652931971545,0.01657484272229497,1.562356293549703,0.6586694402364437,-0.008114173802454548
global,raw10,bc_noq2_075,0.75,0.75,0.5601225043786409,-0.007408420311176278,-0.01850025253967575,-0.020332783308627086,1.1971907546735734,0.5759939125470552,-0.008048420311176278
global,raw075,bc_noq2_075,1.0,0.75,0.5601273074313121,-0.007403617258505024,-0.013972341055351264,-0.014475217764663985,1.4045098330754195,0.6369657428942759,-0.008043617258505024
global,raw075,bc_strict_05,1.25,1.0,0.5599993156447453,-0.007531609045071885,0.022692699276742164,0.02084459180118273,1.7311404723445563,0.6961052520624484,-0.008035452849411432
global,raw05,bc_strict_075,1.25,0.75,0.5599671237313135,-0.007563800958503619,0.028388975446494522,0.029380415782264312,1.3628147241841329,0.6174195817348119,-0.008033467105824652
global,raw075,bc_strict_075,0.75,0.75,0.5600921878618643,-0.007438736827952819,0.024177882706192998,0.02701355893654145,1.0815860558525978,0.5290052493857993,-0.007933669531715662
global,raw10,bc_noq2_10,1.25,0.5,0.5602630949332791,-0.007267829756538058,-0.012444679076118627,-0.012501557648641283,1.890178567721746,0.8312250536604056,-0.007907829756538058
global,raw10,bc_noq2_10,1.0,0.5,0.5602682779589389,-0.007262646730878286,-0.013156051118659558,-0.015167027591488011,1.528719890891931,0.7715040402035175,-0.007902646730878286
global,raw05,bc_noq2_10,0.5,0.75,0.5601624168372629,-0.0073685078525542735,-0.020319263553529796,-0.023374717394965355,0.6243277753590161,0.3144028148543765,-0.007867970072841486
global,raw10,bc_strict_05,0.75,1.0,0.5602067780677353,-0.007324146622081806,0.016499280889430697,0.01752278333725521,1.2008976167198886,0.5583151614781732,-0.007865150936745223
global,raw10,bc_noq2_05,1.25,1.0,0.5603073039321537,-0.007223620757663474,-0.017345305094192714,-0.015216077509060504,1.9238149703795153,0.7387873189185737,-0.007863620757663474
global,raw10,bc_noq2_05,1.0,1.0,0.5603129824442945,-0.007217942245522635,-0.018056677136733527,-0.017560710830328674,1.562356293549703,0.6651501659189206,-0.007857942245522635
global,raw075,bc_noq2_10,1.25,0.5,0.5603134385405267,-0.0072174861492904085,-0.007674004773888917,-0.008299234045046764,1.6975040696867847,0.803641091969153,-0.007857486149290408
global,raw05,bc_noq2_075,0.5,1.0,0.5602011080884105,-0.007329816601406636,-0.02382944617669317,-0.023067072627036063,0.6504196322455102,0.2756179761008901,-0.007850152307203043
global,raw075,bc_strict_05,1.0,1.0,0.5602118324319697,-0.007319092257847437,0.021027192373755298,0.021121147073278744,1.4082166951217352,0.6192144254160445,-0.007832929103604907
global,raw05,bc_noq2_075,1.25,0.75,0.5603465004624144,-0.00718442422740273,-0.01142675521803654,-0.011974496050623047,1.3628147241841329,0.6251820524073463,-0.00782442422740273
global,raw10,bc_strict_075,0.5,0.75,0.5602342941590222,-0.00729663053079499,0.02060410608231442,0.02445083499007452,0.8357320778437599,0.434152547080209,-0.007813005894301103
global,raw075,bc_noq2_05,1.25,1.0,0.5603588111192691,-0.007172113570548033,-0.012574630791962933,-0.011653794798690801,1.7311404723445563,0.7023277007211268,-0.007812113570548033
global,raw05,bc_strict_075,1.0,0.75,0.5602421331816246,-0.007288791508192505,0.02654745275664214,0.029405724855902336,1.1128147241841326,0.5395941837903855,-0.007769506791652652
global,raw05,bc_noq2_10,0.0,1.0,0.5599357994272236,-0.007595125262593538,-0.03200307857764583,-0.029023523668819298,0.16577036714535465,0.06581132627519132,-0.007727741556309822
global,raw075,bc_noq2_10,0.0,1.0,0.5599357994272236,-0.007595125262593538,-0.03200307857764583,-0.029023523668819298,0.16577036714535465,0.06581132627519132,-0.007727741556309822
global,raw10,bc_noq2_10,0.0,1.0,0.5599357994272236,-0.007595125262593538,-0.03200307857764583,-0.029023523668819298,0.16577036714535465,0.06581132627519132,-0.007727741556309822
global,raw075,bc_noq2_075,0.75,0.75,0.5604715645929652,-0.00705936009685193,-0.01563784795833806,-0.017728738994229883,1.0815860558525978,0.5367812079577029,-0.00769936009685193
global,raw10,bc_noq2_10,0.75,0.5,0.5605208117947711,-0.00701011289504605,-0.013867423161200364,-0.018457976210766027,1.1672612140621175,0.6801296880837592,-0.00765011289504605
global,raw075,bc_noq2_10,1.0,0.5,0.5605254599094747,-0.007005464780342474,-0.009339511676875746,-0.011455108613006193,1.3745802924639638,0.7380410512424483,-0.007645464780342474
global,raw10,bc_noq2_05,0.75,1.0,0.560566273542259,-0.006964651147558176,-0.01876804917927437,-0.020171554714661387,1.2008976167198886,0.5650170931425084,-0.007604651147558176
global,raw075,bc_noq2_05,1.0,1.0,0.5605713279064934,-0.006959596783323696,-0.014240137694949768,-0.01445706545819382,1.4082166951217352,0.6258507993095406,-0.007599596783323696
global,raw05,bc_strict_05,1.25,1.0,0.5604365853012742,-0.007094339388542981,0.02357277821106985,0.023929259620263727,1.366521586230449,0.6072539545376529,-0.007592902719276561
global,raw10,bc_noq2_075,0.5,0.75,0.5606136708901232,-0.00691725379969399,-0.019211624582216636,-0.023177508915276444,0.8357320778437599,0.44137232768278156,-0.00755725379969399
global,raw05,bc_noq2_075,1.0,0.75,0.5606215099127255,-0.006909414777091616,-0.013268277907888924,-0.014909075350952917,1.1128147241841326,0.5473868719530065,-0.007549414777091616
