experiment,fold,alpha,weight,train_blocks,val_blocks,base_loss,candidate_loss,delta
blockrate_jepa,geom_r03,1.0,0.3,323,21,0.5483301420527826,0.5778750663275505,0.029544924274767848
blockrate_jepa,geom_r03,1.0,0.45,323,21,0.5483301420527826,0.6171787818156592,0.06884863976287658
blockrate_jepa,geom_r03,1.0,0.6,323,21,0.5483301420527826,0.6780629837070585,0.1297328416542759
blockrate_jepa,geom_r03,10.0,0.0,323,21,0.5483301420527826,0.5483301420527826,0.0
blockrate_jepa,geom_r03,10.0,0.05,323,21,0.5483301420527826,0.5481817982731003,-0.00014834377968231394
blockrate_jepa,geom_r03,10.0,0.1,323,21,0.5483301420527826,0.5492890296402055,0.0009588875874229075
blockrate_jepa,geom_r03,10.0,0.15,323,21,0.5483301420527826,0.5515505009670607,0.0032203589142780764
blockrate_jepa,geom_r03,10.0,0.2,323,21,0.5483301420527826,0.5549192130409042,0.006589070988121559
blockrate_jepa,geom_r03,10.0,0.3,323,21,0.5483301420527826,0.5649550496768796,0.016624907624096963
blockrate_jepa,geom_r03,10.0,0.45,323,21,0.5483301420527826,0.5888427489138663,0.04051260686108371
blockrate_jepa,geom_r03,10.0,0.6,323,21,0.5483301420527826,0.6259276764800822,0.07759753442729955
blockrate_jepa,geom_r03,100.0,0.0,323,21,0.5483301420527826,0.5483301420527826,0.0
blockrate_jepa,geom_r03,100.0,0.05,323,21,0.5483301420527826,0.5484933151937043,0.00016317314092162416
blockrate_jepa,geom_r03,100.0,0.1,323,21,0.5483301420527826,0.5492589157151685,0.0009287736623858622
blockrate_jepa,geom_r03,100.0,0.15,323,21,0.5483301420527826,0.5506080473021028,0.0022779052493201446
blockrate_jepa,geom_r03,100.0,0.2,323,21,0.5483301420527826,0.5525319426624021,0.004201800609619499
blockrate_jepa,geom_r03,100.0,0.3,323,21,0.5483301420527826,0.5581109483943547,0.00978080634157208
blockrate_jepa,geom_r03,100.0,0.45,323,21,0.5483301420527826,0.5710456265100368,0.02271548445725413
blockrate_jepa,geom_r03,100.0,0.6,323,21,0.5483301420527826,0.5903924837711029,0.04206234171832024
