context_variant,semantic_family,semantic_k,coarse_family,coarse_k,mode,folds,semantic_logloss,semantic_acc,oracle_rate_r2,pred_rate_r2,pred_rate_rmse,pred_rate_cos,two_level_score
prior_label,label_state,10,raw_mean,8,context_plus_coarse_prob,4,2.394611776098758,0.28968253968253965,0.16468109996957905,-0.028929277153992322,0.3213537484407425,0.9045933336019516,-0.16962565012571584
prior_raw,label_rate,8,teacher_hybrid,10,context_plus_true_coarse_train,4,2.728844441465599,0.3275793650793651,0.3338681877355345,-0.108429623647356,0.3328446298837662,0.9015431106090546,-0.1701894352091777
prior_label,label_state,10,teacher_hybrid,10,context_plus_true_coarse_train,4,2.3955984306223543,0.28680555555555554,0.16468109996957905,-0.041383131022387276,0.323155015707016,0.9054657518863678,-0.1702618033012105
prior_label,label_state,8,none,0,direct_semantic,4,2.378094005758017,0.25763888888888886,0.1768665574972855,-0.044836942284005116,0.3236386105418205,0.9045542180538177,-0.1705142619062216
past_label,label_state,10,raw_mean,4,context_plus_coarse_prob,4,2.4040151172900566,0.28948412698412695,0.16468109996957905,-0.0184108976950956,0.3189764693379402,0.9078336358070374,-0.17075180362358464
prior_raw,label_rate,8,hybrid_raw,4,context_plus_true_coarse_train,4,2.7893482549033024,0.3682539682539682,0.3338681877355345,-0.07030689499611692,0.3270556628704071,0.9037362933158875,-0.1709107683192293
past_label,label_state,8,raw_mean,4,context_plus_true_coarse_train,4,2.411691036003752,0.26884920634920634,0.1768665574972855,-0.025954220446222226,0.32022519409656525,0.906115859746933,-0.17315558878170678
prior_label,label_state,8,hybrid_raw,4,context_plus_coarse_prob,4,2.4167484502860925,0.2701388888888889,0.1768665574972855,-0.04952866672924425,0.32432331144809723,0.9054427891969681,-0.17372357147111794
prior_raw,label_rate,8,none,0,direct_semantic,4,2.7806777364960347,0.34444444444444444,0.3338681877355345,-0.0832979161719671,0.3291219100356102,0.9027784913778305,-0.1744678755138496
prior_all,label_rate,8,teacher_hybrid,10,context_plus_coarse_prob,4,2.791934826679004,0.35257936507936505,0.3338681877355345,-0.1157500284715948,0.3342965170741081,0.8993119299411774,-0.17487611105797618
past_label,label_state,8,none,0,direct_semantic,4,2.4082332031831366,0.2563492063492063,0.1768665574972855,-0.031412185539196474,0.3210633099079132,0.905729815363884,-0.17517551829691944
past_label,label_state,10,hybrid_raw,4,context_plus_coarse_prob,4,2.417948932738898,0.2763888888888889,0.16468109996957905,-0.027498055869510235,0.3204151839017868,0.9073040038347244,-0.1755138867571897
prior_label,label_state,8,raw_mean,8,context_plus_true_coarse_train,4,2.4295659014635818,0.2701388888888889,0.1768665574972855,-0.0388490227607384,0.3227713629603386,0.9058462381362915,-0.17560584425380898
past_label,label_state,8,raw_mean,4,context_plus_coarse_prob,4,2.4286079358941364,0.26884920634920634,0.1768665574972855,-0.028063838135638064,0.3204941749572754,0.9064381718635559,-0.17566089255360218
prior_label,label_state,8,teacher_hybrid,10,context_plus_true_coarse_train,4,2.4455126465487504,0.28194444444444444,0.1768665574972855,-0.056487129525801844,0.3255254551768303,0.9046193063259125,-0.17575943808651104
past_label,label_state,8,raw_mean,8,context_plus_coarse_prob,4,2.4369982597084037,0.27152777777777776,0.1768665574972855,-0.0321021383837474,0.32116036862134933,0.9052173644304276,-0.17650580758334086
past_label,label_state,10,raw_mean,8,context_plus_true_coarse_train,4,2.4453064381554963,0.29027777777777775,0.16468109996957905,-0.025680432441114287,0.32007142156362534,0.9066106230020523,-0.1769090728751689
past_label,label_state,10,raw_mean,8,context_plus_coarse_prob,4,2.4174480645098253,0.2679563492063492,0.16468109996957905,-0.02587015103423354,0.3201569393277168,0.9063445925712585,-0.17722120558568327
prior_raw,label_rate,8,teacher_hybrid,10,context_plus_coarse_prob,4,2.7979801667342428,0.3400793650793651,0.3338681877355345,-0.10939450885301552,0.3332650884985924,0.9009832143783569,-0.17811578362254404
past_label,label_state,8,hybrid_raw,4,context_plus_true_coarse_train,4,2.460214793713111,0.26825396825396824,0.1768665574972855,-0.03577783484462366,0.3217458426952362,0.9058124423027039,-0.18058354180158123
past_label,label_state,8,teacher_hybrid,10,context_plus_coarse_prob,4,2.49683536416212,0.2952380952380952,0.1768665574972855,-0.03775206969055303,0.3219439163804054,0.9043924659490585,-0.1808217996074717
future_label,label_state,10,teacher_hybrid,10,coarse_prob_only,4,2.378574320836499,0.22132936507936507,0.16468109996957905,-0.08673203164686488,0.33010483533143997,0.9028047919273376,-0.18106952092447334
past_label,label_state,10,hybrid_raw,4,context_plus_true_coarse_train,4,2.4469443936862447,0.2638888888888889,0.16468109996957905,-0.022781717409272928,0.31968382745981216,0.9076252728700638,-0.18233107899575773
