source,family,target,n,best_delta,mean_delta,strict_hits,loose_hits,mean_win_rate
neural_mps,neural_predicted_label_rate,S3,14,-0.0010838145279455,-0.00038797885069576045,0,0,0.145054945054945
neural_mps,neural_predicted_label_entropy,Q3,8,-0.0008891495483777,-0.0002543193118771347,0,0,0.1144230769230769
neural_mps,neural_predicted_endpoint,S3,12,-0.0007311374266457,-0.00020298445413064958,0,0,0.18525641025641024
neural_mps,neural_predicted_label_rate,Q3,10,-0.0007047244160657,-0.00022036356492525938,0,0,0.09846153846153843
neural_mps,neural_predicted_label_rate,S1,9,-0.0006406232627678,-0.00021984181500611321,0,0,0.241025641025641
neural_mps,neural_predicted_label_entropy,S4,14,-0.0006315024709235,-0.00017980782670911445,0,0,0.15439560439560435
neural_mps,neural_predicted_endpoint,S4,9,-0.0004043800461265,-0.00025759739100511433,0,0,0.21538461538461537
neural_mps,neural_predicted_label_rate,Q1,6,-0.0003582910885109,-0.00018526899757225084,0,0,0.08269230769230763
neural_mps,raw_canvas_residual,S4,32,-0.0003345772415893,-8.418734587836501e-05,0,0,0.10889423076923072
neural_mps,raw_canvas_residual,S3,15,-0.0002861876543976,-7.495662005294054e-05,0,0,0.1484615384615384
neural_mps,predicted_raw_latent,Q2,3,-0.0002524526414953,-0.00014454712144372736,0,0,0.06410256410256407
neural_mps,predicted_raw_latent,S3,4,-0.0002108688578039,-9.773721783659631e-05,0,0,0.1192307692307692
neural_mps,neural_predicted_label_rate,S4,5,-0.0001588972778416,-0.0001043199653221405,0,0,0.15615384615384614
neural_mps,predicted_raw_latent,S4,13,-0.0001497811634187,-6.118969823095287e-05,0,0,0.05147928994082837
neural_mps,other,Q1,3,-0.0001495114410752,-6.922916808174855e-05,0,0,0.0602564102564102
neural_mps,neural_predicted_endpoint,Q2,3,-1.9778077131826777e-05,-1.3458967605295413e-05,0,0,0.023076923076923033
neural_mps,other,S3,2,-5.078412228187723e-06,-3.280068556210658e-06,0,0,0.03653846153846145
raw_timeline,other,Q3,62,-0.004849698641166,-0.0015449145003331105,3,10,0.34553349875930517
raw_timeline,predicted_raw_latent,S2,19,-0.0038406007783425,-0.0019188016654961549,9,10,0.5684210526315789
raw_timeline,other,S4,108,-0.0037067241600931,-0.0010505295293772306,8,10,0.3297364672364672
raw_timeline,other,S3,99,-0.0036781059850365,-0.0007689060047383293,17,21,0.32490287490287484
raw_timeline,predicted_raw_latent,S4,25,-0.0033853085922,-0.0013343060261835004,1,4,0.38784615384615384
raw_timeline,predicted_raw_latent,Q3,75,-0.0033555929652352,-0.0009894733940342118,19,26,0.48389743589743583
raw_timeline,other,S2,103,-0.0027642130573702,-0.0008182349534769222,18,22,0.38058252427184464
raw_timeline,predicted_raw_latent,Q1,40,-0.0021196410234146,-0.000573326029420946,5,8,0.29980769230769233
raw_timeline,predicted_raw_latent,S1,43,-0.0018179511817449,-0.000547640336453045,5,9,0.3352415026833631
raw_timeline,other,S1,39,-0.0013180879456288,-0.0002646357184565921,0,0,0.18214990138067058
raw_timeline,other,Q1,17,-0.0002548064570653,-7.525341730631165e-05,0,0,0.10113122171945699
raw_timeline,predicted_raw_latent,S3,11,-0.0001162181727586,-4.8472025419979374e-05,0,0,0.08041958041958039
raw_timeline,other,Q2,4,-4.916277746469522e-05,-3.3665369790464306e-05,0,0,0.0538461538461538
