experiment,fold,alpha,weight,train_blocks,val_blocks,base_loss,candidate_loss,delta,delta_mean7
qrank_count_jepa,geom_r02,10.0,0.45,283,21,0.615882373892352,0.6798014368504027,0.06391906295805072,0.027393884124878864
qrank_count_jepa,geom_r02,10.0,0.6,283,21,0.615882373892352,0.7231245096360602,0.10724213574370822,0.04596091531873203
qrank_count_jepa,geom_r02,100.0,0.0,283,21,0.615882373892352,0.615882373892352,0.0,0.0
qrank_count_jepa,geom_r02,100.0,0.05,283,21,0.615882373892352,0.6181691775270788,0.002286803634726738,0.0009800587005972528
qrank_count_jepa,geom_r02,100.0,0.1,283,21,0.615882373892352,0.6210700607318822,0.005187686839530266,0.002223294359798622
qrank_count_jepa,geom_r02,100.0,0.15,283,21,0.615882373892352,0.6245856264150426,0.008703252522690478,0.003729965366867316
qrank_count_jepa,geom_r02,100.0,0.2,283,21,0.615882373892352,0.6287241788483655,0.012841804956013466,0.005503630695434358
qrank_count_jepa,geom_r02,100.0,0.3,283,21,0.615882373892352,0.6389426411121727,0.023060267219820647,0.009882971665637341
qrank_count_jepa,geom_r02,100.0,0.45,283,21,0.615882373892352,0.6596381456309867,0.04375577173863465,0.018752473602272057
qrank_count_jepa,geom_r02,100.0,0.6,283,21,0.615882373892352,0.6883489132042464,0.0724665393118944,0.0310570882765262
qrank_count_jepa,geom_r03,1.0,0.0,323,21,0.6113647772154257,0.6113647772154257,0.0,0.0
qrank_count_jepa,geom_r03,1.0,0.05,323,21,0.6113647772154257,0.6093902511294013,-0.001974526086024442,-0.0008462254654389989
qrank_count_jepa,geom_r03,1.0,0.1,323,21,0.6113647772154257,0.6093652632870875,-0.0019995139283382666,-0.0008569345407163365
qrank_count_jepa,geom_r03,1.0,0.15,323,21,0.6113647772154257,0.6111900023203153,-0.0001747748951104929,-7.490352647587795e-05
qrank_count_jepa,geom_r03,1.0,0.2,323,21,0.6113647772154257,0.6148233500731957,0.003458572857769885,0.0014822455104729348
qrank_count_jepa,geom_r03,1.0,0.3,323,21,0.6113647772154257,0.6275799631371126,0.016215185921686876,0.0069493653950086776
qrank_count_jepa,geom_r03,1.0,0.45,323,21,0.6113647772154257,0.6618237074121146,0.050458930196688824,0.02162525579858099
qrank_count_jepa,geom_r03,1.0,0.6,323,21,0.6113647772154257,0.7196098510288077,0.108245073813382,0.046390745920020904
qrank_count_jepa,geom_r03,10.0,0.0,323,21,0.6113647772154257,0.6113647772154257,0.0,0.0
qrank_count_jepa,geom_r03,10.0,0.05,323,21,0.6113647772154257,0.6095274521289596,-0.0018373250864660202,-0.0007874250370568658
qrank_count_jepa,geom_r03,10.0,0.1,323,21,0.6113647772154257,0.6088705238407058,-0.002494253374719905,-0.001068965732022753
qrank_count_jepa,geom_r03,10.0,0.15,323,21,0.6113647772154257,0.609352521129905,-0.0020122560855207285,-0.0008623954652230426
qrank_count_jepa,geom_r03,10.0,0.2,323,21,0.6113647772154257,0.6109552156956805,-0.00040956151974524957,-0.00017552636560502766
qrank_count_jepa,geom_r03,10.0,0.3,323,21,0.6113647772154257,0.6175494741286358,0.0061846969132101455,0.0026505843913757765
qrank_count_jepa,geom_r03,10.0,0.45,323,21,0.6113647772154257,0.6365435265742306,0.02517874935880497,0.010790892582345002
qrank_count_jepa,geom_r03,10.0,0.6,323,21,0.6113647772154257,0.6689631923340732,0.057598415118647384,0.024685035050848847
qrank_count_jepa,geom_r03,100.0,0.0,323,21,0.6113647772154257,0.6113647772154257,0.0,0.0
qrank_count_jepa,geom_r03,100.0,0.05,323,21,0.6113647772154257,0.6103715019199992,-0.0009932752954265138,-0.00042568941232556945
qrank_count_jepa,geom_r03,100.0,0.1,323,21,0.6113647772154257,0.6100125624134544,-0.0013522148019714149,-0.0005795206294162414
qrank_count_jepa,geom_r03,100.0,0.15,323,21,0.6113647772154257,0.6102731269874385,-0.0010916502279872213,-0.0004678500977087774
qrank_count_jepa,geom_r03,100.0,0.2,323,21,0.6113647772154257,0.611144980901614,-0.0002197963138117487,-9.419842020497171e-05
qrank_count_jepa,geom_r03,100.0,0.3,323,21,0.6113647772154257,0.6147201221528887,0.003355344937463034,0.001438004973198459
qrank_count_jepa,geom_r03,100.0,0.45,323,21,0.6113647772154257,0.6248134071150012,0.013448629899575367,0.005763698528389538
qrank_count_jepa,geom_r03,100.0,0.6,323,21,0.6113647772154257,0.6412338422345353,0.029869065019109613,0.01280102786533277
