config,graph,smooth_weight,prior_weight,label_weight,group,scale,covered_rows,base_loss,oof_loss,oof_delta_vs_stage2
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,no_q2,0.25,287,0.5675309246898171,0.5671448316111689,-0.00038609307864823084
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,no_q2,0.25,287,0.5675309246898171,0.567146428759609,-0.00038449593020817296
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,all,0.15,287,0.5675309246898171,0.5671601241401263,-0.00037080054969085285
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,no_q2,0.5,287,0.5675309246898171,0.5671615934366036,-0.0003693312532135895
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,stage,0.5,287,0.5675309246898171,0.5671646978895343,-0.00036622680028286503
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,all,0.5,287,0.5675309246898171,0.5671661255213003,-0.00036479916851683836
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,stage,0.5,287,0.5675309246898171,0.5671700688936407,-0.00036085579617639585
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,no_q2,0.25,287,0.5675309246898171,0.567170155287262,-0.0003607694025551389
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,all,0.15,287,0.5675309246898171,0.5671708069889554,-0.00036011770086175066
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,stage,0.5,287,0.5675309246898171,0.5671740169172722,-0.00035690777254493433
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,all,0.5,287,0.5675309246898171,0.5671743551606224,-0.00035656952919471685
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,no_q2,0.5,287,0.5675309246898171,0.5671785537602883,-0.00035237092952888904
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,stage,0.75,287,0.5675309246898171,0.5671827457313027,-0.0003481789585144668
gk6_t1_sw0p25_pw0p25_lw20,gk6_t1,0.25,0.25,20.0,no_q2,0.15,287,0.5675309246898171,0.5671839654481127,-0.0003469592417044698
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,stage,0.5,287,0.5675309246898171,0.5671899869801507,-0.00034093770966647785
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,stage,0.75,287,0.5675309246898171,0.5671904470434501,-0.00034047764636702116
gk6_t1_sw1_pw0p75_lw20,gk6_t1,1.0,0.75,20.0,all,0.15,287,0.5675309246898171,0.5671915853561627,-0.000339339333654487
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,no_q2,0.25,287,0.5675309246898171,0.5671917953791599,-0.00033912931065727125
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,no_q2,0.15,287,0.5675309246898171,0.5671992563822912,-0.00033166830752595633
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,all,0.15,287,0.5675309246898171,0.5671994108381488,-0.00033151385166829694
gk6_t1_sw0p25_pw0p25_lw20,gk6_t1,0.25,0.25,20.0,all,0.35,287,0.5675309246898171,0.567200998047751,-0.0003299266420661029
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,stage,0.35,287,0.5675309246898171,0.5672024709205069,-0.00032845376931023296
