variant,target,features,c_value,blend_weight,target_loss,delta_vs_base
block_canvas_multifeature_k8_c0p05_all,Q3,8,0.05,0.45,0.6047808405249763,-0.025567648425339984
block_canvas_multifeature_k8_c0p05_all,S1,8,0.05,0.45,0.4618158935285338,-0.017127382351872167
block_canvas_multifeature_k8_c0p05_all,S2,8,0.05,0.45,0.5091341088202112,-0.029819340797146765
block_canvas_multifeature_k8_c0p05_all,S3,8,0.05,0.45,0.4911347954836382,-0.012302883995429281
block_canvas_multifeature_k8_c0p05_all,S4,8,0.05,0.45,0.5901932848226648,-0.013210777389841333
block_canvas_multifeature_k8_c0p1_noq2,Q1,8,0.1,0.45,0.5530161115538303,-0.021614712520686474
block_canvas_multifeature_k8_c0p1_noq2,Q2,0,0.1,0.0,0.6429986926145494,0.0
block_canvas_multifeature_k8_c0p1_noq2,Q3,8,0.1,0.45,0.6045151367996653,-0.025833352150650968
block_canvas_multifeature_k8_c0p1_noq2,S1,8,0.1,0.45,0.45807585964827513,-0.020867416232130842
block_canvas_multifeature_k8_c0p1_noq2,S2,8,0.1,0.45,0.5063817935673854,-0.032571656049972475
block_canvas_multifeature_k8_c0p1_noq2,S3,8,0.1,0.45,0.48813148382341687,-0.015306195655650612
block_canvas_multifeature_k8_c0p1_noq2,S4,8,0.1,0.45,0.5891797528989271,-0.014224309313578987
block_canvas_multifeature_k8_c0p1_all,Q1,8,0.1,0.45,0.5530161115538303,-0.021614712520686474
block_canvas_multifeature_k8_c0p1_all,Q2,8,0.1,0.45,0.6169541849802669,-0.026044507634282565
block_canvas_multifeature_k8_c0p1_all,Q3,8,0.1,0.45,0.6045151367996653,-0.025833352150650968
block_canvas_multifeature_k8_c0p1_all,S1,8,0.1,0.45,0.45807585964827513,-0.020867416232130842
block_canvas_multifeature_k8_c0p1_all,S2,8,0.1,0.45,0.5063817935673854,-0.032571656049972475
block_canvas_multifeature_k8_c0p1_all,S3,8,0.1,0.45,0.48813148382341687,-0.015306195655650612
block_canvas_multifeature_k8_c0p1_all,S4,8,0.1,0.45,0.5891797528989271,-0.014224309313578987
