target,feature,mode,c_value,best_weight,base_loss,best_loss,delta_vs_base,mean_delta,median_delta,p25_delta,p75_delta,win_rate,mean_selected_weight,zero_weight_rate,passes
Q3,rawijepa__z33,subject_rank,0.2,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z39,global_z,0.05,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z39,global_z,0.2,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z39,subject_center,0.05,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z39,subject_center,0.2,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z16,subject_rank,0.05,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z50,global_z,0.05,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z50,global_z,0.2,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z09,subject_rank,0.05,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z09,subject_rank,0.2,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z62,subject_rank,0.05,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z62,subject_rank,0.2,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z05,subject_rank,0.05,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z05,subject_rank,0.2,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z07,subject_rank,0.05,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z07,subject_rank,0.2,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z22,global_z,0.05,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z22,global_z,0.2,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z51,subject_rank,0.05,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S1,rawijepa__z51,subject_rank,0.2,0.0,0.47894327588040597,0.47894327588040597,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z39,subject_rank,0.05,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z04,subject_z,0.05,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z39,subject_center,0.05,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z39,global_z,0.05,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z60,subject_rank,0.05,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z60,subject_rank,0.2,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z54,subject_center,0.05,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z54,subject_center,0.2,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z39,subject_z,0.05,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z04,global_z,0.05,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S2,rawijepa__z04,global_z,0.2,0.0,0.5389534496173579,0.5389534496173579,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z34,subject_z,0.05,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z34,subject_z,0.2,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z58,subject_z,0.05,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z58,subject_z,0.2,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z61,subject_z,0.05,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z61,subject_z,0.2,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z51,subject_z,0.05,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z51,subject_z,0.2,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z44,subject_z,0.05,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z44,subject_z,0.2,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z11,subject_rank,0.05,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z11,subject_rank,0.2,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z21,subject_z,0.05,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z21,subject_z,0.2,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z21,subject_rank,0.05,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S3,rawijepa__z21,subject_rank,0.2,0.0,0.5034376794790675,0.5034376794790675,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z45,global_z,0.05,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z45,global_z,0.2,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z56,subject_center,0.05,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z45,subject_z,0.05,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z45,subject_z,0.2,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z13,subject_center,0.05,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z13,subject_center,0.2,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z13,global_z,0.05,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z13,global_z,0.2,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z45,subject_rank,0.05,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z45,subject_rank,0.2,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z56,global_z,0.05,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
S4,rawijepa__z56,global_z,0.2,0.0,0.6034040622125061,0.6034040622125061,0.0,0.0,,,,0.0,,,False
