candidate,cv_mode,method,group,strength,scale,oof_loss,oof_delta_vs_stage2,bad_axis_projection_ratio,good_axis_projection_ratio
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_core_q_s23_st0p15_sc0p75.csv,subject_chunk,label_ctx_ridge10,core_q_s23,0.15,0.75,0.5672197540194758,-0.00031117067034136525,0.0028193647282406093,-0.01667653853385401
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_core_q_s23_st0p25_sc0p5.csv,subject_chunk,label_ctx_ridge10,core_q_s23,0.25,0.5,0.5672618053459091,-0.00026911934390805303,0.003921084760438208,-0.0175511446422474
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge50_core_q_s23_st0p25_sc0p35.csv,subject_chunk,label_ctx_ridge50,core_q_s23,0.25,0.35,0.56726326091933,-0.0002676637704871476,0.0015783110785047225,-0.01937268083718068
submission_transductive_episode_count_jepa_subject_chunk_pred_proto10_stage_only_st0p15_sc0p35.csv,subject_chunk,pred_proto10,stage_only,0.15,0.35,0.5672730537097547,-0.000257870980062469,-0.022550286027465453,-0.019232055006113528
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge50_core_q_s23_st0p15_sc0p5.csv,subject_chunk,label_ctx_ridge50,core_q_s23,0.15,0.5,0.5672782776719868,-0.00025264701783034305,0.0011760406928027591,-0.01716519849674233
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge50_core_q_s23_st0p15_sc0p35.csv,subject_chunk,label_ctx_ridge50,core_q_s23,0.15,0.35,0.5672880222396065,-0.00024290245021063583,0.000823228484961856,-0.012015638947719516
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_all_st0p15_sc0p35.csv,subject_chunk,label_ctx_ridge10,all,0.15,0.35,0.5673082794427305,-0.00022264524708659472,-0.0071409710898648745,-0.0233140901150624
submission_transductive_episode_count_jepa_subject_chunk_pred_proto10_stage_only_st0p15_sc0p5.csv,subject_chunk,pred_proto10,stage_only,0.15,0.5,0.5673206342140579,-0.00021029047575926718,-0.03221469432495061,-0.02747436429444793
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge10_core_q_s23_st0p5_sc0p35.csv,geometry,label_ctx_ridge10,core_q_s23,0.5,0.35,0.5583919391553697,-0.0023500103383522486,0.008065355134965178,-0.021445017346338767
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge10_q_only_st0p5_sc0p35.csv,geometry,label_ctx_ridge10,q_only,0.5,0.35,0.5584537932592984,-0.0022881562344234663,0.019395192010414185,-0.01564062853044233
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge10_q_only_st0p35_sc0p5.csv,geometry,label_ctx_ridge10,q_only,0.35,0.5,0.5585959994752818,-0.0021459500184400904,0.01933667577865215,-0.017351171974899306
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge10_core_q_s23_st0p35_sc0p5.csv,geometry,label_ctx_ridge10,core_q_s23,0.35,0.5,0.5585990293091565,-0.002142920184565411,0.00652332187505072,-0.023305306154621005
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge50_core_q_s23_st0p75_sc0p35.csv,geometry,label_ctx_ridge50,core_q_s23,0.75,0.35,0.5586392764339754,-0.0021026730597465404,0.008058692753235258,-0.051735422790647204
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge10_q_only_st0p75_sc0p35.csv,geometry,label_ctx_ridge10,q_only,0.75,0.35,0.5586928012464937,-0.0020491482472282385,0.030108001674495042,-0.01795151966691922
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge10_q_only_st0p25_sc0p75.csv,geometry,label_ctx_ridge10,q_only,0.25,0.75,0.5587050773421255,-0.002036872151596425,0.020795615181645938,-0.019757452727561176
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge10_q_only_st0p5_sc0p5.csv,geometry,label_ctx_ridge10,q_only,0.5,0.5,0.5587137966932068,-0.0020281528005151594,0.027707417157734584,-0.022343755043489115
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge50_core_q_s23_st0p5_sc0p35.csv,geometry,label_ctx_ridge50,core_q_s23,0.5,0.35,0.5587706116341324,-0.0019713378595894726,0.004139662665344207,-0.036276859570287666
submission_transductive_episode_count_jepa_geometry_label_ctx_ridge10_core_q_s23_st0p15_sc1p0.csv,geometry,label_ctx_ridge10,core_q_s23,0.15,1.0,0.5588117892276916,-0.001930160266030323,0.0037591529709874462,-0.0222353847118053
