candidate_id,file,resolved_path,family,alpha,mode,changed_cells_vs_h042,changed_rows_vs_h042,q2_changed_vs_h042,q13_changed_vs_h042,s_changed_vs_h042,h050_overlap_cells,h056_overlap_cells,pred_delta_vs_h042,pred_delta_vs_h050,pred_delta_vs_h056,mean_gain_selected,mean_aux_selected,mean_row_strength_selected,Q1_changed_vs_h042,Q2_changed_vs_h042,Q3_changed_vs_h042,S1_changed_vs_h042,S2_changed_vs_h042,S3_changed_vs_h042,S4_changed_vs_h042,h057_score
h057_q1_s_all_a0p85_edge_3a6256a5,submission_h057_q1_s_all_a0p85_edge_3a6256a5.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q1_s_all_a0p85_edge_3a6256a5.csv,q1_s_all,0.85,edge,225,45,0,45,180,17,180,0.010201003476237442,0.010263686869997294,0.010336799788373303,-0.07934113814851344,0.5736133333333334,0.912,45,0,0,45,45,45,45,-0.30375
h057_q3_s_all_a0p85_edge_2c555386,submission_h057_q3_s_all_a0p85_edge_2c555386.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q3_s_all_a0p85_edge_2c555386.csv,q3_s_all,0.85,edge,225,45,0,45,180,6,180,0.010710377658375235,0.010773061052135087,0.010846173970511097,-0.08330293734291849,0.547720253968254,0.912,0,0,45,45,45,45,45,-0.3362500000000001
h057_q13_a1p15_logit_8f809d52,submission_h057_q13_a1p15_logit_8f809d52.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q13_a1p15_logit_8f809d52.csv,q13,1.15,logit,90,45,0,90,0,23,0,-5.777172497543046e-05,4.911668784421593e-06,7.802458716042996e-05,0.0011233390967444812,0.46281015873015874,0.912,45,0,45,0,0,0,0,-0.38875000000000004
h057_full_nonq2_a1p15_edge_fce82389,submission_h057_full_nonq2_a1p15_edge_fce82389.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_full_nonq2_a1p15_edge_fce82389.csv,full_nonq2,1.15,edge,270,45,0,90,180,23,180,0.022206881453500662,0.02226956484726051,0.022342677765636518,-0.1439334909023191,0.5443573544973545,0.912,45,0,45,45,45,45,45,-0.3987500000000001
h057_q13_a0p85_logit_e1290f55,submission_h057_q13_a0p85_logit_e1290f55.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q13_a0p85_logit_e1290f55.csv,q13,0.85,logit,90,45,0,90,0,23,0,-5.674537069362158e-05,5.938023066230486e-06,7.905094144223883e-05,0.0011033822079315307,0.46281015873015874,0.912,45,0,45,0,0,0,0,-0.4212500000000001
h057_s_all_a0p85_edge_a0091760,submission_h057_s_all_a0p85_edge_a0091760.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_s_all_a0p85_edge_a0091760.csv,s_all,0.85,edge,180,45,0,0,180,0,180,0.008182441489339616,0.008245124883099468,0.008318237801475475,-0.07955151447969071,0.5851309523809524,0.912,0,0,0,45,45,45,45,-0.43624999999999997
h057_q13_a1p45_logit_3540c0cc,submission_h057_q13_a1p45_logit_3540c0cc.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q13_a1p45_logit_3540c0cc.csv,q13,1.45,logit,90,45,0,90,0,23,0,-4.9541680005318126e-05,1.314171375453393e-05,8.625463213054228e-05,0.0009633104445478525,0.46281015873015874,0.912,45,0,45,0,0,0,0,-0.45375
h057_q1_s_all_a1p15_edge_863c9dc7,submission_h057_q1_s_all_a1p15_edge_863c9dc7.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q1_s_all_a1p15_edge_863c9dc7.csv,q1_s_all,1.15,edge,225,45,0,45,180,17,180,0.017836500845766667,0.01789918423952652,0.017972297157902526,-0.1387283399115185,0.5736133333333334,0.912,45,0,0,45,45,45,45,-0.46625
h057_q13_a0p55_logit_0fb507c6,submission_h057_q13_a0p55_logit_0fb507c6.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q13_a0p55_logit_0fb507c6.csv,q13,0.55,logit,90,45,0,90,0,23,0,-4.613168092537054e-05,1.655171283448151e-05,8.966463121048987e-05,0.0008970049068822051,0.46281015873015874,0.912,45,0,45,0,0,0,0,-0.48625000000000007
h057_full_nonq2_a1p45_edge_41b4a890,submission_h057_full_nonq2_a1p45_edge_41b4a890.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_full_nonq2_a1p45_edge_41b4a890.csv,full_nonq2,1.45,edge,270,45,0,90,180,23,180,0.03343427088177868,0.03349695427553853,0.03357006719391454,-0.216703607567084,0.5443573544973545,0.912,45,0,45,45,45,45,45,-0.49625
h057_q3_s_all_a1p15_edge_5af100cd,submission_h057_q3_s_all_a1p15_edge_5af100cd.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q3_s_all_a1p15_edge_5af100cd.csv,q3_s_all,1.15,edge,225,45,0,45,180,6,180,0.018676987922597768,0.01873967131635762,0.018812784234733627,-0.14526546162020487,0.547720253968254,0.912,0,0,45,45,45,45,45,-0.49874999999999997
h057_q13_a0p55_edge_1a5f702c,submission_h057_q13_a0p55_edge_1a5f702c.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q13_a0p55_edge_1a5f702c.csv,q13,0.55,edge,90,45,0,90,0,23,0,0.0019718855698650788,0.0020345689636249308,0.002107681882000939,-0.038342219414043206,0.46281015873015874,0.912,45,0,45,0,0,0,0,-0.5187500000000002
h057_q1_s_all_a1p45_edge_7ad3b0d6,submission_h057_q1_s_all_a1p45_edge_7ad3b0d6.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q1_s_all_a1p45_edge_7ad3b0d6.csv,q1_s_all,1.45,edge,225,45,0,45,180,17,180,0.02690996307269633,0.026972646466456182,0.02704575938483219,-0.20929971278763812,0.5736133333333334,0.912,45,0,0,45,45,45,45,-0.5962499999999998
h057_s_all_a1p15_edge_3db9bdc2,submission_h057_s_all_a1p15_edge_3db9bdc2.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_s_all_a1p15_edge_3db9bdc2.csv,s_all,1.15,edge,180,45,0,0,180,0,180,0.014306607314863775,0.014369290708623627,0.014442403626999636,-0.1390920155611756,0.5851309523809524,0.912,0,0,0,45,45,45,45,-0.59875
h057_q13_a0p85_edge_901e8d5e,submission_h057_q13_a0p85_edge_901e8d5e.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q13_a0p85_edge_901e8d5e.csv,q13,0.85,edge,90,45,0,90,0,23,0,0.004546498155933447,0.0046091815496933,0.004682294468069307,-0.08840413080981703,0.46281015873015874,0.912,45,0,45,0,0,0,0,-0.6162500000000001
h057_q3_s_all_a1p45_edge_02a8f562,submission_h057_q3_s_all_a1p45_edge_02a8f562.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q3_s_all_a1p45_edge_02a8f562.csv,q3_s_all,1.45,edge,225,45,0,45,180,6,180,0.028121702053532618,0.028184385447292466,0.02825749836566848,-0.2187243493052537,0.547720253968254,0.912,0,0,45,45,45,45,45,-0.62875
h057_s_all_a1p45_edge_f25a6fe9,submission_h057_s_all_a1p45_edge_f25a6fe9.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_s_all_a1p45_edge_f25a6fe9.csv,s_all,1.45,edge,180,45,0,0,180,0,180,0.021597394244450268,0.02166007763821012,0.021733190556586127,-0.20997466626548872,0.5851309523809524,0.912,0,0,0,45,45,45,45,-0.6962500000000001
h057_q13_a1p15_edge_1e1a114f,submission_h057_q13_a1p15_edge_1e1a114f.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q13_a1p15_edge_1e1a114f.csv,q13,1.15,edge,90,45,0,90,0,23,0,0.007900274138636885,0.007962957532396737,0.008036070450772745,-0.1536164415846061,0.46281015873015874,0.912,45,0,45,0,0,0,0,-0.7137500000000001
h057_q13_a1p45_edge_f45817a5,submission_h057_q13_a1p45_edge_f45817a5.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q13_a1p45_edge_f45817a5.csv,q13,1.45,edge,90,45,0,90,0,23,0,0.011836876637328412,0.011899560031088262,0.01197267294946427,-0.23016149017027462,0.46281015873015874,0.912,45,0,45,0,0,0,0,-0.8437500000000001
