action_id,route_id,row,subject_id,sleep_date,route_name,route_targets,mode,route_group,route_n_cells,action_cells,action_q2_cells,changed_cells,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_conflict_rate,selected_toxic_mean,selected_safe_cell_mean,mean_bad_same_rank,mean_h098_frontier_cell_score,max_h098_frontier_cell_score,assignment_route_score,h071_route_score,h071_route_rank,h071_novelty_rank,h071_shortcut_avoid_rank,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells,h099_route_score,basis_spec,basis_id,basis_alpha,basis_cap,basis_norm_l2,basis_norm_l1,h100_route_basis_pred_delta,h100_action_score,h102_bad_max_pos,h102_bad_mean_pos,h102_bad_weighted_pos,h102_h088_axis_cos,h102_good_max_cos,h102_good_mean_cos,h102_good_bad_margin,h102_shadow_ratio,h102_axis_score,h105_seed_priority,h106_vote_weight
r151_nonq2_full_conflict_invert,r151_nonq2_full,151,id06,2024-08-25,nonq2_full,"Q1,Q3,S1,S2,S3,S4",conflict_invert,conflict,6,2,0,2,-1.8581616147178462e-05,4.9180910352975256e-06,7.646105603926661e-06,1.0,1.0,1.0,0.4635,0.11866702857142855,0.6911428571428572,0.48481501714285724,0.5168146514285716,0.5160371376811593,1.2361577409129978,0.5357789855072463,0.9685235507246376,0.139945652173913,1,0,1,0,0,0,0,0.6922070599043018,basis_conflict_a052,basis_conflict_a052__r151_nonq2_full_conflict_invert,0.52,0.68,0.3200673213743467,0.409495655203475,-0.0008588976257082997,0.7799712164402592,0.05877403639799767,0.05070432709365291,0.05009789761111044,-0.10577553213272517,0.14223870092770163,0.14104490967254932,0.09214080331659119,2.8392149146183288,0.7691765062461845,0.8516156949632874,1.6170090204561889
r146_q3_s_stage_conflict_invert,r146_q3_s_stage,146,id06,2024-08-20,q3_s_stage,"Q3,S1,S2,S3,S4",conflict_invert,conflict,5,1,0,1,-2.599711601117163e-06,9.262889783924012e-09,5.011701972953649e-08,1.0,1.0,1.0,0.4641428571428571,0.1833594285714285,0.1785714285714285,0.4251408571428571,0.4251408571428571,0.4257382246376812,1.049812054628568,0.4067028985507246,0.9026268115942028,0.056159420289855,0,0,0,1,0,0,0,0.5853379932331906,basis_conflict_a052,basis_conflict_a052__r146_q3_s_stage_conflict_invert,0.52,0.68,0.013462857975587465,0.013462857975587465,-2.558191160147833e-05,0.7878077923701841,0.005055481142697524,0.0035321237560263447,0.0035131121074922036,-0.0024090930023930317,0.0013826605112642013,0.001376827384993135,-0.002130451596228002,0.3935713052663989,0.668212555748002,0.8507638799433209,1.195374843204614
r144_q3_s_stage_frontier_descent,r144_q3_s_stage,144,id06,2024-08-14,q3_s_stage,"Q3,S1,S2,S3,S4",frontier_descent,objective,5,4,0,4,-3.245200403640368e-05,3.000993308326374e-06,4.5597795903161184e-06,0.5,0.75,0.75,0.7658428571428573,0.27018022857142854,0.3275714285714285,0.5449414085714286,0.7918176,0.6256974637681159,1.520249160593342,0.6942934782608695,0.8591485507246377,0.4202898550724637,0,0,1,1,1,0,1,0.6685370650907116,basis_objective_a042,basis_objective_a042__r144_q3_s_stage_frontier_descent,0.42,0.56,0.3008787968247919,0.46891339449011504,-4.934782441021147e-05,0.7068491934227672,0.0022854421507159557,0.00011427210753579779,0.00011063579812529952,-0.000914040222980104,0.011948184064608602,0.011897777427700254,0.011837548266483302,107.99466603396206,0.7222423156864503,0.8506518150199666,1.1970260986545
r000_s14_edge_frontier_descent,r000_s14_edge,0,id01,2024-07-31,s14_edge,"S1,S4",frontier_descent,objective,2,2,0,2,-5.57773708590207e-06,1.3022090621324972e-06,2.578468888134575e-06,1.0,1.0,1.0,0.6109,-0.01864222857142855,0.534142857142857,0.47113109142857146,0.57472224,0.2459057971014492,0.779883268784578,0.2368659420289855,0.46875,0.1929347826086956,0,0,0,1,0,0,1,0.6118671829419046,basis_objective_a042,basis_objective_a042__r000_s14_edge_frontier_descent,0.42,0.56,0.12704840178985488,0.16914794766955635,6.1608256595000344e-06,0.6712259263521844,0.000482715370409968,2.4135768520498398e-05,2.336773225956568e-05,-0.0021232097726497563,0.011384047756650107,0.011336021080904755,0.011360680024390541,487.14870923262,0.7599203408700131,0.8503524307613036,1.0804715323623206
r110_recovery_route_hybrid_route,r110_recovery_route,110,id05,2024-10-02,recovery_route,"Q1,S2,S3,S4",hybrid_route,tail,4,2,0,2,-5.2725286950737905e-06,2.161716244228666e-06,4.44576695842807e-06,1.0,1.0,1.0,0.7435714285714285,-0.1188611428571428,0.5267142857142857,0.3780396857142857,0.47316624,0.1923505434782608,0.5018675451511145,0.0955615942028985,0.6632699275362319,0.181159420289855,1,0,0,0,0,0,1,0.5136541587148931,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r110_recovery_route_hybrid_route,0.44,0.58,0.16835260580235178,0.23726452331638803,6.740449492754195e-06,0.6161358909788915,0.0,0.0,0.0,-0.006551359037603921,0.019154731871263788,0.01736831467060061,0.019154731871263788,19154731.871263787,0.7830764467527122,0.8487826046631457,1.0860918376554896
r056_nonq2_full_conflict_invert,r056_nonq2_full,56,id02,2024-10-14,nonq2_full,"Q1,Q3,S1,S2,S3,S4",conflict_invert,conflict,6,1,0,1,-8.199900503876945e-07,1.3275881270975702e-06,1.7728137415064761e-06,1.0,1.0,1.0,0.4693714285714285,-0.0053579428571428,0.672,0.25314420571428575,0.25314420571428575,0.3362635869565217,0.807913726188367,0.2558876811594203,0.9685235507246376,0.1141304347826086,0,0,1,0,0,0,0,0.38906952548538937,basis_conflict_a052,basis_conflict_a052__r056_nonq2_full_conflict_invert,0.52,0.68,0.1428638660756768,0.1428638660756768,5.637557051587109e-06,0.5746629557749037,0.0,0.0,0.0,-0.008035981031311487,0.02205555179662447,0.02196250450297599,0.02205555179662447,22055551.79662447,0.8094566870452927,0.8486565915238953,1.0934089977108246
r078_nonq2_full_hybrid_route,r078_nonq2_full,78,id03,2024-10-06,nonq2_full,"Q1,Q3,S1,S2,S3,S4",hybrid_route,tail,6,1,0,1,-5.343468193555424e-06,2.3045140776208983e-06,2.4565642189281964e-06,1.0,1.0,1.0,0.4697142857142857,-0.0016505142857142,0.7331428571428571,0.4015159200000001,0.4015159200000001,0.3985235507246377,0.9778161134463714,0.353713768115942,0.9685235507246376,0.2051630434782608,0,0,0,0,1,0,0,0.5366191176336507,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r078_nonq2_full_hybrid_route,0.44,0.58,0.1731055501965323,0.1731055501965323,6.542690154431874e-06,0.6335897214068232,0.0,0.0,0.0,-0.008977360438171576,0.02372824711959235,0.023628143109597086,0.02372824711959235,23728247.11959235,0.8257722091274663,0.8477146670101764,1.0974592854112877
r235_q3_s_stage_hybrid_route,r235_q3_s_stage,235,id10,2024-08-18,q3_s_stage,"Q3,S1,S2,S3,S4",hybrid_route,tail,5,1,0,1,4.168392224342121e-07,1.0907762204554004e-06,2.323949581751941e-06,1.0,1.0,1.0,0.7378571428571429,0.0760081142857142,0.5062857142857143,0.2888579542857143,0.2888579542857143,0.4467210144927536,1.088552480568833,0.4347826086956521,0.9026268115942028,0.108695652173913,0,0,0,0,0,0,1,0.39312277784044664,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r235_q3_s_stage_hybrid_route,0.44,0.58,0.12627667807887263,0.12627667807887263,5.1412270519973855e-06,0.6168793850978226,0.001145613894064901,5.728069470324505e-05,5.545793730705336e-05,-0.0005293889598121384,0.006813782552323265,0.006785036772945397,0.006758324615016212,122.86175832396769,0.7227807747173044,0.8457189643179182,1.0675240472957004
r146_s14_edge_hybrid_route,r146_s14_edge,146,id06,2024-08-20,s14_edge,"S1,S4",hybrid_route,tail,2,1,0,1,-2.584063001168221e-06,7.202596444402532e-09,4.1771475629243015e-08,1.0,1.0,1.0,0.4641428571428571,0.1833594285714285,0.1785714285714285,0.4251408571428571,0.4251408571428571,0.3043251811594203,0.9346762846118684,0.3220108695652174,0.46875,0.1580615942028985,0,0,0,1,0,0,0,0.5796244267433535,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r146_s14_edge_hybrid_route,0.44,0.58,0.011391649056266316,0.011391649056266316,-2.143614433604236e-05,0.773075584275249,0.005055481142697524,0.0035321237560263447,0.0035131121074922036,-0.0024090930023930317,0.0013826605112642013,0.001376827384993135,-0.002130451596228002,0.3935713052663989,0.6568700634909744,0.843676413757568,1.185223193980488
r000_s_stage_frontier_descent,r000_s_stage,0,id01,2024-07-31,s_stage,"S1,S2,S3,S4",frontier_descent,objective,4,2,0,2,-5.57773708590207e-06,1.3022090621324972e-06,2.578468888134575e-06,1.0,1.0,1.0,0.6109,-0.01864222857142855,0.534142857142857,0.47113109142857146,0.57472224,0.2265217391304347,0.612014188004457,0.1453804347826087,0.7373188405797102,0.1204710144927536,0,0,0,1,0,0,1,0.6101226177245133,basis_objective_a042,basis_objective_a042__r000_s_stage_frontier_descent,0.42,0.56,0.12704840178985488,0.16914794766955635,6.1608256595000344e-06,0.6676418660942159,0.00012304916725789432,6.152458362894716e-06,5.956677933836958e-06,-0.0011946966056098098,0.006405575309057712,0.006378551662029277,0.006399618631123875,1075.1798570172612,0.7406328609625368,0.8433912044312766,1.0712423635067125
