candidate_id,family,k_rows,alpha,mode,target_rule,max_per_subject,max_abs_seed_distance,selected_rows,selected_row_count,changed_cells_vs_h057,changed_rows_vs_h057,q2_changed_vs_h057,posterior_delta_vs_h057,mean_h065_row_score,mean_h064_row_score,mean_phase_route_gain,pre_rows,post_rows,phase_balance,episode_near_rate,selected_subjects,h050_null_rows_selected,h062_overlap_rows,h063_overlap_rows,h064_overlap_rows,mean_targets_per_row,target_specificity,Q1_changed_vs_h057,Q2_changed_vs_h057,Q3_changed_vs_h057,S1_changed_vs_h057,S2_changed_vs_h057,S3_changed_vs_h057,S4_changed_vs_h057,file,resolved_path,posterior_rank,h065_rank,context_rank,overlap_strength,size_score,family_penalty,h065_score
h065_phase_h064_core_r24_phase_top3_a1p15_prob_8dcfd2e9,phase_h064_core,24,1.15,prob,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.217964363636824e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_h064_core_r24_phase_top3_a1p15_prob_8dcfd2e9.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_h064_core_r24_phase_top3_a1p15_prob_8dcfd2e9.csv,0.06481481481481481,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6062777777777778
h065_phase_graph_near_r24_phase_top3_a1p15_prob_8dcfd2e9,phase_graph_near,24,1.15,prob,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.217964363636824e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_graph_near_r24_phase_top3_a1p15_prob_8dcfd2e9.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_graph_near_r24_phase_top3_a1p15_prob_8dcfd2e9.csv,0.06481481481481481,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6062777777777778
h065_phase_near_union_r24_phase_top3_a1p15_prob_8dcfd2e9,phase_near_union,24,1.15,prob,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.217964363636824e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_near_union_r24_phase_top3_a1p15_prob_8dcfd2e9.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r24_phase_top3_a1p15_prob_8dcfd2e9.csv,0.06481481481481481,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6062777777777778
h065_phase_near_union_r36_phase_weighted_a1p0_logit_72eeb9e6,phase_near_union,36,1.0,logit,phase_weighted,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,192,55,122,107,239,5",36,216,36,0,-0.0001818309016794767,0.8971933333333332,0.6197340113556433,0.007684510032744263,14,22,0.3888888888888889,1.0,10,0,17,30,25,6.0,0.5,36,0,36,36,36,36,36,submission_h065_phase_near_union_r36_phase_weighted_a1p0_logit_72eeb9e6.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r36_phase_weighted_a1p0_logit_72eeb9e6.csv,0.8773148148148148,0.3912037037037037,0.3912037037037037,0.6666666666666666,0.9333333333333333,0.0,0.6061944444444445
h065_phase_near_union_r36_phase_weighted_gainpos_a1p0_logit_72eeb9e6,phase_near_union,36,1.0,logit,phase_weighted_gainpos,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,192,55,122,107,239,5",36,216,36,0,-0.0001818309016794767,0.8971933333333332,0.6197340113556433,0.007684510032744263,14,22,0.3888888888888889,1.0,10,0,17,30,25,6.0,0.5,36,0,36,36,36,36,36,submission_h065_phase_near_union_r36_phase_weighted_gainpos_a1p0_logit_72eeb9e6.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r36_phase_weighted_gainpos_a1p0_logit_72eeb9e6.csv,0.8773148148148148,0.3912037037037037,0.3912037037037037,0.6666666666666666,0.9333333333333333,0.0,0.6061944444444445
h065_phase_graph_near_r24_phase_top3_a0p75_logit_1f005121,phase_graph_near,24,0.75,logit,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.204127180924556e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_graph_near_r24_phase_top3_a0p75_logit_1f005121.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_graph_near_r24_phase_top3_a0p75_logit_1f005121.csv,0.05092592592592592,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6032222222222222
h065_phase_near_union_r24_phase_top3_a0p75_logit_1f005121,phase_near_union,24,0.75,logit,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.204127180924556e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_near_union_r24_phase_top3_a0p75_logit_1f005121.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r24_phase_top3_a0p75_logit_1f005121.csv,0.05092592592592592,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6032222222222222
h065_phase_h064_core_r24_phase_top3_a0p75_logit_1f005121,phase_h064_core,24,0.75,logit,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.204127180924556e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_h064_core_r24_phase_top3_a0p75_logit_1f005121.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_h064_core_r24_phase_top3_a0p75_logit_1f005121.csv,0.05092592592592592,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6032222222222222
h065_phase_near_union_r36_phase_weighted_gainpos_a1p0_prob_757dba0f,phase_near_union,36,1.0,prob,phase_weighted_gainpos,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,192,55,122,107,239,5",36,216,36,0,-0.0001808483455808532,0.8971933333333332,0.6197340113556433,0.007684510032744263,14,22,0.3888888888888889,1.0,10,0,17,30,25,6.0,0.5,36,0,36,36,36,36,36,submission_h065_phase_near_union_r36_phase_weighted_gainpos_a1p0_prob_757dba0f.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r36_phase_weighted_gainpos_a1p0_prob_757dba0f.csv,0.8587962962962963,0.3912037037037037,0.3912037037037037,0.6666666666666666,0.9333333333333333,0.0,0.6021203703703704
h065_phase_near_union_r36_phase_weighted_a1p0_prob_757dba0f,phase_near_union,36,1.0,prob,phase_weighted,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,192,55,122,107,239,5",36,216,36,0,-0.0001808483455808532,0.8971933333333332,0.6197340113556433,0.007684510032744263,14,22,0.3888888888888889,1.0,10,0,17,30,25,6.0,0.5,36,0,36,36,36,36,36,submission_h065_phase_near_union_r36_phase_weighted_a1p0_prob_757dba0f.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r36_phase_weighted_a1p0_prob_757dba0f.csv,0.8587962962962963,0.3912037037037037,0.3912037037037037,0.6666666666666666,0.9333333333333333,0.0,0.6021203703703704
h065_phase_graph_near_r24_phase_top3_a0p75_prob_cf7e6c90,phase_graph_near,24,0.75,prob,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.034480127177478e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_graph_near_r24_phase_top3_a0p75_prob_cf7e6c90.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_graph_near_r24_phase_top3_a0p75_prob_cf7e6c90.csv,0.037037037037037035,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6001666666666666
h065_phase_h064_core_r24_phase_top3_a0p75_prob_cf7e6c90,phase_h064_core,24,0.75,prob,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.034480127177478e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_h064_core_r24_phase_top3_a0p75_prob_cf7e6c90.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_h064_core_r24_phase_top3_a0p75_prob_cf7e6c90.csv,0.037037037037037035,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6001666666666666
