feature_set,perm_pred_selected,perm_pred_h012,perm_selected_minus_h012
geometry,0.5589007948709727,0.5575705786911258,0.0013302161798468548
geometry,0.5563346243532407,0.551398443441591,0.004936180911649712
geometry,0.5692564659068632,0.5682451585887923,0.0010113073180708643
geometry,0.5265912350699604,0.515564333745734,0.011026901324226457
geometry,0.5679539906688446,0.5626077452329536,0.005346245435890906
geometry,0.5470619116974652,0.540624774011806,0.006437137685659233
geometry,0.5945639460117311,0.5953825758691539,-0.0008186298574227591
geometry,0.5236829978359634,0.5131367928007197,0.010546205035243728
geometry,0.5835747156298917,0.5827711834001605,0.0008035322297311742
geometry,0.5798305990618966,0.5820750180564576,-0.0022444189945609594
geometry,0.5839679110450964,0.585971519979975,-0.002003608934878609
geometry,0.5798958229804305,0.5855634826121935,-0.005667659631762967
geometry,0.5444287067269472,0.535510907245145,0.008917799481802158
geometry,0.5820718349786538,0.5860693830208317,-0.00399754804217789
geometry,0.5949667642243845,0.5998490970086067,-0.004882332784222121
geometry,0.6199405876037738,0.6269648331599141,-0.0070242455561403405
geometry,0.5808004229426283,0.5758163073413053,0.004984115601323058
geometry,0.5821317691954881,0.5813144174413902,0.0008173517540979169
geometry,0.5586797014458911,0.5524040341198676,0.006275667326023471
geometry,0.6204155267615282,0.625066131729279,-0.0046506049677508265
geometry,0.5908273964134753,0.5896980644391988,0.0011293319742764485
geometry,0.5567329141044557,0.5529803952054546,0.0037525188990010783
geometry,0.5897198667258104,0.5924145046345815,-0.0026946379087710026
geometry,0.5780275871950161,0.5790105495926167,-0.0009829623976005397
geometry,0.557813947786831,0.552623224207201,0.005190723579630019
geometry,0.596505951234947,0.6017967808491433,-0.005290829614196357
geometry,0.5629952511200611,0.5600550494597627,0.0029402016602984027
geometry,0.6046983571047158,0.6054270372335604,-0.0007286801288446387
geometry,0.5774470946290611,0.5788337430122986,-0.0013866483832375431
geometry,0.5742143304966164,0.5746480952630644,-0.0004337647664479638
geometry,0.5343982103295685,0.5284092410002076,0.0059889693293608826
geometry,0.5818570668234073,0.5790285243644999,0.0028285424589074015
geometry,0.5846350939013724,0.5907826344651654,-0.006147540563793075
geometry,0.5772790982316823,0.5790509123834124,-0.0017718141517301111
geometry,0.5672627765158278,0.5637518512682317,0.0035109252475961084
geometry,0.5825183200484776,0.5820204266974213,0.0004978933510563222
geometry,0.5834990363929948,0.5890068447310913,-0.005507808338096498
geometry,0.5884584044143104,0.5881600848866754,0.0002983195276350381
geometry,0.5769394749393584,0.5806967659618942,-0.003757291022535858
geometry,0.5972979228102966,0.5999472100466516,-0.002649287236355047
geometry,0.5503506413260795,0.5452943060201556,0.005056335305923865
geometry,0.5820276231667864,0.5861935358486905,-0.004165912681904138
geometry,0.5653690326601215,0.5641471291059262,0.0012219035541952694
geometry,0.5439683265248807,0.5378294232625463,0.00613890326233435
geometry,0.6057737825086846,0.6137213680829068,-0.007947585574222149
geometry,0.6080453690010194,0.6134438486838094,-0.005398479682790058
geometry,0.5992271246532479,0.6072498551433014,-0.008022730490053531
geometry,0.5536035173664318,0.5493532038721105,0.004250313494321256
geometry,0.5707203260544612,0.5674619418579814,0.0032583841964798355
geometry,0.6178371734476258,0.6241218174175462,-0.006284643969920456
geometry,0.5528432197045104,0.5463826812358008,0.006460538468709642
geometry,0.602983138461097,0.6132836757334129,-0.010300537272315946
geometry,0.5841450083748704,0.5878943889154814,-0.0037493805406110248
geometry,0.5328404708082968,0.5264153889380875,0.006425081870209293
geometry,0.5615507278657096,0.5541676271131813,0.007383100752528238
geometry,0.55837094101541,0.5514000463567523,0.006970894658657634
geometry,0.5537325015117424,0.5480242613802234,0.005708240131518938
geometry,0.5757346439124393,0.5688990170143978,0.006835626898041514
geometry,0.5835837647771897,0.5807985263142952,0.002785238462894468
axes,0.5919559588164184,0.6149081853184396,-0.022952226502021222
axes,0.6314507460529742,0.5643351052467296,0.06711564080624466
axes,0.648766660937534,0.5911064694662691,0.05766019147126489
axes,0.6274072523867887,0.6709063069001201,-0.04349905451333136
axes,0.5446263810070493,0.47861167001341615,0.06601471099363315
axes,0.6208678116248314,0.6024928961865738,0.018374915438257644
axes,0.6816189087802934,0.7372729630917643,-0.05565405431147086
axes,0.5632230956042634,0.5292291582023718,0.033993937401891605
axes,0.5641175503981157,0.4927673457556571,0.07135020464245861
axes,0.6294994459924419,0.6421727492058522,-0.012673303213410314
axes,0.6413045866989016,0.7088898240848192,-0.0675852373859176
axes,0.5307310955416885,0.44097869356905656,0.08975240197263196
axes,0.5854909873858202,0.6264804228663003,-0.040989435480480174
axes,0.48527093307728175,0.5721839421485196,-0.08691300907123789
axes,0.6196187917830102,0.7176514129655418,-0.09803262118253164
axes,0.5787112543321886,0.5216644836754635,0.05704677065672514
axes,0.6443138425490406,0.6215833144376804,0.022730528111360115
axes,0.5966394556003752,0.573977086130421,0.022662369469954258
axes,0.5400039830808988,0.48990581967408925,0.05009816340680956
axes,0.6104250979734294,0.6825455796799191,-0.07212048170648977
axes,0.5430019365579919,0.6149220038495612,-0.0719200672915693
axes,0.6639022230752121,0.7147650572881987,-0.05086283421298665
axes,0.6228951978929534,0.7697243847427019,-0.14682918684974844
axes,0.5893941039995196,0.5292641448285111,0.060129959171008496
axes,0.6665286448654217,0.6304797908465318,0.03604885401888991
axes,0.6579342149645943,0.5535770610671825,0.10435715389741174
axes,0.5914415062563504,0.4466435205195679,0.1447979857367825
axes,0.6775467351452881,0.6766526988091595,0.0008940363361286119
axes,0.5753790098683477,0.6114623893271655,-0.03608337945881779
axes,0.717038880738614,0.6788856122176218,0.03815326852099221
axes,0.7179322568443359,0.7140771326157939,0.0038551242285420617
axes,0.550949148041375,0.5044239110423719,0.04652523699900302
axes,0.590273954236841,0.6026511321233924,-0.01237717788655135
axes,0.5503533429153104,0.5664665231525482,-0.016113180237237845
axes,0.5111737789890634,0.4988301856814047,0.012343593307658662
axes,0.445565119008014,0.5983461402462478,-0.15278102123823378
axes,0.7110620834022818,0.7641915176880214,-0.053129434285739574
axes,0.534908024249428,0.7444446775821401,-0.2095366533327121
axes,0.6368635069401223,0.559494957802302,0.07736854913782032
axes,0.5777986296840711,0.5433750739044028,0.03442355577966838
axes,0.6011374916459448,0.5018284039878547,0.0993090876580901
axes,0.6105120958687886,0.6523774453927609,-0.04186534952397225
axes,0.6583164135383948,0.7577777337002051,-0.09946132016181031
