feature,et_importance,ridge_beta
row_rollback_x_identity_mean,0.012295815878190787,-2.484629587566669e-06
row_rollback_x_joint_vector_mean,0.00793204262589669,-1.8459389376689892e-06
row_rollback_x_lock_cost_sum,0.001431191291640638,5.32516631343407e-05
row_rollback_x_memory_disagree_count,0.020870491307276886,-4.509124046640456e-07
row_rollback_x_neg_cost_sum,0.002188648092812317,7.36941851999892e-05
row_rollback_x_posterior_gain_sum,0.026289127414085005,-2.0266861601639016e-05
row_rollback_x_public_row_subset_mean,0.018509165270333246,-2.3656891580619096e-06
row_rollback_x_rollback_neg_sum_support,0.0032657396189809656,0.004855181164085518
row_rollback_x_route_mean,0.011190895864378719,-2.4039392450558317e-06
rows_add_eq1,0.00040007225747308,6.274602538776513e-06
rows_add_eq2,7.322010635514712e-05,5.602893554191551e-06
rows_add_eq3,6.231764058087989e-05,3.1092703497858525e-05
rows_add_eq4,3.47164669022367e-05,7.953176195356595e-05
rows_add_eq5,8.956777001001882e-06,0.0001821112434341003
rows_add_eq6,3.100392862329606e-06,0.000523084722625544
rows_add_eq7,0.0,0.0
rows_changed_eq1,0.002902641175986841,5.2173033632324346e-05
rows_changed_eq2,0.0032395994076661063,4.274317640233258e-05
rows_changed_eq3,0.0005083680868553249,-2.34152707334857e-05
rows_changed_eq4,0.0007086974015166297,-1.6484613153720092e-05
rows_changed_eq5,0.001474224225363824,7.335742941149603e-06
rows_changed_eq6,0.004378232719225435,1.4464515820848602e-05
rows_changed_eq7,0.004486479629467573,-1.0322414151692333e-05
rows_rollback_eq1,0.0010702932140208674,-2.216261152133744e-06
rows_rollback_eq2,0.000491950063355561,4.938985707454352e-07
rows_rollback_eq3,0.00035694719031622603,8.753279269823374e-07
rows_rollback_eq4,0.0010654536347055983,-5.6746556045671245e-06
rows_rollback_eq5,0.0019321767521890767,1.1789682222834884e-06
rows_rollback_eq6,0.0011810101843682203,-8.54914546634208e-06
rows_rollback_eq7,0.0014233261292886728,-5.180976668461406e-06
