score_col,mode,threshold,cells,gain_sum,mean_gain,positive_gain_rate,all_cells,all_gain_sum,all_mean_gain,all_positive_gain_rate,removed_gain_sum,target
wm_energy_app_social_context,high_energy_listener,1.9657043874377154,6,1.2230756254121862,0.2038459375686977,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7537481231114569,Q2
wm_energy_app_social_context,all,1.9657043874377154,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_rank_app_social_context,low_energy_listener,0.7511111111111111,6,0.7537481231114566,0.12562468718524275,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.2230756254121866,Q2
wm_energy_rank_app_social_context,high_energy_listener,0.7511111111111111,6,1.2230756254121862,0.2038459375686977,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7537481231114569,Q2
wm_energy_rank_app_social_context,all,0.7511111111111111,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_mobility_environment,low_energy_listener,1.1323657709013686,6,1.2556699449792492,0.2092783241632082,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7211538035443938,Q2
wm_energy_mobility_environment,high_energy_listener,1.1323657709013686,6,0.7211538035443934,0.12019230059073223,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.2556699449792497,Q2
wm_energy_mobility_environment,all,1.1323657709013686,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_rank_mobility_environment,low_energy_listener,0.3611111111111111,6,1.2556699449792492,0.2092783241632082,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7211538035443938,Q2
wm_energy_rank_mobility_environment,high_energy_listener,0.3611111111111111,6,0.7211538035443934,0.12019230059073223,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.2556699449792497,Q2
wm_energy_rank_mobility_environment,all,0.3611111111111111,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_mean,low_energy_listener,1.7744771046239467,6,1.1918806624412377,0.19864677707353962,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7849430860824054,Q2
wm_energy_mean,high_energy_listener,1.7744771046239467,6,0.7849430860824048,0.1308238476804008,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.1918806624412381,Q2
wm_energy_mean,all,1.7744771046239467,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_max,low_energy_listener,2.9450979546648863,6,1.1918806624412377,0.19864677707353962,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7849430860824054,Q2
wm_energy_max,high_energy_listener,2.9450979546648863,6,0.7849430860824048,0.1308238476804008,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.1918806624412381,Q2
wm_energy_max,all,2.9450979546648863,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_rank_mean,low_energy_listener,0.5606666666666666,6,1.1918806624412377,0.19864677707353962,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7849430860824054,Q2
wm_energy_rank_mean,high_energy_listener,0.5606666666666666,6,0.7849430860824048,0.1308238476804008,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.1918806624412381,Q2
wm_energy_rank_mean,all,0.5606666666666666,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_rank_max,low_energy_listener,0.8677777777777778,6,1.3806814436641157,0.2301135739440193,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.5961423048595273,Q2
wm_energy_rank_max,high_energy_listener,0.8677777777777778,6,0.5961423048595271,0.09935705080992119,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.380681443664116,Q2
wm_energy_rank_max,all,0.8677777777777778,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_calendar_rhythm,low_energy_listener,1.2093943512126506,5,0.7738268855392572,0.15476537710785143,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.39448722403937375,Q3
wm_energy_calendar_rhythm,high_energy_listener,1.2093943512126506,4,0.39448722403937386,0.09862180600984347,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.773826885539257,Q3
wm_energy_calendar_rhythm,all,1.2093943512126506,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_rank_calendar_rhythm,low_energy_listener,0.5711111111111111,5,0.7738268855392572,0.15476537710785143,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.39448722403937375,Q3
wm_energy_rank_calendar_rhythm,high_energy_listener,0.5711111111111111,4,0.39448722403937386,0.09862180600984347,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.773826885539257,Q3
wm_energy_rank_calendar_rhythm,all,0.5711111111111111,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_phone_behavior,low_energy_listener,1.740219324841175,5,0.6311020148327962,0.12622040296655923,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.5372120947458348,Q3
wm_energy_phone_behavior,high_energy_listener,1.740219324841175,4,0.5372120947458349,0.13430302368645872,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.631102014832796,Q3
wm_energy_phone_behavior,all,1.740219324841175,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_rank_phone_behavior,low_energy_listener,0.4555555555555555,5,0.6311020148327962,0.12622040296655923,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.5372120947458348,Q3
wm_energy_rank_phone_behavior,high_energy_listener,0.4555555555555555,4,0.5372120947458349,0.13430302368645872,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.631102014832796,Q3
wm_energy_rank_phone_behavior,all,0.4555555555555555,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_body_activity_sleep,low_energy_listener,0.8054640243447045,5,0.3231476839538102,0.06462953679076204,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.8451664256248207,Q3
wm_energy_body_activity_sleep,high_energy_listener,0.8054640243447045,4,0.8451664256248208,0.2112916064062052,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.3231476839538101,Q3
wm_energy_body_activity_sleep,all,0.8054640243447045,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_rank_body_activity_sleep,low_energy_listener,0.1622222222222222,5,0.3231476839538102,0.06462953679076204,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.8451664256248207,Q3
wm_energy_rank_body_activity_sleep,high_energy_listener,0.1622222222222222,4,0.8451664256248208,0.2112916064062052,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.3231476839538101,Q3
wm_energy_rank_body_activity_sleep,all,0.1622222222222222,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_app_social_context,low_energy_listener,1.683107147335734,5,0.48758276520538807,0.09751655304107762,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.6807313443732428,Q3
wm_energy_app_social_context,high_energy_listener,1.683107147335734,4,0.6807313443732429,0.17018283609331072,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.487582765205388,Q3
wm_energy_app_social_context,all,1.683107147335734,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_rank_app_social_context,low_energy_listener,0.6155555555555555,5,0.48758276520538807,0.09751655304107762,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.6807313443732428,Q3
wm_energy_rank_app_social_context,high_energy_listener,0.6155555555555555,4,0.6807313443732429,0.17018283609331072,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.487582765205388,Q3
wm_energy_rank_app_social_context,all,0.6155555555555555,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_mobility_environment,low_energy_listener,1.3051567390355157,5,1.1432266824445616,0.22864533648891233,0.8,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.025087427134069307,Q3
wm_energy_mobility_environment,high_energy_listener,1.3051567390355157,4,0.025087427134069418,0.006271856783517354,0.5,9,1.168314109578631,0.1298126788420701,0.6666666666666666,1.1432266824445616,Q3
wm_energy_mobility_environment,all,1.3051567390355157,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_rank_mobility_environment,low_energy_listener,0.4844444444444444,5,1.1432266824445616,0.22864533648891233,0.8,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.025087427134069307,Q3
