family,fold,target,model,n_train,n_valid,logloss
chrono_tail,chrono_tail_last_30,Q2,M1_own_lag_back,316,134,0.6898558201978148
chrono_tail,chrono_tail_last_30,Q2,M2_neighbor_mean_3,316,134,0.6974733188179763
chrono_tail,chrono_tail_last_30,Q2,M3_own_lag_back_fwd,316,134,0.6846143272170342
chrono_tail,chrono_tail_last_30,Q2,M4_all_q_lags_back,316,134,0.690654235754622
chrono_tail,chrono_tail_last_30,Q2,M5_all_q_lags_back_fwd,316,134,0.6860125858706039
chrono_tail,chrono_tail_last_30,Q3,M0_anchor,316,134,0.6610250712621396
chrono_tail,chrono_tail_last_30,Q3,M1_own_lag_back,316,134,0.6553031456930534
chrono_tail,chrono_tail_last_30,Q3,M2_neighbor_mean_3,316,134,0.6424304962271024
chrono_tail,chrono_tail_last_30,Q3,M3_own_lag_back_fwd,316,134,0.6528827712478129
chrono_tail,chrono_tail_last_30,Q3,M4_all_q_lags_back,316,134,0.6478367333111203
chrono_tail,chrono_tail_last_30,Q3,M5_all_q_lags_back_fwd,316,134,0.6453662288967305
hole_v1,hole_v1_seed0,Q1,M0_anchor,339,111,0.7374653654706722
hole_v1,hole_v1_seed0,Q1,M1_own_lag_back,339,111,0.7253438077334121
hole_v1,hole_v1_seed0,Q1,M2_neighbor_mean_3,339,111,0.7305467346567461
hole_v1,hole_v1_seed0,Q1,M3_own_lag_back_fwd,339,111,0.7076228230427772
hole_v1,hole_v1_seed0,Q1,M4_all_q_lags_back,339,111,0.7288880167198122
hole_v1,hole_v1_seed0,Q1,M5_all_q_lags_back_fwd,339,111,0.712320092705451
hole_v1,hole_v1_seed0,Q2,M0_anchor,339,111,0.6526892462399178
hole_v1,hole_v1_seed0,Q2,M1_own_lag_back,339,111,0.6285384053723279
hole_v1,hole_v1_seed0,Q2,M2_neighbor_mean_3,339,111,0.5991063571618722
hole_v1,hole_v1_seed0,Q2,M3_own_lag_back_fwd,339,111,0.6184979284291097
hole_v1,hole_v1_seed0,Q2,M4_all_q_lags_back,339,111,0.6278352831211141
hole_v1,hole_v1_seed0,Q2,M5_all_q_lags_back_fwd,339,111,0.613529041401955
hole_v1,hole_v1_seed0,Q3,M0_anchor,339,111,0.6790606296580398
hole_v1,hole_v1_seed0,Q3,M1_own_lag_back,339,111,0.6668115277687114
hole_v1,hole_v1_seed0,Q3,M2_neighbor_mean_3,339,111,0.6589666362936447
hole_v1,hole_v1_seed0,Q3,M3_own_lag_back_fwd,339,111,0.6437707720583847
hole_v1,hole_v1_seed0,Q3,M4_all_q_lags_back,339,111,0.6684727149249847
hole_v1,hole_v1_seed0,Q3,M5_all_q_lags_back_fwd,339,111,0.6450003389171982
hole_v1,hole_v1_seed1,Q1,M0_anchor,339,111,0.6975009226764747
hole_v1,hole_v1_seed1,Q1,M1_own_lag_back,339,111,0.6828830065430113
hole_v1,hole_v1_seed1,Q1,M2_neighbor_mean_3,339,111,0.6848906674910891
hole_v1,hole_v1_seed1,Q1,M3_own_lag_back_fwd,339,111,0.6721979536539872
hole_v1,hole_v1_seed1,Q1,M4_all_q_lags_back,339,111,0.688840844898327
hole_v1,hole_v1_seed1,Q1,M5_all_q_lags_back_fwd,339,111,0.6790166981691841
hole_v1,hole_v1_seed1,Q2,M0_anchor,339,111,0.6697863505108366
hole_v1,hole_v1_seed1,Q2,M1_own_lag_back,339,111,0.6386797382910647
hole_v1,hole_v1_seed1,Q2,M2_neighbor_mean_3,339,111,0.6324557396339393
hole_v1,hole_v1_seed1,Q2,M3_own_lag_back_fwd,339,111,0.6366826925833675
hole_v1,hole_v1_seed1,Q2,M4_all_q_lags_back,339,111,0.6390283375268125
hole_v1,hole_v1_seed1,Q2,M5_all_q_lags_back_fwd,339,111,0.6386094157253511
hole_v1,hole_v1_seed1,Q3,M0_anchor,339,111,0.6594499912280994
hole_v1,hole_v1_seed1,Q3,M1_own_lag_back,339,111,0.6470345155658872
hole_v1,hole_v1_seed1,Q3,M2_neighbor_mean_3,339,111,0.6292943127349433
hole_v1,hole_v1_seed1,Q3,M3_own_lag_back_fwd,339,111,0.6382590704884255
hole_v1,hole_v1_seed1,Q3,M4_all_q_lags_back,339,111,0.6388980310234545
hole_v1,hole_v1_seed1,Q3,M5_all_q_lags_back_fwd,339,111,0.63159276916282
hole_v1,hole_v1_seed2,Q1,M0_anchor,339,111,0.6927004489754514
hole_v1,hole_v1_seed2,Q1,M1_own_lag_back,339,111,0.6815853094578577
hole_v1,hole_v1_seed2,Q1,M2_neighbor_mean_3,339,111,0.6770970822302677
hole_v1,hole_v1_seed2,Q1,M3_own_lag_back_fwd,339,111,0.6678017684321726
hole_v1,hole_v1_seed2,Q1,M4_all_q_lags_back,339,111,0.6754497275104676
hole_v1,hole_v1_seed2,Q1,M5_all_q_lags_back_fwd,339,111,0.6618689886535364
hole_v1,hole_v1_seed2,Q2,M0_anchor,339,111,0.7313256243523036
hole_v1,hole_v1_seed2,Q2,M1_own_lag_back,339,111,0.6856460422113925
hole_v1,hole_v1_seed2,Q2,M2_neighbor_mean_3,339,111,0.6756640073151335
hole_v1,hole_v1_seed2,Q2,M3_own_lag_back_fwd,339,111,0.687766300705051
hole_v1,hole_v1_seed2,Q2,M4_all_q_lags_back,339,111,0.7040541246253974
hole_v1,hole_v1_seed2,Q2,M5_all_q_lags_back_fwd,339,111,0.7055231281940934
hole_v1,hole_v1_seed2,Q3,M0_anchor,339,111,0.6654499655141232
hole_v1,hole_v1_seed2,Q3,M1_own_lag_back,339,111,0.6704000838386184
hole_v1,hole_v1_seed2,Q3,M2_neighbor_mean_3,339,111,0.6882351529669494
hole_v1,hole_v1_seed2,Q3,M3_own_lag_back_fwd,339,111,0.6632434835270743
hole_v1,hole_v1_seed2,Q3,M4_all_q_lags_back,339,111,0.6860490156809615
hole_v1,hole_v1_seed2,Q3,M5_all_q_lags_back_fwd,339,111,0.6760432250913144
mirror_v1,mirror_v1_seed0,Q1,M0_anchor,253,197,0.6717992328605874
mirror_v1,mirror_v1_seed0,Q1,M1_own_lag_back,253,197,0.6815024270847861
mirror_v1,mirror_v1_seed0,Q1,M2_neighbor_mean_3,253,197,0.6720139695965969
mirror_v1,mirror_v1_seed0,Q1,M3_own_lag_back_fwd,253,197,0.679710321883025
mirror_v1,mirror_v1_seed0,Q1,M4_all_q_lags_back,253,197,0.6793476237744728
mirror_v1,mirror_v1_seed0,Q1,M5_all_q_lags_back_fwd,253,197,0.6772811220412819
mirror_v1,mirror_v1_seed0,Q2,M0_anchor,253,197,0.7159107110894964
mirror_v1,mirror_v1_seed0,Q2,M1_own_lag_back,253,197,0.7026084250980567
mirror_v1,mirror_v1_seed0,Q2,M2_neighbor_mean_3,253,197,0.6745159734449169
mirror_v1,mirror_v1_seed0,Q2,M3_own_lag_back_fwd,253,197,0.6784132220956558
mirror_v1,mirror_v1_seed0,Q2,M4_all_q_lags_back,253,197,0.7017013632351174
mirror_v1,mirror_v1_seed0,Q2,M5_all_q_lags_back_fwd,253,197,0.6779899792459291
mirror_v1,mirror_v1_seed0,Q3,M0_anchor,253,197,0.6890876381740678
mirror_v1,mirror_v1_seed0,Q3,M1_own_lag_back,253,197,0.6826913177335475
mirror_v1,mirror_v1_seed0,Q3,M2_neighbor_mean_3,253,197,0.683745547230624
mirror_v1,mirror_v1_seed0,Q3,M3_own_lag_back_fwd,253,197,0.6699325907975628
mirror_v1,mirror_v1_seed0,Q3,M4_all_q_lags_back,253,197,0.673516377660746
mirror_v1,mirror_v1_seed0,Q3,M5_all_q_lags_back_fwd,253,197,0.6612802019749617
mirror_v1,mirror_v1_seed1,Q1,M0_anchor,253,197,0.7091517238041439
mirror_v1,mirror_v1_seed1,Q1,M1_own_lag_back,253,197,0.7023347943105978
mirror_v1,mirror_v1_seed1,Q1,M2_neighbor_mean_3,253,197,0.715155597056208
mirror_v1,mirror_v1_seed1,Q1,M3_own_lag_back_fwd,253,197,0.6977360561695152
mirror_v1,mirror_v1_seed1,Q1,M4_all_q_lags_back,253,197,0.701430878156663
mirror_v1,mirror_v1_seed1,Q1,M5_all_q_lags_back_fwd,253,197,0.6972642534926599
mirror_v1,mirror_v1_seed1,Q2,M0_anchor,253,197,0.7756966455959076
mirror_v1,mirror_v1_seed1,Q2,M1_own_lag_back,253,197,0.745011975286771
mirror_v1,mirror_v1_seed1,Q2,M2_neighbor_mean_3,253,197,0.7067972363163716
mirror_v1,mirror_v1_seed1,Q2,M3_own_lag_back_fwd,253,197,0.7300671159242325
mirror_v1,mirror_v1_seed1,Q2,M4_all_q_lags_back,253,197,0.7339049905807278
mirror_v1,mirror_v1_seed1,Q2,M5_all_q_lags_back_fwd,253,197,0.7215305473852853
mirror_v1,mirror_v1_seed1,Q3,M0_anchor,253,197,0.7477552158248946
mirror_v1,mirror_v1_seed1,Q3,M1_own_lag_back,253,197,0.7355147689413959
mirror_v1,mirror_v1_seed1,Q3,M2_neighbor_mean_3,253,197,0.7253243791003882
mirror_v1,mirror_v1_seed1,Q3,M3_own_lag_back_fwd,253,197,0.7298793335324487
mirror_v1,mirror_v1_seed1,Q3,M4_all_q_lags_back,253,197,0.7224709005210953
mirror_v1,mirror_v1_seed1,Q3,M5_all_q_lags_back_fwd,253,197,0.717503945322096
mirror_v1,mirror_v1_seed2,Q1,M0_anchor,253,197,0.763488416871881
mirror_v1,mirror_v1_seed2,Q1,M1_own_lag_back,253,197,0.7559444139802364
mirror_v1,mirror_v1_seed2,Q1,M2_neighbor_mean_3,253,197,0.7699622941551898
mirror_v1,mirror_v1_seed2,Q1,M3_own_lag_back_fwd,253,197,0.7457810659646492
mirror_v1,mirror_v1_seed2,Q1,M4_all_q_lags_back,253,197,0.7564647845524541
mirror_v1,mirror_v1_seed2,Q1,M5_all_q_lags_back_fwd,253,197,0.7460441419325698
mirror_v1,mirror_v1_seed2,Q2,M0_anchor,253,197,0.7780460704343222
mirror_v1,mirror_v1_seed2,Q2,M1_own_lag_back,253,197,0.7577170123575947
mirror_v1,mirror_v1_seed2,Q2,M2_neighbor_mean_3,253,197,0.7480767470892576
mirror_v1,mirror_v1_seed2,Q2,M3_own_lag_back_fwd,253,197,0.7352566128658631
mirror_v1,mirror_v1_seed2,Q2,M4_all_q_lags_back,253,197,0.7576821601315513
mirror_v1,mirror_v1_seed2,Q2,M5_all_q_lags_back_fwd,253,197,0.7371815314873905
mirror_v1,mirror_v1_seed2,Q3,M0_anchor,253,197,0.7736859278117851
mirror_v1,mirror_v1_seed2,Q3,M1_own_lag_back,253,197,0.7630491486865258
mirror_v1,mirror_v1_seed2,Q3,M2_neighbor_mean_3,253,197,0.7636024873252463
mirror_v1,mirror_v1_seed2,Q3,M3_own_lag_back_fwd,253,197,0.7538199980947676
mirror_v1,mirror_v1_seed2,Q3,M4_all_q_lags_back,253,197,0.7529832333344512
mirror_v1,mirror_v1_seed2,Q3,M5_all_q_lags_back_fwd,253,197,0.7442291282012674
