token,column_used,n_present,raw_rate_present,raw_rate_absent,raw_lift,ll_base_subj_cov,ll_with_token,auc_base_subj_cov,auc_with_token,delta_ll,delta_auc,beta_token_after_controls,survives_strong,survives_any
wifi_bssid:9e:25:4a:80:73:13,wifi_bssid:9e:25:4a:80:73:13,85,0.7647058823529411,0.5123287671232877,0.25237711522965345,0.5771665784725549,0.5740192196079658,0.7581770081770082,0.7633678050344717,-0.003147358864589167,0.005190796857463487,0.03406924778626384,False,False
wifi_bssid:9e:25:4a:80:6f:61,wifi_bssid:9e:25:4a:80:6f:61,90,0.7555555555555555,0.5111111111111111,0.24444444444444446,0.5771665784725549,0.5723499208802019,0.7581770081770082,0.7641694725028058,-0.0048166575923530575,0.005992464325797586,0.027508009717447813,False,False
wifi_bssid:98:25:4a:80:6f:61,wifi_bssid:98:25:4a:80:6f:61,93,0.7419354838709677,0.5126050420168067,0.22933044185416107,0.5771665784725549,0.5728107092307614,0.7581770081770082,0.7637886804553472,-0.004355869241793542,0.0056116722783390305,0.026557334231191176,False,False
wifi_bssid:9e:25:4a:80:6f:62,wifi_bssid:9e:25:4a:80:6f:62,88,0.75,0.5138121546961326,0.23618784530386738,0.5771665784725549,0.5746330357052842,0.7581770081770082,0.7616041366041366,-0.002533542767270691,0.0034271284271284452,0.026234559419803,False,False
wifi_bssid:98:25:4a:80:6f:62,wifi_bssid:98:25:4a:80:6f:62,93,0.7419354838709677,0.5126050420168067,0.22933044185416107,0.5771665784725549,0.5705289177694207,0.7581770081770082,0.7646504729838063,-0.006637660703134207,0.006473464806798113,0.023949764235423117,False,False
wifi_bssid:16:7f:67:bd:b4:bc,wifi_bssid:16:7f:67:bd:b4:bc,93,0.7419354838709677,0.5126050420168067,0.22933044185416107,0.5771665784725549,0.5703710124318538,0.7581770081770082,0.764750681417348,-0.006795566040701084,0.006573673240339861,0.023707635873877402,False,False
wifi_bssid:98:25:4a:80:73:13,wifi_bssid:98:25:4a:80:73:13,93,0.7419354838709677,0.5126050420168067,0.22933044185416107,0.5771665784725549,0.5639232408412099,0.7581770081770082,0.7743606701940035,-0.013243337631344998,0.01618366201699528,0.022487082551593388,False,False
usage_app_name:당근,usage_app_name:당근,163,0.5828220858895705,0.5470383275261324,0.03578375836343817,0.5771665784725549,0.5801683785170445,0.7581770081770082,0.7538279621612956,0.0030018000444895776,-0.004349046015712621,0.007582492286128673,False,False
ble_device_class:7936,ble_device_class:7936,414,0.572463768115942,0.4166666666666667,0.15579710144927533,0.5771665784725549,0.5776864746407282,0.7581770081770082,0.75827721661055,0.0005198961681732728,0.0001002084335418596,-0.004445452098694341,False,False
usage_app_name:YouTube,usage_app_name:YouTube,256,0.59765625,0.5103092783505154,0.08734697164948457,0.5771665784725549,0.5769087652164083,0.7581770081770082,0.7597202180535513,-0.00025781325614659956,0.0015432098765431057,0.0005757805646434129,False,False
ble_device_class:0,ble_device_class:0,416,0.5745192307692307,0.38235294117647056,0.19216628959276016,0.5771665784725549,0.5754907480077562,0.7581770081770082,0.7579765913099248,-0.0016758304647986888,-0.00020041686708338613,0.00043732044958826564,False,False
