target,subset,n_features,k,C,mean_logloss,std_logloss
Q2,crossnight_flat,1216,10,0.03,0.6767735849355055,0.009226882654562849
Q2,sleep_plus_s4x,800,20,0.003,0.6770014452017518,0.007587642517094401
Q2,q2_load_plus_semantic,1952,20,0.001,0.6776449588410881,0.0038410852810132957
Q2,sleep_only,324,10,0.01,0.6777592702617254,0.009158477006813277
Q2,sleep_plus_s4x,800,20,0.1,0.6788270949047911,0.01905518687897219
Q2,day_flat,576,50,0.03,0.6789166519050308,0.010834141413569764
Q2,sleep_only,324,10,0.03,0.6789728498681066,0.014283906458320164
Q2,sleep_only,324,10,0.1,0.6792884257485117,0.0177412511342155
Q2,q2_load_plus_semantic,1952,10,0.003,0.6796573238775108,0.005178389252185097
Q2,q2_load_plus_semantic,1952,20,0.003,0.6797106512950114,0.005842356277409249
Q2,sleep_plus_s4x,800,20,0.001,0.6797151151499493,0.003706037674169464
Q2,q2_load_plus_semantic,1952,10,0.001,0.6800057001257152,0.0041017344829812575
Q2,sleep_only,324,10,0.003,0.6800584557560545,0.004258634525411006
Q2,sleep_only,324,5,0.003,0.6801106659337389,0.0010252592842987724
Q2,crossnight_flat,1216,10,0.003,0.6808078361845927,0.0033871650298723075
Q2,q2_load_plus_semantic,1952,50,0.003,0.6809432337106368,0.010275771726744844
Q2,q2_load_plus_semantic,1952,50,0.1,0.6809432337106368,0.010275771726744827
Q2,q2_load_plus_semantic,1952,50,0.001,0.680943233710637,0.01027577172674493
Q2,q2_load_plus_semantic,1952,50,0.01,0.680943233710637,0.010275771726744962
Q2,q2_load_plus_semantic,1952,50,0.03,0.680943233710637,0.010275771726744981
Q2,q2_load_plus_semantic,1952,100,0.001,0.6809434573194898,0.010276165045578023
Q2,q2_load_plus_semantic,1952,100,0.03,0.6809434573194902,0.010276165045578501
Q2,q2_load_plus_semantic,1952,100,0.01,0.6809434573194905,0.010276165045578206
Q2,q2_load_plus_semantic,1952,100,0.1,0.6809434573194908,0.010276165045578847
Q2,q2_load_plus_semantic,1952,100,0.003,0.6809434573194911,0.010276165045578855
Q2,q2_load_plus_semantic,1952,5,0.003,0.6819770241339519,0.0016482331528223683
Q2,sleep_plus_s4x,800,10,0.001,0.682190774840663,0.0027572919756693264
Q2,crossnight_flat,1216,10,0.1,0.6822932198830479,0.011084707886295122
Q2,sleep_plus_s4x,800,5,0.001,0.6825734440462671,0.0023101727586646885
Q2,crossnight_mech,1620,5,0.03,0.6828171943942806,0.007438298974784053
Q2,crossnight_flat,1216,5,0.03,0.6829661408397563,0.006902179419038321
Q2,crossnight_mech,1620,5,0.01,0.6832136705327119,0.005031894680248295
Q2,crossnight_flat,1216,5,0.1,0.683778650339328,0.00820388678835489
Q2,q2_load_plus_semantic,1952,5,0.001,0.684304730459592,0.00011669701766907025
Q2,crossnight_mech,1620,10,0.01,0.6847354207422341,0.004306085227104234
Q2,q2_load_plus_semantic,1952,5,0.01,0.6848067365154457,0.00449339302467569
Q2,day_flat,576,200,0.001,0.6849428043173456,0.00755388404826549
Q2,crossnight_flat,1216,5,0.01,0.6849847306844635,0.004764924058372459
Q2,crossnight_mech,1620,5,0.1,0.6854729013429072,0.009716922395013634
Q2,sleep_only,324,10,0.001,0.6855851208445439,0.001908063533228336
Q2,crossnight_mech,1620,10,0.003,0.6856277799984376,0.0028636661165958007
Q2,crossnight_mech,1620,20,0.003,0.685879198151046,0.004229793808226105
Q2,crossnight_mech,1620,10,0.03,0.6863333440061915,0.0053854906433597905
Q2,crossnight_flat,1216,10,0.001,0.6868736959683109,0.0013989355652831094
Q2,crossnight_mech,1620,5,0.003,0.6871968515054481,0.0022654988578596435
Q2,sleep_only,324,5,0.001,0.6873622825368385,0.0006459571291762786
Q2,crossnight_mech,1620,20,0.01,0.6874007623929317,0.007292224173145469
Q2,crossnight_mech,1620,20,0.001,0.6875055859256495,0.0019443872560411782
Q2,q2_load_plus_semantic,1952,5,0.03,0.687877220078812,0.00653826598327124
Q2,crossnight_mech,1620,10,0.1,0.6885344717014439,0.00684494530265193
Q2,crossnight_flat,1216,5,0.003,0.6886984157873618,0.0021085885612094897
Q2,q2_load_plus_semantic,1952,10,0.01,0.688707634710426,0.004257679525066136
Q2,crossnight_mech,1620,10,0.001,0.6887667858273326,0.001530439689805706
Q2,crossnight_mech,1620,20,0.03,0.6887972732236904,0.009983341908152202
Q2,day_flat,576,100,0.03,0.689344368523772,0.011623816877319355
Q2,q2_load_plus_semantic,1952,5,0.1,0.6894630250562158,0.008240629879424092
Q2,q2_load_plus_semantic,1952,20,0.01,0.6895481776952046,0.0041700407817348165
Q2,crossnight_mech,1620,20,0.1,0.6897469043162895,0.012765517183359403
Q2,crossnight_mech,1620,5,0.001,0.6905144442445484,0.000833894699469424
Q2,sleep_only,324,20,0.003,0.6908378713023726,0.015282638956675705
Q2,crossnight_flat,1216,5,0.001,0.6912157251795682,0.0007693462701391884
Q2,sleep_plus_s4x,800,50,0.01,0.6914199770552302,0.015436066620921505
Q2,crossnight_flat,1216,20,0.003,0.6920530371932206,0.006380738258339072
Q2,crossnight_flat,1216,20,0.001,0.6932044047283769,0.006393946850416444
Q2,sleep_only,324,20,0.01,0.6933056835262742,0.013715326837014858
Q2,sleep_only,324,20,0.001,0.6933581647471323,0.013204719321149442
Q2,crossnight_flat,1216,20,0.01,0.6934791612581644,0.005481063073340018
Q2,q2_load_plus_semantic,1952,200,0.03,0.6950584837836452,0.018491298666641558
Q2,q2_load_plus_semantic,1952,200,0.001,0.6950584837836454,0.01849129866664142
Q2,q2_load_plus_semantic,1952,200,0.01,0.6950584837836457,0.018491298666641492
Q2,q2_load_plus_semantic,1952,200,0.003,0.6950584837836459,0.018491298666641582
Q2,q2_load_plus_semantic,1952,200,0.1,0.695058483783646,0.018491298666641717
Q2,crossnight_flat,1216,20,0.03,0.6977604015057284,0.0042637329741678585
Q2,crossnight_mech,1620,50,0.001,0.6989891514461964,0.00304885625141861
Q2,sleep_only,324,20,0.03,0.7011708475681822,0.009055025800674481
Q2,day_flat,576,200,0.003,0.7011757042083744,0.0032802649501382283
Q2,q2_load_plus_semantic,1952,10,0.03,0.7014809384680728,0.0037911468972129003
Q2,day_flat,576,50,0.1,0.7015960585681152,0.0029100768615124032
Q2,q2_load_plus_semantic,1952,20,0.03,0.7021155382311979,0.004117286463149725
Q2,crossnight_flat,1216,50,0.001,0.7028588409135148,0.003670198139113564
Q2,crossnight_flat,1216,100,0.001,0.7030385731191645,0.010395287269819602
Q2,sleep_only,324,50,0.003,0.7031900338830761,0.011279872071296796
Q2,sleep_only,324,50,0.01,0.7031900338830761,0.011279872071296607
Q2,sleep_only,324,50,0.03,0.7031900338830761,0.011279872071296847
Q2,sleep_only,324,50,0.1,0.7031900338830761,0.01127987207129671
Q2,sleep_only,324,50,0.001,0.7031900338830762,0.011279872071296833
Q2,crossnight_flat,1216,20,0.1,0.7044477892136708,0.004089760782127306
Q2,sleep_plus_s4x,800,200,0.01,0.705833623428242,0.010822553976993799
Q2,sleep_plus_s4x,800,200,0.003,0.7058336234282421,0.010822553976993984
Q2,sleep_plus_s4x,800,200,0.001,0.7058336234282422,0.010822553976994035
Q2,sleep_plus_s4x,800,200,0.03,0.7058336234282422,0.01082255397699403
Q2,sleep_plus_s4x,800,200,0.1,0.7058336234282422,0.010822553976993892
Q2,crossnight_flat,1216,50,0.003,0.70664071229657,0.0061573180135050375
Q2,crossnight_mech,1620,50,0.003,0.7083339625734034,0.0026993430099905118
Q2,sleep_only,324,20,0.1,0.7083785726634116,0.006788910994397773
Q2,sleep_only,324,100,0.01,0.7088397238354484,0.007307615025943743
Q2,sleep_only,324,200,0.01,0.7088397238354484,0.007307615025943743
Q2,sleep_only,324,100,0.1,0.7088397238354486,0.007307615025943743
Q2,sleep_only,324,200,0.1,0.7088397238354486,0.007307615025943732
Q2,sleep_only,324,100,0.001,0.7088397238354487,0.00730761502594377
Q2,sleep_only,324,100,0.003,0.7088397238354487,0.007307615025943666
Q2,sleep_only,324,200,0.003,0.7088397238354487,0.007307615025943666
Q2,sleep_only,324,100,0.03,0.7088397238354488,0.007307615025943755
Q2,sleep_only,324,200,0.03,0.7088397238354488,0.007307615025943755
Q2,sleep_only,324,200,0.001,0.708839723835449,0.007307615025943747
Q2,q2_load_plus_semantic,1952,10,0.1,0.7140996710318704,0.010013816887546788
Q2,sleep_plus_s4x,800,50,0.03,0.7142967045412786,0.018807127285003937
Q2,q2_load_plus_semantic,1952,20,0.1,0.7143907545171562,0.010997184092896024
Q2,crossnight_flat,1216,100,0.003,0.7158064469297508,0.014364508068974206
Q2,crossnight_flat,1216,50,0.01,0.7175101019996774,0.009334856444541786
Q2,sleep_plus_s4x,800,100,0.001,0.7188231256495449,0.020003771070196203
Q2,day_flat,576,100,0.1,0.722172363559994,0.015071609917382189
Q2,sleep_plus_s4x,800,100,0.003,0.7222572395683446,0.024717230661094852
Q2,crossnight_mech,1620,100,0.001,0.7228341193665893,0.007620551269006012
Q2,crossnight_flat,1216,200,0.001,0.7232141870070815,0.0315478217845906
Q2,crossnight_mech,1620,50,0.01,0.7243600790512675,0.00628888908333632
Q2,sleep_plus_s4x,800,100,0.01,0.7278774922340882,0.032522238304788426
Q2,day_flat,576,200,0.01,0.7295752282279078,0.00699257241133052
Q2,crossnight_flat,1216,50,0.03,0.733372682026749,0.013321982386326817
Q2,sleep_plus_s4x,800,100,0.03,0.7352541748540857,0.0428464446322418
Q2,crossnight_flat,1216,100,0.01,0.7370628970348775,0.018136901602227244
Q2,sleep_plus_s4x,800,50,0.1,0.739108892655183,0.019155075414207922
Q2,crossnight_mech,1620,100,0.003,0.7399633610433597,0.007044338986188894
Q2,crossnight_mech,1620,50,0.03,0.7413588159519225,0.006677921130872622
Q2,sleep_plus_s4x,800,100,0.1,0.7430485748541743,0.053800567979531505
Q2,crossnight_mech,1620,200,0.001,0.7431426042109055,0.03204939908620305
Q2,crossnight_flat,1216,50,0.1,0.7511806245195838,0.018437031773419373
Q2,crossnight_flat,1216,200,0.003,0.7545003124417056,0.04184405583739524
Q2,crossnight_flat,1216,100,0.03,0.7564527148807021,0.021363199502220667
Q2,crossnight_mech,1620,50,0.1,0.7594225799479778,0.0057470124740639115
Q2,day_flat,576,200,0.03,0.7647870736193991,0.009072232922958754
Q2,crossnight_mech,1620,100,0.01,0.7706184031946788,0.005387238089292239
Q2,crossnight_flat,1216,100,0.1,0.7713537993409584,0.023259871167180143
Q2,crossnight_mech,1620,200,0.003,0.7795645903178614,0.042418138384253394
Q2,crossnight_flat,1216,200,0.01,0.8001766025297629,0.05209645346969229
Q2,crossnight_mech,1620,100,0.03,0.8028710286183071,0.0063287837462389675
Q2,day_flat,576,200,0.1,0.8048898922058355,0.004757711441945487
Q2,crossnight_mech,1620,200,0.01,0.8314546315269135,0.049820564450327835
Q2,crossnight_mech,1620,100,0.1,0.8326515390763586,0.003758005184360843
Q2,crossnight_flat,1216,200,0.03,0.8413973761101529,0.060825442577619154
Q2,crossnight_mech,1620,200,0.03,0.8773862160200193,0.05903169045078032
Q2,crossnight_flat,1216,200,0.1,0.8815577374244458,0.07125813575903973
Q2,crossnight_mech,1620,200,0.1,0.9155321430300415,0.07039333390308557
Q3,sleep_only,324,20,0.03,0.6496890980552407,0.018176703812744888
Q3,sleep_only,324,20,0.1,0.6542739776422358,0.027602479025327913
Q3,sleep_only,324,20,0.01,0.6579871685159314,0.010885229416259258
Q3,sleep_only,324,5,0.03,0.6644474555635242,0.0060499738238966256
Q3,day_flat,576,5,0.1,0.6671179513329818,0.019791894104827623
Q3,sleep_only,324,5,0.1,0.6685568716673375,0.009832288662059315
Q3,sleep_only,324,5,0.01,0.6687654742028545,0.0027805235676711154
Q3,sleep_only,324,10,0.03,0.6717158390468553,0.015008719142221108
Q3,sleep_only,324,10,0.01,0.6724563477802642,0.007522906997553634
Q3,day_flat,576,5,0.03,0.6731181146041716,0.02454955365942869
Q3,sleep_only,324,20,0.003,0.6741226673924459,0.00517383120214574
Q3,sleep_plus_s4x,800,5,0.03,0.6753831163727915,0.015857706216597132
Q3,sleep_plus_s4x,800,10,0.03,0.6766541324814996,0.014470149660138402
Q3,sleep_plus_s4x,800,5,0.01,0.6768768391174405,0.009479050425294611
Q3,sleep_plus_s4x,800,10,0.01,0.6768897852444158,0.007459053600257813
Q3,sleep_plus_s4x,800,5,0.1,0.6800319636094985,0.021785176680397828
Q3,sleep_only,324,5,0.003,0.6800916251600319,0.0008124782723111866
Q3,sleep_only,324,10,0.1,0.6802535618940495,0.023599531716105633
Q3,sleep_only,324,10,0.003,0.681314285958364,0.002684058314330014
Q3,day_flat,576,5,0.01,0.6827000347061133,0.028133584567307295
Q3,sleep_only,324,50,0.003,0.6828475514454211,0.013839077695779498
Q3,sleep_plus_s4x,800,10,0.003,0.6829943210538962,0.002268661745196261
Q3,sleep_plus_s4x,800,10,0.1,0.6835245664991422,0.022179204605111826
Q3,sleep_plus_s4x,800,5,0.003,0.6840186463249801,0.003941612739962159
Q3,sleep_only,324,20,0.001,0.6846612942311555,0.002052569821113629
Q3,sleep_only,324,50,0.01,0.685311763155219,0.015470439886175313
Q3,sleep_only,324,50,0.001,0.6858778610317219,0.010869446664085455
Q3,sleep_only,324,5,0.001,0.6877058573082279,0.00024717140398856333
Q3,sleep_only,324,10,0.001,0.6880851905659823,0.0009263506661765527
Q3,sleep_plus_s4x,800,10,0.001,0.6884664610864318,0.0005765578693530023
Q3,sleep_plus_s4x,800,20,0.01,0.6886777577916448,0.014102847268913105
Q3,sleep_plus_s4x,800,5,0.001,0.6892482925709252,0.0014664663137369312
Q3,sleep_plus_s4x,800,20,0.03,0.6894665100400333,0.017954984966728524
Q3,day_flat,576,10,0.03,0.6921972707743561,0.012289185100305458
Q3,day_flat,576,10,0.1,0.6925581110713157,0.011323361947765117
Q3,sleep_plus_s4x,800,20,0.003,0.6929383828716001,0.008990540135971321
Q3,day_flat,576,5,0.003,0.6939294252603051,0.025687801058110502
Q3,sleep_plus_s4x,800,20,0.001,0.6943509848565613,0.00479890937597463
Q3,sleep_only,324,50,0.03,0.6956408607081501,0.016712993769794262
Q3,q2_load_plus_semantic,1952,100,0.001,0.696542817878346,0.0037052005259708555
Q3,q2_load_plus_semantic,1952,100,0.003,0.696542817878346,0.0037052005259708936
Q3,q2_load_plus_semantic,1952,100,0.01,0.696542817878346,0.0037052005259708936
Q3,q2_load_plus_semantic,1952,100,0.03,0.696542817878346,0.0037052005259708555
Q3,q2_load_plus_semantic,1952,100,0.1,0.696542817878346,0.0037052005259708936
Q3,day_flat,576,10,0.01,0.6965551520803515,0.015584376851471654
Q3,q2_load_plus_semantic,1952,5,0.001,0.696674836526018,0.005255243289558984
Q3,sleep_plus_s4x,800,200,0.001,0.6976121580893103,0.0011096598409404896
Q3,sleep_plus_s4x,800,200,0.003,0.6976121580893103,0.0011096598409405418
Q3,sleep_plus_s4x,800,200,0.01,0.6976121580893103,0.0011096598409405137
Q3,sleep_plus_s4x,800,200,0.03,0.6976121580893103,0.0011096598409404853
Q3,sleep_plus_s4x,800,200,0.1,0.6976121580893103,0.0011096598409405418
Q3,sleep_only,324,100,0.001,0.6976121580893103,0.0011096598409404896
Q3,sleep_only,324,100,0.003,0.6976121580893103,0.0011096598409405418
Q3,sleep_only,324,100,0.01,0.6976121580893103,0.0011096598409405137
Q3,sleep_only,324,100,0.03,0.6976121580893103,0.0011096598409404853
Q3,sleep_only,324,100,0.1,0.6976121580893103,0.0011096598409405418
Q3,sleep_only,324,200,0.001,0.6976121580893103,0.0011096598409404896
Q3,sleep_only,324,200,0.003,0.6976121580893103,0.0011096598409405418
Q3,sleep_only,324,200,0.01,0.6976121580893103,0.0011096598409405137
Q3,sleep_only,324,200,0.03,0.6976121580893103,0.0011096598409404853
Q3,sleep_only,324,200,0.1,0.6976121580893103,0.0011096598409405418
Q3,sleep_plus_s4x,800,20,0.1,0.6976126600771635,0.02029220894750464
Q3,day_flat,576,5,0.001,0.6980868191053426,0.017850343263433047
Q3,crossnight_mech,1620,5,0.01,0.6994892305786169,0.02320052851650924
Q3,crossnight_mech,1620,5,0.001,0.7001295739739205,0.015382526266435046
Q3,q2_load_plus_semantic,1952,10,0.001,0.7001703989561118,0.008818706075334828
Q3,crossnight_mech,1620,5,0.003,0.7004217687221405,0.0217824906246515
Q3,q2_load_plus_semantic,1952,5,0.003,0.7009418241219064,0.011419946982911686
Q3,day_flat,576,200,0.001,0.703084181948495,0.013068745835312564
Q3,day_flat,576,10,0.003,0.7042122691376401,0.017996536422937713
Q3,q2_load_plus_semantic,1952,50,0.001,0.7044451491753909,0.007527739399255399
Q3,crossnight_mech,1620,5,0.03,0.704668697618327,0.019411413243955365
Q3,crossnight_flat,1216,100,0.001,0.7048044992154562,0.006125810703614806
Q3,day_flat,576,100,0.001,0.7048599044234423,0.011423385146676585
Q3,day_flat,576,10,0.001,0.7054674857267765,0.014312262302767722
Q3,day_flat,576,20,0.03,0.706363820169615,0.012431240543252682
Q3,q2_load_plus_semantic,1952,10,0.003,0.7073401076925853,0.01696773012166031
Q3,q2_load_plus_semantic,1952,5,0.01,0.7074439812174934,0.019323512288741473
Q3,crossnight_flat,1216,5,0.001,0.7076144431855926,0.01423568305796146
Q3,day_flat,576,20,0.1,0.7080570931808928,0.01695882386939763
Q3,q2_load_plus_semantic,1952,20,0.001,0.7085337140735205,0.011881486196444253
Q3,day_flat,576,50,0.001,0.7091064712724203,0.0049396150075662025
Q3,q2_load_plus_semantic,1952,50,0.003,0.7091632568195574,0.011855783540131979
Q3,crossnight_flat,1216,100,0.003,0.7097448473317245,0.012019123867201468
Q3,crossnight_flat,1216,10,0.001,0.7098988259907864,0.01646769245289558
Q3,crossnight_mech,1620,10,0.001,0.7100624550627086,0.013689779200088568
Q3,crossnight_flat,1216,5,0.01,0.7104238345671025,0.01901842574112538
Q3,day_flat,576,50,0.003,0.7104836209954336,0.00648466274674141
Q3,day_flat,576,20,0.01,0.7106056471407028,0.0083803737119927
Q3,crossnight_flat,1216,5,0.003,0.7106184335366589,0.019515412376307762
Q3,day_flat,576,50,0.01,0.711690831256503,0.010637860229297401
Q3,crossnight_mech,1620,20,0.001,0.7121296511521109,0.014229300553288514
Q3,sleep_only,324,50,0.1,0.7123218020274282,0.02151206697479765
Q3,crossnight_flat,1216,5,0.03,0.7130053433888747,0.015150061690460613
Q3,q2_load_plus_semantic,1952,200,0.001,0.713190225047779,0.008730693854813227
Q3,q2_load_plus_semantic,1952,200,0.003,0.713190225047779,0.008730693854813197
Q3,q2_load_plus_semantic,1952,200,0.01,0.713190225047779,0.008730693854813197
Q3,q2_load_plus_semantic,1952,200,0.03,0.713190225047779,0.008730693854813197
Q3,q2_load_plus_semantic,1952,200,0.1,0.713190225047779,0.008730693854813305
Q3,crossnight_flat,1216,200,0.001,0.7133032403667886,0.007754857093739732
Q3,crossnight_flat,1216,10,0.003,0.7139068996072604,0.02302732404399485
Q3,crossnight_mech,1620,100,0.001,0.7145918901690639,0.00614795055577953
Q3,q2_load_plus_semantic,1952,5,0.03,0.7148101226574431,0.024180084570149765
Q3,day_flat,576,100,0.003,0.7151415954877951,0.014713789813419951
Q3,q2_load_plus_semantic,1952,10,0.01,0.7153362587753227,0.024766787451367688
Q3,crossnight_mech,1620,5,0.1,0.7155436650811504,0.01155768828349799
Q3,crossnight_mech,1620,10,0.003,0.7156998409446378,0.016942490652248874
Q3,sleep_plus_s4x,800,50,0.01,0.7162205670094327,0.026967469478259475
Q3,day_flat,576,20,0.001,0.7163624179119695,0.003232196201186597
Q3,crossnight_mech,1620,20,0.003,0.7170248756674718,0.01563581831363742
Q3,day_flat,576,20,0.003,0.7170683550370386,0.0047672563120733655
Q3,crossnight_flat,1216,10,0.01,0.7170835749029436,0.026750806245651654
Q3,crossnight_flat,1216,5,0.1,0.7178860073294872,0.010736326139309698
Q3,crossnight_flat,1216,50,0.001,0.7181865266982111,0.007212888989638164
Q3,q2_load_plus_semantic,1952,50,0.01,0.7187966105115882,0.018291344377956747
Q3,sleep_plus_s4x,800,50,0.003,0.7196151425032227,0.018427565459502505
Q3,crossnight_mech,1620,10,0.01,0.7206626447653961,0.014407985831304797
Q3,day_flat,576,50,0.03,0.7206695081072282,0.017912911949441123
Q3,q2_load_plus_semantic,1952,20,0.003,0.7210285524052203,0.018163179731774535
Q3,crossnight_flat,1216,20,0.001,0.7212449446916526,0.0015691700865598515
Q3,sleep_plus_s4x,800,50,0.03,0.721308644927298,0.03093060724234634
Q3,crossnight_mech,1620,100,0.003,0.7216268975177403,0.012782770553302502
Q3,q2_load_plus_semantic,1952,10,0.03,0.7217011555422479,0.028611244936022337
Q3,crossnight_mech,1620,50,0.001,0.7219588985825406,0.007926188330285659
Q3,crossnight_flat,1216,10,0.03,0.7221167016088192,0.027642403221067844
Q3,q2_load_plus_semantic,1952,5,0.1,0.722262266418177,0.026454517736513496
Q3,crossnight_mech,1620,20,0.01,0.7235143725133953,0.013981894097915615
Q3,sleep_plus_s4x,800,50,0.001,0.7236995139766703,0.01224787132540294
Q3,crossnight_flat,1216,50,0.003,0.7246540774680256,0.015174373337954272
Q3,crossnight_flat,1216,20,0.003,0.7251386094971176,0.0018780466138457643
Q3,crossnight_mech,1620,200,0.001,0.7259240574687369,0.011188544026949366
Q3,q2_load_plus_semantic,1952,10,0.1,0.7266057686335383,0.029957828351503436
Q3,crossnight_mech,1620,10,0.03,0.7271547497129746,0.009996025131912849
Q3,crossnight_flat,1216,100,0.01,0.7276074771708304,0.01892206375920847
Q3,crossnight_flat,1216,10,0.1,0.7278300568747941,0.02551962287792577
Q3,crossnight_flat,1216,20,0.01,0.7279886987837004,0.004621451175703393
Q3,crossnight_flat,1216,200,0.003,0.7300387573561192,0.009929608095013552
Q3,q2_load_plus_semantic,1952,50,0.03,0.7301677618907277,0.02429277641576453
Q3,day_flat,576,100,0.01,0.7304811695545249,0.018495512248291303
Q3,crossnight_mech,1620,50,0.003,0.732074001548025,0.015062437925556026
Q3,q2_load_plus_semantic,1952,20,0.01,0.7323796903537358,0.021356022740181
Q3,crossnight_mech,1620,20,0.03,0.7336525217644212,0.012155542625711184
Q3,day_flat,576,200,0.003,0.7337075997674337,0.02222760947959431
Q3,crossnight_flat,1216,20,0.03,0.7344548221413629,0.007391650155385441
Q3,crossnight_mech,1620,10,0.1,0.7358318700972436,0.0053645049105906
Q3,sleep_plus_s4x,800,50,0.1,0.7364954909202127,0.031671446117077444
Q3,crossnight_flat,1216,50,0.01,0.7370027361982109,0.025137308838962747
Q3,q2_load_plus_semantic,1952,50,0.1,0.7397253888339446,0.029305066240359796
Q3,crossnight_mech,1620,100,0.01,0.7404323377480844,0.018621236550346733
Q3,q2_load_plus_semantic,1952,20,0.03,0.741776691731243,0.022091855252627204
Q3,day_flat,576,50,0.1,0.7418279394733687,0.026390946459187686
Q3,crossnight_flat,1216,20,0.1,0.744745558853899,0.011328967954958365
Q3,crossnight_mech,1620,50,0.01,0.7483531516837848,0.021957779252275968
Q3,sleep_plus_s4x,800,100,0.001,0.7495689620557243,0.02301685539733462
Q3,crossnight_mech,1620,200,0.003,0.7501448522133506,0.01447905638593054
Q3,q2_load_plus_semantic,1952,20,0.1,0.75026007663174,0.02274670181715413
Q3,sleep_plus_s4x,800,100,0.003,0.7502696804111194,0.027697356066590628
Q3,crossnight_mech,1620,20,0.1,0.7503622222935301,0.008844756721945667
Q3,sleep_plus_s4x,800,100,0.01,0.7514901585325541,0.03232869841399113
Q3,crossnight_flat,1216,50,0.03,0.7541832156390118,0.032464517671665916
Q3,crossnight_flat,1216,100,0.03,0.7549795182549207,0.02235752080790842
Q3,day_flat,576,100,0.03,0.7557670787068173,0.022497120878581408
Q3,sleep_plus_s4x,800,100,0.03,0.760530638136923,0.03734722566865549
Q3,crossnight_flat,1216,200,0.01,0.7651438260637601,0.009365471467365017
Q3,crossnight_mech,1620,100,0.03,0.7677017376694101,0.021006457169362048
Q3,crossnight_mech,1620,50,0.03,0.768592682541957,0.024092651648898403
Q3,crossnight_flat,1216,50,0.1,0.7761629899710218,0.037829233231535954
Q3,sleep_plus_s4x,800,100,0.1,0.7808785295927935,0.04437311206253971
Q3,crossnight_flat,1216,100,0.1,0.7819629717280128,0.021342332657984558
Q3,day_flat,576,200,0.01,0.788250554638719,0.03596396428981699
Q3,crossnight_mech,1620,100,0.1,0.7895903112516703,0.02105483649222626
Q3,crossnight_mech,1620,50,0.1,0.7911090707100447,0.025454346360766062
Q3,day_flat,576,100,0.1,0.7940377203903267,0.025447351832569656
Q3,crossnight_mech,1620,200,0.01,0.7983934431526997,0.01565234530453181
Q3,crossnight_flat,1216,200,0.03,0.8201170185068299,0.012427662298256299
Q3,crossnight_mech,1620,200,0.03,0.8582285406126874,0.018283472259198585
Q3,day_flat,576,200,0.03,0.8588229034497002,0.04851431909857141
Q3,crossnight_flat,1216,200,0.1,0.8962093814945362,0.01398316196335872
