target,subset,k,C,ncols,mean,std,fold0,fold1,fold2
Q2,day_flat,60,0.03,576,0.6762599659736511,0.0032332361479799434,0.6731893813878946,0.6748610877348129,0.6807294287982456
Q2,q2lr+day_flat,40,0.01,870,0.6834905519136285,0.010849975824730419,0.6984617682696768,0.678916983177498,0.6730929042937105
Q2,q2lr+day_flat,60,0.03,870,0.6863301159421153,0.013102279331367941,0.6895640360661142,0.6689124943120205,0.7005138174482111
Q2,q2lr+day_flat,10,0.001,870,0.6877271692534342,0.00199548900130455,0.6900409843889102,0.6851710979459492,0.6879694254254437
Q2,q2lr+day_flat+q2proto,60,0.03,903,0.6885552526624359,0.014387541722001808,0.6967943124705078,0.6683239117083418,0.700547533808458
Q2,q2lr+q2proto,10,0.001,327,0.6886940967059029,0.0023425868174226077,0.6919326624480377,0.6864703815010326,0.6876792461686386
Q2,q2lr+day_flat+q2proto,10,0.001,903,0.6886940967059029,0.0023425868174226077,0.6919326624480377,0.6864703815010326,0.6876792461686386
Q2,q2lr,10,0.001,294,0.6888652015277678,0.0023239731046394135,0.692142080700621,0.6870080757471689,0.6874454481355133
Q2,q2lr+day_flat+q2proto,40,0.01,903,0.6895752438384015,0.009652441782624243,0.701926892336193,0.6884325133786852,0.6783663258003261
Q2,q2lr+day_flat+q2proto,100,0.01,903,0.6933349297775265,0.011360586002863233,0.7026691313738979,0.6773431266913598,0.6999925312673216
Q2,q2lr+day_flat+q2proto,20,0.003,903,0.6936268735890687,0.005649667133183168,0.7015798423819979,0.6903143346780747,0.6889864437071337
Q2,q2lr+day_flat,20,0.003,870,0.6951741660037222,0.005746126904239803,0.7026579816035733,0.6941747642931266,0.6886897521144667
Q2,q2lr+q2proto,20,0.003,327,0.6953933685319522,0.006300727116959327,0.7041557695659938,0.6924135920737193,0.6896107439561434
Q2,q2lr,40,0.01,294,0.6986494274740754,0.006616292251215712,0.707584022099108,0.69658894317777,0.6917753171453486
Q2,q2lr+day_flat+q2proto,20,0.01,903,0.6994244782064495,0.008549470657644338,0.7112751066524661,0.6914225978600711,0.6955757301068111
Q2,q2lr,20,0.003,294,0.7014180413113014,0.00961968869434608,0.7145186593682473,0.698043888884558,0.6916915756810987
Q2,q2lr+q2proto,20,0.01,327,0.7015902044861844,0.007998098197331337,0.7127998895996133,0.6946770875299036,0.6972936363290363
Q2,q2lr+day_flat,20,0.01,870,0.7023371938496012,0.008959964775013778,0.7148727297475005,0.6944673310318651,0.6976715207694384
Q2,q2lr+q2proto,40,0.01,327,0.7043145829681542,0.00790545466436492,0.7121195826528136,0.7073443125736533,0.6934798536779958
Q2,q2lr+q2proto,60,0.03,327,0.7055644080039686,0.007786152664376454,0.716515404109164,0.6990924044584302,0.7010854154443116
Q2,q2lr+day_flat,100,0.01,870,0.70586622752446,0.006180675319223844,0.7076270003611723,0.6975712689427477,0.71240041326946
Q2,q2lr,60,0.03,294,0.7092122278268165,0.006855613539035014,0.7188836490928371,0.7037875659935582,0.7049654683940542
Q2,q2lr,20,0.01,294,0.7094885412594802,0.012332361771049056,0.7269160627560066,0.7013594523372285,0.7001901086852056
Q2,q2lr+q2proto,100,0.01,327,0.7185603275224173,0.013432325218923699,0.7369587517385242,0.713455566653972,0.7052666641747557
Q2,q2lr,100,0.01,294,0.7222879407289216,0.015208628946607546,0.7428224676838252,0.7175617505867666,0.706479603916173
S4,s4evt+sleep+cnproto,200,0.003,851,0.6086165714844601,0.03462424085311591,0.5679915498141461,0.6052549869261971,0.6526031777130373
S4,sleep_plus_s4x,200,0.003,800,0.6089301515987168,0.03487116821532519,0.5688626612863028,0.6040652075504551,0.6538625859593923
S4,s4evt+sleep,200,0.003,818,0.6091853579565486,0.03465912878594441,0.5692450476649278,0.6045493853562506,0.6537616408484674
S4,sleep_plus_s4x,120,0.001,800,0.6183026371162256,0.013421898831010571,0.601452839077586,0.6191588980884716,0.6342961741826194
S4,s4evt+sleep,120,0.001,818,0.6186992207504085,0.013624009446968224,0.601452839077586,0.6198831784601382,0.6347616447135014
S4,s4evt+sleep+cnproto,120,0.001,851,0.6210262973247673,0.00991666299645216,0.6100639522361413,0.6189324748132263,0.6340824649249344
S4,s4evt+sleep+cnproto,80,0.003,851,0.6316592538414362,0.013331519666512562,0.6163107552203627,0.6298513189369782,0.6488156873669677
S4,sleep_plus_s4x,80,0.003,800,0.632504821454039,0.014567831212673842,0.6152544008386397,0.6313755558247501,0.6508845076987271
S4,s4evt+sleep,80,0.003,818,0.632504821454039,0.014567831212673842,0.6152544008386397,0.6313755558247501,0.6508845076987271
S4,s4evt+sleep+cnproto,40,0.003,851,0.6658769145673724,0.006232606058129834,0.6583090937914626,0.6657474972228808,0.673574152687774
S4,sleep_plus_s4x,40,0.003,800,0.6681096358679923,0.0059767007228196025,0.6608423394202263,0.6680054733622577,0.6754810948214929
S4,s4evt+sleep,40,0.003,818,0.6681096358679923,0.0059767007228196025,0.6608423394202263,0.6680054733622577,0.6754810948214929
S4,sleep_plus_s4x,20,0.003,800,0.6710419175242238,0.0029216391483368265,0.6681895018983036,0.6698793501842599,0.6750569004901078
S4,s4evt+sleep,20,0.003,818,0.6710419175242238,0.0029216391483368265,0.6681895018983036,0.6698793501842599,0.6750569004901078
S4,s4evt+sleep+cnproto,20,0.003,851,0.6710419175242238,0.0029216391483368265,0.6681895018983036,0.6698793501842599,0.6750569004901078
S4,sleep_plus_s4x,10,0.001,800,0.6852875169642135,0.0007360372198305042,0.6842466448532372,0.6857998833290438,0.6858160227103598
S4,s4evt+sleep,10,0.001,818,0.6852875169642135,0.0007360372198305042,0.6842466448532372,0.6857998833290438,0.6858160227103598
S4,s4evt+sleep+cnproto,10,0.001,851,0.6852875169642135,0.0007360372198305042,0.6842466448532372,0.6857998833290438,0.6858160227103598
S4,s4evt+cnproto,10,0.001,51,0.6911279446550934,0.0008267912954368654,0.6899799991193426,0.6918943792491256,0.6915094555968121
S4,s4evt+cnproto,20,0.003,51,0.6962033495178135,0.0009032115924893574,0.6955397528471706,0.6974803549020107,0.695589940804259
S4,s4evt+cnproto,40,0.003,51,0.6962674308811098,0.0013145367002782562,0.6961252729803471,0.6979437678957928,0.6947332517671894
S4,s4evt+cnproto,80,0.003,51,0.6962765056873889,0.002641346120389874,0.695315963978902,0.6998829697076476,0.693630583375617
S4,s4evt+cnproto,200,0.003,51,0.6962765056873889,0.002641346120389874,0.695315963978902,0.6998829697076476,0.693630583375617
S4,s4evt+cnproto,120,0.001,51,0.6998904522744324,0.0026102624900271264,0.6983836577766441,0.7035623051348341,0.6977253939118189
S4,s4evt,10,0.001,18,0.7028998035872004,0.0027049214720358426,0.6997012465529092,0.7063161745424489,0.7026819896662435
S4,s4evt,120,0.001,18,0.7031852316605803,0.002671632373840779,0.700316808771704,0.7067491242805373,0.7024897619294999
S4,s4evt,20,0.003,18,0.7037006417522548,0.0026445545653079523,0.7011456225779931,0.707343402074023,0.702612900604748
S4,s4evt,40,0.003,18,0.7037006417522548,0.0026445545653079523,0.7011456225779931,0.707343402074023,0.702612900604748
S4,s4evt,80,0.003,18,0.7037006417522548,0.0026445545653079523,0.7011456225779931,0.707343402074023,0.702612900604748
S4,s4evt,200,0.003,18,0.7037006417522548,0.0026445545653079523,0.7011456225779931,0.707343402074023,0.702612900604748
