mask,scheme,normalized,n_cols,accuracy,balanced_accuracy,state_logloss,majority_acc,modality
tail,testpattern,False,6,0.31901840490797545,0.29415848716012744,1.1278261112587868,0.36585365853658536,raw_act
deep_interleaved_rank0,interleaved_rank,False,6,0.344,0.3134950404267734,1.1276430641298754,0.355,raw_act
deep_interleaved_rank1,interleaved_rank,False,6,0.356,0.32542993506920176,1.1276247678494142,0.345,raw_act
deep_interleaved_rank2,interleaved_rank,False,6,0.32,0.2945458643227406,1.1564241831483046,0.345,raw_act
testpattern0,testpattern,True,6,0.36,0.33527912820874145,1.1175980807885986,0.365,raw_act
testpattern1,testpattern,True,6,0.308,0.2964308785529716,1.1523687267051725,0.39,raw_act
testpattern2,testpattern,True,6,0.332,0.3155590523647172,1.1219559330876254,0.37,raw_act
tail,testpattern,True,6,0.31901840490797545,0.3041257691339703,1.1109330644653235,0.36585365853658536,raw_act
deep_interleaved_rank0,interleaved_rank,True,6,0.328,0.3003250812703176,1.117714449560256,0.355,raw_act
deep_interleaved_rank1,interleaved_rank,True,6,0.312,0.2914586432031731,1.1466523803682283,0.345,raw_act
deep_interleaved_rank2,interleaved_rank,True,6,0.296,0.27242268958400057,1.1415231393923109,0.345,raw_act
testpattern0,testpattern,False,36,0.38,0.3606449188567134,1.095190164549022,0.365,raw_pedo
testpattern1,testpattern,False,36,0.344,0.34860446116431065,1.1547829710140778,0.39,raw_pedo
testpattern2,testpattern,False,36,0.356,0.34551621645248715,1.1030768152548567,0.37,raw_pedo
tail,testpattern,False,36,0.3619631901840491,0.34688050543709376,1.0839015344703464,0.36585365853658536,raw_pedo
deep_interleaved_rank0,interleaved_rank,False,36,0.356,0.33668980625438044,1.0899180692976194,0.355,raw_pedo
deep_interleaved_rank1,interleaved_rank,False,36,0.384,0.3847331983346176,1.1024818837256463,0.345,raw_pedo
deep_interleaved_rank2,interleaved_rank,False,36,0.368,0.3610980629396345,1.1027174268930506,0.345,raw_pedo
testpattern0,testpattern,True,36,0.344,0.32559712534347923,1.1183448078528349,0.365,raw_pedo
testpattern1,testpattern,True,36,0.332,0.32345341237270103,1.1480954078659884,0.39,raw_pedo
testpattern2,testpattern,True,36,0.316,0.3059288399335606,1.1061309580900123,0.37,raw_pedo
tail,testpattern,True,36,0.31901840490797545,0.2965450805800724,1.1154306059104113,0.36585365853658536,raw_pedo
deep_interleaved_rank0,interleaved_rank,True,36,0.352,0.33017820182745217,1.1134302762879578,0.355,raw_pedo
deep_interleaved_rank1,interleaved_rank,True,36,0.364,0.3565112986756984,1.117318074947871,0.345,raw_pedo
deep_interleaved_rank2,interleaved_rank,True,36,0.344,0.3253656453506993,1.101271905402187,0.345,raw_pedo
testpattern0,testpattern,False,6,0.388,0.35762288921768953,1.1387585565858471,0.365,raw_mlight
testpattern1,testpattern,False,6,0.344,0.3311293509651923,1.1284979662421468,0.39,raw_mlight
testpattern2,testpattern,False,6,0.376,0.34931724801118974,1.1314165707316786,0.37,raw_mlight
tail,testpattern,False,6,0.3312883435582822,0.30289775833788957,1.1291707698123197,0.36585365853658536,raw_mlight
deep_interleaved_rank0,interleaved_rank,False,6,0.38,0.3518332634801893,1.124553058482059,0.355,raw_mlight
deep_interleaved_rank1,interleaved_rank,False,6,0.368,0.33928462627457306,1.1054089258697606,0.345,raw_mlight
deep_interleaved_rank2,interleaved_rank,False,6,0.356,0.32558212637747175,1.1329159090738476,0.345,raw_mlight
testpattern0,testpattern,True,6,0.336,0.3142505695295803,1.1280851830634453,0.365,raw_mlight
testpattern1,testpattern,True,6,0.324,0.31479423164614684,1.1357695472431428,0.39,raw_mlight
testpattern2,testpattern,True,6,0.352,0.3299117055686686,1.1272452684370984,0.37,raw_mlight
tail,testpattern,True,6,0.3374233128834356,0.31448792383729507,1.1145951176359241,0.36585365853658536,raw_mlight
deep_interleaved_rank0,interleaved_rank,True,6,0.344,0.3205731010217343,1.1162797141286895,0.355,raw_mlight
deep_interleaved_rank1,interleaved_rank,True,6,0.296,0.2781331947505809,1.120956030484013,0.345,raw_mlight
deep_interleaved_rank2,interleaved_rank,True,6,0.348,0.3239172983167859,1.1278245353376222,0.345,raw_mlight
testpattern0,testpattern,False,6,0.38,0.3546396110758825,1.0994843888369035,0.365,raw_wlight
testpattern1,testpattern,False,6,0.344,0.3275288797689619,1.1372192342264322,0.39,raw_wlight
testpattern2,testpattern,False,6,0.364,0.3439548911618149,1.1048251344815956,0.37,raw_wlight
tail,testpattern,False,6,0.31901840490797545,0.28995808274102425,1.1133093585939489,0.36585365853658536,raw_wlight
deep_interleaved_rank0,interleaved_rank,False,6,0.364,0.339820283709425,1.105001758087275,0.355,raw_wlight
deep_interleaved_rank1,interleaved_rank,False,6,0.34,0.3189726956137364,1.1093036177610298,0.345,raw_wlight
deep_interleaved_rank2,interleaved_rank,False,6,0.348,0.3183741978340035,1.1142937124204866,0.345,raw_wlight
testpattern0,testpattern,True,6,0.376,0.36493400502595175,1.0968440337916305,0.365,raw_wlight
testpattern1,testpattern,True,6,0.312,0.29652112783097734,1.1491408170551123,0.39,raw_wlight
testpattern2,testpattern,True,6,0.352,0.3401101494885917,1.11216693273304,0.37,raw_wlight
tail,testpattern,True,6,0.3619631901840491,0.327319117915072,1.1036276832796408,0.36585365853658536,raw_wlight
deep_interleaved_rank0,interleaved_rank,True,6,0.348,0.33097006646027705,1.117108152001129,0.355,raw_wlight
deep_interleaved_rank1,interleaved_rank,True,6,0.356,0.3350142465458847,1.1148410403323854,0.345,raw_wlight
deep_interleaved_rank2,interleaved_rank,True,6,0.376,0.347027389298127,1.1114716351825618,0.345,raw_wlight
testpattern0,testpattern,False,5,0.46,0.4499571384955024,1.0791612162830189,0.365,raw_hr
testpattern1,testpattern,False,5,0.376,0.36960404316765466,1.12418568614791,0.39,raw_hr
testpattern2,testpattern,False,5,0.4,0.3864603549261299,1.0903735687750136,0.37,raw_hr
tail,testpattern,False,5,0.34355828220858897,0.33112464960469334,1.0873025651948358,0.36585365853658536,raw_hr
deep_interleaved_rank0,interleaved_rank,False,5,0.408,0.39532242215483454,1.0871400155672264,0.355,raw_hr
deep_interleaved_rank1,interleaved_rank,False,5,0.448,0.42829477507183006,1.0639176175359153,0.345,raw_hr
deep_interleaved_rank2,interleaved_rank,False,5,0.428,0.40784906824193684,1.0745432905601127,0.345,raw_hr
testpattern0,testpattern,True,5,0.36,0.34633328636182154,1.1123658809334802,0.365,raw_hr
testpattern1,testpattern,True,5,0.328,0.319358945128439,1.133592548052261,0.39,raw_hr
testpattern2,testpattern,True,5,0.324,0.31185767986712126,1.119435847041951,0.37,raw_hr
tail,testpattern,True,5,0.32515337423312884,0.3053017088008887,1.1166153442650102,0.36585365853658536,raw_hr
deep_interleaved_rank0,interleaved_rank,True,5,0.336,0.31397814242292965,1.1084410297404315,0.355,raw_hr
deep_interleaved_rank1,interleaved_rank,True,5,0.372,0.34893524243021584,1.1000403787096658,0.345,raw_hr
deep_interleaved_rank2,interleaved_rank,True,5,0.332,0.30671506352087113,1.116858310190135,0.345,raw_hr
testpattern0,testpattern,False,4,0.448,0.4531177340942718,1.0769720670204317,0.365,raw_wifi
testpattern1,testpattern,False,4,0.38,0.3890218878248974,1.10016830656126,0.39,raw_wifi
testpattern2,testpattern,False,4,0.46,0.4602867383512545,1.051229306624739,0.37,raw_wifi
tail,testpattern,False,4,0.3987730061349693,0.40548656130941535,1.0899097160921294,0.36585365853658536,raw_wifi
deep_interleaved_rank0,interleaved_rank,False,4,0.44,0.4424157682613141,1.0553913808788458,0.355,raw_wifi
deep_interleaved_rank1,interleaved_rank,False,4,0.472,0.4797173389722178,1.041435768257713,0.345,raw_wifi
deep_interleaved_rank2,interleaved_rank,False,4,0.432,0.43470457753579356,1.0978364979358757,0.345,raw_wifi
testpattern0,testpattern,True,4,0.344,0.3261044176706827,1.1131250016615613,0.365,raw_wifi
testpattern1,testpattern,True,4,0.32,0.3244746542027664,1.134669025655518,0.39,raw_wifi
testpattern2,testpattern,True,4,0.316,0.3009441384736428,1.1229277520045928,0.37,raw_wifi
tail,testpattern,True,4,0.3558282208588957,0.3285297716680986,1.1109897896267127,0.36585365853658536,raw_wifi
deep_interleaved_rank0,interleaved_rank,True,4,0.34,0.3221175012062875,1.1147742605629136,0.355,raw_wifi
deep_interleaved_rank1,interleaved_rank,True,4,0.376,0.3604059518902807,1.096126831549761,0.345,raw_wifi
deep_interleaved_rank2,interleaved_rank,True,4,0.328,0.30543515651874786,1.1302717021366449,0.345,raw_wifi
testpattern0,testpattern,False,4,0.372,0.3664641020221236,1.0862862053228906,0.365,raw_ble
testpattern1,testpattern,False,4,0.364,0.34862346101231195,1.0699231756102532,0.39,raw_ble
testpattern2,testpattern,False,4,0.436,0.43250808637118626,1.0835707478174341,0.37,raw_ble
tail,testpattern,False,4,0.3619631901840491,0.3379329497426819,1.095946577233295,0.36585365853658536,raw_ble
deep_interleaved_rank0,interleaved_rank,False,4,0.412,0.3926474576390577,1.0739791072124374,0.355,raw_ble
deep_interleaved_rank1,interleaved_rank,False,4,0.4,0.3821598599836329,1.0672116264145342,0.345,raw_ble
deep_interleaved_rank2,interleaved_rank,False,4,0.372,0.3682733710544109,1.0903390721950212,0.345,raw_ble
testpattern0,testpattern,True,4,0.364,0.3569922966720684,1.1041531499345933,0.365,raw_ble
testpattern1,testpattern,True,4,0.364,0.3540906672746618,1.1057556378407534,0.39,raw_ble
testpattern2,testpattern,True,4,0.384,0.37194684850074305,1.0987786506406974,0.37,raw_ble
tail,testpattern,True,4,0.3006134969325153,0.2829762121724943,1.1001825882196405,0.36585365853658536,raw_ble
deep_interleaved_rank0,interleaved_rank,True,4,0.368,0.3442233797886091,1.0883903717115746,0.355,raw_ble
deep_interleaved_rank1,interleaved_rank,True,4,0.372,0.3502487918809622,1.0879071586622722,0.345,raw_ble
deep_interleaved_rank2,interleaved_rank,True,4,0.32,0.3094605174193089,1.1045388428101748,0.345,raw_ble
testpattern0,testpattern,False,4,0.352,0.33058549989431407,1.1111427192681667,0.365,raw_usage
testpattern1,testpattern,False,4,0.388,0.36976079191366473,1.1245172955406328,0.39,raw_usage
testpattern2,testpattern,False,4,0.368,0.3499169507824111,1.1006536185962847,0.37,raw_usage
tail,testpattern,False,4,0.4049079754601227,0.3836947937549359,1.1072792856824254,0.36585365853658536,raw_usage
deep_interleaved_rank0,interleaved_rank,False,4,0.384,0.3551157742487265,1.0954826861085047,0.355,raw_usage
deep_interleaved_rank1,interleaved_rank,False,4,0.412,0.38783279274113097,1.0857602120496415,0.345,raw_usage
deep_interleaved_rank2,interleaved_rank,False,4,0.412,0.38673060270690246,1.0889158806404762,0.345,raw_usage
testpattern0,testpattern,True,4,0.372,0.3528012635336668,1.1083571880400194,0.365,raw_usage
testpattern1,testpattern,True,4,0.348,0.338235294117647,1.1080049756300034,0.39,raw_usage
testpattern2,testpattern,True,4,0.348,0.3353877087157968,1.1133522947171286,0.37,raw_usage
tail,testpattern,True,4,0.3803680981595092,0.34180790960451973,1.1028649828211594,0.36585365853658536,raw_usage
deep_interleaved_rank0,interleaved_rank,True,4,0.372,0.34955804678869246,1.0985856519637391,0.355,raw_usage
deep_interleaved_rank1,interleaved_rank,True,4,0.356,0.3282601293837249,1.0932189215257822,0.345,raw_usage
deep_interleaved_rank2,interleaved_rank,True,4,0.344,0.31970511132462665,1.1013812362015252,0.345,raw_usage
testpattern0,testpattern,False,6,0.372,0.3625460907959323,1.1257369183723358,0.365,raw_gps
testpattern1,testpattern,False,6,0.348,0.33507181942544456,1.1167371096926835,0.39,raw_gps
testpattern2,testpattern,False,6,0.368,0.35867296092315765,1.1145041548022807,0.37,raw_gps
tail,testpattern,False,6,0.3496932515337423,0.3191265935935154,1.0959514967635975,0.36585365853658536,raw_gps
deep_interleaved_rank0,interleaved_rank,False,6,0.392,0.36800632082903356,1.0984306971258593,0.355,raw_gps
deep_interleaved_rank1,interleaved_rank,False,6,0.312,0.2978453966035279,1.1135060466988738,0.345,raw_gps
deep_interleaved_rank2,interleaved_rank,False,6,0.348,0.3473233455511667,1.1276135466725836,0.345,raw_gps
testpattern0,testpattern,True,6,0.308,0.294336997111252,1.1366527813975402,0.365,raw_gps
testpattern1,testpattern,True,6,0.304,0.2981218650250798,1.1250627978330396,0.39,raw_gps
testpattern2,testpattern,True,6,0.372,0.3592971413585104,1.1087426308786112,0.37,raw_gps
tail,testpattern,True,6,0.3128834355828221,0.29464882362640704,1.1200847577805644,0.36585365853658536,raw_gps
deep_interleaved_rank0,interleaved_rank,True,6,0.352,0.3267900308410436,1.1007381522954915,0.355,raw_gps
deep_interleaved_rank1,interleaved_rank,True,6,0.392,0.3600756231743813,1.1173338478489458,0.345,raw_gps
deep_interleaved_rank2,interleaved_rank,True,6,0.34,0.3146857169970227,1.1056153741388999,0.345,raw_gps
testpattern0,testpattern,False,2,0.38,0.3444937645318114,1.1098276334867314,0.365,raw_amb
testpattern1,testpattern,False,2,0.34,0.3262273901808786,1.1267694967909647,0.39,raw_amb
testpattern2,testpattern,False,2,0.364,0.3343386659673048,1.0995002729123828,0.37,raw_amb
tail,testpattern,False,2,0.3619631901840491,0.3308729724804082,1.1089011536485183,0.36585365853658536,raw_amb
deep_interleaved_rank0,interleaved_rank,False,2,0.368,0.3335417187630241,1.0994025472505733,0.355,raw_amb
deep_interleaved_rank1,interleaved_rank,False,2,0.376,0.33360930415927453,1.0938825705126847,0.345,raw_amb
deep_interleaved_rank2,interleaved_rank,False,2,0.348,0.3088122605363985,1.1134820253592768,0.345,raw_amb
testpattern0,testpattern,True,2,0.38,0.35426266469386314,1.1051970516597158,0.365,raw_amb
testpattern1,testpattern,True,2,0.324,0.31193475452196384,1.125297000129931,0.39,raw_amb
testpattern2,testpattern,True,2,0.348,0.3243290497421103,1.0977653660604567,0.37,raw_amb
tail,testpattern,True,2,0.31901840490797545,0.2957987277287441,1.1086134496695517,0.36585365853658536,raw_amb
deep_interleaved_rank0,interleaved_rank,True,2,0.368,0.3344169375677253,1.0977725068178825,0.355,raw_amb
deep_interleaved_rank1,interleaved_rank,True,2,0.392,0.3483540311452789,1.0949537237641584,0.345,raw_amb
deep_interleaved_rank2,interleaved_rank,True,2,0.344,0.30562613430127045,1.1079042734395126,0.345,raw_amb
