target,subset,k,C,feature
Q2,q2_interleaved_shortterm,8,0.01,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,8,0.01,human_q2_late_after_busy_day_subj_z_all_prev14_mean
Q2,q2_interleaved_shortterm,8,0.01,human_q2_late_after_busy_day_subj_z_all_prev30_mean
Q2,q2_interleaved_shortterm,8,0.01,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,8,0.01,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,8,0.03,human_q2_tired_but_wired_prev30_std
Q2,q2_interleaved_shortterm,8,0.03,human_q2_light_screen_arousal_prev3_mean
Q2,q2_interleaved_shortterm,8,0.03,human_q2_tired_but_wired_subj_z_all_prev30_mean
Q2,q2_interleaved_shortterm,8,0.03,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,8,0.03,human_q2_late_after_busy_day_subj_z_all_prev14_mean
Q2,q2_interleaved_shortterm,8,0.03,human_q2_late_after_busy_day_subj_z_all_prev30_mean
Q2,q2_interleaved_shortterm,8,0.03,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,8,0.03,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,15,0.01,human_q2_physical_load_prev30_mean
Q2,q2_interleaved_shortterm,15,0.01,human_q2_physical_load_prev30_std
Q2,q2_interleaved_shortterm,15,0.01,human_q2_evening_no_recovery_prev7_std
Q2,q2_interleaved_shortterm,15,0.01,human_q2_tired_but_wired_prev30_std
Q2,q2_interleaved_shortterm,15,0.01,human_q2_late_after_busy_day_prev30_std
Q2,q2_interleaved_shortterm,15,0.01,human_q2_light_screen_arousal_prev3_mean
Q2,q2_interleaved_shortterm,15,0.01,human_q2_light_screen_arousal_prev30_mean
Q2,q2_interleaved_shortterm,15,0.01,human_q2_tired_but_wired_subj_z_all_prev30_mean
Q2,q2_interleaved_shortterm,15,0.01,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,15,0.01,human_q2_late_after_busy_day_subj_z_all_prev14_mean
Q2,q2_interleaved_shortterm,15,0.01,human_q2_late_after_busy_day_subj_z_all_prev30_mean
Q2,q2_interleaved_shortterm,15,0.01,human_q2_late_after_busy_day_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,15,0.01,human_q2_light_screen_arousal_subj_z_all_vs_prev7
Q2,q2_interleaved_shortterm,15,0.01,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,15,0.01,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,15,0.03,human_q2_physical_load_prev30_mean
Q2,q2_interleaved_shortterm,15,0.03,human_q2_physical_load_prev30_std
Q2,q2_interleaved_shortterm,15,0.03,human_q2_evening_no_recovery_prev7_std
Q2,q2_interleaved_shortterm,15,0.03,human_q2_tired_but_wired_prev30_std
Q2,q2_interleaved_shortterm,15,0.03,human_q2_late_after_busy_day_prev30_std
Q2,q2_interleaved_shortterm,15,0.03,human_q2_light_screen_arousal_prev3_mean
Q2,q2_interleaved_shortterm,15,0.03,human_q2_light_screen_arousal_prev30_mean
Q2,q2_interleaved_shortterm,15,0.03,human_q2_tired_but_wired_subj_z_all_prev30_mean
Q2,q2_interleaved_shortterm,15,0.03,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,15,0.03,human_q2_late_after_busy_day_subj_z_all_prev14_mean
Q2,q2_interleaved_shortterm,15,0.03,human_q2_late_after_busy_day_subj_z_all_prev30_mean
Q2,q2_interleaved_shortterm,15,0.03,human_q2_late_after_busy_day_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,15,0.03,human_q2_light_screen_arousal_subj_z_all_vs_prev7
Q2,q2_interleaved_shortterm,15,0.03,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,15,0.03,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_compact_hypotheses,8,0.01,human_q2_physical_load
Q2,q2_compact_hypotheses,8,0.01,human_q2_evening_no_recovery
Q2,q2_compact_hypotheses,8,0.01,human_q2_tired_but_wired
Q2,q2_compact_hypotheses,8,0.01,human_q2_light_screen_arousal
Q2,q2_compact_hypotheses,8,0.01,human_hyp_q2_accumulated_load_no_recovery
Q2,q2_compact_hypotheses,8,0.01,human_hyp_q2_overdrawn_week
Q2,q2_compact_hypotheses,8,0.01,human_hyp_q2_sudden_load_spike
Q2,q2_compact_hypotheses,8,0.03,human_q2_physical_load
Q2,q2_compact_hypotheses,8,0.03,human_q2_evening_no_recovery
Q2,q2_compact_hypotheses,8,0.03,human_q2_tired_but_wired
Q2,q2_compact_hypotheses,8,0.03,human_q2_light_screen_arousal
Q2,q2_compact_hypotheses,8,0.03,human_hyp_q2_accumulated_load_no_recovery
Q2,q2_compact_hypotheses,8,0.03,human_hyp_q2_overdrawn_week
Q2,q2_compact_hypotheses,8,0.03,human_hyp_q2_sudden_load_spike
Q2,q2_existing_day_flat,8,0.01,day_h6_calories__subj_z
Q2,q2_existing_day_flat,8,0.01,day_h6_screen
Q2,q2_existing_day_flat,8,0.01,day_h6_screen__subj_delta
Q2,q2_existing_day_flat,8,0.01,day_h6_activity__subj_mean
Q2,q2_existing_day_flat,8,0.01,day_h11_screen__subj_mean
Q2,q2_existing_day_flat,8,0.01,day_h12_steps__subj_mean
Q2,q2_existing_day_flat,8,0.01,day_h12_distance__subj_mean
Q2,q2_existing_day_flat,8,0.01,day_h19_activity
Q2,q2_existing_day_flat,8,0.03,day_h6_calories__subj_z
Q2,q2_existing_day_flat,8,0.03,day_h6_screen
Q2,q2_existing_day_flat,8,0.03,day_h6_screen__subj_delta
Q2,q2_existing_day_flat,8,0.03,day_h6_activity__subj_mean
Q2,q2_existing_day_flat,8,0.03,day_h11_screen__subj_mean
Q2,q2_existing_day_flat,8,0.03,day_h12_steps__subj_mean
Q2,q2_existing_day_flat,8,0.03,day_h12_distance__subj_mean
Q2,q2_existing_day_flat,8,0.03,day_h19_activity
Q2,q2_existing_day_flat,15,0.01,day_h6_calories__subj_z
Q2,q2_existing_day_flat,15,0.01,day_h6_screen
Q2,q2_existing_day_flat,15,0.01,day_h6_screen__subj_delta
Q2,q2_existing_day_flat,15,0.01,day_h6_activity__subj_mean
Q2,q2_existing_day_flat,15,0.01,day_h6_speed__subj_z
Q2,q2_existing_day_flat,15,0.01,day_h7_steps
Q2,q2_existing_day_flat,15,0.01,day_h7_calories
Q2,q2_existing_day_flat,15,0.01,day_h7_distance
Q2,q2_existing_day_flat,15,0.01,day_h11_calories
Q2,q2_existing_day_flat,15,0.01,day_h11_screen__subj_mean
Q2,q2_existing_day_flat,15,0.01,day_h12_steps__subj_mean
Q2,q2_existing_day_flat,15,0.01,day_h12_distance__subj_mean
Q2,q2_existing_day_flat,15,0.01,day_h12_speed__subj_mean
Q2,q2_existing_day_flat,15,0.01,day_h19_activity
Q2,q2_existing_day_flat,15,0.01,day_h19_activity__subj_z
Q2,q2_existing_day_flat,15,0.03,day_h6_calories__subj_z
Q2,q2_existing_day_flat,15,0.03,day_h6_screen
Q2,q2_existing_day_flat,15,0.03,day_h6_screen__subj_delta
Q2,q2_existing_day_flat,15,0.03,day_h6_activity__subj_mean
Q2,q2_existing_day_flat,15,0.03,day_h6_speed__subj_z
Q2,q2_existing_day_flat,15,0.03,day_h7_steps
Q2,q2_existing_day_flat,15,0.03,day_h7_calories
Q2,q2_existing_day_flat,15,0.03,day_h7_distance
Q2,q2_existing_day_flat,15,0.03,day_h11_calories
Q2,q2_existing_day_flat,15,0.03,day_h11_screen__subj_mean
Q2,q2_existing_day_flat,15,0.03,day_h12_steps__subj_mean
Q2,q2_existing_day_flat,15,0.03,day_h12_distance__subj_mean
Q2,q2_existing_day_flat,15,0.03,day_h12_speed__subj_mean
Q2,q2_existing_day_flat,15,0.03,day_h19_activity
Q2,q2_existing_day_flat,15,0.03,day_h19_activity__subj_z
Q2,q2_day_flat_plus_tail_safe,8,0.01,day_h6_screen
Q2,q2_day_flat_plus_tail_safe,8,0.01,day_h6_activity__subj_mean
Q2,q2_day_flat_plus_tail_safe,8,0.01,day_h11_screen__subj_mean
Q2,q2_day_flat_plus_tail_safe,8,0.01,day_h12_steps__subj_mean
Q2,q2_day_flat_plus_tail_safe,8,0.01,day_h12_distance__subj_mean
Q2,q2_day_flat_plus_tail_safe,8,0.01,human_q2_tired_but_wired_prev30_std
Q2,q2_day_flat_plus_tail_safe,8,0.01,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_day_flat_plus_tail_safe,8,0.01,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_day_flat_plus_tail_safe,8,0.03,day_h6_screen
Q2,q2_day_flat_plus_tail_safe,8,0.03,day_h6_activity__subj_mean
Q2,q2_day_flat_plus_tail_safe,8,0.03,day_h11_screen__subj_mean
Q2,q2_day_flat_plus_tail_safe,8,0.03,day_h12_steps__subj_mean
Q2,q2_day_flat_plus_tail_safe,8,0.03,day_h12_distance__subj_mean
Q2,q2_day_flat_plus_tail_safe,8,0.03,human_q2_tired_but_wired_prev30_std
Q2,q2_day_flat_plus_tail_safe,8,0.03,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_day_flat_plus_tail_safe,8,0.03,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h6_calories__subj_z
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h6_screen
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h6_screen__subj_delta
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h6_activity__subj_mean
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h11_calories
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h11_screen__subj_mean
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h12_steps__subj_mean
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h12_distance__subj_mean
Q2,q2_day_flat_plus_tail_safe,15,0.01,day_h19_activity
Q2,q2_day_flat_plus_tail_safe,15,0.01,human_q2_light_screen_arousal
Q2,q2_day_flat_plus_tail_safe,15,0.01,human_q2_tired_but_wired_prev7_std
Q2,q2_day_flat_plus_tail_safe,15,0.01,human_q2_tired_but_wired_prev30_std
Q2,q2_day_flat_plus_tail_safe,15,0.01,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,q2_day_flat_plus_tail_safe,15,0.01,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_day_flat_plus_tail_safe,15,0.01,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h6_calories__subj_z
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h6_screen
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h6_screen__subj_delta
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h6_activity__subj_mean
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h11_calories
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h11_screen__subj_mean
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h12_steps__subj_mean
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h12_distance__subj_mean
Q2,q2_day_flat_plus_tail_safe,15,0.03,day_h19_activity
Q2,q2_day_flat_plus_tail_safe,15,0.03,human_q2_light_screen_arousal
Q2,q2_day_flat_plus_tail_safe,15,0.03,human_q2_tired_but_wired_prev7_std
Q2,q2_day_flat_plus_tail_safe,15,0.03,human_q2_tired_but_wired_prev30_std
Q2,q2_day_flat_plus_tail_safe,15,0.03,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,q2_day_flat_plus_tail_safe,15,0.03,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_day_flat_plus_tail_safe,15,0.03,human_s2_rhythm_late_subj_z_all_prev30_std
S2,s2_axes_only,8,0.01,axis_night_movement_prev30_mean
S2,s2_axes_only,8,0.01,axis_night_movement_above_median_prev7
S2,s2_axes_only,8,0.01,axis_day_load_above_median_prev7
S2,s2_axes_only,8,0.01,axis_morning_activation_prev3_mean
S2,s2_axes_only,8,0.01,axis_morning_activation_prev7_mean
S2,s2_axes_only,8,0.01,axis_morning_activation_prev14_mean
S2,s2_axes_only,8,0.01,axis_morning_activation_prev30_mean
S2,s2_axes_only,8,0.01,axis_day_night_reversal_prev30_mean
S2,s2_axes_only,8,0.03,axis_night_movement_prev30_mean
S2,s2_axes_only,8,0.03,axis_night_movement_above_median_prev7
S2,s2_axes_only,8,0.03,axis_day_load_above_median_prev7
S2,s2_axes_only,8,0.03,axis_morning_activation_prev3_mean
S2,s2_axes_only,8,0.03,axis_morning_activation_prev7_mean
S2,s2_axes_only,8,0.03,axis_morning_activation_prev14_mean
S2,s2_axes_only,8,0.03,axis_morning_activation_prev30_mean
S2,s2_axes_only,8,0.03,axis_day_night_reversal_prev30_mean
S2,s2_axes_only,15,0.01,axis_morning_activation
S2,s2_axes_only,15,0.01,axis_late_phone_vs_prev7
S2,s2_axes_only,15,0.01,axis_late_phone_vs_prev30
S2,s2_axes_only,15,0.01,axis_night_movement_prev7_mean
S2,s2_axes_only,15,0.01,axis_night_movement_prev14_mean
S2,s2_axes_only,15,0.01,axis_night_movement_prev30_mean
S2,s2_axes_only,15,0.01,axis_night_movement_above_median_prev7
S2,s2_axes_only,15,0.01,axis_day_load_above_median_prev7
S2,s2_axes_only,15,0.01,axis_morning_activation_prev3_mean
S2,s2_axes_only,15,0.01,axis_morning_activation_prev7_mean
S2,s2_axes_only,15,0.01,axis_morning_activation_prev14_mean
S2,s2_axes_only,15,0.01,axis_morning_activation_prev30_mean
S2,s2_axes_only,15,0.01,axis_morning_activation_above_median_prev7
S2,s2_axes_only,15,0.01,axis_day_night_reversal_prev7_mean
S2,s2_axes_only,15,0.01,axis_day_night_reversal_prev30_mean
S2,s2_axes_only,15,0.03,axis_morning_activation
S2,s2_axes_only,15,0.03,axis_late_phone_vs_prev7
S2,s2_axes_only,15,0.03,axis_late_phone_vs_prev30
S2,s2_axes_only,15,0.03,axis_night_movement_prev7_mean
S2,s2_axes_only,15,0.03,axis_night_movement_prev14_mean
S2,s2_axes_only,15,0.03,axis_night_movement_prev30_mean
S2,s2_axes_only,15,0.03,axis_night_movement_above_median_prev7
S2,s2_axes_only,15,0.03,axis_day_load_above_median_prev7
S2,s2_axes_only,15,0.03,axis_morning_activation_prev3_mean
S2,s2_axes_only,15,0.03,axis_morning_activation_prev7_mean
S2,s2_axes_only,15,0.03,axis_morning_activation_prev14_mean
S2,s2_axes_only,15,0.03,axis_morning_activation_prev30_mean
S2,s2_axes_only,15,0.03,axis_morning_activation_above_median_prev7
S2,s2_axes_only,15,0.03,axis_day_night_reversal_prev7_mean
S2,s2_axes_only,15,0.03,axis_day_night_reversal_prev30_mean
S2,s2_existing_no_flat_hourly,8,0.01,app_unique_count__subj_mean
S2,s2_existing_no_flat_hourly,8,0.01,app_study_work_time__subj_mean
S2,s2_existing_no_flat_hourly,8,0.01,wifi_rssi_max__subj_mean
S2,s2_existing_no_flat_hourly,8,0.01,screenoff_run_start_hour__subj_mean
S2,s2_existing_no_flat_hourly,8,0.01,month
S2,s2_existing_no_flat_hourly,8,0.01,app_hourly_time_max__subj_mean
S2,s2_existing_no_flat_hourly,8,0.01,app_hourly_time_std__subj_mean
S2,s2_existing_no_flat_hourly,8,0.01,app_hourly_unique_max__subj_mean
S2,s2_existing_no_flat_hourly,8,0.03,app_unique_count__subj_mean
S2,s2_existing_no_flat_hourly,8,0.03,app_study_work_time__subj_mean
S2,s2_existing_no_flat_hourly,8,0.03,wifi_rssi_max__subj_mean
S2,s2_existing_no_flat_hourly,8,0.03,screenoff_run_start_hour__subj_mean
S2,s2_existing_no_flat_hourly,8,0.03,month
S2,s2_existing_no_flat_hourly,8,0.03,app_hourly_time_max__subj_mean
S2,s2_existing_no_flat_hourly,8,0.03,app_hourly_time_std__subj_mean
S2,s2_existing_no_flat_hourly,8,0.03,app_hourly_unique_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,speed_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,mlight_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,app_unique_count__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,app_total_time__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,app_study_work_time__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,wifi_rssi_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,wifi_records_21_03
S2,s2_existing_no_flat_hourly,15,0.01,ble_rssi_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,screenoff_run_start_hour__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,late_activity_last_hour__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,month
S2,s2_existing_no_flat_hourly,15,0.01,month__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,app_hourly_time_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,app_hourly_time_std__subj_mean
S2,s2_existing_no_flat_hourly,15,0.01,app_hourly_unique_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,speed_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,mlight_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,app_unique_count__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,app_total_time__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,app_study_work_time__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,wifi_rssi_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,wifi_records_21_03
S2,s2_existing_no_flat_hourly,15,0.03,ble_rssi_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,screenoff_run_start_hour__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,late_activity_last_hour__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,month
S2,s2_existing_no_flat_hourly,15,0.03,month__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,app_hourly_time_max__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,app_hourly_time_std__subj_mean
S2,s2_existing_no_flat_hourly,15,0.03,app_hourly_unique_max__subj_mean
S2,s2_existing_plus_axes,8,0.01,app_unique_count__subj_mean
S2,s2_existing_plus_axes,8,0.01,app_study_work_time__subj_mean
S2,s2_existing_plus_axes,8,0.01,wifi_rssi_max__subj_mean
S2,s2_existing_plus_axes,8,0.01,screenoff_run_start_hour__subj_mean
S2,s2_existing_plus_axes,8,0.01,month
S2,s2_existing_plus_axes,8,0.01,app_hourly_time_max__subj_mean
S2,s2_existing_plus_axes,8,0.01,app_hourly_time_std__subj_mean
S2,s2_existing_plus_axes,8,0.01,app_hourly_unique_max__subj_mean
S2,s2_existing_plus_axes,8,0.03,app_unique_count__subj_mean
S2,s2_existing_plus_axes,8,0.03,app_study_work_time__subj_mean
S2,s2_existing_plus_axes,8,0.03,wifi_rssi_max__subj_mean
S2,s2_existing_plus_axes,8,0.03,screenoff_run_start_hour__subj_mean
S2,s2_existing_plus_axes,8,0.03,month
S2,s2_existing_plus_axes,8,0.03,app_hourly_time_max__subj_mean
S2,s2_existing_plus_axes,8,0.03,app_hourly_time_std__subj_mean
S2,s2_existing_plus_axes,8,0.03,app_hourly_unique_max__subj_mean
S2,s2_existing_plus_axes,15,0.01,speed_max__subj_mean
S2,s2_existing_plus_axes,15,0.01,mlight_max__subj_mean
S2,s2_existing_plus_axes,15,0.01,app_unique_count__subj_mean
S2,s2_existing_plus_axes,15,0.01,app_total_time__subj_mean
S2,s2_existing_plus_axes,15,0.01,app_study_work_time__subj_mean
S2,s2_existing_plus_axes,15,0.01,wifi_rssi_max__subj_mean
S2,s2_existing_plus_axes,15,0.01,wifi_records_21_03
S2,s2_existing_plus_axes,15,0.01,ble_rssi_max__subj_mean
S2,s2_existing_plus_axes,15,0.01,screenoff_run_start_hour__subj_mean
S2,s2_existing_plus_axes,15,0.01,late_activity_last_hour__subj_mean
S2,s2_existing_plus_axes,15,0.01,month
S2,s2_existing_plus_axes,15,0.01,month__subj_mean
S2,s2_existing_plus_axes,15,0.01,app_hourly_time_max__subj_mean
S2,s2_existing_plus_axes,15,0.01,app_hourly_time_std__subj_mean
S2,s2_existing_plus_axes,15,0.01,app_hourly_unique_max__subj_mean
S2,s2_existing_plus_axes,15,0.03,speed_max__subj_mean
S2,s2_existing_plus_axes,15,0.03,mlight_max__subj_mean
S2,s2_existing_plus_axes,15,0.03,app_unique_count__subj_mean
S2,s2_existing_plus_axes,15,0.03,app_total_time__subj_mean
S2,s2_existing_plus_axes,15,0.03,app_study_work_time__subj_mean
S2,s2_existing_plus_axes,15,0.03,wifi_rssi_max__subj_mean
S2,s2_existing_plus_axes,15,0.03,wifi_records_21_03
S2,s2_existing_plus_axes,15,0.03,ble_rssi_max__subj_mean
S2,s2_existing_plus_axes,15,0.03,screenoff_run_start_hour__subj_mean
S2,s2_existing_plus_axes,15,0.03,late_activity_last_hour__subj_mean
S2,s2_existing_plus_axes,15,0.03,month
S2,s2_existing_plus_axes,15,0.03,month__subj_mean
S2,s2_existing_plus_axes,15,0.03,app_hourly_time_max__subj_mean
S2,s2_existing_plus_axes,15,0.03,app_hourly_time_std__subj_mean
S2,s2_existing_plus_axes,15,0.03,app_hourly_unique_max__subj_mean
