target,source,H_y_bits,H_y_given_source_bits,info_gain_bits,explained_entropy_share,n_groups
S2,subject_id,0.933071822502139,0.8006791420070337,0.13239268049510533,0.14188905645020894,10
S2,prevnext+gap,0.933071822502139,0.8854600442036163,0.0476117782985227,0.05102691684638623,20
S2,prevnext,0.933071822502139,0.8944284958081674,0.038643326693971636,0.04141516843831499,8
S2,prev_only,0.933071822502139,0.9092287228628436,0.02384309963929543,0.025553337979232323,3
S2,next_only,0.933071822502139,0.91165774205701,0.021414080445129047,0.022950088008985993,3
S3,subject+state,0.9226762997922611,0.6746669752620859,0.2480093245301752,0.2687934268887302,30
S3,subject+prevnext,0.9226762997922611,0.7312438548083177,0.1914324449839434,0.20747519474277606,57
S3,subject_id,0.9226762997922611,0.7445678601233217,0.1781084396689394,0.19303458830473938,10
S3,same_row_other_labels,0.9226762997922611,0.7679191375630225,0.15475716222923852,0.16772638710247767,59
S3,latent_state,0.9226762997922611,0.7783915816491045,0.14428471814315658,0.15637631331339283,3
S3,prevnext+gap,0.9226762997922611,0.856374827749468,0.06630147204279302,0.07185778160522892,20
S3,prevnext,0.9226762997922611,0.8590910696681174,0.06358523012414363,0.0689139085272481,8
S3,prev_only,0.9226762997922611,0.8851687390056611,0.0375075607866,0.04065083366186469,3
S3,next_only,0.9226762997922611,0.8855008945337335,0.03717540525852758,0.040290842267106636,3
S4,subject+state,0.9895875212220556,0.7427490448262719,0.2468384763957837,0.24943572054239263,30
S4,same_row_other_labels,0.9895875212220556,0.8011932110204157,0.18839431020163988,0.19037660253535643,59
S4,latent_state,0.9895875212220556,0.811589540938733,0.1779979802833226,0.17987088202517992,3
S4,subject+prevnext,0.9895875212220556,0.8649783186970799,0.12460920252497576,0.125920345449682,60
S4,subject_id,0.9895875212220556,0.8989380918546035,0.09064942936745213,0.09160324622475824,10
S4,prevnext+gap,0.9895875212220556,0.9376550133607153,0.051932507861340294,0.05247894374942007,20
S4,prevnext,0.9895875212220556,0.9418551886984425,0.047732332523613086,0.0482345740017697,8
S4,prev_only,0.9895875212220556,0.9679890467534386,0.021598474468617068,0.021825734465552686,3
S4,next_only,0.9895875212220556,0.9694367634965194,0.020150757725536206,0.02036278479002216,3
