model,k,C,scaler,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
selectk_logistic_feature_only,50,0.1,standard,chrono_last_25,0.6619440387050809,0.7210364650318559,0.6893522009543008,0.8246698154886889,0.5452407984731893,0.612976042062156,0.5959601512610129,0.6443727976643625
selectk_logistic_feature_only,30,0.1,standard,chrono_last_30,0.6619729610585132,0.6700253855091776,0.6895399281019913,0.7553577325218844,0.5887154145277284,0.6587668321336443,0.6032572677281846,0.6681481668869819
selectk_logistic_feature_only,10,0.03,robust,chrono_last_25,0.6620279753406116,0.7192970899476927,0.6965914446697047,0.7007759166336491,0.5815907679524387,0.6282889551408594,0.6262975279678898,0.6813541250720471
selectk_logistic_feature_only,50,0.003,robust,chrono_last_30,0.6621065995767886,0.6790220089208029,0.675061061419608,0.7657167234407628,0.5953077808554958,0.6462229478728733,0.6236499958108815,0.6497656787170957
selectk_logistic_feature_only,30,0.03,standard,chrono_last_20,0.6622715394856683,0.7176803156695926,0.7255888145571883,0.7544079009351157,0.5515934584049236,0.6148495361748266,0.6325705619656254,0.6392101886924056
selectk_logistic_feature_only,30,0.003,robust,chrono_last_30,0.6624197856649149,0.6768372841607451,0.670799136794565,0.7241855194011069,0.6365147797151008,0.6527941289065414,0.6305109164548386,0.6452967342215062
selectk_logistic_feature_only,10,0.3,standard,chrono_last_30,0.6624604912032515,0.6803352379699124,0.7154524800527962,0.6714936933443829,0.5899268573345229,0.6692667877479742,0.6162181642220164,0.6945302177511545
selectk_logistic_feature_only,10,0.3,standard,chrono_last_25,0.6626922226640416,0.7267735580004158,0.7187913564176182,0.7222460510167161,0.5442510035378267,0.6269029006182748,0.6200982062922664,0.679782482765173
selectk_logistic_feature_only,10,0.3,standard,chrono_last_20,0.6627511785784324,0.7112942094550946,0.7139399852990145,0.7460845596655465,0.5267499810795935,0.638531101311161,0.6393797743294506,0.6632786389091659
selectk_logistic_feature_only,80,0.03,standard,chrono_last_25,0.6627519256451563,0.7138507801920856,0.7266203479872164,0.798484688312632,0.5585541494974955,0.6058072864817499,0.6070189083244658,0.6289273187204487
selectk_logistic_feature_only,10,0.01,robust,chrono_last_25,0.6629069797868296,0.7068921988979469,0.6847994362363852,0.6901759939721607,0.6143631026691921,0.63209187315684,0.6382785955855768,0.6737476579897052
selectk_logistic_feature_only,10,0.03,robust,chrono_last_20,0.6629259749379145,0.7099530050087717,0.695114831020339,0.720060506661262,0.5634482162650938,0.6383055057622333,0.6429577537739722,0.6706420060737291
selectk_logistic_feature_only,10,0.3,robust,chrono_last_20,0.6629293362220803,0.7121599685348585,0.7088275690595495,0.7409082469265175,0.5283918877928687,0.6433850200394625,0.64808755527485,0.6587451059264554
