group,source,model,k,n,C,blend_w,logloss,delta,auc,runs
chrono,existing_no_flat,raw_blend_base,32.0,,0.001,0.2,0.569912907198522,0.0003626334847050365,0.7149069419872863,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.001,0.3,0.5701720882414589,0.000621814527642132,0.7123054633695475,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.001,0.4,0.5704989123706296,0.000948638656812717,0.7124615076193268,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.001,0.5,0.5709127767221601,0.0013625030083432115,0.7128763818146888,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.001,0.7,0.5721529084321509,0.00260263471833407,0.7140240681967129,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.003,0.1,0.5691989800003219,-0.0003512937134949601,0.7190087176935575,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.003,0.2,0.5689659265450574,-0.0005843471687594729,0.7189203374162724,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.003,0.3,0.5688512490259655,-0.000699024687851361,0.7173756225884395,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.003,0.4,0.568855463064764,-0.0006948106490528941,0.7178057940253062,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.003,0.5,0.5689794485708007,-0.000570825143016059,0.7186325387066659,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.003,0.7,0.5695920418145813,4.176810076446843e-05,0.7194012188990668,3
chrono,existing_no_flat,select_pca,48.0,8.0,0.001,1.0,0.6895276202748143,0.11997734656099746,0.5476619869494092,3
chrono,existing_no_flat,select_pca,48.0,8.0,0.003,1.0,0.6865610027155213,0.11701072900170444,0.5688858133382285,3
chrono,existing_no_flat,select_pca,48.0,16.0,0.001,1.0,0.6880614093503695,0.11851113563655265,0.524003016219659,3
chrono,existing_no_flat,select_pca,48.0,16.0,0.003,1.0,0.682631697093858,0.11308142338004112,0.5424000362426953,3
chrono,existing_no_flat,select_pca,48.0,32.0,0.001,1.0,0.7136964541894164,0.14414618047559966,0.535792597150799,3
chrono,existing_no_flat,select_pca,48.0,32.0,0.003,1.0,0.7038933389698484,0.13434306525603149,0.5501355168380515,3
chrono,existing_no_flat,select_pca,64.0,8.0,0.001,1.0,0.6820132894774725,0.11246301576365565,0.6402382139708778,3
chrono,existing_no_flat,select_pca,64.0,8.0,0.003,1.0,0.6695242296066927,0.09997395589287576,0.6465060728810131,3
chrono,existing_no_flat,select_pca,64.0,16.0,0.001,1.0,0.680826081443251,0.11127580772943409,0.6424827559213021,3
chrono,existing_no_flat,select_pca,64.0,16.0,0.003,1.0,0.6662695131535613,0.09671923943974448,0.6443379273364926,3
chrono,existing_no_flat,select_pca,64.0,32.0,0.001,1.0,0.7055301252510772,0.13597985153726033,0.6465058189591906,3
chrono,existing_no_flat,select_pca,64.0,32.0,0.003,1.0,0.68542780874187,0.11587753502805324,0.6579655306699783,3
chrono,existing_no_flat,select_pca,96.0,8.0,0.001,1.0,0.6795117318664877,0.10996145815267096,0.7089922821391018,3
chrono,existing_no_flat,select_pca,96.0,8.0,0.003,1.0,0.6628667463000157,0.0933164725861989,0.708972476236943,3
chrono,existing_no_flat,select_pca,96.0,16.0,0.001,1.0,0.6787813459495227,0.10923107223570579,0.6935138705105229,3
chrono,existing_no_flat,select_pca,96.0,16.0,0.003,1.0,0.6611670511764882,0.09161677746267138,0.690639156528683,3
chrono,existing_no_flat,select_pca,96.0,32.0,0.001,1.0,0.679546729392812,0.10999645567899512,0.6979966868776052,3
chrono,existing_no_flat,select_pca,96.0,32.0,0.003,1.0,0.6660639289440818,0.09651365523026494,0.696451662389013,3
chrono,existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.1,0.5772362608591611,0.007685987145344335,0.7191592097259242,3
chrono,existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.2,0.5852842613852096,0.01573398767139278,0.7179981614821404,3
chrono,existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.3,0.593716802523619,0.02416652880980219,0.7150962871551106,3
chrono,existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.4,0.6025595777166566,0.03300930400283971,0.7124673447246379,3
chrono,existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.5,0.611842050715193,0.04229177700137613,0.7095710164218055,3
chrono,existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.7,0.6318677334075101,0.062317459693693365,0.7084347069760747,3
random_gap,combo_existing_dayflat,pls_logit,48.0,4.0,0.001,1.0,0.6740546684732265,0.08996768103564287,0.7355369845370195,4
random_gap,combo_existing_dayflat,pls_logit,48.0,4.0,0.003,1.0,0.6487511870244215,0.06466419958683792,0.7349668216555495,4
random_gap,combo_existing_dayflat,pls_logit,48.0,8.0,0.001,1.0,0.6738911222436934,0.08980413480610988,0.7381657331930842,4
random_gap,combo_existing_dayflat,pls_logit,48.0,8.0,0.003,1.0,0.6484261291363094,0.06433914169872576,0.7389141925535105,4
random_gap,combo_existing_dayflat,pls_logit,48.0,12.0,0.001,1.0,0.673992597381456,0.08990560994387245,0.7370901251951075,4
random_gap,combo_existing_dayflat,pls_logit,48.0,12.0,0.003,1.0,0.6495391302637968,0.06545214282621331,0.7396339984784125,4
random_gap,combo_existing_dayflat,pls_logit,64.0,4.0,0.001,1.0,0.6749272257788823,0.09084023834129876,0.7434145592005114,4
random_gap,combo_existing_dayflat,pls_logit,64.0,4.0,0.003,1.0,0.6511952089650824,0.06710822152749885,0.7415394540261873,4
random_gap,combo_existing_dayflat,pls_logit,64.0,8.0,0.001,1.0,0.673415804875095,0.08932881743751148,0.7509286119226678,4
random_gap,combo_existing_dayflat,pls_logit,64.0,8.0,0.003,1.0,0.6473472670457366,0.06326027960815306,0.7507306269304033,4
random_gap,combo_existing_dayflat,pls_logit,64.0,12.0,0.001,1.0,0.673051173517903,0.08896418608031945,0.7547908168026449,4
random_gap,combo_existing_dayflat,pls_logit,64.0,12.0,0.003,1.0,0.6466131297146304,0.06252614227704684,0.7529304577505932,4
random_gap,combo_existing_dayflat,pls_logit,96.0,4.0,0.001,1.0,0.6728480516877011,0.0887610642501176,0.7369521275841486,4
random_gap,combo_existing_dayflat,pls_logit,96.0,4.0,0.003,1.0,0.6464066745540293,0.06231968711644584,0.7345200713736717,4
random_gap,combo_existing_dayflat,pls_logit,96.0,8.0,0.001,1.0,0.6726776530464196,0.08859066560883608,0.7344919038116925,4
random_gap,combo_existing_dayflat,pls_logit,96.0,8.0,0.003,1.0,0.6464755646225544,0.06238857718497082,0.7333950408875637,4
random_gap,combo_existing_dayflat,pls_logit,96.0,12.0,0.001,1.0,0.6722976640202475,0.0882106765826639,0.7383923706301098,4
random_gap,combo_existing_dayflat,pls_logit,96.0,12.0,0.003,1.0,0.6457090108060854,0.06162202336850184,0.7368689960827339,4
random_gap,combo_existing_dayflat,raw,20.0,,0.001,1.0,0.584015444063875,-7.154337370857133e-05,0.7692234972010666,4
random_gap,combo_existing_dayflat,raw,20.0,,0.003,1.0,0.5720733399426086,-0.012013647494975022,0.768332081059589,4
random_gap,combo_existing_dayflat,raw,20.0,,0.01,1.0,0.5603891604166077,-0.023697827020975892,0.7649503354747731,4
random_gap,combo_existing_dayflat,raw,32.0,,0.001,1.0,0.5833047362506386,-0.0007822511869449433,0.7620333303249922,4
random_gap,combo_existing_dayflat,raw,32.0,,0.003,1.0,0.5714189485808193,-0.012668038856764263,0.7611437880206396,4
random_gap,combo_existing_dayflat,raw,32.0,,0.01,1.0,0.5619029879090149,-0.02218399952856867,0.7529543783255515,4
random_gap,combo_existing_dayflat,raw,48.0,,0.001,1.0,0.5808157784766611,-0.0032712089609224504,0.7598180761797969,4
random_gap,combo_existing_dayflat,raw,48.0,,0.003,1.0,0.5688402669452506,-0.015246720492332916,0.7561998884359553,4
random_gap,combo_existing_dayflat,raw,48.0,,0.01,1.0,0.5627402433185574,-0.02134674411902615,0.7528697619575089,4
random_gap,combo_existing_dayflat,raw,64.0,,0.001,1.0,0.6105784286325944,0.02649144119501079,0.7475377872381488,4
random_gap,combo_existing_dayflat,raw,64.0,,0.003,1.0,0.5986047433498387,0.014517755912255154,0.7470467021817871,4
random_gap,combo_existing_dayflat,raw,64.0,,0.01,1.0,0.5934261162098082,0.00933912877222462,0.7444003484439292,4
random_gap,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.1,0.5839835608378325,-0.00010342659975098867,0.7735497811655595,4
random_gap,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.2,0.5838856067010803,-0.00020138073650333155,0.7718924948194199,4
random_gap,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.3,0.583793164038795,-0.0002938233987885841,0.7711320351095187,4
random_gap,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.4,0.5837062766904475,-0.00038071074713608155,0.7702367106143466,4
random_gap,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.5,0.5836249935346576,-0.00046199390292597786,0.769468934436671,4
random_gap,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.7,0.5834794619541956,-0.0006075254833878829,0.7665502506780861,4
random_gap,combo_existing_dayflat,select_pca,48.0,8.0,0.001,1.0,0.67354514292736,0.08945815548977643,0.7354344709558145,4
random_gap,combo_existing_dayflat,select_pca,48.0,8.0,0.003,1.0,0.648299714380353,0.06421272694276953,0.7360962132422448,4
random_gap,combo_existing_dayflat,select_pca,48.0,16.0,0.001,1.0,0.6728412874380425,0.08875430000045892,0.7360450444697804,4
random_gap,combo_existing_dayflat,select_pca,48.0,16.0,0.003,1.0,0.6468890116724739,0.0628020242348904,0.7379367216793197,4
random_gap,combo_existing_dayflat,select_pca,48.0,32.0,0.001,1.0,0.6726821897709837,0.08859520233340012,0.7376897813118857,4
random_gap,combo_existing_dayflat,select_pca,48.0,32.0,0.003,1.0,0.6465439320235169,0.062456944585933316,0.7398555813284424,4
random_gap,combo_existing_dayflat,select_pca,64.0,8.0,0.001,1.0,0.6724615332726135,0.08837454583502996,0.7565672475238638,4
random_gap,combo_existing_dayflat,select_pca,64.0,8.0,0.003,1.0,0.6450391045914624,0.060952117153878826,0.7562826586443266,4
random_gap,combo_existing_dayflat,select_pca,64.0,16.0,0.001,1.0,0.6832031787783421,0.09911619134075861,0.7440160027183018,4
random_gap,combo_existing_dayflat,select_pca,64.0,16.0,0.003,1.0,0.6608446183654176,0.07675763092783405,0.7454536942290231,4
random_gap,combo_existing_dayflat,select_pca,64.0,32.0,0.001,1.0,0.6829517506462619,0.09886476320867829,0.7447174448124613,4
random_gap,combo_existing_dayflat,select_pca,64.0,32.0,0.003,1.0,0.6603663653174361,0.07627937787985256,0.7474357062210284,4
random_gap,combo_existing_dayflat,select_pca,96.0,8.0,0.001,1.0,0.6740935012720636,0.09000651383448002,0.7248443894610413,4
random_gap,combo_existing_dayflat,select_pca,96.0,8.0,0.003,1.0,0.6492180729037186,0.06513108546613505,0.7304856458230715,4
random_gap,combo_existing_dayflat,select_pca,96.0,16.0,0.001,1.0,0.6749466884562183,0.09085970101863475,0.7076300852213985,4
random_gap,combo_existing_dayflat,select_pca,96.0,16.0,0.003,1.0,0.6524756644722863,0.0683886770347028,0.7108284965193192,4
random_gap,combo_existing_dayflat,select_pca,96.0,32.0,0.001,1.0,0.6726888557073016,0.08860186826971811,0.7147858021050605,4
random_gap,combo_existing_dayflat,select_pca,96.0,32.0,0.003,1.0,0.6470984540781373,0.06301146664055376,0.7196099552181867,4
random_gap,existing_base_cfg,basecfg,,,,0.0,0.5840869874375836,0.0,0.7749725884144305,4
random_gap,existing_no_flat,pls_logit,48.0,4.0,0.001,1.0,0.6809476288688803,0.09686064143129669,0.724593168053091,4
random_gap,existing_no_flat,pls_logit,48.0,4.0,0.003,1.0,0.6635358727917849,0.07944888535420139,0.7241626991612041,4
random_gap,existing_no_flat,pls_logit,48.0,8.0,0.001,1.0,0.680246729739738,0.09615974230215443,0.7313544971533618,4
random_gap,existing_no_flat,pls_logit,48.0,8.0,0.003,1.0,0.6616770916527888,0.07759010421520518,0.733298487946442,4
random_gap,existing_no_flat,pls_logit,48.0,12.0,0.001,1.0,0.6800669723964264,0.09597998495884288,0.7392046758198269,4
random_gap,existing_no_flat,pls_logit,48.0,12.0,0.003,1.0,0.6613186916663649,0.07723170422878134,0.7386128863161462,4
random_gap,existing_no_flat,pls_logit,64.0,4.0,0.001,1.0,0.6783812230547296,0.094294235617146,0.7285585137473772,4
random_gap,existing_no_flat,pls_logit,64.0,4.0,0.003,1.0,0.6573641107431417,0.07327712330555816,0.7289162040236457,4
random_gap,existing_no_flat,pls_logit,64.0,8.0,0.001,1.0,0.6778751654629884,0.09378817802540493,0.736104431800054,4
random_gap,existing_no_flat,pls_logit,64.0,8.0,0.003,1.0,0.6562357315534111,0.07214874411582747,0.7356990619162358,4
random_gap,existing_no_flat,pls_logit,64.0,12.0,0.001,1.0,0.6779516241660353,0.09386463672845169,0.7353163858186219,4
random_gap,existing_no_flat,pls_logit,64.0,12.0,0.003,1.0,0.6566889230857726,0.07260193564818906,0.7366408223872264,4
random_gap,existing_no_flat,pls_logit,96.0,4.0,0.001,1.0,0.6783155028202544,0.09422851538267088,0.7400991936418673,4
random_gap,existing_no_flat,pls_logit,96.0,4.0,0.003,1.0,0.6565116956779714,0.07242470824038785,0.7401737971796652,4
random_gap,existing_no_flat,pls_logit,96.0,8.0,0.001,1.0,0.6784268215415253,0.09433983410394178,0.7336478435058881,4
random_gap,existing_no_flat,pls_logit,96.0,8.0,0.003,1.0,0.6573191223815315,0.07323213494394792,0.7332992624836848,4
random_gap,existing_no_flat,pls_logit,96.0,12.0,0.001,1.0,0.678004502497501,0.09391751505991744,0.7413945264410424,4
random_gap,existing_no_flat,pls_logit,96.0,12.0,0.003,1.0,0.6562709145321437,0.07218392709456015,0.741597227450896,4
random_gap,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.1,0.5849426573401258,0.0008556699025422942,0.7749134499335496,4
random_gap,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.2,0.5891381806180392,0.00505119318045566,0.7735400579897755,4
random_gap,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.3,0.5947257527678081,0.010638765330224564,0.7735456948579826,4
random_gap,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.4,0.6012481647748448,0.01716117733726119,0.772381625914665,4
random_gap,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.5,0.6085414444864017,0.024454457048818184,0.7724727362251371,4
random_gap,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.7,0.6252596219143729,0.041172634476789316,0.7679974370096182,4
random_gap,existing_no_flat,raw,20.0,,0.001,1.0,0.5840869874375836,0.0,0.7749725884144305,4
random_gap,existing_no_flat,raw,20.0,,0.003,1.0,0.5720949951755516,-0.011991992262031986,0.7725280958866426,4
random_gap,existing_no_flat,raw,20.0,,0.01,1.0,0.5605246460628748,-0.023562341374708806,0.7693093826490767,4
random_gap,existing_no_flat,raw,32.0,,0.001,1.0,0.5834614269300648,-0.000625560507518802,0.7631237160857485,4
random_gap,existing_no_flat,raw,32.0,,0.003,1.0,0.5716033191205223,-0.01248366831706127,0.7590394612427795,4
random_gap,existing_no_flat,raw,32.0,,0.01,1.0,0.56299798486955,-0.02108900256803356,0.7571619819917165,4
random_gap,existing_no_flat,raw,48.0,,0.001,1.0,0.6072419327418087,0.023154945304225127,0.7586562187800878,4
random_gap,existing_no_flat,raw,48.0,,0.003,1.0,0.5941634816148345,0.010076494177250872,0.7579794075902722,4
random_gap,existing_no_flat,raw,48.0,,0.01,1.0,0.5876635175217252,0.0035765300841416048,0.7530432278099282,4
random_gap,existing_no_flat,raw,64.0,,0.001,1.0,0.6160024706078873,0.031915483170303766,0.7465291726926812,4
random_gap,existing_no_flat,raw,64.0,,0.003,1.0,0.6026840628002389,0.018597075362655313,0.744218414505156,4
random_gap,existing_no_flat,raw,64.0,,0.01,1.0,0.5948496913597162,0.01076270392213266,0.741985934652642,4
random_gap,existing_no_flat,raw_blend_base,32.0,,0.001,0.1,0.5839915258526842,-9.546158489937007e-05,0.774286934158301,4
