mask,scheme,target,normalized,n_cols,logloss,auc,modality
testpattern0,testpattern,S2,False,6,0.6437469257638432,0.5835126219162363,raw_ac
testpattern1,testpattern,S2,False,6,0.6785837667670941,0.5303368506493507,raw_ac
testpattern2,testpattern,S2,False,6,0.6458218403989405,0.561575643892937,raw_ac
tail,testpattern,S2,False,6,0.6741897833481807,0.4671428571428572,raw_ac
deep_interleaved_rank0,interleaved_rank,S2,False,6,0.6584304764500585,0.45222480784147806,raw_ac
deep_interleaved_rank1,interleaved_rank,S2,False,6,0.6551222929819865,0.470625,raw_ac
deep_interleaved_rank2,interleaved_rank,S2,False,6,0.6508939555577558,0.5275322671156004,raw_ac
testpattern0,testpattern,S3,False,6,0.6447564817386834,0.4860249554367201,raw_ac
testpattern1,testpattern,S3,False,6,0.6597422941656255,0.5084273527793066,raw_ac
testpattern2,testpattern,S3,False,6,0.6440035616234737,0.47227061556329847,raw_ac
tail,testpattern,S3,False,6,0.6513238227185766,0.5044334975369458,raw_ac
deep_interleaved_rank0,interleaved_rank,S3,False,6,0.6404175377239758,0.5397157492244427,raw_ac
deep_interleaved_rank1,interleaved_rank,S3,False,6,0.6426212560129223,0.444232017891927,raw_ac
deep_interleaved_rank2,interleaved_rank,S3,False,6,0.6511895556115233,0.44931958473625133,raw_ac
testpattern0,testpattern,S4,False,6,0.6868147210221582,0.6019967793880838,raw_ac
testpattern1,testpattern,S4,False,6,0.6888486219837722,0.6000644122383254,raw_ac
testpattern2,testpattern,S4,False,6,0.6824433356848784,0.5463595549482725,raw_ac
tail,testpattern,S4,False,6,0.694436511019748,0.5669683257918552,raw_ac
deep_interleaved_rank0,interleaved_rank,S4,False,6,0.6908206103410053,0.40520178197064993,raw_ac
deep_interleaved_rank1,interleaved_rank,S4,False,6,0.6923755717606463,0.5733885997043892,raw_ac
deep_interleaved_rank2,interleaved_rank,S4,False,6,0.6825147122519939,0.5759252070393375,raw_ac
testpattern0,testpattern,Q1,True,6,0.6980628296128167,0.512896,raw_ac
testpattern1,testpattern,Q1,True,6,0.6991021941525553,0.5159843679928247,raw_ac
testpattern2,testpattern,Q1,True,6,0.691689737886039,0.5141156135970808,raw_ac
tail,testpattern,Q1,True,6,0.7042949587099708,0.4758672699849171,raw_ac
deep_interleaved_rank0,interleaved_rank,Q1,True,6,0.6962922587783406,0.5061443932411673,raw_ac
deep_interleaved_rank1,interleaved_rank,Q1,True,6,0.705550205169927,0.5085791401580875,raw_ac
deep_interleaved_rank2,interleaved_rank,Q1,True,6,0.7042066777431167,0.4901018643090525,raw_ac
testpattern0,testpattern,Q2,True,6,0.6830181241329254,0.5759284464320436,raw_ac
testpattern1,testpattern,Q2,True,6,0.6817874641051397,0.5750410509031199,raw_ac
testpattern2,testpattern,Q2,True,6,0.6943628135300378,0.5561038961038961,raw_ac
tail,testpattern,Q2,True,6,0.6839041501485126,0.5504162812210915,raw_ac
deep_interleaved_rank0,interleaved_rank,Q2,True,6,0.6914225773913187,0.6031264739572806,raw_ac
deep_interleaved_rank1,interleaved_rank,Q2,True,6,0.6903541275013976,0.5539070891514501,raw_ac
deep_interleaved_rank2,interleaved_rank,Q2,True,6,0.6799061278593623,0.6043590936274836,raw_ac
testpattern0,testpattern,Q3,True,6,0.6758211961073279,0.5249646250252679,raw_ac
testpattern1,testpattern,Q3,True,6,0.6773758604038669,0.4663968176425431,raw_ac
testpattern2,testpattern,Q3,True,6,0.6733681421911345,0.5472666666666667,raw_ac
tail,testpattern,Q3,True,6,0.6651998918575553,0.5579288025889967,raw_ac
deep_interleaved_rank0,interleaved_rank,Q3,True,6,0.6744751100301669,0.5561920349154392,raw_ac
deep_interleaved_rank1,interleaved_rank,Q3,True,6,0.6722543543054701,0.5616400660429279,raw_ac
deep_interleaved_rank2,interleaved_rank,Q3,True,6,0.6746471800342901,0.49785177228786254,raw_ac
testpattern0,testpattern,S1,True,6,0.6332922713287237,0.47327817531305905,raw_ac
testpattern1,testpattern,S1,True,6,0.6333159660374372,0.4588550983899821,raw_ac
testpattern2,testpattern,S1,True,6,0.6361017361199377,0.433451772892146,raw_ac
tail,testpattern,S1,True,6,0.6342682941364212,0.4643104643104643,raw_ac
deep_interleaved_rank0,interleaved_rank,S1,True,6,0.64151225563105,0.42599897728102853,raw_ac
deep_interleaved_rank1,interleaved_rank,S1,True,6,0.6320259112401241,0.4987415796876157,raw_ac
deep_interleaved_rank2,interleaved_rank,S1,True,6,0.640808622561985,0.461246256118051,raw_ac
testpattern0,testpattern,S2,True,6,0.6548453097650471,0.49627079747561675,raw_ac
testpattern1,testpattern,S2,True,6,0.6852105956812257,0.43979978354978355,raw_ac
testpattern2,testpattern,S2,True,6,0.6553960174709297,0.47305389221556887,raw_ac
tail,testpattern,S2,True,6,0.683414848837745,0.41095238095238096,raw_ac
deep_interleaved_rank0,interleaved_rank,S2,True,6,0.6545932164164147,0.4510965376207602,raw_ac
deep_interleaved_rank1,interleaved_rank,S2,True,6,0.6629675984656417,0.4430555555555556,raw_ac
deep_interleaved_rank2,interleaved_rank,S2,True,6,0.654043990072553,0.4710297418630751,raw_ac
testpattern0,testpattern,S3,True,6,0.6482824019953982,0.5051336898395722,raw_ac
testpattern1,testpattern,S3,True,6,0.656652584821977,0.5339157952669235,raw_ac
testpattern2,testpattern,S3,True,6,0.6404524420253215,0.5820630081300812,raw_ac
tail,testpattern,S3,True,6,0.6532712869989735,0.49885057471264366,raw_ac
deep_interleaved_rank0,interleaved_rank,S3,True,6,0.6435711005634187,0.5334752182382223,raw_ac
deep_interleaved_rank1,interleaved_rank,S3,True,6,0.6443044554658774,0.4838034773825842,raw_ac
deep_interleaved_rank2,interleaved_rank,S3,True,6,0.6576586337915898,0.47418630751964086,raw_ac
testpattern0,testpattern,S4,True,6,0.6906319589353831,0.5363607085346216,raw_ac
testpattern1,testpattern,S4,True,6,0.7110055345127881,0.44405797101449274,raw_ac
testpattern2,testpattern,S4,True,6,0.6861929705543446,0.4875398529507449,raw_ac
tail,testpattern,S4,True,6,0.7106295121661172,0.45233785822021116,raw_ac
deep_interleaved_rank0,interleaved_rank,S4,True,6,0.6925215634212455,0.47811844863731656,raw_ac
deep_interleaved_rank1,interleaved_rank,S4,True,6,0.6998038976482365,0.4910995437311227,raw_ac
deep_interleaved_rank2,interleaved_rank,S4,True,6,0.6894748586530347,0.49288302277432716,raw_ac
testpattern0,testpattern,Q1,False,6,0.7206231978715614,0.451424,raw_screen
testpattern1,testpattern,Q1,False,6,0.696775793139635,0.5010250496508424,raw_screen
testpattern2,testpattern,Q1,False,6,0.6962422731615328,0.4863325011202868,raw_screen
tail,testpattern,Q1,False,6,0.700536291998795,0.5092006033182503,raw_screen
deep_interleaved_rank0,interleaved_rank,Q1,False,6,0.6939161642148968,0.542626728110599,raw_screen
deep_interleaved_rank1,interleaved_rank,Q1,False,6,0.7058462914729853,0.49132446500867555,raw_screen
deep_interleaved_rank2,interleaved_rank,Q1,False,6,0.7111932956676669,0.4508937151643283,raw_screen
testpattern0,testpattern,Q2,False,6,0.7177422075419975,0.4876855272538726,raw_screen
testpattern1,testpattern,Q2,False,6,0.7056390333578949,0.4858784893267652,raw_screen
testpattern2,testpattern,Q2,False,6,0.7201962559228879,0.5146103896103896,raw_screen
tail,testpattern,Q2,False,6,0.7117487660249797,0.48381128584643845,raw_screen
deep_interleaved_rank0,interleaved_rank,Q2,False,6,0.7537703985908238,0.44633110976349305,raw_screen
deep_interleaved_rank1,interleaved_rank,Q2,False,6,0.7204099168566065,0.48543233082706766,raw_screen
deep_interleaved_rank2,interleaved_rank,Q2,False,6,0.7073833714382697,0.49910293042727094,raw_screen
testpattern0,testpattern,Q3,False,6,0.6788799167740203,0.4551916986725962,raw_screen
testpattern1,testpattern,Q3,False,6,0.6744879921138868,0.5504920092120874,raw_screen
testpattern2,testpattern,Q3,False,6,0.6739935435551486,0.5310666666666667,raw_screen
tail,testpattern,Q3,False,6,0.6727756326014424,0.41310679611650486,raw_screen
deep_interleaved_rank0,interleaved_rank,Q3,False,6,0.6883102034005293,0.383456082924168,raw_screen
deep_interleaved_rank1,interleaved_rank,Q3,False,6,0.6945294645579276,0.4142473858007705,raw_screen
deep_interleaved_rank2,interleaved_rank,Q3,False,6,0.6810085951397823,0.4266917293233083,raw_screen
testpattern0,testpattern,S1,False,6,0.6100288192324477,0.7099731663685152,raw_screen
testpattern1,testpattern,S1,False,6,0.6074242268707472,0.6472495527728086,raw_screen
testpattern2,testpattern,S1,False,6,0.6071454999722748,0.6443852246650381,raw_screen
tail,testpattern,S1,False,6,0.604845475119395,0.6654539154539155,raw_screen
deep_interleaved_rank0,interleaved_rank,S1,False,6,0.6112926285347791,0.672437723719775,raw_screen
deep_interleaved_rank1,interleaved_rank,S1,False,6,0.601608673228618,0.6516026352801836,raw_screen
deep_interleaved_rank2,interleaved_rank,S1,False,6,0.61069952460769,0.7071371173935277,raw_screen
testpattern0,testpattern,S2,False,6,0.6406588962550605,0.690798909925416,raw_screen
testpattern1,testpattern,S2,False,6,0.6543437065336397,0.6144142316017316,raw_screen
testpattern2,testpattern,S2,False,6,0.6380441703094044,0.5785296876127264,raw_screen
tail,testpattern,S2,False,6,0.6484972999974135,0.6501587301587302,raw_screen
deep_interleaved_rank0,interleaved_rank,S2,False,6,0.6393548459320623,0.6380720682603483,raw_screen
deep_interleaved_rank1,interleaved_rank,S2,False,6,0.6371571800314637,0.6152083333333334,raw_screen
deep_interleaved_rank2,interleaved_rank,S2,False,6,0.6410258895053701,0.6379419191919191,raw_screen
testpattern0,testpattern,S3,False,6,0.6464587751454528,0.4633155080213904,raw_screen
testpattern1,testpattern,S3,False,6,0.6574383477227801,0.5455764997248211,raw_screen
testpattern2,testpattern,S3,False,6,0.6372331841234227,0.57767131242741,raw_screen
tail,testpattern,S3,False,6,0.6465731857745032,0.558128078817734,raw_screen
deep_interleaved_rank0,interleaved_rank,S3,False,6,0.6447473523698093,0.438821152874973,raw_screen
deep_interleaved_rank1,interleaved_rank,S3,False,6,0.637100551162059,0.566878291609552,raw_screen
deep_interleaved_rank2,interleaved_rank,S3,False,6,0.6451551999034427,0.5687079124579125,raw_screen
testpattern0,testpattern,S4,False,6,0.6831705962057918,0.5699194847020934,raw_screen
testpattern1,testpattern,S4,False,6,0.6909773075433179,0.5434460547504024,raw_screen
testpattern2,testpattern,S4,False,6,0.6874067615725582,0.5397228186609409,raw_screen
tail,testpattern,S4,False,6,0.7021863870448594,0.5279034690799397,raw_screen
deep_interleaved_rank0,interleaved_rank,S4,False,6,0.680625374208079,0.5666601153039833,raw_screen
deep_interleaved_rank1,interleaved_rank,S4,False,6,0.6906375159842346,0.5646166698798277,raw_screen
deep_interleaved_rank2,interleaved_rank,S4,False,6,0.6832115021783592,0.5633410973084885,raw_screen
testpattern0,testpattern,Q1,True,6,0.6968735631442814,0.534912,raw_screen
testpattern1,testpattern,Q1,True,6,0.698957859256838,0.5050291498494458,raw_screen
testpattern2,testpattern,Q1,True,6,0.6901576634721901,0.5459957749183791,raw_screen
tail,testpattern,Q1,True,6,0.7014443624014847,0.510105580693816,raw_screen
deep_interleaved_rank0,interleaved_rank,Q1,True,6,0.699285500938631,0.4969918074756784,raw_screen
deep_interleaved_rank1,interleaved_rank,Q1,True,6,0.7031797230672846,0.5097358781569309,raw_screen
deep_interleaved_rank2,interleaved_rank,Q1,True,6,0.7012426252074097,0.5269395861362034,raw_screen
testpattern0,testpattern,Q2,True,6,0.6939461233601572,0.5320500356471579,raw_screen
testpattern1,testpattern,Q2,True,6,0.6841331007185191,0.56440065681445,raw_screen
testpattern2,testpattern,Q2,True,6,0.6919745146033865,0.5723376623376624,raw_screen
tail,testpattern,Q2,True,6,0.6807381131699671,0.5864939870490287,raw_screen
deep_interleaved_rank0,interleaved_rank,Q2,True,6,0.7070917571176987,0.5260427194932957,raw_screen
deep_interleaved_rank1,interleaved_rank,Q2,True,6,0.6941116613397315,0.5765306122448981,raw_screen
deep_interleaved_rank2,interleaved_rank,Q2,True,6,0.6851297793186102,0.562695195694066,raw_screen
testpattern0,testpattern,Q3,True,6,0.6753700702224518,0.501516070345664,raw_screen
testpattern1,testpattern,Q3,True,6,0.6784203733358551,0.4603252145997628,raw_screen
testpattern2,testpattern,Q3,True,6,0.6742853315372995,0.4947333333333333,raw_screen
tail,testpattern,Q3,True,6,0.666476825921338,0.5527508090614887,raw_screen
deep_interleaved_rank0,interleaved_rank,Q3,True,6,0.6759647949132251,0.49345335515548283,raw_screen
deep_interleaved_rank1,interleaved_rank,Q3,True,6,0.6806109594330318,0.49807374793615855,raw_screen
deep_interleaved_rank2,interleaved_rank,Q3,True,6,0.6761739867154971,0.49570354457572496,raw_screen
testpattern0,testpattern,S1,True,6,0.6302405428739374,0.560226595110316,raw_screen
testpattern1,testpattern,S1,True,6,0.6315982455827028,0.5298896839594515,raw_screen
testpattern2,testpattern,S1,True,6,0.6288070144537065,0.5309793471019321,raw_screen
tail,testpattern,S1,True,6,0.6356805417677396,0.49982674982674985,raw_screen
deep_interleaved_rank0,interleaved_rank,S1,True,6,0.6345411681967807,0.5352472788370225,raw_screen
deep_interleaved_rank1,interleaved_rank,S1,True,6,0.6315502250943318,0.5237249241246577,raw_screen
deep_interleaved_rank2,interleaved_rank,S1,True,6,0.6317356261804176,0.5557747096208635,raw_screen
testpattern0,testpattern,S2,True,6,0.6546563064701101,0.46313826735513486,raw_screen
testpattern1,testpattern,S2,True,6,0.675924850681487,0.4502840909090909,raw_screen
testpattern2,testpattern,S2,True,6,0.6541202623455035,0.44592742226390597,raw_screen
tail,testpattern,S2,True,6,0.6740452758667776,0.43714285714285717,raw_screen
deep_interleaved_rank0,interleaved_rank,S2,True,6,0.6571463667426404,0.4016641985755589,raw_screen
deep_interleaved_rank1,interleaved_rank,S2,True,6,0.6661955147237447,0.4515277777777778,raw_screen
deep_interleaved_rank2,interleaved_rank,S2,True,6,0.6612953957072608,0.4194725028058361,raw_screen
testpattern0,testpattern,S3,True,6,0.6487799467851889,0.49290552584670233,raw_screen
testpattern1,testpattern,S3,True,6,0.669327213914692,0.4610621904237755,raw_screen
testpattern2,testpattern,S3,True,6,0.6419386815906974,0.523664343786295,raw_screen
tail,testpattern,S3,True,6,0.6631065136126031,0.4553366174055829,raw_screen
deep_interleaved_rank0,interleaved_rank,S3,True,6,0.6513818800717966,0.4575427458336339,raw_screen
deep_interleaved_rank1,interleaved_rank,S3,True,6,0.6436351634879199,0.5260803693817184,raw_screen
deep_interleaved_rank2,interleaved_rank,S3,True,6,0.6513995072034909,0.5227974186307519,raw_screen
testpattern0,testpattern,S4,True,6,0.6896683059548061,0.5274074074074074,raw_screen
testpattern1,testpattern,S4,True,6,0.6942501031118532,0.49797101449275366,raw_screen
testpattern2,testpattern,S4,True,6,0.6860677112705784,0.5148675906044635,raw_screen
tail,testpattern,S4,True,6,0.708114243634011,0.4392156862745098,raw_screen
deep_interleaved_rank0,interleaved_rank,S4,True,6,0.6884510136854799,0.4519785115303983,raw_screen
deep_interleaved_rank1,interleaved_rank,S4,True,6,0.6942512157382317,0.5173832015937279,raw_screen
deep_interleaved_rank2,interleaved_rank,S4,True,6,0.6869425575481835,0.5181806418219461,raw_screen
testpattern0,testpattern,Q1,False,6,0.7084145583279529,0.52528,raw_act
testpattern1,testpattern,Q1,False,6,0.6903126596419777,0.5382151322954706,raw_act
testpattern2,testpattern,Q1,False,6,0.694330045223385,0.47906664106011143,raw_act
tail,testpattern,Q1,False,6,0.6989913615136156,0.5235294117647058,raw_act
deep_interleaved_rank0,interleaved_rank,Q1,False,6,0.7058564274989513,0.5588837685611878,raw_act
deep_interleaved_rank1,interleaved_rank,Q1,False,6,0.7073434924570142,0.5239059186427607,raw_act
deep_interleaved_rank2,interleaved_rank,Q1,False,6,0.7070513510391634,0.507399577167019,raw_act
testpattern0,testpattern,Q2,False,6,0.7009387510783508,0.5060600168513837,raw_act
testpattern1,testpattern,Q2,False,6,0.6839172991134796,0.527783251231527,raw_act
testpattern2,testpattern,Q2,False,6,0.7074135554907329,0.5468181818181819,raw_act
tail,testpattern,Q2,False,6,0.699176001430542,0.48766574159728643,raw_act
deep_interleaved_rank0,interleaved_rank,Q2,False,6,0.7160793178142113,0.48726500909642206,raw_act
deep_interleaved_rank1,interleaved_rank,Q2,False,6,0.7091471502874505,0.4715359828141783,raw_act
deep_interleaved_rank2,interleaved_rank,Q2,False,6,0.6875016785164436,0.5100671140939597,raw_act
testpattern0,testpattern,Q3,False,6,0.6803580872774183,0.5023920221009366,raw_act
testpattern1,testpattern,Q3,False,6,0.6768813423301965,0.539186265615186,raw_act
testpattern2,testpattern,Q3,False,6,0.6774131780480591,0.5149333333333334,raw_act
tail,testpattern,Q3,False,6,0.6832702493904295,0.4862459546925566,raw_act
deep_interleaved_rank0,interleaved_rank,Q3,False,6,0.6743658121917082,0.517253136933988,raw_act
deep_interleaved_rank1,interleaved_rank,Q3,False,6,0.6806880188058448,0.5202944413869015,raw_act
deep_interleaved_rank2,interleaved_rank,Q3,False,6,0.6879827897019125,0.4950322234156821,raw_act
testpattern0,testpattern,S1,False,6,0.6233286705632649,0.5867993440667858,raw_act
testpattern1,testpattern,S1,False,6,0.6286691873524066,0.5234048896839595,raw_act
testpattern2,testpattern,S1,False,6,0.6294652772937483,0.5263898141979421,raw_act
tail,testpattern,S1,False,6,0.6332370209513289,0.5480769230769231,raw_act
deep_interleaved_rank0,interleaved_rank,S1,False,6,0.6467042304158104,0.46683468478340284,raw_act
deep_interleaved_rank1,interleaved_rank,S1,False,6,0.6291305201141936,0.5255015175068473,raw_act
deep_interleaved_rank2,interleaved_rank,S1,False,6,0.6413562558516794,0.5119073708817299,raw_act
testpattern0,testpattern,S2,False,6,0.6569172456935418,0.4378944348823867,raw_act
testpattern1,testpattern,S2,False,6,0.6839333532588756,0.49164637445887444,raw_act
testpattern2,testpattern,S2,False,6,0.6474206217360947,0.5340884496068105,raw_act
tail,testpattern,S2,False,6,0.6811122146985175,0.4625396825396826,raw_act
deep_interleaved_rank0,interleaved_rank,S2,False,6,0.6613074642584388,0.4140751710034553,raw_act
deep_interleaved_rank1,interleaved_rank,S2,False,6,0.6572733981767335,0.47375,raw_act
deep_interleaved_rank2,interleaved_rank,S2,False,6,0.660598852214551,0.45279180695847365,raw_act
testpattern0,testpattern,S3,False,6,0.6488006514271949,0.5267379679144385,raw_act
testpattern1,testpattern,S3,False,6,0.662040597020459,0.508599339570721,raw_act
testpattern2,testpattern,S3,False,6,0.6412595935485371,0.5360046457607434,raw_act
tail,testpattern,S3,False,6,0.6485934254784262,0.5503284072249589,raw_act
deep_interleaved_rank0,interleaved_rank,S3,False,6,0.6504949579511006,0.5002885794675709,raw_act
deep_interleaved_rank1,interleaved_rank,S3,False,6,0.6432745190605667,0.5154750739484886,raw_act
deep_interleaved_rank2,interleaved_rank,S3,False,6,0.6508559109423266,0.5129419191919191,raw_act
testpattern0,testpattern,S4,False,6,0.6933433412448273,0.5073752012882448,raw_act
testpattern1,testpattern,S4,False,6,0.6989729141756594,0.5249919484702094,raw_act
testpattern2,testpattern,S4,False,6,0.6863787532749802,0.5270674734855879,raw_act
tail,testpattern,S4,False,6,0.6999334275473402,0.5165912518853695,raw_act
deep_interleaved_rank0,interleaved_rank,S4,False,6,0.6906665860562667,0.4753996331236897,raw_act
deep_interleaved_rank1,interleaved_rank,S4,False,6,0.7018176597190087,0.46555491292333395,raw_act
deep_interleaved_rank2,interleaved_rank,S4,False,6,0.6896350769343245,0.5461956521739131,raw_act
testpattern0,testpattern,Q1,True,6,0.7097399986532446,0.512544,raw_act
testpattern1,testpattern,Q1,True,6,0.6974958398017751,0.5199244025882503,raw_act
testpattern2,testpattern,Q1,True,6,0.7033921624886824,0.48137123103514495,raw_act
tail,testpattern,Q1,True,6,0.7137553642701674,0.5152337858220211,raw_act
deep_interleaved_rank0,interleaved_rank,Q1,True,6,0.6930898673140462,0.5628840245775729,raw_act
deep_interleaved_rank1,interleaved_rank,Q1,True,6,0.7251452930543472,0.5149733307628044,raw_act
deep_interleaved_rank2,interleaved_rank,Q1,True,6,0.7229009419657311,0.5016336728810302,raw_act
testpattern0,testpattern,Q2,True,6,0.702524329600703,0.5254391081729212,raw_act
testpattern1,testpattern,Q2,True,6,0.6781511712450385,0.5582266009852217,raw_act
testpattern2,testpattern,Q2,True,6,0.7049291367435562,0.5480519480519481,raw_act
tail,testpattern,Q2,True,6,0.7136286594285906,0.48149861239592967,raw_act
deep_interleaved_rank0,interleaved_rank,Q2,True,6,0.6942225760058826,0.5674145947038609,raw_act
deep_interleaved_rank1,interleaved_rank,Q2,True,6,0.7144049508438394,0.486170784103115,raw_act
deep_interleaved_rank2,interleaved_rank,Q2,True,6,0.6853191123385464,0.5518639112233371,raw_act
testpattern0,testpattern,Q3,True,6,0.6821908499368842,0.4925544100801833,raw_act
testpattern1,testpattern,Q3,True,6,0.6780345744672281,0.5128759857631378,raw_act
testpattern2,testpattern,Q3,True,6,0.6786783861530711,0.5006666666666666,raw_act
tail,testpattern,Q3,True,6,0.681142992365245,0.4741100323624595,raw_act
deep_interleaved_rank0,interleaved_rank,Q3,True,6,0.682390381797582,0.5001363884342609,raw_act
deep_interleaved_rank1,interleaved_rank,Q3,True,6,0.6806637997543857,0.5093560814529444,raw_act
deep_interleaved_rank2,interleaved_rank,Q3,True,6,0.6775531330726846,0.529470998925886,raw_act
testpattern0,testpattern,S1,True,6,0.6296009387001873,0.5215414430530709,raw_act
testpattern1,testpattern,S1,True,6,0.6388910297707671,0.5010435301132976,raw_act
testpattern2,testpattern,S1,True,6,0.6430669741351369,0.46369087275149906,raw_act
tail,testpattern,S1,True,6,0.6393056655289941,0.49982674982674985,raw_act
deep_interleaved_rank0,interleaved_rank,S1,True,6,0.6549055786589647,0.47256921615895975,raw_act
deep_interleaved_rank1,interleaved_rank,S1,True,6,0.6683370969307021,0.4861943889259012,raw_act
deep_interleaved_rank2,interleaved_rank,S1,True,6,0.6526313542246327,0.4649718752282855,raw_act
testpattern0,testpattern,S2,True,6,0.6553637551243484,0.487736660929432,raw_act
testpattern1,testpattern,S2,True,6,0.6957834693828455,0.4000270562770563,raw_act
testpattern2,testpattern,S2,True,6,0.6532194411564133,0.4885650385975038,raw_act
tail,testpattern,S2,True,6,0.6732018740997235,0.47809523809523813,raw_act
deep_interleaved_rank0,interleaved_rank,S2,True,6,0.6675469053629414,0.43614695719624846,raw_act
deep_interleaved_rank1,interleaved_rank,S2,True,6,0.6592207808875185,0.479375,raw_act
deep_interleaved_rank2,interleaved_rank,S2,True,6,0.6604116176474503,0.43609708193041524,raw_act
testpattern0,testpattern,S3,True,6,0.657575953961575,0.4978966131907309,raw_act
testpattern1,testpattern,S3,True,6,0.6663766951323519,0.5381122729774354,raw_act
testpattern2,testpattern,S3,True,6,0.6428228843786896,0.5431184668989547,raw_act
tail,testpattern,S3,True,6,0.6555407048599393,0.5344827586206897,raw_act
deep_interleaved_rank0,interleaved_rank,S3,True,6,0.6764626362527149,0.4809176827068754,raw_act
deep_interleaved_rank1,interleaved_rank,S3,True,6,0.6423021579747102,0.5194430416275881,raw_act
deep_interleaved_rank2,interleaved_rank,S3,True,6,0.6511622830614717,0.5340207631874297,raw_act
testpattern0,testpattern,S4,True,6,0.6914285427428741,0.5401610305958132,raw_act
testpattern1,testpattern,S4,True,6,0.7041543598425233,0.5366505636070854,raw_act
testpattern2,testpattern,S4,True,6,0.6840878167058981,0.5646105797384345,raw_act
tail,testpattern,S4,True,6,0.6958073814692933,0.5547511312217195,raw_act
deep_interleaved_rank0,interleaved_rank,S4,True,6,0.7025863708239999,0.5147078092243187,raw_act
deep_interleaved_rank1,interleaved_rank,S4,True,6,0.7084914492444709,0.5253839727523938,raw_act
deep_interleaved_rank2,interleaved_rank,S4,True,6,0.6863179129116157,0.5682906314699793,raw_act
testpattern0,testpattern,Q1,False,36,0.7042008618796473,0.515424,raw_pedo
testpattern1,testpattern,Q1,False,36,0.6969870327909464,0.5107309885322571,raw_pedo
testpattern2,testpattern,Q1,False,36,0.6987695806083943,0.49964790986492547,raw_pedo
tail,testpattern,Q1,False,36,0.6924401736620206,0.5487933634992459,raw_pedo
deep_interleaved_rank0,interleaved_rank,Q1,False,36,0.691890009925673,0.5214733742959549,raw_pedo
deep_interleaved_rank1,interleaved_rank,Q1,False,36,0.7060255561959421,0.5054623738834264,raw_pedo
deep_interleaved_rank2,interleaved_rank,Q1,False,36,0.6949140644887782,0.5180985328976873,raw_pedo
testpattern0,testpattern,Q2,False,36,0.6868314643824052,0.5454339231317649,raw_pedo
testpattern1,testpattern,Q2,False,36,0.6817145632687609,0.5643349753694581,raw_pedo
testpattern2,testpattern,Q2,False,36,0.6878902965921209,0.5455844155844156,raw_pedo
tail,testpattern,Q2,False,36,0.6857669193711019,0.526749922910885,raw_pedo
deep_interleaved_rank0,interleaved_rank,Q2,False,36,0.7062989481279546,0.5218314129775621,raw_pedo
deep_interleaved_rank1,interleaved_rank,Q2,False,36,0.7374860259331422,0.49714688506981736,raw_pedo
