fold,target,level,source_set,n_features,logloss
mirror_v1_seed1,Q3,4,S4_other_neighbor,28,0.7402408432076218
mirror_v1_seed1,Q3,5,S5_latent,29,0.7527206193779924
mirror_v1_seed1,Q3,6,S6_engineered,59,0.8741280104865464
mirror_v1_seed1,Q3,7,S7_coverage,79,0.8946964755223782
mirror_v1_seed1,Q3,8,S8_context_tokens,84,0.8878439915661175
mirror_v1_seed1,S1,0,S0_global,1,0.626746097635372
mirror_v1_seed1,S1,1,S1_subject,10,0.5556030382377075
mirror_v1_seed1,S1,2,S2_calendar,14,0.5557498246194258
mirror_v1_seed1,S1,3,S3_own_neighbor,16,0.5529773188795678
mirror_v1_seed1,S1,4,S4_other_neighbor,28,0.5808477401046911
mirror_v1_seed1,S1,5,S5_latent,29,0.588763771341239
mirror_v1_seed1,S1,6,S6_engineered,59,0.7360442838971502
mirror_v1_seed1,S1,7,S7_coverage,79,0.7687095245326455
mirror_v1_seed1,S1,8,S8_context_tokens,84,0.8139079664119461
mirror_v1_seed1,S2,0,S0_global,1,0.6669055024743188
mirror_v1_seed1,S2,1,S1_subject,10,0.560079792896024
mirror_v1_seed1,S2,2,S2_calendar,14,0.5635656685384066
mirror_v1_seed1,S2,3,S3_own_neighbor,16,0.5662684287010141
mirror_v1_seed1,S2,4,S4_other_neighbor,28,0.5664064482333641
mirror_v1_seed1,S2,5,S5_latent,29,0.6962308794372475
mirror_v1_seed1,S2,6,S6_engineered,59,0.7463177292039574
mirror_v1_seed1,S2,7,S7_coverage,79,0.7311210786048679
mirror_v1_seed1,S2,8,S8_context_tokens,84,0.7277951488976276
mirror_v1_seed1,S3,0,S0_global,1,0.6487084206055755
mirror_v1_seed1,S3,1,S1_subject,10,0.5464427494842975
mirror_v1_seed1,S3,2,S2_calendar,14,0.5518186905925397
mirror_v1_seed1,S3,3,S3_own_neighbor,16,0.5480612004346417
mirror_v1_seed1,S3,4,S4_other_neighbor,28,0.5508486282781728
mirror_v1_seed1,S3,5,S5_latent,29,0.5841817152540776
mirror_v1_seed1,S3,6,S6_engineered,59,0.6567091541385365
mirror_v1_seed1,S3,7,S7_coverage,79,0.6894898560371899
mirror_v1_seed1,S3,8,S8_context_tokens,84,0.6868076567500265
mirror_v1_seed1,S4,0,S0_global,1,0.6863330357706392
mirror_v1_seed1,S4,1,S1_subject,10,0.6152235180344867
mirror_v1_seed1,S4,2,S2_calendar,14,0.6222624709276853
mirror_v1_seed1,S4,3,S3_own_neighbor,16,0.6337685218898859
mirror_v1_seed1,S4,4,S4_other_neighbor,28,0.6454218662622596
mirror_v1_seed1,S4,5,S5_latent,29,0.6839395192832226
mirror_v1_seed1,S4,6,S6_engineered,59,0.7798338543848852
mirror_v1_seed1,S4,7,S7_coverage,79,0.8221384975293845
mirror_v1_seed1,S4,8,S8_context_tokens,84,0.825037532482133
mirror_v1_seed2,Q1,0,S0_global,1,0.6968183827148309
mirror_v1_seed2,Q1,1,S1_subject,10,0.7597553054457578
mirror_v1_seed2,Q1,2,S2_calendar,14,0.7718240225460705
mirror_v1_seed2,Q1,3,S3_own_neighbor,16,0.7763209343088381
mirror_v1_seed2,Q1,4,S4_other_neighbor,28,0.8021573341545
mirror_v1_seed2,Q1,5,S5_latent,29,0.8097918413763635
mirror_v1_seed2,Q1,6,S6_engineered,59,0.9533972898448381
mirror_v1_seed2,Q1,7,S7_coverage,79,0.9875559175096501
mirror_v1_seed2,Q1,8,S8_context_tokens,84,1.0226391320853483
mirror_v1_seed2,Q2,0,S0_global,1,0.6839811048841669
mirror_v1_seed2,Q2,1,S1_subject,10,0.7920424755707076
mirror_v1_seed2,Q2,2,S2_calendar,14,0.778967187967926
mirror_v1_seed2,Q2,3,S3_own_neighbor,16,0.7510227327379786
mirror_v1_seed2,Q2,4,S4_other_neighbor,28,0.7284903599423369
mirror_v1_seed2,Q2,5,S5_latent,29,0.7157007613736223
mirror_v1_seed2,Q2,6,S6_engineered,59,0.7561938179928714
mirror_v1_seed2,Q2,7,S7_coverage,79,0.7689321276800514
mirror_v1_seed2,Q2,8,S8_context_tokens,84,0.7810010320156439
mirror_v1_seed2,Q3,0,S0_global,1,0.6657887811236981
mirror_v1_seed2,Q3,1,S1_subject,10,0.7842293232508643
mirror_v1_seed2,Q3,2,S2_calendar,14,0.7797539708086771
mirror_v1_seed2,Q3,3,S3_own_neighbor,16,0.7823261672972073
mirror_v1_seed2,Q3,4,S4_other_neighbor,28,0.8067528452098074
mirror_v1_seed2,Q3,5,S5_latent,29,0.7987094766725351
mirror_v1_seed2,Q3,6,S6_engineered,59,0.9169150274240371
mirror_v1_seed2,Q3,7,S7_coverage,79,0.9461810120200396
mirror_v1_seed2,Q3,8,S8_context_tokens,84,0.9912783072371898
mirror_v1_seed2,S1,0,S0_global,1,0.6192974259359335
mirror_v1_seed2,S1,1,S1_subject,10,0.5809936231408512
mirror_v1_seed2,S1,2,S2_calendar,14,0.5826834952570946
mirror_v1_seed2,S1,3,S3_own_neighbor,16,0.5791832790809143
mirror_v1_seed2,S1,4,S4_other_neighbor,28,0.6127063298457885
mirror_v1_seed2,S1,5,S5_latent,29,0.6219570146334683
mirror_v1_seed2,S1,6,S6_engineered,59,0.7629007424908841
mirror_v1_seed2,S1,7,S7_coverage,79,0.8008838502323492
mirror_v1_seed2,S1,8,S8_context_tokens,84,0.8065168277268068
mirror_v1_seed2,S2,0,S0_global,1,0.676410340559441
mirror_v1_seed2,S2,1,S1_subject,10,0.6267207673264247
mirror_v1_seed2,S2,2,S2_calendar,14,0.6298394865872392
mirror_v1_seed2,S2,3,S3_own_neighbor,16,0.6916484072326212
mirror_v1_seed2,S2,4,S4_other_neighbor,28,0.714176828470884
mirror_v1_seed2,S2,5,S5_latent,29,0.8924083798661273
mirror_v1_seed2,S2,6,S6_engineered,59,0.9313075783126532
mirror_v1_seed2,S2,7,S7_coverage,79,0.9326049864739491
mirror_v1_seed2,S2,8,S8_context_tokens,84,0.9234090196798896
mirror_v1_seed2,S3,0,S0_global,1,0.6776310619288279
mirror_v1_seed2,S3,1,S1_subject,10,0.6013985549006321
mirror_v1_seed2,S3,2,S2_calendar,14,0.6013767831516647
mirror_v1_seed2,S3,3,S3_own_neighbor,16,0.6040054624793858
mirror_v1_seed2,S3,4,S4_other_neighbor,28,0.6806991788955215
mirror_v1_seed2,S3,5,S5_latent,29,0.6967202348157269
mirror_v1_seed2,S3,6,S6_engineered,59,0.7869220681885967
mirror_v1_seed2,S3,7,S7_coverage,79,0.7883800841834984
mirror_v1_seed2,S3,8,S8_context_tokens,84,0.7990755500168581
mirror_v1_seed2,S4,0,S0_global,1,0.6877427064785232
mirror_v1_seed2,S4,1,S1_subject,10,0.6399666103973288
mirror_v1_seed2,S4,2,S2_calendar,14,0.655785331896445
mirror_v1_seed2,S4,3,S3_own_neighbor,16,0.6600190035197824
mirror_v1_seed2,S4,4,S4_other_neighbor,28,0.6723435215179213
mirror_v1_seed2,S4,5,S5_latent,29,0.678338856168711
mirror_v1_seed2,S4,6,S6_engineered,59,0.6970101772825346
mirror_v1_seed2,S4,7,S7_coverage,79,0.6950534519996601
mirror_v1_seed2,S4,8,S8_context_tokens,84,0.6972357565375968
