source,model,n,k,C,mean_delta,worst_delta,best_group_delta,groups,mean_auc
combo_existing_dayflat_axes,svd,4.0,,0.01,0.07450070189348647,0.10348384624553102,0.04117292589520551,4,0.4975853603719061
day_flat_hourly,svd,4.0,,0.03,0.07490017392800868,0.11819157856951112,0.02489685759907943,4,0.41951136813634793
combo_existing_dayflat,kmeans,4.0,,0.03,0.07494000372877514,0.11494596859084445,0.033302710953290314,4,0.5159228381673057
combo_existing_dayflat,pca,16.0,,0.003,0.07521772025387184,0.10962265462520226,0.034743696950933246,4,0.6520869182646096
combo_existing_dayflat,svd,16.0,,0.003,0.07523029302082582,0.10667543955158391,0.03633285791734039,4,0.6475454820141365
day_flat_hourly,raw_selectk,,12.0,0.001,0.07580036718880898,0.10425129240424487,0.039957469280251436,4,0.6461386051181901
existing_no_flat,kmeans,2.0,,0.03,0.07582999430589442,0.12211390117001804,0.023253558001372115,4,0.49586562391248795
day_flat_hourly,svd,4.0,,0.01,0.07585735094795278,0.11351586445150579,0.031443179232916375,4,0.4213236153142521
combo_existing_dayflat_axes,kmeans,4.0,,0.03,0.07644643939532045,0.12015684758215113,0.033339407637470765,4,0.49869775121178905
day_flat_hourly,raw_selectk,,8.0,0.001,0.0766702003216099,0.10498468492729562,0.03955904378071804,4,0.6568483783500048
combo_existing_dayflat_axes,kmeans,2.0,,0.03,0.07673538582643116,0.1198832357326061,0.030191659558636508,4,0.48554685211572185
combo_existing_dayflat,kmeans,8.0,,0.01,0.07710443465078513,0.11154799512994784,0.04264090202323275,4,0.5633993716903809
existing_no_flat,pca,8.0,,0.003,0.07740582922062497,0.10986498500826936,0.03785748432139655,4,0.6210022393399609
day_flat_hourly,svd,16.0,,0.003,0.07761426261287278,0.11059626124577537,0.03863569899340622,4,0.5391707052654562
combo_existing_dayflat_axes,kmeans,8.0,,0.01,0.07778627348821812,0.11244382388710417,0.04417645332429412,4,0.5590776668274509
day_flat_hourly,raw_selectk,,60.0,0.001,0.07784841103677397,0.10811205329615652,0.04903786562327935,4,0.5511196657707903
day_flat_hourly,pca,16.0,,0.003,0.07833144593984781,0.1113229063717162,0.03892781778759271,4,0.5388139214658523
combo_existing_dayflat,kmeans,2.0,,0.01,0.07844611104589069,0.11511450790983917,0.0355244820332438,4,0.5118752561980289
existing_no_flat,pca,2.0,,0.003,0.07854687069511926,0.10803193382340966,0.04122687939614783,4,0.5803942347528426
day_flat_hourly,svd,8.0,,0.003,0.07879765368252921,0.11049909884363514,0.04056126521622786,4,0.5503549392771345
combo_existing_dayflat_axes,pca,8.0,,0.003,0.07890890856950178,0.11247320775982421,0.039680223539535396,4,0.6039918430720381
existing_no_flat,pca,4.0,,0.003,0.07899446221277323,0.10835468278399292,0.04187044563218584,4,0.5857802241755721
existing_no_flat,svd,8.0,,0.003,0.07928922449993343,0.10393943681427209,0.04755759405244845,4,0.6030807717679048
combo_existing_dayflat,pca,8.0,,0.003,0.07952531048100651,0.11250800325561756,0.03962830169972296,4,0.5943097667762478
combo_existing_dayflat,kmeans,4.0,,0.01,0.08000571057996639,0.11687395088578352,0.04018732768743977,4,0.513906962327753
existing_no_flat,svd,4.0,,0.003,0.08011653473891704,0.10440677763494888,0.05018705287216818,4,0.5869740989934116
combo_existing_dayflat,pca,4.0,,0.003,0.08027442282654838,0.11069865860073307,0.04175890324126558,4,0.5802742885928512
