state,rank,feature,family,std_mean_diff,direction
1,125,app_social_time__dev_roll3__subj_mean,screen_phone,-0.281418720005305,lower_in_state
1,126,ble_unique_addr__dev_weekday_mean__subj_z,location_context,0.2807891092531018,higher_in_state
1,127,ble_records_21_03__dev_weekday_mean__subj_mean,location_context,-0.2803910165033329,lower_in_state
1,128,ble_deviceclass_0_count__subj_z,location_context,0.2793736541473602,higher_in_state
1,129,app_browser_search_time__prev_abs_delta__subj_mean,screen_phone,-0.27824962763374966,lower_in_state
1,130,app_total_time__dev_weekday_mean__subj_mean,screen_phone,0.276821899078451,higher_in_state
1,131,app_browser_search_time__dev_roll7__subj_mean,screen_phone,-0.2765713369214413,lower_in_state
1,132,ble_unique_21_03__dev_roll3__subj_z,location_context,0.27602328876958243,higher_in_state
1,133,ble_unique_21_03__prev_delta,location_context,0.2663794072991952,higher_in_state
1,134,ble_unique_21_03__prev_delta__routine_deviation_features_v1,location_context,0.2663794072991952,higher_in_state
1,135,app_unique_count__dev_roll7__subj_mean,screen_phone,0.26627448179724594,higher_in_state
1,136,app_time_21_03__dev_weekday_mean__subj_z,screen_phone,0.26611930160904046,higher_in_state
1,137,app_total_time__dev_roll7__subj_mean,screen_phone,0.26562923877152567,higher_in_state
1,138,ble_unique_21_03__prev_delta__subj_delta,location_context,0.26490663350194144,higher_in_state
1,139,app_time_21_03__dev_weekday_mean__routine_deviation_features_v1,screen_phone,0.26266507349442897,higher_in_state
1,140,app_time_21_03__dev_weekday_mean__subj_delta,screen_phone,0.26266507349442897,higher_in_state
1,141,app_time_21_03__dev_weekday_mean,screen_phone,0.26266507349442897,higher_in_state
1,142,axis_morning_activation_prev14_mean,routine_axes,-0.2612541094146896,lower_in_state
1,143,app_media_time__dev_roll3__subj_delta,screen_phone,-0.26059821237249914,lower_in_state
1,144,axis_morning_activation_prev30_mean,routine_axes,-0.2605710243912593,lower_in_state
1,145,ble_rssi_mean,location_context,0.25947788195751337,higher_in_state
1,146,ble_unique_21_03__dev_roll7__subj_delta,location_context,0.2586343594019972,higher_in_state
1,147,amb_music_prob_21_03__weekday_vs_subject_mean__subj_mean,location_context,0.2585644237593535,higher_in_state
1,148,ble_unique_21_03__dev_roll7,location_context,0.25721709647176877,higher_in_state
1,149,ble_unique_21_03__dev_roll7__routine_deviation_features_v1,location_context,0.25721709647176877,higher_in_state
1,150,dyncl_dino_k10_cluster,ssl,0.2557347578286717,higher_in_state
1,151,dark_hours_count__sleep_block_features_v1,sleep_episode,-0.2543269508804089,lower_in_state
1,152,amb_music_prob_21_03__subj_mean,location_context,0.25329069306716795,higher_in_state
1,153,app_total_time__prev_abs_delta__subj_mean,screen_phone,-0.2532349322150974,lower_in_state
1,154,amb_speech_prob__dev_roll7__subj_mean,location_context,0.2532110992094516,higher_in_state
1,155,ble_records__dev_weekday_mean__subj_z,location_context,0.25283023613992706,higher_in_state
1,156,amb_outside_prob_21_03__dev_roll3__subj_mean,location_context,-0.25277869789670043,lower_in_state
1,157,ble_records_21_03__dev_weekday_mean,location_context,0.2526025807271395,higher_in_state
1,158,ble_records_21_03__dev_weekday_mean__routine_deviation_features_v1,location_context,0.2526025807271395,higher_in_state
1,159,ble_records_21_03__dev_weekday_mean__subj_delta,location_context,0.2526025807271395,higher_in_state
1,160,app_hourly_unique_max,screen_phone,-0.252480715359905,lower_in_state
2,1,app_media_time__prev_abs_delta__subj_mean,screen_phone,-0.5770720403948194,lower_in_state
2,2,app_media_time__subj_mean,screen_phone,-0.520350021298416,lower_in_state
2,3,amb_records__dev_weekday_mean__subj_mean,location_context,0.45519435820633253,higher_in_state
2,4,evening_mlight_mean__prev_abs_delta__subj_mean,heart_light,-0.4344001590456499,lower_in_state
2,5,app_records__prev_abs_delta__subj_mean,screen_phone,-0.43129642778788313,lower_in_state
2,6,app_unique_count__dev_roll7__subj_mean,screen_phone,-0.4270207429278283,lower_in_state
2,7,app_total_time__prev_abs_delta__subj_mean,screen_phone,-0.4253323329497273,lower_in_state
2,8,amb_speech_prob__dev_weekday_mean__subj_mean,location_context,0.4239233240817132,higher_in_state
2,9,amb_outside_prob__dev_weekday_mean__subj_mean,location_context,0.42387729146963904,higher_in_state
2,10,activity_n__dev_weekday_mean__subj_mean,activity_steps,0.4029084729313749,higher_in_state
2,11,app_browser_search_time,screen_phone,0.39873213886000164,higher_in_state
2,12,app_unique_count__dev_roll3__subj_mean,screen_phone,-0.39331452221630403,lower_in_state
2,13,app_top_share__prev_abs_delta__subj_mean,screen_phone,-0.38282007362166803,lower_in_state
2,14,ble_rssi_max__dev_weekday_mean__subj_mean,location_context,-0.3776244569812416,lower_in_state
2,15,app_active_hours__subj_mean,screen_phone,0.3728391618273271,higher_in_state
2,16,ble_deviceclass_1344_count__subj_mean,location_context,0.3728109319124103,higher_in_state
2,17,app_time_21_03__prev_abs_delta__subj_mean,screen_phone,-0.3717835812872459,lower_in_state
2,18,activity_n__weekday_vs_subject_mean__subj_mean,activity_steps,-0.3689218775172572,lower_in_state
2,19,app_top_share__dev_roll3__subj_mean,screen_phone,0.36442502156584944,higher_in_state
2,20,amb_inside_prob__weekday_vs_subject_mean__subj_mean,location_context,0.36243123867358906,higher_in_state
2,21,app_time_21_03__prev_delta__subj_mean,screen_phone,-0.3603138415611319,lower_in_state
2,22,app_unique_count__prev_delta__subj_mean,screen_phone,-0.35928705490429125,lower_in_state
2,23,amb_inside_prob__dev_weekday_mean__subj_mean,location_context,-0.3468910746445827,lower_in_state
2,24,gps_count__prev_abs_delta__subj_mean,location_context,-0.3468329821582809,lower_in_state
2,25,ble_records_21_03__dev_roll3__subj_mean,location_context,-0.3460972617132789,lower_in_state
2,26,app_time_21_03__dev_roll3__subj_mean,screen_phone,-0.3456653247006761,lower_in_state
2,27,amb_music_prob__dev_weekday_mean__subj_mean,location_context,-0.34309403319324794,lower_in_state
2,28,first_screen_hour_any__dev_roll3__subj_mean,screen_phone,0.3375364434979094,higher_in_state
2,29,first_screen_hour_any__prev_delta__subj_mean,screen_phone,0.32977743178276864,higher_in_state
2,30,evening_mlight_mean__dev_roll3__subj_mean,heart_light,0.3278483559354733,higher_in_state
2,31,app_total_time__weekday_vs_subject_mean__subj_mean,screen_phone,-0.3261331687272335,lower_in_state
2,32,app_browser_search_time__weekday_vs_subject_mean__subj_mean,screen_phone,-0.3261331687272309,lower_in_state
2,33,app_study_work_time__weekday_vs_subject_mean__subj_mean,screen_phone,0.326133168727229,higher_in_state
2,34,app_media_time__weekday_vs_subject_mean__subj_mean,screen_phone,-0.3261331687272287,lower_in_state
2,35,app_top_share__weekday_vs_subject_mean__subj_mean,screen_phone,0.3261331687272279,higher_in_state
2,36,app_unique_count__weekday_vs_subject_mean__subj_mean,screen_phone,-0.32613316872722653,lower_in_state
2,37,app_time_21_03__weekday_vs_subject_mean__subj_mean,screen_phone,0.3261331687272247,higher_in_state
2,38,app_social_time__weekday_vs_subject_mean__subj_mean,screen_phone,-0.32613316872722464,lower_in_state
2,39,app_records__weekday_vs_subject_mean__subj_mean,screen_phone,-0.32613316872721854,lower_in_state
2,40,app_top_time__weekday_vs_subject_mean__subj_mean,screen_phone,-0.3261331687272054,lower_in_state
2,41,amb_speech_prob_21_03__dev_roll7__subj_mean,location_context,-0.32550446759895196,lower_in_state
2,42,first_screen_hour_any__prev_abs_delta__subj_mean,screen_phone,0.324807400247887,higher_in_state
2,43,ble_records_21_03__dev_roll7__subj_mean,location_context,-0.32343392481840894,lower_in_state
2,44,ble_deviceclass_1064_count__subj_mean,location_context,0.32073925542088155,higher_in_state
2,45,app_active_hours,screen_phone,0.3202706424549173,higher_in_state
2,46,amb_vehicle_prob_21_03__dev_weekday_mean__subj_z,location_context,-0.31860431306658443,lower_in_state
2,47,app_media_time,screen_phone,-0.3141701612835175,lower_in_state
2,48,amb_speech_prob_21_03__dev_weekday_mean__subj_z,location_context,-0.31411626047205776,lower_in_state
2,49,app_time_21_03__dev_roll7__subj_mean,screen_phone,-0.3137407111235217,lower_in_state
