feature_family,feature_file,target,n,mean_delta,chrono_delta,hole_delta,mirror_delta,mean_abs_move,mean_features,mirror_hole_delta,worst_delta,consistent_gain,scout_score
goal4_hour_transition_features_v1,goal4_hour_transition_features_v1.parquet,S2,1260,-0.007214857063459689,-0.0037684013702343386,-0.003454516077292672,-0.014421653742852055,0.03613689883816776,81.0,-0.008938084910072364,-0.003454516077292672,True,-0.008938084910072364
prior_sleep_proxy_features_v1,prior_sleep_proxy_features_v1.parquet,S4,1260,-0.011797938263596652,-0.018881688027006405,-0.004330667443202578,-0.012181459320580975,0.0476529881051549,80.33333333333333,-0.008256063381891776,-0.004330667443202578,True,-0.008256063381891776
goal4_sleep_boundary_rest_features_v1,goal4_sleep_boundary_rest_features_v1.parquet,Q2,1260,-0.006377849531946509,-0.003344491497609625,-0.011963926092490973,-0.003825131005738928,0.028180072737762477,81.0,-0.007894528549114951,-0.003344491497609625,True,-0.007894528549114951
goal4_hour_transition_features_v1,goal4_hour_transition_features_v1.parquet,Q3,1260,-0.009091336642446953,-0.012445628640612383,-0.009406868978313368,-0.005421512308415107,0.042521737960763875,81.0,-0.007414190643364238,-0.005421512308415107,True,-0.007414190643364238
goal4_hour_transition_features_v1,goal4_hour_transition_features_v1.parquet,S3,1260,-0.004539484012732803,-0.00036921659380573235,-0.010172782379050727,-0.0030764530653419517,0.026937607988998774,81.0,-0.006624617722196339,-0.00036921659380573235,False,-0.006624617722196339
goal4_hour_transition_features_v1,goal4_hour_transition_features_v1.parquet,Q1,1260,-0.006131896790941665,-0.008030296233457338,-0.004235081561003125,-0.006130312578364531,0.03280671799070202,81.0,-0.005182697069683828,-0.004235081561003125,True,-0.005182697069683828
goal4_hour_transition_features_v1,goal4_hour_transition_features_v1.parquet,S4,1260,-0.0048944616899820265,-0.005914390627748493,-0.0017396001744613236,-0.007029394267736262,0.0418845918260704,81.0,-0.004384497221098793,-0.0017396001744613236,True,-0.004384497221098793
prior_sleep_proxy_features_v1,prior_sleep_proxy_features_v1.parquet,S3,1260,-0.004642164529040488,-0.006572002069964111,-0.004796744683165192,-0.002557746833992162,0.02807699111735352,80.33333333333333,-0.0036772457585786773,-0.002557746833992162,True,-0.0036772457585786773
prior_sleep_proxy_features_v1,prior_sleep_proxy_features_v1.parquet,S2,1260,-0.005495812026418727,-0.009416547796351185,-0.003512256808859323,-0.0035586314740456704,0.03195913785412742,80.33333333333333,-0.003535444141452497,-0.003512256808859323,True,-0.003535444141452497
goal4_hour_transition_features_v1,goal4_hour_transition_features_v1.parquet,Q2,1260,-0.0025170912908801923,-0.001412860611290978,-0.0005917215041917334,-0.005546691757157866,0.014802462624032354,81.0,-0.0030692066306748,-0.0005917215041917334,False,-0.0030692066306748
prior_sleep_window_features_v1,prior_sleep_window_features_v1.parquet,Q2,1260,-0.005102146124959665,-0.009708575715449289,-0.0012721996827808797,-0.004325662976648825,0.024710305248621403,81.0,-0.0027989313297148524,-0.0012721996827808797,True,-0.0027989313297148524
prior_sleep_proxy_features_v1,prior_sleep_proxy_features_v1.parquet,Q3,1260,-0.0027134730518966446,-0.003047914620841752,-0.0021060768871294933,-0.002986427647718689,0.01628523233588959,80.33333333333333,-0.0025462522674240913,-0.0021060768871294933,True,-0.0025462522674240913
prior_sleep_window_features_v1,prior_sleep_window_features_v1.parquet,Q3,1260,-0.006031691552283471,-0.014004856018336195,-0.00044196482384169694,-0.003648253814672523,0.029751470774063322,81.0,-0.00204510931925711,-0.00044196482384169694,False,-0.00204510931925711
goal4_sleep_boundary_rest_features_v1,goal4_sleep_boundary_rest_features_v1.parquet,Q3,1260,-0.0015259238178340444,-0.0015423106070750296,-0.0007508027688528651,-0.0022846580775742384,0.013078111183809563,81.0,-0.0015177304232135518,-0.0007508027688528651,False,-0.0015177304232135518
prior_sleep_window_features_v1,prior_sleep_window_features_v1.parquet,S3,1260,-0.0010365256854110408,-0.0003876028973270144,-0.00027187991127286537,-0.0024500942476332424,0.016425270939449246,81.0,-0.0013609870794530539,-0.00027187991127286537,False,-0.0013609870794530539
prior_sleep_proxy_features_v1,prior_sleep_proxy_features_v1.parquet,Q2,1260,-0.0003036518142840326,0.000568452022301306,0.00012438980109752418,-0.0016037972662509281,0.01094575642925018,80.33333333333333,-0.000739703732576702,0.000568452022301306,False,-0.000739703732576702
goal4_hour_transition_features_v1,goal4_hour_transition_features_v1.parquet,S1,1260,-0.0015512283147011757,-0.003568648743320857,-0.0016368006388737995,0.0005517644380911291,0.017046658755955815,81.0,-0.0005425181003913352,0.0005517644380911291,False,-0.0005425181003913352
goal4_sleep_boundary_rest_features_v1,goal4_sleep_boundary_rest_features_v1.parquet,S3,1260,-4.846248367561411e-05,-0.00040271715135224245,0.0015022135439688074,-0.0012448838436434073,0.01284001328441375,81.0,0.00012866485016270002,0.0015022135439688074,False,0.00012866485016270002
