model,subset,n_features,k,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
rf300,semantic_v1,44,20,chrono_last_25,0.6439957099846708,0.6667385404794486,0.6799254349227744,0.6576371570701897,0.5900306152521116,0.6317569856590439,0.6084358335801854,0.6734454029289424
rf100,noflat_no_routine,520,100,chrono_last_30,0.6440235649243411,0.6639324516692352,0.6918564767050974,0.6381501795545685,0.5954799686827313,0.6453619057092984,0.6264534731610464,0.6469304989884106
extratrees300,noflat_no_routine,520,20,chrono_last_25,0.6441728819248146,0.7514151903000333,0.6613130380825158,0.7008246915168744,0.5396601869596358,0.5954877051114783,0.6066446234853082,0.6538647380178557
rf300,sleep,176,20,chrono_last_20,0.6443655825923232,0.6587544804156926,0.6981116583764712,0.6769764412300483,0.544830410821923,0.6568886314263558,0.647817424881983,0.627180030993789
extratrees100,noflat_no_routine,520,500,chrono_last_25,0.6444175884201206,0.729805548536297,0.6488705449371677,0.6925932381878678,0.5511226296844632,0.627691676733167,0.6312569847693493,0.6295824960925335
extratrees300,semantic_v1,44,20,chrono_last_25,0.6450377413217216,0.6790897358890742,0.6720705766134698,0.6604232071701643,0.5749841486031966,0.6421634319909144,0.6158165539552375,0.6707165350299948
rf100,semantic_v1,44,20,chrono_last_25,0.6451084374474069,0.66449344931925,0.6798529602147975,0.663311371945826,0.583635125775233,0.6361612776357113,0.6107576373011441,0.6775472399398863
extratrees100,noflat_no_routine,520,200,chrono_last_25,0.6453914752905618,0.7011229800594831,0.6522050847392217,0.699891959936112,0.5542465297220932,0.6490027021076066,0.6404022420692922,0.6208688284001241
extratrees300,noflat_no_routine,520,500,chrono_last_25,0.6461926880567328,0.741695617400572,0.6465730876500904,0.6901318094391186,0.5539408307702555,0.6278651041589213,0.6377282896277143,0.6254140773504575
extratrees300,noflat_no_routine,520,500,chrono_last_30,0.6462511892887066,0.6725952558853401,0.6738475158715321,0.637779009625275,0.5843410542703857,0.6753690012324415,0.6237424660007724,0.6560840221351996
rf300,noflat_no_routine,520,100,chrono_last_30,0.6468174674780894,0.6630509183077339,0.6979613123356655,0.6433398872727103,0.5948756066594355,0.6497990586303151,0.6280662498420595,0.6506292392987056
rf300,noflat_no_routine,520,20,chrono_last_30,0.6469076760724951,0.6918736183215302,0.6952393370916435,0.6526421339747563,0.5961902756003099,0.643607657408257,0.5835468850637265,0.6652538250472416
extratrees100,semantic_v1,44,20,chrono_last_25,0.6471329336243449,0.686804033153015,0.6697063376494207,0.6594960272387896,0.5770476995508792,0.6436501017394615,0.6183789442546525,0.6748473917841957
rf100,sleep,176,20,chrono_last_20,0.6471708505108345,0.6576013093497847,0.6972447392435782,0.683108587302056,0.550391840226496,0.6651627533012404,0.6472046758634555,0.6294820482892308
extratrees300,noflat_no_routine,520,200,chrono_last_25,0.6472287449057278,0.6971614508843855,0.6583245765597171,0.7011118673067993,0.554050604641974,0.6427421514505443,0.6502440074889763,0.626966556007698
rf100,noflat_no_routine,520,20,chrono_last_30,0.647805936580422,0.6895108713224727,0.7019965445308923,0.6561851356978745,0.5958670788612255,0.6445126633690583,0.5848809523031389,0.6616883099782915
extratrees100,noflat_no_routine,520,50,chrono_last_30,0.6484275067808544,0.6775715727379384,0.6853563410596637,0.6421090581570619,0.6090891851685185,0.6406617631907382,0.6302341479052929,0.6539704792467672
extratrees300,sleep,176,20,chrono_last_30,0.6487862085394985,0.6610466535495646,0.6770224687241986,0.6308963509274618,0.5734179920478769,0.7455032928762225,0.6001436185352416,0.6534730831159242
extratrees100,sleep,176,20,chrono_last_30,0.6490232345917324,0.6640794199134921,0.6737689174426117,0.6307667663024691,0.5755700012398286,0.7454783513422645,0.5976182778739677,0.6558809080274937
extratrees300,noflat_no_routine,520,50,chrono_last_30,0.6500297157135354,0.6805241818013664,0.6832381394558417,0.6425981155786907,0.6122191760049578,0.6460000948806307,0.6307463210428795,0.6548819812303809
extratrees100,noflat_no_routine,520,50,chrono_last_20,0.650252866512283,0.7180597269165834,0.7060151846697975,0.7067818967544012,0.5235316965707761,0.644614879813356,0.6614470515216502,0.5913196293394164
extratrees300,noflat_no_routine,520,50,chrono_last_20,0.6503942320197124,0.7150006513976163,0.7030284447599954,0.7097840220476624,0.5261353873282552,0.6448131674041242,0.661561660656544,0.5924362905437887
extratrees100,noflat_no_routine,520,500,chrono_last_30,0.6506966838811754,0.6811343803004395,0.6780652050052407,0.6405384815598595,0.590567235668669,0.6833150116965978,0.622811437705901,0.6584450352315203
extratrees100,semantic_v1,44,20,chrono_last_30,0.6511201807265069,0.6805292063914734,0.67225254065364,0.6448254507877101,0.6000374453577214,0.6552851548491972,0.6242562223530164,0.6806552446927889
extratrees100,noflat_no_routine,520,200,chrono_last_20,0.6511973651725638,0.6804121252828461,0.6730175497171855,0.7201680247695669,0.5612024967640385,0.6546421860836159,0.6821257750122734,0.5868133985784195
rf300,semantic_v1,44,20,chrono_last_30,0.6511992089952123,0.6693198956824451,0.682089367361134,0.6532197510470472,0.6006789412799912,0.6483588834766864,0.620897396914297,0.6838302272048852
extratrees100,noflat_no_routine,520,100,chrono_last_25,0.6512955601319559,0.7116921143783465,0.6666899000435349,0.6989608753132893,0.5580112642315446,0.625738263705336,0.6635897942901022,0.6343867089615371
extratrees300,semantic_v1,44,20,chrono_last_30,0.6516454116655828,0.6781507791820991,0.6696857210583882,0.6506144134139373,0.6025095926172614,0.6508809760350971,0.6243229640567514,0.6853534352955443
rf100,semantic_v1,44,20,chrono_last_20,0.6517260406774231,0.6626738258022307,0.6848976839382712,0.6806100567987479,0.5779049305945615,0.6692187476340103,0.6331755082240699,0.6536015317500701
extratrees300,noflat_no_routine,520,200,chrono_last_20,0.6518304540628114,0.6816729900022132,0.6804619749354623,0.7242543937154436,0.5474478288645294,0.6558546643691272,0.6841315683515523,0.5889897582013515
rf300,semantic_v1,44,20,chrono_last_20,0.6520962327588016,0.6611396452646092,0.6880961777836269,0.6840714437727217,0.5818958527061483,0.6629901757797503,0.6315396904442755,0.6549406435604793
rf300,noflat_no_routine,520,50,chrono_last_30,0.6521341866906817,0.6733186073540932,0.6934656784074767,0.6482006102471315,0.6177294901836683,0.6488876672106102,0.6249758296525479,0.6583614237792438
extratrees300,semantic_v1,44,20,chrono_last_20,0.6527265535432631,0.6719337206391047,0.6794570316460253,0.6773378222941869,0.5697494109882593,0.6646790688587546,0.6464158879031677,0.6595129324733432
extratrees300,noflat_no_routine,520,100,chrono_last_25,0.6527280713101192,0.7114397457463358,0.6633922804186152,0.7088843735636243,0.556617834612009,0.6252492926012397,0.6663177816813528,0.6371951905476577
extratrees300,noflat_no_routine,520,500,chrono_last_20,0.6528288570868966,0.6935814263684205,0.6798497465455151,0.7324953893063182,0.5475068622236037,0.6451425998316554,0.6734503047730783,0.5977756705596847
extratrees300,sleep,176,20,chrono_last_20,0.652945468554778,0.6769119615560091,0.7104568532584898,0.7192475983917608,0.5385759021929903,0.6682706953018108,0.6634006302440841,0.5937546389383008
rf100,noflat_no_routine,520,50,chrono_last_30,0.6532731218528803,0.670617796398784,0.6943309755631464,0.6479251631365577,0.6191322677669596,0.648484920412036,0.6301755115024759,0.6622452181902031
extratrees300,noflat_no_routine,520,100,chrono_last_20,0.6533804386657139,0.6885827683003046,0.6940944034616705,0.7166329741553166,0.5489420964660833,0.6500493669675932,0.6828891126000705,0.5924723487089589
extratrees100,noflat_no_routine,520,20,chrono_last_20,0.6537415868554615,0.7146500736284942,0.6846427000685043,0.739338570110336,0.5220913535754461,0.6182932541267833,0.6678341035631816,0.6293410529154849
extratrees100,noflat_no_routine,520,100,chrono_last_20,0.6540064104841898,0.6778871691549532,0.6959404729123342,0.7195341131352608,0.5535925994695577,0.6504195490274245,0.6877681663340821,0.592902803355716
extratrees100,sleep,176,20,chrono_last_20,0.654023278066724,0.6765700187126481,0.7106301216985199,0.7275702445342834,0.5420464209731665,0.6679111675422956,0.663450016806766,0.5899849561993882
rf100,semantic_v1,44,20,chrono_last_30,0.654146495605689,0.674436661642293,0.6810661143146038,0.6525859009212135,0.5994142742312387,0.6561773762438158,0.628002142537236,0.687342999349423
extratrees300,noflat_no_routine,520,200,chrono_last_30,0.6544415202228672,0.6688395991750068,0.6814603763896016,0.643931974175932,0.6002963689901855,0.6890595176152,0.6421582236528981,0.6553445815612462
extratrees300,noflat_no_routine,520,20,chrono_last_20,0.655157130180912,0.717578988175161,0.6827290452721693,0.7446295931393285,0.5221814109838732,0.6194218324747662,0.6702179883056009,0.6293410529154841
