fold_id,alpha,clip,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
chrono_last_20,10,0.08,0.6407465909984813,0.6690150473947182,0.6884680939004143,0.7260310953215585,0.5254299349160448,0.6269236603349132,0.6139735964055283,0.6353847087161921
chrono_last_20,20,0.0,0.6397857395426617,0.6714300681389129,0.6815517023797905,0.7071502980799891,0.5320997646048389,0.6356792955072419,0.6087922743777165,0.6417967737101425
chrono_last_20,20,0.03,0.6397857395426617,0.6714300681389129,0.6815517023797905,0.7071502980799891,0.5320997646048389,0.6356792955072419,0.6087922743777165,0.6417967737101425
chrono_last_20,20,0.05,0.6397857395426617,0.6714300681389129,0.6815517023797905,0.7071502980799891,0.5320997646048389,0.6356792955072419,0.6087922743777165,0.6417967737101425
chrono_last_20,20,0.08,0.6397857395426617,0.6714300681389129,0.6815517023797905,0.7071502980799891,0.5320997646048389,0.6356792955072419,0.6087922743777165,0.6417967737101425
chrono_last_20,50,0.0,0.6442065017608859,0.6788230987716799,0.6740288946735951,0.6838572992497053,0.5465915623635602,0.6559103290317524,0.6152302945668625,0.6550040336690462
chrono_last_20,50,0.03,0.6442065017608859,0.6788230987716799,0.6740288946735951,0.6838572992497053,0.5465915623635602,0.6559103290317524,0.6152302945668625,0.6550040336690462
chrono_last_20,50,0.05,0.6442065017608859,0.6788230987716799,0.6740288946735951,0.6838572992497053,0.5465915623635602,0.6559103290317524,0.6152302945668625,0.6550040336690462
chrono_last_20,50,0.08,0.6442065017608859,0.6788230987716799,0.6740288946735951,0.6838572992497053,0.5465915623635602,0.6559103290317524,0.6152302945668625,0.6550040336690462
chrono_last_25,0,0.0,0.6436023763326243,0.688579100643589,0.6751953270579161,0.7240396171569724,0.5359342705995521,0.6128279947505222,0.6147755861019639,0.6538647380178546
chrono_last_25,0,0.03,0.6436023763326243,0.688579100643589,0.6751953270579161,0.7240396171569724,0.5359342705995521,0.6128279947505222,0.6147755861019639,0.6538647380178546
chrono_last_25,0,0.05,0.6436023763326243,0.688579100643589,0.6751953270579161,0.7240396171569724,0.5359342705995521,0.6128279947505222,0.6147755861019639,0.6538647380178546
chrono_last_25,0,0.08,0.6429032228658514,0.688579100643589,0.6751953270579161,0.7240396171569724,0.5359342705995521,0.6128279947505222,0.6098815118345534,0.6538647380178546
chrono_last_25,1,0.0,0.641635820409146,0.6874385700323167,0.6741852312488472,0.7197124809502252,0.5362475427298439,0.612347880821494,0.6078692426880462,0.6536497943932493
chrono_last_25,1,0.03,0.641635820409146,0.6874385700323167,0.6741852312488472,0.7197124809502252,0.5362475427298439,0.612347880821494,0.6078692426880462,0.6536497943932493
chrono_last_25,1,0.05,0.641635820409146,0.6874385700323167,0.6741852312488472,0.7197124809502252,0.5362475427298439,0.612347880821494,0.6078692426880462,0.6536497943932493
chrono_last_25,1,0.08,0.6412103560826127,0.6874385700323167,0.6741852312488472,0.7197124809502252,0.5362475427298439,0.612347880821494,0.6048909924023128,0.6536497943932493
chrono_last_25,3,0.0,0.638791886569354,0.6857343292012623,0.6724915483971369,0.7122748096293497,0.5370652393232223,0.6120218545704066,0.598355684715419,0.6535997401486812
chrono_last_25,3,0.03,0.638791886569354,0.6857343292012623,0.6724915483971369,0.7122748096293497,0.5370652393232223,0.6120218545704066,0.598355684715419,0.6535997401486812
chrono_last_25,3,0.05,0.638791886569354,0.6857343292012623,0.6724915483971369,0.7122748096293497,0.5370652393232223,0.6120218545704066,0.598355684715419,0.6535997401486812
chrono_last_25,3,0.08,0.6387306958191815,0.6857343292012623,0.6724915483971369,0.7122748096293497,0.5370652393232223,0.6120218545704066,0.5979273494642116,0.6535997401486812
chrono_last_25,5,0.0,0.6369203225814465,0.6845809002052835,0.671147252360274,0.7061244896250295,0.5380574165668734,0.6122915987156751,0.5923637040867484,0.653876896510241
chrono_last_25,5,0.03,0.6369203225814465,0.6845809002052835,0.671147252360274,0.7061244896250295,0.5380574165668734,0.6122915987156751,0.5923637040867484,0.653876896510241
chrono_last_25,5,0.05,0.6369203225814465,0.6845809002052835,0.671147252360274,0.7061244896250295,0.5380574165668734,0.6122915987156751,0.5923637040867484,0.653876896510241
chrono_last_25,5,0.08,0.6369203225814465,0.6845809002052835,0.671147252360274,0.7061244896250295,0.5380574165668734,0.6122915987156751,0.5923637040867484,0.653876896510241
chrono_last_25,10,0.0,0.63462440300643,0.6831362051217755,0.6688489027010011,0.6946441184078466,0.5409088541259786,0.6144041932899629,0.5851491798939763,0.6552793675044696
chrono_last_25,10,0.03,0.63462440300643,0.6831362051217755,0.6688489027010011,0.6946441184078466,0.5409088541259786,0.6144041932899629,0.5851491798939763,0.6552793675044696
chrono_last_25,10,0.05,0.63462440300643,0.6831362051217755,0.6688489027010011,0.6946441184078466,0.5409088541259786,0.6144041932899629,0.5851491798939763,0.6552793675044696
chrono_last_25,10,0.08,0.63462440300643,0.6831362051217755,0.6688489027010011,0.6946441184078466,0.5409088541259786,0.6144041932899629,0.5851491798939763,0.6552793675044696
chrono_last_25,20,0.0,0.6343930851520722,0.683018521875428,0.6667606216495826,0.6810905400204265,0.546791006111851,0.6207001800723062,0.5834536716477198,0.6589370546871907
chrono_last_25,20,0.03,0.6343930851520722,0.683018521875428,0.6667606216495826,0.6810905400204265,0.546791006111851,0.6207001800723062,0.5834536716477198,0.6589370546871907
chrono_last_25,20,0.05,0.6343930851520722,0.683018521875428,0.6667606216495826,0.6810905400204265,0.546791006111851,0.6207001800723062,0.5834536716477198,0.6589370546871907
chrono_last_25,20,0.08,0.6343930851520722,0.683018521875428,0.6667606216495826,0.6810905400204265,0.546791006111851,0.6207001800723062,0.5834536716477198,0.6589370546871907
chrono_last_25,50,0.0,0.6399123676550619,0.6867818301073431,0.6663971715587425,0.6659153692768663,0.5601774570152692,0.6373598253071668,0.5947475827034463,0.6680073376165988
chrono_last_25,50,0.03,0.6399123676550619,0.6867818301073431,0.6663971715587425,0.6659153692768663,0.5601774570152692,0.6373598253071668,0.5947475827034463,0.6680073376165988
chrono_last_25,50,0.05,0.6399123676550619,0.6867818301073431,0.6663971715587425,0.6659153692768663,0.5601774570152692,0.6373598253071668,0.5947475827034463,0.6680073376165988
chrono_last_25,50,0.08,0.6399123676550619,0.6867818301073431,0.6663971715587425,0.6659153692768663,0.5601774570152692,0.6373598253071668,0.5947475827034463,0.6680073376165988
chrono_last_30,0,0.0,0.6492221150827164,0.6565060001026579,0.6935507103331117,0.6699340647655514,0.5876442729735186,0.6638679772804232,0.604777251678863,0.6682745284448891
chrono_last_30,0,0.03,0.6492221150827164,0.6565060001026579,0.6935507103331117,0.6699340647655514,0.5876442729735186,0.6638679772804232,0.604777251678863,0.6682745284448891
chrono_last_30,0,0.05,0.6492221150827164,0.6565060001026579,0.6935507103331117,0.6699340647655514,0.5876442729735186,0.6638679772804232,0.604777251678863,0.6682745284448891
