fold_family,target,mask,n,anchor_logloss,raw_model_logloss,best_logloss,best_delta_vs_anchor,best_mode,best_weight,best_temp,mean_abs_move
mirror_v1,Q3,tail_after,207,0.7363301329691011,0.9163244504149467,0.721957032676281,-0.014373100292820129,logit,0.0,1.25,0.021417226424404048
mirror_v1,Q3,has_future,384,0.6654966320999717,0.6851506843482502,0.6377805525293084,-0.027716079570663243,logit,0.55,1.25,0.09432487460602894
mirror_v1,Q3,gap_le3,379,0.6912232353719792,0.7751287172851695,0.6785635184386088,-0.012659716933370313,logit,0.25,1.25,0.04344918470473432
mirror_v1,S1,all,591,0.5877438479213302,0.5942208328415178,0.563719372346705,-0.02402447557462517,prob,0.5,1.0,0.0791927263406474
mirror_v1,S1,inside,384,0.5963094439107542,0.5814262409328569,0.5577226393242743,-0.038586804586479895,logit,0.75,1.25,0.1004477141556474
mirror_v1,S1,tail_after,207,0.571854046665587,0.617955727976425,0.5639522386423211,-0.0079018080232659,logit,0.25,1.0,0.04451121129833538
mirror_v1,S1,has_future,384,0.5963094439107542,0.5814262409328569,0.5577226393242743,-0.038586804586479895,logit,0.75,1.25,0.1004477141556474
mirror_v1,S1,gap_le3,379,0.5783958344921429,0.5485834928506863,0.5342872847697729,-0.044108549722369994,prob,0.7000000000000001,1.0,0.11068514336935854
mirror_v1,S2,all,591,0.6038838729822684,0.6349112485686785,0.5913308435138148,-0.012553029468453603,logit,0.4,1.16,0.055915004438147016
mirror_v1,S2,inside,384,0.5736705391363989,0.6012377749582848,0.5616447291422885,-0.012025809994110404,logit,0.35000000000000003,1.0,0.06066287983102666
mirror_v1,S2,tail_after,207,0.6599317966383743,0.6973779822227423,0.6393840977460844,-0.020547698892289912,logit,0.4,1.25,0.053860080903874896
mirror_v1,S2,has_future,384,0.5736705391363989,0.6012377749582848,0.5616447291422885,-0.012025809994110404,logit,0.35000000000000003,1.0,0.06066287983102666
mirror_v1,S2,gap_le3,379,0.5624915186655606,0.56702868003684,0.5398162201893962,-0.02267529847616434,logit,0.45,1.0,0.0793649941696756
mirror_v1,S3,all,591,0.5770805325545778,0.6522844328092199,0.5753637896860586,-0.0017167428685191943,logit,0.15000000000000002,1.08,0.02289461665708906
mirror_v1,S3,inside,384,0.5481385537579196,0.5820596957148477,0.5386681608210792,-0.009470392936840488,logit,0.30000000000000004,1.0,0.05261118651659683
mirror_v1,S3,tail_after,207,0.6307700004672191,0.7825564088683452,0.6227033289740259,-0.008066671493193178,logit,0.0,1.25,0.03632020367128228
mirror_v1,S3,has_future,384,0.5481385537579196,0.5820596957148477,0.5386681608210792,-0.009470392936840488,logit,0.30000000000000004,1.0,0.05261118651659683
mirror_v1,S3,gap_le3,379,0.5459336516736523,0.58121890744197,0.5357839031735684,-0.010149748500083877,logit,0.30000000000000004,1.0,0.05421670959466904
mirror_v1,S4,all,591,0.6436084591356291,0.7308213832362439,0.6426613504670325,-0.0009471086685965968,logit,0.1,1.0,0.01996786534855871
mirror_v1,S4,inside,384,0.650368938014045,0.7478559635335605,0.6500343187308416,-0.00033461928320344114,prob,0.05,1.0,0.008802789514631452
mirror_v1,S4,tail_after,207,0.6310672809263936,0.6992210023948447,0.6277205083590441,-0.0033467725673494986,logit,0.15000000000000002,1.0,0.029583401046716726
mirror_v1,S4,has_future,384,0.650368938014045,0.7478559635335605,0.6500343187308416,-0.00033461928320344114,prob,0.05,1.0,0.008802789514631452
mirror_v1,S4,gap_le3,379,0.6287965707274319,0.698403680080246,0.626111606273921,-0.002684964453510852,logit,0.15000000000000002,1.0,0.029331678419849492
