target,feature,importance
S2,anchor,3.5858215989051896
S2,v38_subject_target_rate,2.9406006103328672
S2,g4h__g4_h00_mlight_max_h_rz,2.5453810379015676
S2,mf__q1x_morning_app_social_sum,2.4749686244805313
S2,v38_subject_volatility,2.2365967387910164
S2,mae__ssl_masked_ae_13,2.1746904532779356
S2,g4r__g4_rest_fragmentation__subj_z,1.8554626733174264
S2,g4r__g4_pre_rest_screen_sum,1.4204362494231162
S2,anchor_logit,1.4102432990154317
S2,mae__ssl_masked_ae_33,1.3624337449198658
S2,g4r__g4_rest_activity_interrupt_h__subj_z,1.3566695054007802
S2,mae__ssl_masked_ae_12,1.2852048008978074
S2,raw__raw_screen_m_screen_use_sum,1.2492553714815133
S2,g4h__g4_day_10_18_mlight_max_h_rz_mean__prev_abs_delta,1.2209761178148282
S2,g4r__g4_crossnight_dark_h__prev_abs_delta,1.1252174386010652
S2,v38_t_high_cos,1.1065853649287107
S2,g4h__g4_day_10_18_mlight_max_h_rz_maxabs,1.0882164796665081
S2,ext__ext_cal_month__subj_delta,0.9841239078692033
S2,ext__ext_cal_signed_days_from_nearest_holiday__subj_delta,0.9550590784110746
S3,v38_subject_margin_dist_low_minus_high,21.173896939848344
S3,v38_subject_target_rate,3.7709366208698096
S3,g4h__g4_h19_mlight_max_h_rz,3.4385581515325154
S3,anchor_logit,2.8909977220648755
S3,g4h__g4_day_10_18_wlight_max_h_rz_maxabs__prev_abs_delta,2.720301090140988
S3,v38_t_margin_dist_low_minus_high,2.5618089750224167
S3,v38_subject_volatility,2.0394050334842464
S3,v38_t_margin_cos_high_minus_low,1.5939888632541965
S3,g4h__g4_h09_screen_use_sum_h_rz,1.5813653438141482
S3,g4h__g4_h00_wlight_max_h_rz,1.4423100550294194
S3,v38_recent7_cos,1.367272358983883
S3,mf__app_social_time__prev_abs_delta,1.2950823660095756
S3,raw__raw_hr_n,1.2803283267513552
S3,mae__ssl_masked_ae_33,1.1748718437641028
S3,v38_t_low_cos,1.0481518511117962
S3,g4h__g4_h23_mlight_max_h_rz,0.9989369249628582
S3,ext__ext_weather_temperature_2m_mean,0.8721300663254888
S3,sem__topapp_21_03_withings_time,0.8605739851352796
S3,ext__ext_cal_doy_sin,0.8569296690376552
S3,ext__ext_solar_sunset_hour,0.8529844512527629
S4,v38_subject_margin_dist_low_minus_high,13.191294693360305
S4,v38_t_margin_dist_low_minus_high,5.30555439161925
S4,v38_t_margin_cos_high_minus_low,4.042177385769008
S4,ext__ext_weather_wind_speed_10m_max__subj_z,3.864581617345252
S4,v38_t_low_cos,2.7813919891261727
S4,g4h__g4_morning_06_10_activity_mean_h_rz_mean,2.025184794077323
S4,mae__ssl_masked_ae_06,1.9529245303899663
S4,g4h__g4_h00_mlight_max_h_rz,1.9492999767197179
S4,cola__cola_z06,1.9297507003839496
S4,g4h__g4_morning_06_10_wlight_max_h_rz_mean__prev_delta,1.5829496072230826
S4,raw__raw_wifi_rssi_mean,1.5484255685405166
S4,cola__cola_z07,1.2796135538108644
S4,mf__qpatch_late_vector_dist_mean__subj_delta,1.2585512529548297
S4,mae__ssl_masked_ae_11,1.2078559459630411
S4,v38_pca_09,1.1343922279362226
S4,g4r__g4_post_rest_screen_sum,1.123309618883813
S4,sem__topapp_all_메시지_time,1.099535749642612
S4,g4h__g4_h08_screen_use_sum_h_rz,1.0538648275946294
S4,mf__qpatch_late_vector_dist_max__subj_delta,0.9661075156470258
S4,mf__q1x_morning_app_social_sum,0.9068191419753603
