source,model,k,n,C,blend_w,mean_delta,worst_delta,best_group_delta,groups,mean_auc
existing_no_flat,raw_blend_base,32.0,,0.001,0.5,-0.003141168985843821,0.0013625030083432115,-0.01305770110958257,4,0.7269120997408354
existing_no_flat,raw_blend_base,32.0,,0.003,0.2,-0.00303006864954899,-0.0005843471687594729,-0.00557326161497379,4,0.7266014868704493
combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.4,-0.002640995768509453,-4.130928093341405e-05,-0.009959637662306675,4,0.726493495233022
existing_no_flat,raw_blend_base,32.0,,0.001,0.4,-0.0026356822161923005,0.000948638656812717,-0.010765870293074326,4,0.7269455462254254
existing_no_flat,raw_blend_base,32.0,,0.001,0.3,-0.0020671358060853884,0.000621814527642132,-0.008323931142886543,4,0.727107509997823
combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.3,-0.0020528344970810993,-4.171939638205243e-05,-0.007717222151606112,4,0.7269698404159473
existing_no_flat,raw_blend_base,32.0,,0.003,0.1,-0.0015855335589359948,-0.0003512937134949601,-0.0029236871485405214,4,0.7258985706648384
existing_no_flat,raw_blend_base,32.0,,0.001,0.2,-0.0014383826921141433,0.0003626334847050365,-0.005723757143009378,4,0.726281478425302
combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.2,-0.0014186346234412426,-3.495318067943861e-05,-0.005318001147142509,4,0.7260691105675647
existing_no_flat,raw_blend_base,32.0,,0.001,0.1,-0.0007498135332519191,0.0001583166818385958,-0.00295400838876686,4,0.7254217272043118
combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.1,-0.0007355755089119287,-2.1038145976093325e-05,-0.002750522105994385,4,0.7252474532577291
combo_existing_dayflat,raw,20.0,,0.01,1.0,-7.672238415603726e-05,0.029928515032771903,-0.02406565385479767,4,0.716077000661034
existing_base_cfg,basecfg,,,,0.0,0.0,0.0,0.0,4,0.7243000935228966
existing_no_flat,raw,20.0,,0.001,1.0,0.0,0.0,0.0,4,0.7243000935228966
existing_no_flat,raw,48.0,,0.003,1.0,0.00040075178531940453,0.030533282966296094,-0.037422778624872866,4,0.7265387587913626
existing_no_flat,raw,48.0,,0.001,1.0,0.000936301618036723,0.026094246148681426,-0.03770903379575083,4,0.7277385595288528
combo_existing_dayflat,raw,48.0,,0.01,1.0,0.0033037429782656336,0.04259024966190028,-0.02318208404447364,4,0.7193741857323905
existing_no_flat,raw,64.0,,0.001,1.0,0.003696517410262022,0.031915483170303766,-0.03690963806525277,4,0.723890558245561
existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.1,0.003961566040426213,0.007685987145344335,0.0010748086495388498,4,0.7247380563645117
existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.1,0.004133638889300803,0.008278335155147679,0.0008556699025422942,4,0.7266778432131471
existing_no_flat,raw,64.0,,0.003,1.0,0.004733853490646889,0.0323635888469929,-0.03541252247102583,4,0.7206673979682565
combo_existing_dayflat,raw,20.0,,0.003,1.0,0.004975728904482011,0.026842255599558922,-0.012013647494975022,4,0.7137067681613369
combo_existing_dayflat,raw,64.0,,0.001,1.0,0.006936505226417008,0.027273444049734346,-0.017469282524642638,4,0.717318217169056
combo_existing_dayflat,raw,64.0,,0.003,1.0,0.007394490095205481,0.033738818111378056,-0.017572202453357666,4,0.7160832203741301
existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.2,0.009063821614530496,0.01573398767139278,0.0044695281296647515,4,0.724078838012388
existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.2,0.009500885051438274,0.016964070366417967,0.004953923620295647,4,0.7268238345973723
existing_no_flat,raw,48.0,,0.01,1.0,0.010758322182230717,0.04937904218804667,-0.030032992474682607,4,0.7212461228666454
combo_existing_dayflat,raw,20.0,,0.001,1.0,0.013246933383947859,0.03101135367112758,-0.00017953744787552184,4,0.712030415861987
existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.3,0.0148260893439554,0.02416652880980219,0.00750536301011695,4,0.7224919177859507
existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.3,0.015562176680551428,0.026085866992512956,0.008277119235320318,4,0.725283669970008
existing_no_flat,raw,64.0,,0.01,1.0,0.01835675646092013,0.05485714385940502,-0.02292476109679778,4,0.7152781999108258
combo_existing_dayflat,raw,64.0,,0.01,1.0,0.02052433187012867,0.05487681721634693,-0.00419152364174355,4,0.7115426795138691
existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.4,0.02112974463322346,0.03300930400283971,0.010961923874556412,4,0.7203601991316166
existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.4,0.022190287939106372,0.03567656614077641,0.012039404936210779,4,0.7254210578197949
existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.5,0.02793915312170067,0.04229177700137613,0.014809415272261012,4,0.7178921989767031
existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.5,0.02934754871787098,0.045773989981113004,0.016209620183012474,4,0.7244238663909491
existing_no_flat,select_pca_blend_base,64.0,16.0,0.003,0.7,0.043093335590200406,0.062317459693693365,0.023638669836221538,4,0.7101915025181023
existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.7,0.04526220892549217,0.06767161501541612,0.025737284245378494,4,0.7200397200083132
existing_no_flat,select_pca,96.0,8.0,0.003,1.0,0.0675581299682669,0.0933164725861989,0.04242452233271682,4,0.7077216629342077
existing_no_flat,select_pca,96.0,16.0,0.003,1.0,0.06875437012916835,0.09161677746267138,0.04095242715118663,4,0.6908747353454523
existing_no_flat,select_pca,96.0,32.0,0.003,1.0,0.0692678480098984,0.09651365523026494,0.03928089418478359,4,0.69060242267331
combo_existing_dayflat,select_pca,48.0,8.0,0.003,1.0,0.06930513997631067,0.10388031873253083,0.03501918546930574,4,0.6729715215032241
combo_existing_dayflat,select_pca,64.0,8.0,0.003,1.0,0.06950735784841645,0.10270100129711357,0.03983346706536156,4,0.6885872320322984
combo_existing_dayflat,select_pca,96.0,8.0,0.003,1.0,0.0695953509947006,0.09671902989037455,0.045171437837087186,4,0.6814358530665958
existing_no_flat,select_pca,64.0,8.0,0.003,1.0,0.07046435674872374,0.09997395589287576,0.04226900805878431,4,0.6736852264453337
existing_no_flat,select_pca,64.0,16.0,0.003,1.0,0.07057555421793743,0.09671923943974448,0.03980712435031333,4,0.6620102754538377
combo_existing_dayflat,select_pca,96.0,16.0,0.003,1.0,0.07095778039224,0.10020612319462137,0.0425889754599271,4,0.6628843128498019
combo_existing_dayflat,pls_logit,96.0,4.0,0.003,1.0,0.07102677704111854,0.102427572584374,0.045536580704263724,4,0.6559404376064832
combo_existing_dayflat,pls_logit,96.0,8.0,0.003,1.0,0.07155101834392885,0.1018874235580131,0.04644482711631745,4,0.6499689535574408
combo_existing_dayflat,pls_logit,64.0,4.0,0.003,1.0,0.07204257966209376,0.10529849672990133,0.041554893150345495,4,0.6642360724670778
combo_existing_dayflat,select_pca,48.0,16.0,0.003,1.0,0.07214537239730551,0.11465023941722852,0.03559660204784598,4,0.6524374844982875
combo_existing_dayflat,pls_logit,96.0,12.0,0.003,1.0,0.07249157121538034,0.1058083657714608,0.04528529971250042,4,0.6623585317266557
combo_existing_dayflat,pls_logit,64.0,8.0,0.003,1.0,0.0726175105617586,0.10896884803635976,0.0418508661791292,4,0.6649915277153957
combo_existing_dayflat,pls_logit,48.0,4.0,0.003,1.0,0.07263507246981082,0.10947997274947818,0.04007849705122091,4,0.6630581861420621
combo_existing_dayflat,select_pca,64.0,16.0,0.003,1.0,0.07267926992225329,0.10163374084357073,0.03906478342999836,4,0.6720140121475563
existing_no_flat,pls_logit,64.0,4.0,0.003,1.0,0.07295774630448161,0.10369549801301166,0.04259037764197268,4,0.669806594038658
existing_no_flat,pls_logit,96.0,4.0,0.003,1.0,0.07332688005891182,0.10600844825922422,0.041338304876025134,4,0.6814146525055641
existing_no_flat,pls_logit,96.0,8.0,0.003,1.0,0.07342840708956672,0.10578189220850738,0.04114496457650782,4,0.6757641158186507
existing_no_flat,pls_logit,64.0,8.0,0.003,1.0,0.07367551602379947,0.10569202902519788,0.043113126363282434,4,0.6724708850948344
combo_existing_dayflat,pls_logit,48.0,8.0,0.003,1.0,0.0739277953815974,0.11273359186620206,0.040432807010539695,4,0.6522151892737016
combo_existing_dayflat,pls_logit,64.0,12.0,0.003,1.0,0.07410871731037813,0.11369633538859747,0.04177280338640907,4,0.6599261207773112
existing_no_flat,pls_logit,48.0,12.0,0.003,1.0,0.07434588650374328,0.10593461433373592,0.03895429404888562,4,0.670032792444021
existing_no_flat,pls_logit,96.0,12.0,0.003,1.0,0.07460086066718603,0.11014483281714198,0.039981419652487055,4,0.6853035855735884
existing_no_flat,pls_logit,64.0,12.0,0.003,1.0,0.07494519044409535,0.10897048657575766,0.04223705026977054,4,0.6725374723492806
combo_existing_dayflat,pls_logit,48.0,12.0,0.003,1.0,0.07523732993262618,0.11689716631271045,0.03979061728694375,4,0.6454794004542211
existing_no_flat,pls_logit,48.0,4.0,0.003,1.0,0.07555045229753926,0.10812593642817463,0.0390920662208096,4,0.670090956225758
existing_no_flat,pls_logit,48.0,8.0,0.003,1.0,0.0763699763614708,0.11184936055292209,0.03881946503905842,4,0.6623496870327757
combo_existing_dayflat,select_pca,96.0,32.0,0.003,1.0,0.07648710268176681,0.11678153216605913,0.04342713609537335,4,0.6588041212012272
combo_existing_dayflat,select_pca,48.0,32.0,0.003,1.0,0.07732609287035253,0.12500324759049966,0.03854679928576671,4,0.6436377099443422
existing_no_flat,select_pca,64.0,32.0,0.003,1.0,0.07803508242643727,0.11587753502805324,0.04043747693719543,4,0.6615792054762818
existing_no_flat,select_pca,48.0,8.0,0.003,1.0,0.07832244336867245,0.11701072900170444,0.0418150056120509,4,0.6421742967884572
existing_no_flat,select_pca,48.0,16.0,0.003,1.0,0.07963186294106417,0.11308142338004112,0.03842825722151455,4,0.6261414998133352
combo_existing_dayflat,select_pca,64.0,32.0,0.003,1.0,0.08306431538305739,0.12407838279742293,0.0466943556296969,4,0.6531284437813027
existing_no_flat,select_pca,96.0,8.0,0.001,1.0,0.08475019155248015,0.10996145815267096,0.056750702342694054,4,0.7049084680983283
existing_no_flat,select_pca,96.0,32.0,0.001,1.0,0.08487824858732981,0.10999645567899512,0.055361331910927736,4,0.6881844970817295
existing_no_flat,select_pca,96.0,16.0,0.001,1.0,0.08512773881025337,0.10923107223570579,0.05614997149546638,4,0.6894096129156392
combo_existing_dayflat,select_pca,48.0,8.0,0.001,1.0,0.08534528472879895,0.11517740008370014,0.052244054672331536,4,0.6680985650875868
combo_existing_dayflat,select_pca,96.0,8.0,0.001,1.0,0.08566280447426808,0.11174548037891703,0.05778049026329554,4,0.677483992250212
combo_existing_dayflat,select_pca,64.0,8.0,0.001,1.0,0.0856991188520073,0.11446908250901049,0.05537488451810407,4,0.6838722128884944
existing_no_flat,select_pca,64.0,16.0,0.001,1.0,0.08580058701142608,0.11127580772943409,0.05549787412642124,4,0.6596514844299615
existing_no_flat,select_pca,64.0,8.0,0.001,1.0,0.08580874173943918,0.11246301576365565,0.056487782057655256,4,0.6702595309096174
combo_existing_dayflat,select_pca,96.0,16.0,0.001,1.0,0.08600843226625027,0.11296495511222104,0.056702304510415524,4,0.6606664639402409
combo_existing_dayflat,pls_logit,96.0,4.0,0.001,1.0,0.08646841949880356,0.11472277690024928,0.057994332776616,4,0.6547690135623896
combo_existing_dayflat,pls_logit,96.0,8.0,0.001,1.0,0.08651034319252729,0.11430609196106485,0.05824329572468434,4,0.64828028622292
combo_existing_dayflat,pls_logit,96.0,12.0,0.001,1.0,0.08672012416309921,0.1154553085754757,0.05779356562296073,4,0.6617319969753869
combo_existing_dayflat,pls_logit,64.0,4.0,0.001,1.0,0.08694420729607391,0.11599595591097389,0.056258964884308094,4,0.6626763047391675
combo_existing_dayflat,pls_logit,64.0,8.0,0.001,1.0,0.08706665999476489,0.11723484639704969,0.05628764328573005,4,0.6626201066849089
combo_existing_dayflat,pls_logit,48.0,4.0,0.001,1.0,0.08717270252212489,0.1176932020955513,0.055537637641008775,4,0.6583560483594832
combo_existing_dayflat,pls_logit,64.0,12.0,0.001,1.0,0.08745099762196504,0.11860380325265311,0.056224100909857855,4,0.6580006330566435
combo_existing_dayflat,pls_logit,48.0,8.0,0.001,1.0,0.08755324370188856,0.11874469099875173,0.0556102868260922,4,0.6485865950934759
existing_no_flat,pls_logit,64.0,4.0,0.001,1.0,0.08761388356116806,0.11543946726491594,0.05682406062414877,4,0.6671809608256198
combo_existing_dayflat,select_pca,48.0,16.0,0.001,1.0,0.08767800454295377,0.12495131615379673,0.052280810369995045,4,0.647057856671281
existing_no_flat,select_pca,48.0,32.0,0.003,1.0,0.08771519392441553,0.13434306525603149,0.03943016471047317,4,0.6169400052202318
existing_no_flat,pls_logit,96.0,8.0,0.001,1.0,0.08774617237344302,0.1160926789542599,0.05616927989011977,4,0.6747660918433991
existing_no_flat,pls_logit,64.0,8.0,0.001,1.0,0.0877836131207541,0.11605837332698883,0.05694648409156619,4,0.6695972861253201
combo_existing_dayflat,pls_logit,48.0,12.0,0.001,1.0,0.08782181839321637,0.11987609658251168,0.05533562005207315,4,0.63776671099964
existing_no_flat,pls_logit,96.0,4.0,0.001,1.0,0.08787236422860581,0.11644896997232068,0.056312430280866965,4,0.6813951886300762
existing_no_flat,pls_logit,96.0,12.0,0.001,1.0,0.0879260061868941,0.11714849532192521,0.055701072098312016,4,0.6837540210015765
combo_existing_dayflat,select_pca,64.0,16.0,0.001,1.0,0.08797516357831095,0.11385593111141257,0.05496052074174165,4,0.6684614468298335
existing_no_flat,pls_logit,48.0,12.0,0.001,1.0,0.08800354395916604,0.11590449923874702,0.055189898386243,4,0.6657474568922696
existing_no_flat,pls_logit,64.0,12.0,0.001,1.0,0.0880895325370934,0.11694831634933134,0.05659042418524701,4,0.6695568557284821
existing_no_flat,pls_logit,48.0,4.0,0.001,1.0,0.0887070359295582,0.11730341314604938,0.05537817066271564,4,0.6692549675308633
existing_no_flat,pls_logit,48.0,8.0,0.001,1.0,0.08891179628619705,0.1184826068524012,0.05516914796586175,4,0.6578301497941261
existing_no_flat,select_pca,48.0,8.0,0.001,1.0,0.08930705005772636,0.11997734656099746,0.05629263723681219,4,0.6321030124049253
existing_no_flat,select_pca,48.0,16.0,0.001,1.0,0.0909429199951502,0.11851113563655265,0.05479714911490835,4,0.6163710167184712
combo_existing_dayflat,select_pca,48.0,32.0,0.001,1.0,0.09287808465937744,0.13633693148760928,0.05331540166857662,4,0.6353528427821872
combo_existing_dayflat,select_pca,96.0,32.0,0.001,1.0,0.09433639306791737,0.13628019770762953,0.05687529936804908,4,0.6531282314378799
existing_no_flat,select_pca,64.0,32.0,0.001,1.0,0.09573675487463797,0.13597985153726033,0.05528294888889221,4,0.6543417774317386
combo_existing_dayflat,select_pca,64.0,32.0,0.001,1.0,0.0983098373839956,0.13993691546319964,0.057329058275152084,4,0.6465908590176103
existing_no_flat,select_pca,48.0,32.0,0.001,1.0,0.10045704039157012,0.14414618047559966,0.054746225473898985,4,0.6074360408665824
