model,split,mean,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
base,loso_id10,0.7203802239304787,0.6573953345574537,0.8071791162650264,0.6369556234030694,0.8654462864980635,0.7104545300498945,0.7112982740572242,0.653932402682619
bad_public_cfg,chrono_last_20,0.5808156622803166,0.5845937699104703,0.6024204969075069,0.6470283360386839,0.522202929170233,0.5629569974221492,0.5936649302481091,0.5528421762650639
bad_public_cfg,chrono_last_25,0.5872812337778168,0.6013595192458332,0.6099394348387945,0.6404634265417825,0.5277147151872911,0.5654303625714235,0.5706214651543202,0.5954397129052721
bad_public_cfg,chrono_last_30,0.6117366128185474,0.6420158332096781,0.6289466199637042,0.6542094534822095,0.5690326922497169,0.5802639653118844,0.5705287605183947,0.6371589649942448
bad_public_cfg,chrono_tail_14,0.6163288024061501,0.6508959803010046,0.6435958496353024,0.6558798792990708,0.5884658157896047,0.5839295391828523,0.5632805314084278,0.6282540212267878
bad_public_cfg,chrono_tail_21,0.6655984973470737,0.6852513890240276,0.6842658525422897,0.6628059051464185,0.5822379663101517,0.6720433826954941,0.5580160850080113,0.8145689007031229
bad_public_cfg,loso_id01,0.7654616112734594,0.6965028130720576,0.6945945602339016,0.7526163471452042,0.6767242610031051,0.7529849081712627,1.038425389502498,0.7463829997861858
bad_public_cfg,loso_id02,0.783893907002473,1.0471394642816427,0.6021891238504309,0.6206738152359225,0.3792623090891551,0.47751007295682973,1.605423392303216,0.7550591713001135
bad_public_cfg,loso_id03,0.6909705924937034,0.5848783876460356,0.9110631996085583,0.5954596280333916,0.6438353328776464,0.6942217765588448,0.7141886421715012,0.6931471805599462
bad_public_cfg,loso_id04,0.6569188671585954,0.6412267925650776,0.6821293342214644,0.6308387385448022,0.5663509339190136,0.7007194093650744,0.68401968093479,0.6931471805599454
bad_public_cfg,loso_id05,0.7313222150571029,0.7580516968441612,0.7053727295917157,0.6868006524586298,0.7313358498527311,0.7041869977861066,0.7435231672044942,0.7899844116618816
bad_public_cfg,loso_id06,0.5501614783960089,0.8317138696334787,0.7175176606854338,0.7332894653027532,0.6208763520251785,0.2966632093180872,0.1739782518528189,0.47709153995431147
bad_public_cfg,loso_id07,0.6773835461232937,0.6817428195526086,0.7075564154293418,0.6847817677525471,0.7506491921492597,0.6865192007240866,0.5372882466952662,0.6931471805599453
bad_public_cfg,loso_id08,0.8518914223777506,0.7854004107183025,1.0073680489147303,0.8254350864658362,0.9512662691611629,0.6989201128481118,0.6876799384602926,1.007170090075818
bad_public_cfg,loso_id09,0.6940846805649478,0.6994277313875711,0.7274916079216124,0.7368690046732579,0.6936923871438561,0.6706910179122522,0.6182281014926699,0.7121929134234146
bad_public_cfg,loso_id10,0.7360660790022526,0.7296059122092062,0.7521115863656184,0.6369556234030694,0.8654462864980635,0.7104545300498945,0.7112982740572242,0.7465903404326916
followup_s4_only,chrono_last_20,0.5900277572015293,0.6129752871032171,0.6233742706141666,0.6470283360386839,0.522202929170233,0.5629569974221492,0.5936649302481091,0.5679915498141461
followup_s4_only,chrono_last_25,0.5985582775919651,0.6473999950166149,0.6330229917461263,0.6404634265417825,0.5277147151872911,0.5654303625714235,0.5706214651543202,0.6052549869261971
followup_s4_only,chrono_last_30,0.6162079708665678,0.6408307661587569,0.6459869806319742,0.6542094534822095,0.5690326922497169,0.5802639653118844,0.5705287605183947,0.6526031777130373
followup_s4_only,chrono_tail_14,0.6138765572394889,0.6369420495657269,0.6448822263912432,0.6558798792990708,0.5884658157896047,0.5839295391828523,0.5632805314084278,0.6237558590394966
followup_s4_only,chrono_tail_21,0.650316212521102,0.6484513194578406,0.6946347111839605,0.6628059051464185,0.5822379663101517,0.6720433826954941,0.5580160850080113,0.7340241178458378
followup_s4_only,loso_id01,0.7736743208578181,0.7616900348767166,0.740132124745994,0.7526163471452042,0.6767242610031051,0.7529849081712627,1.038425389502498,0.6931471805599453
followup_s4_only,loso_id02,0.8045157814489322,1.0834093412888206,0.7424160904007825,0.6206738152359225,0.3792623090891551,0.47751007295682973,1.605423392303216,0.7229154488677995
followup_s4_only,loso_id03,0.7277800257458492,0.6945461467918825,1.0590614732277321,0.5954596280333916,0.6438353328776464,0.6942217765588448,0.7141886421715012,0.6931471805599462
followup_s4_only,loso_id04,0.6712392816480425,0.7156670096205291,0.7079320185921429,0.6308387385448022,0.5663509339190136,0.7007194093650744,0.68401968093479,0.6931471805599454
followup_s4_only,loso_id05,0.7231424183986107,0.7064663263786044,0.7042643431958534,0.6868006524586298,0.7313358498527311,0.7041869977861066,0.7435231672044942,0.7854195919138558
followup_s4_only,loso_id06,0.5800044036783742,0.8697196895605038,0.7645457297128955,0.7332894653027532,0.6208763520251785,0.2966632093180872,0.1739782518528189,0.6009581279763835
followup_s4_only,loso_id07,0.6921806950328123,0.7901463335582043,0.7027329437903773,0.6847817677525471,0.7506491921492597,0.6865192007240866,0.5372882466952662,0.6931471805599453
followup_s4_only,loso_id08,0.8479310940927333,0.7849860573861301,0.8819312837730752,0.8254350864658362,0.9512662691611629,0.6989201128481118,0.6876799384602926,1.1052989105545241
followup_s4_only,loso_id09,0.7034431271562532,0.7443297618600607,0.7480987035882609,0.7368690046732579,0.6936923871438561,0.6706910179122522,0.6182281014926699,0.7121929134234147
followup_s4_only,loso_id10,0.720111792197436,0.6573953345574537,0.8071791162650264,0.6369556234030694,0.8654462864980635,0.7104545300498945,0.7112982740572242,0.6520533805513203
