fold,target,source_set,n_features,logloss
mirror_v1_seed1,S4,S4_other_neighbor,22,0.6175679353382884
mirror_v1_seed1,S4,S5_latent,11,0.6108208252609465
mirror_v1_seed1,S4,S6_engineered,40,0.6397660724101991
mirror_v1_seed1,S4,S7_coverage,30,0.6653305003516118
mirror_v1_seed1,S4,S8_context_tokens,15,0.6169390595643746
mirror_v1_seed2,Q1,S2_calendar,14,0.7718240225460705
mirror_v1_seed2,Q1,S3_own_neighbor,12,0.7693554796350589
mirror_v1_seed2,Q1,S4_other_neighbor,22,0.7953823981495508
mirror_v1_seed2,Q1,S5_latent,11,0.7685217961144495
mirror_v1_seed2,Q1,S6_engineered,40,0.8876820238088869
mirror_v1_seed2,Q1,S7_coverage,30,0.8514759545966536
mirror_v1_seed2,Q1,S8_context_tokens,15,0.8032471763472391
mirror_v1_seed2,Q2,S2_calendar,14,0.778967187967926
mirror_v1_seed2,Q2,S3_own_neighbor,12,0.765588579827276
mirror_v1_seed2,Q2,S4_other_neighbor,22,0.7585466587146755
mirror_v1_seed2,Q2,S5_latent,11,0.7995226242849232
mirror_v1_seed2,Q2,S6_engineered,40,0.8470027166166495
mirror_v1_seed2,Q2,S7_coverage,30,0.7543423270154854
mirror_v1_seed2,Q2,S8_context_tokens,15,0.7933719023401478
mirror_v1_seed2,Q3,S2_calendar,14,0.7797539708086771
mirror_v1_seed2,Q3,S3_own_neighbor,12,0.7868759306730566
mirror_v1_seed2,Q3,S4_other_neighbor,22,0.8000798193988471
mirror_v1_seed2,Q3,S5_latent,11,0.7906644305360172
mirror_v1_seed2,Q3,S6_engineered,40,0.9117974060928188
mirror_v1_seed2,Q3,S7_coverage,30,0.7979745262142498
mirror_v1_seed2,Q3,S8_context_tokens,15,0.7928571710800394
mirror_v1_seed2,S1,S2_calendar,14,0.5826834952570946
mirror_v1_seed2,S1,S3_own_neighbor,12,0.5766852025966
mirror_v1_seed2,S1,S4_other_neighbor,22,0.5973948754236518
mirror_v1_seed2,S1,S5_latent,11,0.5937209460095142
mirror_v1_seed2,S1,S6_engineered,40,0.7097197763792796
mirror_v1_seed2,S1,S7_coverage,30,0.6194165856005239
mirror_v1_seed2,S1,S8_context_tokens,15,0.5824502741121159
mirror_v1_seed2,S2,S2_calendar,14,0.6298394865872392
mirror_v1_seed2,S2,S3_own_neighbor,12,0.6755139884137459
mirror_v1_seed2,S2,S4_other_neighbor,22,0.7009163290518339
mirror_v1_seed2,S2,S5_latent,11,0.8440528397842201
mirror_v1_seed2,S2,S6_engineered,40,0.6911235871421095
mirror_v1_seed2,S2,S7_coverage,30,0.6330232722286631
mirror_v1_seed2,S2,S8_context_tokens,15,0.6331726379111696
mirror_v1_seed2,S3,S2_calendar,14,0.6013767831516647
mirror_v1_seed2,S3,S3_own_neighbor,12,0.603566727414406
mirror_v1_seed2,S3,S4_other_neighbor,22,0.6903713135217083
mirror_v1_seed2,S3,S5_latent,11,0.6166152904796226
mirror_v1_seed2,S3,S6_engineered,40,0.663663779368354
mirror_v1_seed2,S3,S7_coverage,30,0.6063963585180661
mirror_v1_seed2,S3,S8_context_tokens,15,0.6246239237835342
mirror_v1_seed2,S4,S2_calendar,14,0.655785331896445
mirror_v1_seed2,S4,S3_own_neighbor,12,0.6382959565883369
mirror_v1_seed2,S4,S4_other_neighbor,22,0.6516874805232653
mirror_v1_seed2,S4,S5_latent,11,0.6521896031571505
mirror_v1_seed2,S4,S6_engineered,40,0.6732841687355771
mirror_v1_seed2,S4,S7_coverage,30,0.6786474413097778
mirror_v1_seed2,S4,S8_context_tokens,15,0.6490026408292057
