name,tau,clip,self_entropy,bce_old_posterior,mean,min,p01,p99,max,max_constraint_error_vs_known,bce_known_v83,bce_known_v76,bce_known_v18,bce_known_support,bce_known_v82_fail,mean_Q1,mean_Q2,mean_Q3,mean_S1,mean_S2,mean_S3,mean_S4
tau06_clip010,6.0,0.01,0.5412233782182253,0.6340135135918574,0.610211836238374,0.01,0.07944380834878707,0.99,0.99,0.00010466149184540363,0.5998428780076522,0.6000322434648419,0.6058820153077417,0.6104798753220817,0.6630456070918455,0.47495081153316243,0.5695895953141471,0.6558393293166555,0.6605268916179672,0.6733807974479805,0.6898400191925559,0.5473554092461492
tau06_clip020,6.0,0.02,0.5420703365656309,0.6317449089876369,0.6100959452706435,0.02,0.07944380834878707,0.98,0.98,0.00033450044319893735,0.6000005112857791,0.6001674167042828,0.606095424276879,0.6105823810236042,0.663275446043199,0.47495081153316243,0.5695895953141471,0.6551176087001843,0.6605268916179672,0.6733253417259281,0.6898059587569659,0.5473554092461492
tau05_clip001,5.0,0.001,0.5518104177453902,0.6232447230991017,0.6101351410818192,0.0017673159907242698,0.1049191081714897,0.989769638087573,0.999,1.155634738236877e-06,0.5997651691524162,0.5999631983624807,0.6057868881532705,0.6104313571797088,0.6629421012347383,0.477657100732667,0.5685750960440736,0.6550498517728859,0.6657338155390974,0.6691382140161775,0.688223704812939,0.5465682046548939
tau05_clip005,5.0,0.005,0.551925397644858,0.6224964869167969,0.610118754765142,0.005,0.1049191081714897,0.989769638087573,0.995,2.9446172899461054e-05,0.5997827055729101,0.5999780516546263,0.6058107074472209,0.6104422880668863,0.6629703917728995,0.477657100732667,0.5685750960440736,0.6549351475561459,0.6657338155390974,0.6691382140161775,0.688223704812939,0.5465682046548939
tau05_clip010,5.0,0.01,0.5521689827718018,0.6215511797966933,0.6100772029110472,0.01,0.1049191081714897,0.9892744465864768,0.99,7.707781018717608e-05,0.5998220146945784,0.6000141729717723,0.6058570240654768,0.6104681068976895,0.6630180234101872,0.477657100732667,0.5685750960440736,0.6546442845774818,0.6657338155390974,0.6691382140161775,0.688223704812939,0.5465682046548939
tau05_clip020,5.0,0.02,0.5527491695080858,0.6202152357213211,0.6099814009531105,0.02,0.1049191081714897,0.98,0.98,0.00022332437342398315,0.5999350452680964,0.6001146335517545,0.6060053828899447,0.6105405436409179,0.663164269973424,0.477657100732667,0.5685750960440736,0.6540047181278666,0.6657338155390974,0.6691209299997501,0.6882099415734247,0.5465682046548939
tau04_clip001,4.0,0.001,0.5624569611480393,0.610863236870171,0.6099531509511175,0.005961506665440674,0.12826382625921678,0.9812521778476792,0.9987736086300883,2.426947531830592e-12,0.599764583497573,0.5999627446977044,0.6057860898978813,0.6104310793976829,0.6629409455978728,0.480676759834311,0.5676233686030994,0.6529063519434009,0.6711101182677707,0.6647233160615745,0.6867221947828477,0.545909947164818
tau04_clip005,4.0,0.005,0.5624854360086217,0.6107634291151259,0.6099480872338168,0.005961506665440674,0.12826382625921678,0.9812521778476792,0.995,1.0542019443837702e-05,0.5997702372854717,0.5999672993950483,0.6057956577860116,0.6104346825093424,0.6629514876194439,0.480676759834311,0.5676233686030994,0.6528709059222957,0.6711101182677707,0.6647233160615745,0.6867221947828477,0.545909947164818
tau04_clip010,4.0,0.01,0.56259684083778,0.610471121429681,0.609929777545563,0.01,0.12826382625921678,0.9812521778476792,0.99,4.851375480530162e-05,0.5997923712889361,0.5999854812513157,0.6058285632944633,0.6104475770329318,0.6629894593548054,0.480676759834311,0.5676233686030994,0.65274273810452,0.6711101182677707,0.6647233160615745,0.6867221947828477,0.545909947164818
tau04_clip020,4.0,0.02,0.5629825837618679,0.6097289609318094,0.6098487651615195,0.02,0.12826382625921678,0.98,0.98,0.00014962012015173887,0.5998727678527545,0.6000584534751778,0.6059276774335435,0.6104999642382121,0.6630905657201518,0.480676759834311,0.5676233686030994,0.6521801061185291,0.6711101182677707,0.6647203072225427,0.6867207489195652,0.545909947164818
