name,posterior,drift_v76,max_drift_v76,drift_v83,drift_v18,adj_linear,adj_quadratic,adj_sqrt,adjusted_mean,adjusted_robust,mean_Q1,mean_Q2,mean_Q3,mean_S1,mean_S2,mean_S3,mean_S4
shape_q005_s010_plus_v18_p02,0.597962441451629,0.012956039574736004,0.084422672468764,0.007375541825760565,0.08292654814156589,0.5992928253712959,0.5988694892585319,0.5995736449329657,0.5992453198542645,0.5995736449329657,0.510330727997909,0.5698898109336789,0.6140029943001302,0.6829540868205852,0.6439508365910557,0.6592920473378513,0.5529239637490623
repair_q1z_gq125_gs075,0.5980693542304195,0.01315601374376583,0.12955875383342655,0.0058468509141082,0.08386998709673013,0.5994202723895268,0.5990046183702161,0.5996929444178694,0.5993726117258708,0.5996929444178694,0.5105030629513035,0.5695071542597858,0.6124428397635868,0.6837982044283594,0.6454827414293707,0.6596520895651227,0.5533336309011099
repair_q1z_gq125_gs050,0.5982409880888504,0.010946334966109804,0.12955875383342655,0.008056529691764226,0.08430588300716026,0.5993650065772315,0.5988884632513292,0.5997219661516267,0.5993251453267291,0.5997219661516267,0.5105030629513035,0.5695071542597858,0.6124428397635868,0.6849496574825775,0.6470069060658478,0.6606438698471866,0.5536365852006447
repair_q1z_gq125_gs100,0.5979699530434845,0.015343305429110249,0.12955875383342655,0.003659559228763784,0.08358314125000837,0.5995454720668465,0.5992420596453067,0.5997233236582261,0.5995036184567931,0.5997233236582261,0.5105030629513035,0.5695071542597858,0.6124428397635868,0.6826123872110993,0.6439252486539999,0.6586408208969556,0.5530139220226873
repair_gq125_gs075,0.5979882079934769,0.015168888740367582,0.12955875383342655,0.0038339759175064457,0.08361217133742153,0.5995458171334453,0.5992315573605614,0.599731584308893,0.5995029862676332,0.599731584308893,0.5103885807980791,0.5695071542597858,0.6124428397635868,0.6837982044283594,0.6454827414293707,0.6596520895651227,0.5533336309011099
repair_q1z_gq100_gs075,0.5982009446492128,0.011891475522717682,0.10648498420578384,0.007111389135156348,0.08421169816065466,0.599422014384704,0.598965056857164,0.5997445352726102,0.5993772021714926,0.5997445352726102,0.5105030629513035,0.5696821067498083,0.6128656580969091,0.6837982044283594,0.6454827414293707,0.6596520895651227,0.5533336309011099
repair_gq125_gs100,0.5978888068065418,0.017356180425712003,0.12955875383342655,0.0016466842321620303,0.08332532549069976,0.5996710168107648,0.5995165802473734,0.5997536457789492,0.5996470809456959,0.5997536457789492,0.5103885807980791,0.5695071542597858,0.6124428397635868,0.6826123872110993,0.6439252486539999,0.6586408208969556,0.5530139220226873
repair_gq100_gs075,0.5981194341593317,0.013505287841984934,0.10648498420578384,0.005497576815889094,0.08395199251277705,0.5995062173403961,0.599105017458055,0.5997644352152942,0.5994585566712484,0.5997644352152942,0.5104099954521731,0.5696821067498083,0.6128656580969091,0.6837982044283594,0.6454827414293707,0.6596520895651227,0.5533336309011099
repair_q1z_gq100_gs050,0.5983725785076437,0.009681796745061656,0.10648498420578384,0.009321067912812371,0.08464759407108477,0.5993667485724087,0.598879099638556,0.5997653896715426,0.5993370792941691,0.5997653896715426,0.5105030629513035,0.5696821067498083,0.6128656580969091,0.6849496574825775,0.6470069060658478,0.6606438698471866,0.5536365852006447
shape_two_thirds_v83,0.5981664317190867,0.012800620919943969,0.10648498420578384,0.00620224373793006,0.0840654345058631,0.5994808565582059,0.599051848438947,0.5997679421693188,0.5994335490554906,0.5997679421693188,0.5104099954521731,0.5696821067498083,0.6128656580969091,0.6841705088316514,0.6459742492984502,0.6599716490606125,0.5534324330956651
