target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,student_policy_score
S1,student_pessimistic_mean,top_decisive,0.06,21,0.2834947374827745,0.013499749403941642,0.42857142857142855,5,3,2,4,17,-0.5607713961516467,1.3849544547703265,0.8442661336344213,0.6095984822652019,-0.11005226751865771,-0.2865362299945798
S1,student_pessimistic_mean,top_decisive,0.08,28,-0.5283798097142893,-0.018870707489796048,0.35714285714285715,6,3,3,5,23,-0.7188533134605898,1.3088688910534676,0.19047350374630045,0.145525273805686,-1.9721615560225154,-2.501156430399038
S1,student_pessimistic_mean,top_decisive,0.1,35,-0.448390422621174,-0.012811154932033544,0.37142857142857144,7,4,3,5,30,-1.134544910790291,1.1605181300815535,0.686154488169117,0.5912484005061589,-1.4691115117113671,-1.856613868565204
S1,student_pessimistic_mean,top_decisive,0.14,49,1.3245190615032008,0.027031001255167362,0.42857142857142855,7,3,4,10,39,-0.7676449076942545,2.614249786878403,2.0921639691974554,0.8002922978892715,-0.11319431948876257,-0.3988479034727051
S1,student_pessimistic_mean,top_decisive,0.18,63,-0.22368833741631833,-0.003550608530417751,0.3492063492063492,8,2,6,12,51,-1.1378791809981306,1.8271195585664342,0.9141908435818122,0.5003453875230203,-3.83146478118816,-4.806114614334517
S1,student_teacher_top_mean,top_all,0.01,4,-0.18083369866174925,-0.04520842466543731,0.25,3,1,2,2,2,0.13602081095205343,0.46590500485154385,-0.3168545096138027,-0.6800839362409625,-1.5722411706506765,-2.06371938658667
S1,student_teacher_top_mean,top_all,0.02,9,-0.009356353689450425,-0.0010395948543833805,0.4444444444444444,5,2,3,2,7,-0.23872679289816165,1.1705562350354437,0.22937043920871122,0.1959499529740799,-1.603926149113438,-2.1516963934803965
S1,student_teacher_top_mean,top_all,0.04,18,0.48345947126819544,0.026858859514899747,0.4444444444444444,5,2,3,10,8,-0.6867117491995051,1.0877425018024318,1.1701712204677004,1.0757796247996938,-0.6938470835325847,-1.0076365547734636
S1,student_teacher_top_mean,top_all,0.06,27,1.1527797255848586,0.042695545392031804,0.48148148148148145,6,3,3,18,9,-0.7038606029868509,1.2109129746660081,1.8566403285717095,1.5332566149799531,0.47444802060147095,0.3439922803244154
S1,student_teacher_top_mean,top_all,0.08,36,-0.48657121127797903,-0.013515866979943862,0.3888888888888889,6,2,4,25,11,-0.736786763351655,1.4574825782236567,0.250215552073676,0.17167653034908484,-2.8457170039061728,-3.5836227852111344
S1,student_teacher_top_mean,top_all,0.1,45,-0.39024444672149183,-0.008672098816033152,0.4,6,3,3,31,14,-2.262751914999804,1.9449574590727738,1.8725074682783123,0.9627498326729466,-1.1485918495567877,-1.2786601351993165
S1,student_teacher_top_mean,top_all,0.14,63,-0.29631406411085254,-0.004703397843029406,0.4126984126984127,7,3,4,43,20,-1.6753594974433845,1.5463554169208118,1.379045433332532,0.891803668317445,-1.9800233511682774,-2.426276669405287
S1,student_teacher_top_mean,top_all,0.18,81,-0.23045334818027108,-0.002845103063953964,0.4567901234567901,8,4,4,50,31,-2.521504055102172,1.6434641698749382,2.291050706921901,1.3940375147309976,-1.3293053060746294,-1.5401619055336513
S1,student_teacher_top_mean,top_decisive,0.01,3,-0.5912316567632964,-0.19707721892109878,0.0,3,0,3,1,2,-0.3656031916538719,0.5935568432603272,-0.22562846510942447,-0.3801294984151441,-2.9582145693931094,-3.6177117063365793
S1,student_teacher_top_mean,top_decisive,0.02,7,-0.0017563590255483819,-0.0002509084322211974,0.42857142857142855,4,2,2,2,5,-0.5031973972303276,0.6570191182141851,0.5014410382047793,0.7632061599177269,-0.699931379662103,-0.9721929605337919
S1,student_teacher_top_mean,top_decisive,0.04,14,0.7876834862974572,0.056263106164104085,0.5,4,2,2,9,5,-0.9295068243854558,0.8323891563087786,1.7171903106829132,2.06296573864294,0.669996668900771,0.6962097551306998
S1,student_teacher_top_mean,top_decisive,0.06,21,0.971067975178814,0.0462413321513721,0.47619047619047616,4,2,2,16,5,-0.9810684808885309,1.4461289255454464,1.952136456067345,1.3499048539749279,0.8559728868665442,0.9243433212224841
S1,student_teacher_top_mean,top_decisive,0.08,28,0.39535115224845,0.014119684008873215,0.42857142857142855,5,3,2,20,8,-1.0194188152664236,1.7938464591758057,1.4147699675148737,0.7886795217495364,0.21938859305360947,0.1777021331598782
S1,student_teacher_top_mean,top_decisive,0.1,35,-0.6662948520104569,-0.01903699577172734,0.37142857142857144,5,2,3,26,9,-1.6299680917751265,1.7427988045881355,0.9636732397646696,0.5529457773482971,-1.9937146403579928,-2.3581537368080094
S1,student_teacher_top_mean,top_decisive,0.14,49,1.3015779213829068,0.02656281472210014,0.46938775510204084,6,4,2,34,15,-1.2101758653247068,2.053456194043733,2.5117537867076134,1.223183525411071,1.7672958135573928,2.0025240794981616
S1,student_teacher_top_mean,top_decisive,0.18,63,0.2672624882243626,0.0042422617178470255,0.4603174603174603,7,4,3,43,20,-2.6394253103175958,2.8374200036186257,2.9066877985419586,1.0244122459258742,0.09815555341774651,0.2211502459691687
S2,student_recovered_tail_score,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,0.0
S2,student_recovered_tail_score,top_all,0.01,4,-0.3066985030493579,-0.07667462576233948,0.0,3,0,3,1,3,-0.36152183397881404,0.7598426550072381,0.05482333092945613,0.07215089935814921,-2.530295247288233,-3.116242863187295
S2,student_recovered_tail_score,top_all,0.02,9,-0.29041109663899944,-0.03226789962655549,0.1111111111111111,3,1,2,4,5,0.3640286890938012,0.8778387818568555,-0.6544397857328006,-0.7455125009953326,-1.855127382856124,-2.411669894705686
S2,student_recovered_tail_score,top_all,0.04,18,-0.311004210664997,-0.017278011703610943,0.2222222222222222,4,2,2,8,10,-0.9193393207690546,1.192651385392439,0.6083351101040575,0.510069511975527,-1.0693021931532465,-1.3014059498120247
S2,student_recovered_tail_score,top_all,0.06,27,-0.1551798582593774,-0.0057474021577547186,0.2222222222222222,8,4,4,13,14,-0.7051472083476682,1.4575135592568917,0.5499673500882908,0.37733257889462773,-2.047180250061235,-2.655363330185258
