variant,family,file,basename,source_id,source_family,gate,q2_scale,s1_scale,q2_weight_nonzero,s1_weight_nonzero,q2_weight_mean,s1_weight_mean
h002_e368_minus_e365_all_q20p25_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s11p0_3c59bc3c.csv,submission_h002_e368_minus_e365_all_q20p25_s11p0_3c59bc3c.csv,e368_minus_e365,e368_base_action,all,0.25,1.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p25_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s11p15_c60ef215.csv,submission_h002_e368_minus_e365_all_q20p25_s11p15_c60ef215.csv,e368_minus_e365,e368_base_action,all,0.25,1.15,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s10p0_b8dd535b.csv,submission_h002_e368_minus_e365_all_q20p5_s10p0_b8dd535b.csv,e368_minus_e365,e368_base_action,all,0.5,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s10p5_6a93f35e.csv,submission_h002_e368_minus_e365_all_q20p5_s10p5_6a93f35e.csv,e368_minus_e365,e368_base_action,all,0.5,0.5,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s10p75_2a416bfa.csv,submission_h002_e368_minus_e365_all_q20p5_s10p75_2a416bfa.csv,e368_minus_e365,e368_base_action,all,0.5,0.75,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s11p0_be8457f4.csv,submission_h002_e368_minus_e365_all_q20p5_s11p0_be8457f4.csv,e368_minus_e365,e368_base_action,all,0.5,1.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s11p15_2d2a7997.csv,submission_h002_e368_minus_e365_all_q20p5_s11p15_2d2a7997.csv,e368_minus_e365,e368_base_action,all,0.5,1.15,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s10p0_0559caa7.csv,submission_h002_e368_minus_e365_all_q20p75_s10p0_0559caa7.csv,e368_minus_e365,e368_base_action,all,0.75,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s10p5_2612b0b7.csv,submission_h002_e368_minus_e365_all_q20p75_s10p5_2612b0b7.csv,e368_minus_e365,e368_base_action,all,0.75,0.5,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s10p75_eb43abe4.csv,submission_h002_e368_minus_e365_all_q20p75_s10p75_eb43abe4.csv,e368_minus_e365,e368_base_action,all,0.75,0.75,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s11p0_673fb390.csv,submission_h002_e368_minus_e365_all_q20p75_s11p0_673fb390.csv,e368_minus_e365,e368_base_action,all,0.75,1.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s11p15_68b1df9a.csv,submission_h002_e368_minus_e365_all_q20p75_s11p15_68b1df9a.csv,e368_minus_e365,e368_base_action,all,0.75,1.15,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s10p0_92f32ec0.csv,submission_h002_e368_minus_e365_all_q21p0_s10p0_92f32ec0.csv,e368_minus_e365,e368_base_action,all,1.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s10p5_9e363772.csv,submission_h002_e368_minus_e365_all_q21p0_s10p5_9e363772.csv,e368_minus_e365,e368_base_action,all,1.0,0.5,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s10p75_b1d95e44.csv,submission_h002_e368_minus_e365_all_q21p0_s10p75_b1d95e44.csv,e368_minus_e365,e368_base_action,all,1.0,0.75,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s11p0_47269973.csv,submission_h002_e368_minus_e365_all_q21p0_s11p0_47269973.csv,e368_minus_e365,e368_base_action,all,1.0,1.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s11p15_affac326.csv,submission_h002_e368_minus_e365_all_q21p0_s11p15_affac326.csv,e368_minus_e365,e368_base_action,all,1.0,1.15,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p08_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p08_s10p0_101fd427.csv,submission_h002_e368_minus_e365_all_q21p08_s10p0_101fd427.csv,e368_minus_e365,e368_base_action,all,1.08,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p08_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p08_s10p5_5b18ba75.csv,submission_h002_e368_minus_e365_all_q21p08_s10p5_5b18ba75.csv,e368_minus_e365,e368_base_action,all,1.08,0.5,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p08_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p08_s10p75_765536b4.csv,submission_h002_e368_minus_e365_all_q21p08_s10p75_765536b4.csv,e368_minus_e365,e368_base_action,all,1.08,0.75,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p08_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p08_s11p0_0379fec8.csv,submission_h002_e368_minus_e365_all_q21p08_s11p0_0379fec8.csv,e368_minus_e365,e368_base_action,all,1.08,1.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p08_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p08_s11p15_904a016a.csv,submission_h002_e368_minus_e365_all_q21p08_s11p15_904a016a.csv,e368_minus_e365,e368_base_action,all,1.08,1.15,250.0,250.0,1.0,1.0
h002_e368_minus_e365_benefit_floor035_q20p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p0_s10p5_feb6db2d.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p0_s10p5_feb6db2d.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.0,0.5,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p0_s10p75_f63e0da5.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p0_s10p75_f63e0da5.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.0,0.75,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p0_s11p0_2b80f02b.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p0_s11p0_2b80f02b.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.0,1.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p0_s11p15_0f4ffcc1.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p0_s11p15_0f4ffcc1.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.0,1.15,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p25_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p25_s10p0_65a8b79f.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p25_s10p0_65a8b79f.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.25,0.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p25_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p25_s10p5_3c98b2f3.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p25_s10p5_3c98b2f3.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.25,0.5,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p25_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p25_s10p75_c6b1ff83.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p25_s10p75_c6b1ff83.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.25,0.75,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p25_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p25_s11p0_fa4628bb.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p25_s11p0_fa4628bb.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.25,1.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p25_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p25_s11p15_754f2c63.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p25_s11p15_754f2c63.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.25,1.15,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p5_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p5_s10p0_1b9dbb01.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p5_s10p0_1b9dbb01.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.5,0.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p5_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p5_s10p5_00450349.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p5_s10p5_00450349.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.5,0.5,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p5_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p5_s10p75_6d9c30e7.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p5_s10p75_6d9c30e7.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.5,0.75,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p5_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p5_s11p0_25f0bfda.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p5_s11p0_25f0bfda.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.5,1.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p5_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p5_s11p15_bb9918ac.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p5_s11p15_bb9918ac.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.5,1.15,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p75_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p75_s10p0_234e2306.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p75_s10p0_234e2306.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.75,0.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p75_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p75_s10p5_2efe3a55.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p75_s10p5_2efe3a55.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.75,0.5,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p75_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p75_s10p75_ed2a1034.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p75_s10p75_ed2a1034.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.75,0.75,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p75_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p75_s11p0_9ddd1dd4.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p75_s11p0_9ddd1dd4.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.75,1.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q20p75_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q20p75_s11p15_c04ec378.csv,submission_h002_e368_minus_e365_benefit_floor035_q20p75_s11p15_c04ec378.csv,e368_minus_e365,e368_base_action,benefit_floor035,0.75,1.15,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p0_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p0_s10p0_311a10db.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p0_s10p0_311a10db.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.0,0.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p0_s10p5_0cb08b52.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p0_s10p5_0cb08b52.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.0,0.5,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p0_s10p75_56a8d28e.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p0_s10p75_56a8d28e.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.0,0.75,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p0_s11p0_262f29ec.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p0_s11p0_262f29ec.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.0,1.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p0_s11p15_8a47ef6d.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p0_s11p15_8a47ef6d.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.0,1.15,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p08_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p08_s10p0_5c121766.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p08_s10p0_5c121766.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.08,0.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p08_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p08_s10p5_eff80a57.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p08_s10p5_eff80a57.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.08,0.5,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p08_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p08_s10p75_7321a84d.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p08_s10p75_7321a84d.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.08,0.75,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p08_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p08_s11p0_238452b3.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p08_s11p0_238452b3.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.08,1.0,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor035_q21p08_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor035_q21p08_s11p15_d2e0b90c.csv,submission_h002_e368_minus_e365_benefit_floor035_q21p08_s11p15_d2e0b90c.csv,e368_minus_e365,e368_base_action,benefit_floor035,1.08,1.15,250.0,250.0,0.6762999999999999,0.6762999999999999
h002_e368_minus_e365_benefit_floor050_q20p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p0_s10p5_bdb13a52.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p0_s10p5_bdb13a52.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.0,0.5,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p0_s10p75_b635bfa8.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p0_s10p75_b635bfa8.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.0,0.75,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p0_s11p0_4054e376.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p0_s11p0_4054e376.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.0,1.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p0_s11p15_22a043b9.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p0_s11p15_22a043b9.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.0,1.15,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p25_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p25_s10p0_47fb7f44.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p25_s10p0_47fb7f44.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.25,0.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p25_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p25_s10p5_c6d93399.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p25_s10p5_c6d93399.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.25,0.5,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p25_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p25_s10p75_864b2697.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p25_s10p75_864b2697.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.25,0.75,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p25_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p25_s11p0_a66b209c.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p25_s11p0_a66b209c.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.25,1.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p25_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p25_s11p15_1cf6464a.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p25_s11p15_1cf6464a.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.25,1.15,250.0,250.0,0.751,0.751
