variant,family,file,basename,source_id,source_family,gate,q2_scale,s1_scale,move_l1,move_l2,changed_cells_1e12,changed_rows_1e12,non_q2s1_l1,all_cos_e323_bad_vs_e247,all_cos_e323_bad_vs_e365,q2_cos_e323_bad_vs_e247,q2_cos_e323_bad_vs_e365,s1_cos_e323_bad_vs_e247,s1_cos_e323_bad_vs_e365,q2_transfer_abs_spearman,s1_transfer_abs_spearman,q2_benefit_abs_wmean,s1_benefit_abs_wmean,q2_danger_abs_wmean,s1_danger_abs_wmean,q2_base_action_abs_spearman,s1_base_action_abs_spearman,q2_benefit_minus_danger,s1_benefit_minus_danger,l1_Q1,signed_sum_Q1,changed_Q1,l1_Q2,signed_sum_Q2,changed_Q2,l1_Q3,signed_sum_Q3,changed_Q3,l1_S1,signed_sum_S1,changed_S1,l1_S2,signed_sum_S2,changed_S2,l1_S3,signed_sum_S3,changed_S3,l1_S4,signed_sum_S4,changed_S4,q2_weight_nonzero,s1_weight_nonzero,q2_weight_mean,s1_weight_mean
h002_e368_minus_e365_all_q20p25_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s11p0_3c59bc3c.csv,submission_h002_e368_minus_e365_all_q20p25_s11p0_3c59bc3c.csv,e368_minus_e365,e368_base_action,all,0.25,1.0,0.12862971731147982,0.027349892508970068,194.0,168.0,0.0,-0.0347831700489099,-0.02105842061143057,-0.0139177599713811,0.5917345462007642,-0.07588088559854425,-0.06320046219866256,0.4284575784600711,0.197475314012705,0.5009873755151233,0.597874404934524,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.019353676997714894,0.016032839592676103,34.0,0.0,0.0,0.0,0.10927604031376492,-0.012448242179922568,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p25_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s11p15_c60ef215.csv,submission_h002_e368_minus_e365_all_q20p25_s11p15_c60ef215.csv,e368_minus_e365,e368_base_action,all,0.25,1.15,0.14502112335854456,0.03119046675765163,194.0,168.0,0.0,-0.03507524798341721,-0.022253245409822153,-0.0139177599713811,0.5917345462007642,-0.07588088559883593,-0.06320046219890421,0.4284575784600711,0.197475314012705,0.5009873755151233,0.5978744049345239,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609495,0.0,0.0,0.0,0.019353676997714894,0.016032839592676103,34.0,0.0,0.0,0.0,0.12566744636082963,-0.014315478506910943,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s10p0_b8dd535b.csv,submission_h002_e368_minus_e365_all_q20p5_s10p0_b8dd535b.csv,e368_minus_e365,e368_base_action,all,0.5,0.0,0.03870735399542979,0.014265158388743643,34.0,34.0,0.0,-1.0662565639258336e-11,0.029677660948084564,-0.014404753613954928,0.591734546502949,0.0,0.0,0.4284575784600711,,0.5009873755151233,0.0,0.7555220573450534,0.0,0.9999999999999999,,-0.2545346818299301,0.0,0.0,0.0,0.0,0.03870735399542979,0.032065679185352206,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s10p5_6a93f35e.csv,submission_h002_e368_minus_e365_all_q20p5_s10p5_6a93f35e.csv,e368_minus_e365,e368_base_action,all,0.5,0.5,0.09334537415231225,0.01943657576395598,194.0,168.0,0.0,-0.024472313789602705,0.0015200532655942171,-0.014404753613954928,0.591734546502949,-0.07588088559630797,-0.06320046219680968,0.4284575784600711,0.197475314012705,0.5009873755151233,0.597874404934524,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.03870735399542979,0.032065679185352206,34.0,0.0,0.0,0.0,0.05463802015688246,-0.006224121089961284,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s10p75_2a416bfa.csv,submission_h002_e368_minus_e365_all_q20p5_s10p75_2a416bfa.csv,e368_minus_e365,e368_base_action,all,0.5,0.75,0.1206643842307535,0.024405688771126154,194.0,168.0,0.0,-0.02923445342002385,-0.0068574717515474315,-0.014404753613954928,0.591734546502949,-0.07588088559779883,-0.06320046219804491,0.4284575784600711,0.197475314012705,0.5009873755151233,0.5978744049345239,0.7555220573450534,0.6247447915091333,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.03870735399542979,0.032065679185352206,34.0,0.0,0.0,0.0,0.08195703023532369,-0.009336181634941926,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s11p0_be8457f4.csv,submission_h002_e368_minus_e365_all_q20p5_s11p0_be8457f4.csv,e368_minus_e365,e368_base_action,all,0.5,1.0,0.14798339430919472,0.030010626087174093,194.0,168.0,0.0,-0.03169930408225226,-0.012137943142375644,-0.014404753613954928,0.591734546502949,-0.07588088559854425,-0.06320046219866256,0.4284575784600711,0.197475314012705,0.5009873755151233,0.597874404934524,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.03870735399542979,0.032065679185352206,34.0,0.0,0.0,0.0,0.10927604031376492,-0.012448242179922568,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p5_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p5_s11p15_2d2a7997.csv,submission_h002_e368_minus_e365_all_q20p5_s11p15_2d2a7997.csv,e368_minus_e365,e368_base_action,all,0.5,1.15,0.16437480035625945,0.0335479697515681,194.0,168.0,0.0,-0.032610419182489796,-0.01437973289468281,-0.014404753613954928,0.591734546502949,-0.07588088559883593,-0.06320046219890421,0.4284575784600711,0.197475314012705,0.5009873755151233,0.5978744049345239,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609495,0.0,0.0,0.0,0.03870735399542979,0.032065679185352206,34.0,0.0,0.0,0.0,0.12566744636082963,-0.014315478506910943,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s10p0_0559caa7.csv,submission_h002_e368_minus_e365_all_q20p75_s10p0_0559caa7.csv,e368_minus_e365,e368_base_action,all,0.75,0.0,0.058061030993144684,0.021397737583115466,34.0,34.0,0.0,-1.0662565639350395e-11,0.029677660948337937,-0.014574747671250828,0.5917345466036771,0.0,0.0,0.4284575784600711,,0.5009873755151232,0.0,0.7555220573450534,0.0,0.9999999999999999,,-0.2545346818299302,0.0,0.0,0.0,0.0,0.058061030993144684,0.048098518778028315,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s10p5_2612b0b7.csv,submission_h002_e368_minus_e365_all_q20p75_s10p5_2612b0b7.csv,e368_minus_e365,e368_base_action,all,0.75,0.5,0.11269905115002715,0.025142571611669516,194.0,168.0,0.0,-0.01891843000452079,0.009594201468572598,-0.014574747671250828,0.5917345466036771,-0.07588088559630797,-0.06320046219680968,0.4284575784600711,0.197475314012705,0.5009873755151232,0.597874404934524,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299302,-0.026870386574609384,0.0,0.0,0.0,0.058061030993144684,0.048098518778028315,34.0,0.0,0.0,0.0,0.05463802015688246,-0.006224121089961284,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s10p75_eb43abe4.csv,submission_h002_e368_minus_e365_all_q20p75_s10p75_eb43abe4.csv,e368_minus_e365,e368_base_action,all,0.75,0.75,0.14001806122846838,0.02915486364593397,194.0,168.0,0.0,-0.02447231378975778,0.0015200532656037484,-0.014574747671250828,0.5917345466036771,-0.07588088559779883,-0.06320046219804491,0.4284575784600711,0.197475314012705,0.5009873755151232,0.5978744049345239,0.7555220573450534,0.6247447915091333,0.9999999999999999,1.0,-0.2545346818299302,-0.026870386574609384,0.0,0.0,0.0,0.058061030993144684,0.048098518778028315,34.0,0.0,0.0,0.0,0.08195703023532369,-0.009336181634941926,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s11p0_673fb390.csv,submission_h002_e368_minus_e365_all_q20p75_s11p0_673fb390.csv,e368_minus_e365,e368_base_action,all,0.75,1.0,0.1673370713069096,0.033985380797691575,194.0,168.0,0.0,-0.027991917106255947,-0.0044898424708844946,-0.014574747671250828,0.5917345466036771,-0.07588088559854425,-0.06320046219866256,0.4284575784600711,0.197475314012705,0.5009873755151232,0.597874404934524,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299302,-0.026870386574609384,0.0,0.0,0.0,0.058061030993144684,0.048098518778028315,34.0,0.0,0.0,0.0,0.10927604031376492,-0.012448242179922568,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p75_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p75_s11p15_68b1df9a.csv,submission_h002_e368_minus_e365_all_q20p75_s11p15_68b1df9a.csv,e368_minus_e365,e368_base_action,all,0.75,1.15,0.18372847735397435,0.037146126369677596,194.0,168.0,0.0,-0.029451613487493717,-0.007288312500564986,-0.014574747671250828,0.5917345466036771,-0.07588088559883593,-0.06320046219890421,0.4284575784600711,0.197475314012705,0.5009873755151232,0.5978744049345239,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299302,-0.026870386574609495,0.0,0.0,0.0,0.058061030993144684,0.048098518778028315,34.0,0.0,0.0,0.0,0.12566744636082963,-0.014315478506910943,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s10p0_92f32ec0.csv,submission_h002_e368_minus_e365_all_q21p0_s10p0_92f32ec0.csv,e368_minus_e365,e368_base_action,all,1.0,0.0,0.07741470799085957,0.028530316777487286,34.0,34.0,0.0,-1.0662565639396418e-11,0.029677660948464617,-0.014661258237123236,0.5917345466540413,0.0,0.0,0.4284575784600711,,0.5009873755151233,0.0,0.7555220573450534,0.0,0.9999999999999999,,-0.2545346818299301,0.0,0.0,0.0,0.0,0.07741470799085957,0.06413135837070441,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s10p5_9e363772.csv,submission_h002_e368_minus_e365_all_q21p0_s10p5_9e363772.csv,e368_minus_e365,e368_base_action,all,1.0,0.5,0.13205272814774205,0.031436677766517096,194.0,168.0,0.0,-0.015130669493106904,0.014406775673425149,-0.014661258237123236,0.5917345466540413,-0.07588088559630797,-0.06320046219680968,0.4284575784600711,0.197475314012705,0.5009873755151233,0.597874404934524,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.07741470799085957,0.06413135837070441,34.0,0.0,0.0,0.0,0.05463802015688246,-0.006224121089961284,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s10p75_b1d95e44.csv,submission_h002_e368_minus_e365_all_q21p0_s10p75_b1d95e44.csv,e368_minus_e365,e368_base_action,all,1.0,0.75,0.15937173822618328,0.03472926541061447,194.0,168.0,0.0,-0.02054425750970057,0.007371166930418455,-0.014661258237123236,0.5917345466540413,-0.07588088559779883,-0.06320046219804491,0.4284575784600711,0.197475314012705,0.5009873755151233,0.5978744049345239,0.7555220573450534,0.6247447915091333,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.07741470799085957,0.06413135837070441,34.0,0.0,0.0,0.0,0.08195703023532369,-0.009336181634941926,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s11p0_47269973.csv,submission_h002_e368_minus_e365_all_q21p0_s11p0_47269973.csv,e368_minus_e365,e368_base_action,all,1.0,1.0,0.1866907483046245,0.03887315152791196,194.0,168.0,0.0,-0.024472313789835304,0.0015200532656085039,-0.014661258237123236,0.5917345466540413,-0.07588088559854425,-0.06320046219866256,0.4284575784600711,0.197475314012705,0.5009873755151233,0.597874404934524,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.07741470799085957,0.06413135837070441,34.0,0.0,0.0,0.0,0.10927604031376492,-0.012448242179922568,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p0_s11p15_affac326.csv,submission_h002_e368_minus_e365_all_q21p0_s11p15_affac326.csv,e368_minus_e365,e368_base_action,all,1.0,1.15,0.20308215435168925,0.041664739360998744,194.0,168.0,0.0,-0.02625753510649946,-0.0014173690044431554,-0.014661258237123236,0.5917345466540413,-0.07588088559883593,-0.06320046219890421,0.4284575784600711,0.197475314012705,0.5009873755151233,0.5978744049345239,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609495,0.0,0.0,0.0,0.07741470799085957,0.06413135837070441,34.0,0.0,0.0,0.0,0.12566744636082963,-0.014315478506910943,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p08_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p08_s10p0_101fd427.csv,submission_h002_e368_minus_e365_all_q21p08_s10p0_101fd427.csv,e368_minus_e365,e368_base_action,all,1.08,0.0,0.08360788463012833,0.030812742119686275,34.0,34.0,0.0,-1.0662565639406653e-11,0.029677660948492782,-0.01468062245963541,0.5917345466652331,0.0,0.0,0.4284575784600711,,0.5009873755151232,0.0,0.7555220573450533,0.0,0.9999999999999999,,-0.2545346818299301,0.0,0.0,0.0,0.0,0.08360788463012836,0.06926186704036078,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q21p08_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q21p08_s10p5_5b18ba75.csv,submission_h002_e368_minus_e365_all_q21p08_s10p5_5b18ba75.csv,e368_minus_e365,e368_base_action,all,1.08,0.5,0.1382459047870108,0.033521796051320794,194.0,168.0,0.0,-0.014189513609084053,0.01553133397593926,-0.01468062245963541,0.5917345466652331,-0.07588088559630797,-0.06320046219680968,0.4284575784600711,0.197475314012705,0.5009873755151232,0.597874404934524,0.7555220573450533,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.08360788463012836,0.06926186704036078,34.0,0.0,0.0,0.0,0.05463802015688246,-0.006224121089961284,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
