rowweighted_delta_vs_h012,uniform_delta_vs_h012,row_beats_rate,row_p90_delta,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h020,h018_rowweighted_delta_vs_h012,h020_rowweighted_delta_vs_h012,h021_rowweighted_delta_vs_h012,selected_prior_kind,selected_beta,beats_h020_under_h022,h022_decision,decision_rank,file
-0.0025478890694733444,-0.0025084916861065737,1.0,-0.0008011908824441009,gain_all_k1000_a1.25,gain,all,1000,1.25,250,1000,0.026715404415167662,0.15819961578944475,0.028946494159597803,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k1000_a1.25_16b55881.csv
-0.002545247688424654,-0.0025060552845120893,1.0,-0.0008008419178158926,gain_all_k1000_a0.75,gain,all,1000,0.75,250,1000,0.016232162209626057,0.10274432687726154,0.019671751397755007,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k1000_a0.75_b01795b8.csv
-0.00253235518201027,-0.0025110744354570748,1.0,-0.0008416146113382753,shift_all_k1200_a1,shift,all,1200,1.0,250,1200,0.02159128748922112,0.13182817190683493,0.025526644667918992,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_shift_all_k1200_a1_34c05e47.csv
-0.002532162564513266,-0.0025070776882686057,1.0,-0.0009127359000433809,shift_all_k1500_a1.25,shift,all,1500,1.25,250,1500,0.02946800821399927,0.15819961578944475,0.030263722047335045,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_shift_all_k1500_a1.25_030f2e32.csv
-0.002529743980030496,-0.0025048350398109327,1.0,-0.0009109839669010742,shift_all_k1500_a0.75,shift,all,1500,0.75,250,1500,0.01786129062882661,0.10274432687726154,0.02042485504768654,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_shift_all_k1500_a0.75_b941dd08.csv
-0.002515098299653949,-0.002471496797021447,0.992,-0.0007464654434290724,combined_all_k1000_a1.25,combined,all,1000,1.25,247,1000,0.026177363952016496,0.15819961578944475,0.029454191869212734,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k1000_a1.25_3bcaf225.csv
-0.002512492870542501,-0.00246909858700782,0.992,-0.0007452554991626604,combined_all_k1000_a0.75,combined,all,1000,0.75,247,1000,0.015899097462586363,0.10274432687726154,0.020146869158975927,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k1000_a0.75_100caba9.csv
-0.0024843801923229193,-0.002437772669156189,0.976,-0.0005856552345269511,gain_all_k700_a1,gain,all,700,1.0,241,700,0.01762164032931555,0.13182817190683493,0.023070937587267328,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k700_a1_4da0234d.csv
-0.002434995728097698,-0.002382303932604907,0.96,-0.0005138264070761744,combined_all_k700_a1,combined,all,700,1.0,235,700,0.017275838697689592,0.13182817190683493,0.023560206545133296,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k700_a1_b0ad28af.csv
-0.002382923420957697,-0.0023627024386664946,1.0,-0.0006273380177759168,shift_all_k1000_a1,shift,all,1000,1.0,250,1000,0.01969008100045935,0.13182817190683493,0.02561075899524706,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_shift_all_k1000_a1_4fc95df3.csv
