action_id,route_id,row,subject_id,sleep_date,route_name,route_targets,mode,route_group,route_n_cells,action_cells,action_q2_cells,changed_cells,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_conflict_rate,selected_toxic_mean,selected_safe_cell_mean,mean_bad_same_rank,mean_h098_frontier_cell_score,max_h098_frontier_cell_score,assignment_route_score,h071_route_score,h071_route_rank,h071_novelty_rank,h071_shortcut_avoid_rank,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells,h099_route_score,basis_spec,basis_id,basis_alpha,basis_cap,basis_norm_l2,basis_norm_l1
r098_q3_s_stage_conflict_invert,r098_q3_s_stage,98,id04,2024-10-19,q3_s_stage,"Q3,S1,S2,S3,S4",conflict_invert,conflict,5,2,0,2,-1.0445456889792912e-05,7.683167793644887e-06,9.116965978938773e-06,1.0,1.0,1.0,0.6215714285714286,-0.049386171428571456,0.6877142857142857,0.5023742971428572,0.5486207771428572,0.2833016304347826,0.6861889030509045,0.1834239130434782,0.9026268115942028,0.0806159420289855,0,0,0,1,0,0,1,0.6190751161670013,basis_conflict_a052,basis_conflict_a052__r098_q3_s_stage_conflict_invert,0.52,0.68,0.3221552891164161,0.398393677037295
r098_nonq2_full_conflict_invert,r098_nonq2_full,98,id04,2024-10-19,nonq2_full,"Q1,Q3,S1,S2,S3,S4",conflict_invert,conflict,6,2,0,2,-1.0445456889792912e-05,7.683167793644887e-06,9.116965978938773e-06,1.0,1.0,1.0,0.6215714285714286,-0.049386171428571456,0.6877142857142857,0.5023742971428572,0.5486207771428572,0.2748867753623188,0.6424135781699603,0.1594202898550724,0.9402173913043478,0.0729166666666666,0,0,0,1,0,0,1,0.6183177792104796,basis_conflict_a052,basis_conflict_a052__r098_nonq2_full_conflict_invert,0.52,0.68,0.3221552891164161,0.398393677037295
r098_s_stage_conflict_invert,r098_s_stage,98,id04,2024-10-19,s_stage,"S1,S2,S3,S4",conflict_invert,conflict,4,2,0,2,-1.0445456889792912e-05,7.683167793644887e-06,9.116965978938773e-06,1.0,1.0,1.0,0.6215714285714286,-0.049386171428571456,0.6877142857142857,0.5023742971428572,0.5486207771428572,0.2659420289855072,0.6858129808616,0.1829710144927536,0.8054800724637681,0.0892210144927536,0,0,0,1,0,0,1,0.6175127520365665,basis_conflict_a052,basis_conflict_a052__r098_s_stage_conflict_invert,0.52,0.68,0.3221552891164161,0.398393677037295
r061_q1q3_subjective_conflict_invert,r061_q1q3_subjective,61,id03,2024-08-19,q1q3_subjective,"Q1,Q3",conflict_invert,conflict,2,1,0,1,-7.447314107907922e-06,3.9406298207476033e-07,1.0022672760613582e-06,1.0,1.0,1.0,0.4517142857142857,0.0444745142857143,0.6217142857142857,0.5751226514285716,0.5751226514285716,0.1438994565217391,0.4239140938174221,0.0634057971014492,0.46875,0.2318840579710145,0,0,1,0,0,0,0,0.6148856097244956,basis_conflict_a052,basis_conflict_a052__r061_q1q3_subjective_conflict_invert,0.52,0.68,0.08755149378500557,0.08755149378500557
r139_s_stage_conflict_invert,r139_s_stage,139,id06,2024-07-19,s_stage,"S1,S2,S3,S4",conflict_invert,conflict,4,2,0,2,-7.71989153174708e-06,3.192549027899077e-06,3.7997679562839265e-06,1.0,1.0,1.0,0.6977428571428572,0.12194605714285715,0.5667142857142857,0.44868723428571433,0.4912916914285715,0.5065126811594203,1.243631245147314,0.5389492753623188,0.7373188405797102,0.3876811594202898,0,0,0,0,0,1,1,0.6144573844531255,basis_conflict_a052,basis_conflict_a052__r139_s_stage_conflict_invert,0.52,0.68,0.44035737981683093,0.6160531614577061
r139_recovery_route_conflict_invert,r139_recovery_route,139,id06,2024-07-19,recovery_route,"Q1,S2,S3,S4",conflict_invert,conflict,4,2,0,2,-7.71989153174708e-06,3.192549027899077e-06,3.7997679562839265e-06,1.0,1.0,1.0,0.6977428571428572,0.12194605714285715,0.5667142857142857,0.44868723428571433,0.4912916914285715,0.4881476449275362,1.188130466579686,0.5040760869565217,0.7373188405797102,0.3709239130434782,0,0,0,0,0,1,1,0.612804531192256,basis_conflict_a052,basis_conflict_a052__r139_recovery_route_conflict_invert,0.52,0.68,0.44035737981683093,0.6160531614577061
r003_q3_quality_conflict_invert,r003_q3_quality,3,id01,2024-08-03,q3_quality,Q3,conflict_invert,conflict,1,1,0,1,-1.0745257141657732e-05,7.045254046696656e-06,1.0908862408036964e-05,1.0,1.0,1.0,0.8040571428571429,0.0526738285714285,0.8485714285714285,0.5840420685714287,0.5840420685714287,0.0581612318840579,0.4073849411081369,0.0588768115942028,0.0337409420289855,0.0661231884057971,0,0,1,0,0,0,0,0.6125202903050622,basis_conflict_a052,basis_conflict_a052__r003_q3_quality_conflict_invert,0.52,0.68,0.3094912574909595,0.3094912574909595
r151_q3_s_stage_conflict_invert,r151_q3_s_stage,151,id06,2024-08-25,q3_s_stage,"Q3,S1,S2,S3,S4",conflict_invert,conflict,5,1,0,1,-1.646981676997237e-05,4.17712685577664e-06,5.543055591762064e-06,1.0,1.0,1.0,0.4653428571428571,0.0054983999999999,0.9222857142857144,0.4528153828571429,0.4528153828571429,0.4600588768115942,1.1285999413521148,0.4610507246376811,0.9026268115942028,0.1163949275362318,0,0,1,0,0,0,0,0.6123422281991527,basis_conflict_a052,basis_conflict_a052__r151_q3_s_stage_conflict_invert,0.52,0.68,0.3011836725881524,0.3011836725881524
r098_s14_edge_conflict_invert,r098_s14_edge,98,id04,2024-10-19,s14_edge,"S1,S4",conflict_invert,conflict,2,2,0,2,-1.0445456889792912e-05,7.683167793644887e-06,9.116965978938773e-06,1.0,1.0,1.0,0.6215714285714286,-0.049386171428571456,0.6877142857142857,0.5023742971428572,0.5486207771428572,0.2018931159420289,0.6537759048891694,0.1644021739130435,0.46875,0.1798007246376811,0,0,0,1,0,0,1,0.6117483498626535,basis_conflict_a052,basis_conflict_a052__r098_s14_edge_conflict_invert,0.52,0.68,0.3221552891164161,0.398393677037295
r000_full_state_conflict_invert,r000_full_state,0,id01,2024-07-31,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",conflict_invert,conflict,7,2,0,2,-9.345129583153032e-06,7.415152435460863e-06,1.0014522202525284e-05,1.0,1.0,1.0,0.6109,-0.01864222857142855,0.534142857142857,0.47113109142857146,0.57472224,0.2596422101449275,0.4514015233581314,0.0738224637681159,0.9891304347826086,0.0951086956521739,0,0,0,1,0,0,1,0.6115514853185173,basis_conflict_a052,basis_conflict_a052__r000_full_state_conflict_invert,0.52,0.68,0.30930034557027475,0.3444743087458471
