split,feature_set,target,logloss,auc,uses_public_score,uses_train_labels,core_representation_frozen,evaluated_rows,probe_calibration_shrink
chronological_holdout,raw_lifelog_pca,S3,0.7222306992356303,0.5998008959681433,False,True,True,131,
chronological_holdout,raw_lifelog_pca,S4,0.8146757669289689,0.6320843091334895,False,True,True,131,
chronological_holdout,raw_lifelog_pca,all,0.7157038262259793,0.6030525100511579,False,True,True,131,
chronological_holdout,existing_cohort_human_state,Q1,0.6731620913214558,0.6453051643192488,False,True,True,131,
chronological_holdout,existing_cohort_human_state,Q2,0.6905108084684077,0.5591630591630591,False,True,True,131,
chronological_holdout,existing_cohort_human_state,Q3,0.6384533196571539,0.6337386018237082,False,True,True,131,
chronological_holdout,existing_cohort_human_state,S1,0.5670067048827451,0.7018970189701897,False,True,True,131,
chronological_holdout,existing_cohort_human_state,S2,0.701795971159911,0.5389705882352942,False,True,True,131,
chronological_holdout,existing_cohort_human_state,S3,0.7670557185557436,0.42185166749626685,False,True,True,131,
chronological_holdout,existing_cohort_human_state,S4,0.6743475073333758,0.6166276346604216,False,True,True,131,
chronological_holdout,existing_cohort_human_state,all,0.6731903030541133,0.5882219620954555,False,True,True,131,
chronological_holdout,absolute_world_model_predicted,Q1,0.673937080913108,0.6312206572769953,False,True,True,131,
chronological_holdout,absolute_world_model_predicted,Q2,0.6879729551461681,0.5343915343915343,False,True,True,131,
chronological_holdout,absolute_world_model_predicted,Q3,0.6620019134460815,0.5326747720364742,False,True,True,131,
chronological_holdout,absolute_world_model_predicted,S1,0.6168082246021788,0.5886178861788618,False,True,True,131,
chronological_holdout,absolute_world_model_predicted,S2,0.702431732316955,0.5786764705882353,False,True,True,131,
chronological_holdout,absolute_world_model_predicted,S3,0.6882063197674333,0.6286709805873569,False,True,True,131,
chronological_holdout,absolute_world_model_predicted,S4,0.6919427020165678,0.5824355971896955,False,True,True,131,
chronological_holdout,absolute_world_model_predicted,all,0.6747572754583561,0.5823839854641647,False,True,True,131,
chronological_holdout,absolute_world_model_full,Q1,0.6974201617341441,0.6,False,True,True,131,
chronological_holdout,absolute_world_model_full,Q2,0.6830612906573917,0.5822510822510822,False,True,True,131,
chronological_holdout,absolute_world_model_full,Q3,0.6704685190826526,0.5886524822695035,False,True,True,131,
chronological_holdout,absolute_world_model_full,S1,0.6212562139089891,0.5666666666666667,False,True,True,131,
chronological_holdout,absolute_world_model_full,S2,0.6890067984857017,0.6247549019607843,False,True,True,131,
chronological_holdout,absolute_world_model_full,S3,0.7108052470818051,0.6202090592334495,False,True,True,131,
chronological_holdout,absolute_world_model_full,S4,0.7273824611878417,0.592271662763466,False,True,True,131,
chronological_holdout,absolute_world_model_full,all,0.6856286703055038,0.5964008364492789,False,True,True,131,
chronological_holdout,subject_relative_world_model_predicted,Q1,0.7596574318976566,0.5223004694835681,False,True,True,131,
chronological_holdout,subject_relative_world_model_predicted,Q2,0.7838767925697187,0.4538239538239538,False,True,True,131,
chronological_holdout,subject_relative_world_model_predicted,Q3,0.7231508524608591,0.5306484295845998,False,True,True,131,
chronological_holdout,subject_relative_world_model_predicted,S1,0.6918495297303113,0.47452574525745256,False,True,True,131,
chronological_holdout,subject_relative_world_model_predicted,S2,0.7296235957919089,0.47720588235294115,False,True,True,131,
chronological_holdout,subject_relative_world_model_predicted,S3,0.7343548992860082,0.5104529616724738,False,True,True,131,
chronological_holdout,subject_relative_world_model_predicted,S4,0.7419075473974394,0.5285714285714286,False,True,True,131,
chronological_holdout,subject_relative_world_model_predicted,all,0.7377743784477004,0.49964698153520243,False,True,True,131,
chronological_holdout,subject_relative_world_model_energy,Q1,0.7208894659114364,0.5112676056338028,False,True,True,131,
chronological_holdout,subject_relative_world_model_energy,Q2,0.6853578613562678,0.5416065416065416,False,True,True,131,
chronological_holdout,subject_relative_world_model_energy,Q3,0.646148918544518,0.6286727456940222,False,True,True,131,
chronological_holdout,subject_relative_world_model_energy,S1,0.61721145186086,0.578590785907859,False,True,True,131,
chronological_holdout,subject_relative_world_model_energy,S2,0.7041904335594672,0.4752450980392157,False,True,True,131,
