law_name,feature_view,model_name,model_family,policy,param,logloss,switched_cells,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,episode_route_match_rate,episode_family_match_rate,mean_row_episode_score_switched,target_null_p_ge_observed,target_family_null_p_ge_observed,target_null_z,target_family_null_z,target_null_mean,target_null_std,target_family_null_mean,target_family_null_std
episode_human_listener_assignment__episode_tree_depth3_leaf14,episode_human_listener_assignment,episode_tree_depth3_leaf14,tree,topfrac,0.04,0.6388441628114316,29,-0.00184708066043685,-0.046813940876589126,0.7586206896551724,0.10344827586206896,0.5172413793103449,0.0009170905519310379,0.4723333333333333,0.492,0.07040744792485067,0.026802940135348598,-0.0020063942521569428,0.0022627377701594327,-0.0019076886873826574,0.0022612454693310188
episode_human_listener_assignment__episode_huber_linear,episode_human_listener_assignment,episode_huber_linear,huber,topfrac,0.005,0.6388834676850976,4,-0.0018863855341027713,-0.3466233418913842,0.5,0.25,0.25,0.030719158511062213,0.9693333333333334,0.9813333333333333,-2.159543328753745,-2.801960464645855,-0.00013307813872092636,0.0008118880376406546,-7.856428936428836e-05,0.0006451986983931184
episode_route_gate__episode_huber_linear,episode_route_gate,episode_huber_linear,huber,topfrac,0.005,0.6389482542872379,4,-0.0019511721362430348,-0.35852788003465763,0.25,1.0,1.0,-0.00713623518160309,0.956,0.942,-1.718788410723114,-1.424863514427576,-0.00018580056111118718,0.0010271023263352908,-0.00022554164855819478,0.0012110847601976068
episode_full_assignment__episode_huber_linear,episode_full_assignment,episode_huber_linear,huber,topfrac,0.005,0.6389482542872379,4,-0.0019511721362430348,-0.35852788003465763,0.25,1.0,1.0,-0.00713623518160309,0.957,0.9433333333333334,-1.8402973725752507,-1.564296083835497,-0.00025457965864491487,0.0009219121338112683,-0.0003828640705937699,0.0010025647202311797
episode_full_assignment__episode_gbdt_shallow,episode_full_assignment,episode_gbdt_shallow,gbdt,threshold,0.08,0.6390572716065445,34,-0.0020601894555496453,-0.04453644852438205,0.5588235294117647,0.5,0.7058823529411765,0.01829424891513688,0.6973333333333334,0.6333333333333333,-0.44119172416540814,-0.3082640552915585,-0.0013561876206681029,0.0015956823220410284,-0.0015301564433258003,0.0017194123126763408
episode_human_listener_assignment__episode_tree_depth2_leaf18,episode_human_listener_assignment,episode_tree_depth2_leaf18,tree,topfrac,0.005,0.6390764803286192,4,-0.0020793981776242817,-0.38208941513846173,0.25,0.25,0.25,-0.0026740491335822923,0.978,0.984,-2.112602460282704,-2.204348917484658,-0.00022198569510618782,0.0008792058692715614,-0.0001874554971517548,0.0008582773196501885
route_law_no_episode__episode_elasticnet_sparse,route_law_no_episode,episode_elasticnet_sparse,elasticnet,topfrac,0.04,0.639121492296463,29,-0.0021244101454681104,-0.05384280885927797,0.5172413793103449,0.4827586206896552,0.5517241379310345,0.01110451737518597,0.815,0.8716666666666667,-0.8886722629157132,-1.202533507261237,-0.0010165646306527754,0.001246630013162017,-0.0007227792235748727,0.0011655649621651238
route_law_no_episode__episode_elasticnet_sparse,route_law_no_episode,episode_elasticnet_sparse,elasticnet,topfrac,0.03,0.6394942568423349,22,-0.002497174691340022,-0.08342833627885983,0.45454545454545453,0.5,0.5909090909090909,0.011486648277225241,0.923,0.9296666666666666,-1.537902646606356,-1.5708602930122197,-0.0007931709340394759,0.001108004957960584,-0.0007228033099703371,0.0011295539070296445
episode_route_gate__episode_elasticnet_sparse,episode_route_gate,episode_elasticnet_sparse,elasticnet,topfrac,0.01,0.6395665979665717,7,-0.0025695158155767716,-0.26979916063556103,0.7142857142857143,0.0,0.2857142857142857,0.03742549682568093,0.9906666666666667,0.9683333333333334,-2.6366007506488147,-2.1125008380062207,-9.270930223522603e-05,0.0009393938436572367,-0.0006220594838936528,0.0009218724540346829
episode_full_assignment__episode_elasticnet_sparse,episode_full_assignment,episode_elasticnet_sparse,elasticnet,topfrac,0.01,0.6395665979665717,7,-0.0025695158155767716,-0.26979916063556103,0.7142857142857143,0.0,0.2857142857142857,0.03742549682568093,0.994,0.963,-2.6648283077974204,-2.0234210256221834,-9.337277958571281e-05,0.0009291942106535498,-0.0006620795547649638,0.0009426788773361138
episode_human_listener_assignment__episode_huber_linear,episode_human_listener_assignment,episode_huber_linear,huber,topfrac,0.01,0.6396310382709074,7,-0.0026339561199126135,-0.2765653925908244,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.031976699427008926,0.9833333333333333,0.9866666666666667,-2.3007632043534154,-2.5947285384145755,-0.0002507852885024366,0.0010358175178135816,-0.000184260749499792,0.0009441046853824748
