route_id,row,subject_id,sleep_date,route_name,targets,n_cells,q2_cells,s_cells,route_score,route_score_sum,route_score_mean,mean_latent_hsjepa_score,mean_context_energy,mean_shortcut_energy,mean_public_score,mean_invariant_score,mean_cell_gain,sum_cell_gain,outside_h070_cells,outside_h069_cells,h068_overlap_cells,h069_overlap_cells,target_mask,target_indices,route_rank,novelty_rank,shortcut_avoid_rank,assignment_route_score,h085_route_gain_sum,h085_route_cell_score_mean,h085_route_abs_move_mean,h085_route_source_agree_mean,h085_route_h082_cells,h085_route_bad_same_mean,h085_route_public_mean,h085_route_invariant_mean,h085_route_score
r104_recovery_route,104,id04,2024-10-28,recovery_route,"Q1,S2,S3,S4",4,0,3,1.5727203380082575,2.2232857142857148,0.5558214285714287,0.59104979588109,0.5928714285714285,0.4118642857142857,0.4541085714285714,0.651837142857143,0.0009093742276755,0.0036374969107022,2,4,3,0,1000111,"0,4,5,6",0.7223731884057971,0.6632699275362319,0.5095108695652174,0.6670289855072463,0.0033108885786149456,0.5405522285714286,0.0845912644725739,1.0,2,0.5562857142857143,0.4541085714285714,0.651837142857143,0.6190677113871634
r192_q_subjective,192,id08,2024-09-05,q_subjective,"Q1,Q2,Q3",3,1,0,1.4039065672829831,1.5633914285714283,0.5211304761904761,0.5884886328187514,0.64408,0.4166142857142857,0.5150990476190476,0.5613171428571428,0.0017714864544586,0.0053144593633758,2,3,1,0,1110000,"0,1,2",0.6326992753623188,0.5849184782608695,0.5004528985507246,0.6161639492753623,0.0048515645406465024,0.4973826761904762,0.1091957132867341,0.6666666666666666,2,0.4825714285714286,0.5150990476190476,0.5613171428571428,0.6188083155279505
r104_q3_s_stage,104,id04,2024-10-28,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,1.8172111275497012,2.901574285714286,0.5803148571428572,0.5994961998189604,0.6217714285714286,0.3800542857142857,0.4394525714285714,0.651837142857143,0.0005771898486493,0.0028859492432468,3,5,2,0,11111,"2,3,4,5,6",0.8265398550724637,0.8054800724637681,0.5747282608695652,0.7520878623188405,0.002629547303304225,0.5182922342857144,0.07071252541293181,1.0,3,0.47800000000000004,0.4394525714285714,0.651837142857143,0.6185954973913045
r057_s14_edge,57,id02,2024-10-15,s14_edge,"S1,S4",2,0,2,1.504195400929379,1.375902857142857,0.6879514285714285,0.6871389789425327,0.6822,0.2598642857142857,0.7462000000000001,0.5128371428571429,0.0005308895925862,0.0010617791851724,0,2,2,0,1001,"3,6",0.6856884057971014,0.1526268115942029,0.8143115942028986,0.6054528985507247,0.0009653561418794532,0.6067776857142857,0.12426565575835546,1.0,2,0.39414285714285713,0.7462000000000001,0.5128371428571429,0.6185800223602486
r075_nonq2_full,75,id03,2024-09-22,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.0293528625481594,3.553682857142858,0.5922804761904762,0.6336077796594396,0.6354876190476191,0.3958690476190476,0.5269485714285714,0.8209371428571429,0.0007713715448353,0.0046282292690121,3,5,3,1,1011111,"0,2,3,4,5,6",0.8917572463768116,0.8054800724637681,0.5421195652173914,0.8052173913043479,0.004231824743507251,0.43315847619047626,0.06818068171577162,0.6666666666666666,4,0.5262380952380952,0.5269485714285714,0.8209371428571429,0.6184860372670807
r131_q1q3_subjective,131,id06,2024-07-10,q1q3_subjective,"Q1,Q3",2,0,0,1.35461558447565,1.2062942857142858,0.6031471428571429,0.6553100921173556,0.7241771428571429,0.3602499999999999,0.6196171428571429,0.6308571428571428,0.0012833718739842,0.0025667437479685,1,1,1,1,1010000,"0,2",0.6023550724637681,0.1526268115942029,0.6191123188405797,0.5372101449275362,0.0023524426700479717,0.5421959428571429,0.110341824112129,1.0,2,0.43557142857142855,0.6196171428571429,0.6308571428571428,0.6168044836438923
r231_q3_s_stage,231,id10,2024-08-08,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,1.6512797307565217,2.490665714285715,0.498133142857143,0.4431201998189603,0.5479428571428573,0.2887,0.4620628571428571,0.2357971428571427,0.0007941388624812,0.0039706943124064,5,5,2,0,11111,"2,3,4,5,6",0.7576992753623188,0.9026268115942028,0.7690217391304348,0.7625045289855072,0.003631778955906162,0.4921132285714286,0.08194350090356564,0.8,4,0.3731999999999999,0.4620628571428571,0.23579714285714276,0.6167201855072466
r182_recovery_route,182,id08,2024-08-01,recovery_route,"Q1,S2,S3,S4",4,0,3,1.434517509436829,1.89878,0.474695,0.4609297958810899,0.6184257142857142,0.3738535714285713,0.3423814285714285,0.4368771428571428,0.0020930364530409,0.0083721458121637,3,2,3,2,1000111,"0,4,5,6",0.6431159420289855,0.5849184782608695,0.5919384057971014,0.626453804347826,0.00762830390867808,0.4342100428571428,0.1124385566897237,0.75,1,0.38821428571428573,0.3423814285714285,0.4368771428571428,0.6153265161490682
r240_s_stage,240,id10,2024-09-17,s_stage,"S1,S2,S3,S4",4,0,4,1.5330703522901714,1.9494742857142855,0.4873685714285714,0.4939437662876245,0.5301885714285715,0.37875,0.3747342857142857,0.5748171428571428,0.0009153640040287,0.0036614560161148,3,4,1,0,1111,"3,4,5,6",0.7019927536231884,0.7373188405797102,0.5801630434782609,0.6681114130434782,0.003375122569886868,0.45482311428571426,0.07958320955298254,1.0,4,0.40628571428571425,0.3747342857142857,0.5748171428571428,0.6140911258799171
r154_q2_s3_tail,154,id07,2024-07-16,q2_s3_tail,"Q2,S3",2,1,1,1.3540166177494244,1.26632,0.63316,0.6816885536845467,0.7645485714285716,0.2101714285714285,0.5841485714285715,0.5506171428571428,0.0007486919930199,0.0014973839860399,1,1,1,1,100010,"1,5",0.6019021739130435,0.1526268115942029,0.8772644927536232,0.5585824275362318,0.0013782875172083098,0.5676066857142856,0.09474415538124653,1.0,2,0.1785714285714285,0.5841485714285715,0.5506171428571428,0.6138111879917184
r028_recovery_route,28,id02,2024-08-27,recovery_route,"Q1,S2,S3,S4",4,0,3,1.5340231308654002,2.0439742857142855,0.5109935714285714,0.5279697958810899,0.5808914285714286,0.3448821428571428,0.4683814285714285,0.5051371428571428,0.0015346462716693,0.0061385850866774,2,4,0,0,1000111,"0,4,5,6",0.7028985507246377,0.6632699275362319,0.654891304347826,0.6890670289855072,0.0055913931864167155,0.4569802714285713,0.08855041145452776,0.75,2,0.5015,0.4683814285714285,0.5051371428571428,0.6136909376811593
r089_s14_edge,89,id04,2024-09-23,s14_edge,"S1,S4",2,0,2,1.4507657130906215,1.3324028571428572,0.6662014285714286,0.6883532646568185,0.7268457142857143,0.2781357142857142,0.41564,0.7767571428571429,0.0008512075756353,0.0017024151512707,1,2,0,0,1001,"3,6",0.65625,0.3154438405797101,0.7871376811594203,0.5910552536231883,0.0015521972385515448,0.5816259142857143,0.10817841024568736,1.0,1,0.29671428571428565,0.41564,0.7767571428571429,0.6136501291925467
r082_full_state,82,id04,2024-09-13,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,1.2478862948973086,2.2449285714285714,0.320704081632653,0.3367348315356585,0.4239526530612245,0.4569102040816326,0.3472620408163265,0.3783771428571428,0.0008936971178338,0.006255879824837,5,7,3,0,1111111,"0,1,2,3,4,5,6",0.541213768115942,0.9685235507246376,0.4257246376811594,0.6023278985507245,0.005708909538031159,0.44476942040816325,0.07961589369399953,1.0,5,0.5779591836734693,0.3472620408163265,0.37837714285714286,0.6134323944395151
r026_q1q3_subjective,26,id01,2024-09-15,q1q3_subjective,"Q1,Q3",2,0,0,1.6165348851650974,1.3979342857142858,0.6989671428571429,0.7342929492602126,0.7252914285714287,0.3564214285714285,0.7352485714285715,0.660397142857143,0.0007177431020761,0.0014354862041522,1,2,0,0,1010000,"0,2",0.7423007246376812,0.3154438405797101,0.6277173913043478,0.6435190217391303,0.001307018369439028,0.6043239428571429,0.07914847568206668,1.0,2,0.4278571428571428,0.7352485714285715,0.660397142857143,0.6131005312629402
