view,teacher,stress,heldout_group,test_rows,test_positive_rows,row_auc,row_bce,row_recall_at_k
human_only_no_prediction,stagebridge_jackpot,calendar_mod_holdout,2,70,8,0.6512096774193548,0.5914921755703373,0.125
human_only_no_prediction,stagebridge_jackpot,calendar_mod_holdout,3,33,5,0.6571428571428571,0.5838986624324045,0.2
mask_target_route_margins,s2hub_jackpot,row_order_holdout,0,63,7,0.5051020408163265,0.6261948484010512,0.14285714285714285
mask_target_route_margins,s2hub_jackpot,row_order_holdout,1,62,7,0.6181818181818182,0.8515330519026264,0.2857142857142857
mask_target_route_margins,s2hub_jackpot,row_order_holdout,2,63,11,0.666083916083916,0.6836627209222963,0.45454545454545453
mask_target_route_margins,s2hub_jackpot,row_order_holdout,3,62,9,0.5576519916142557,1.236815337021782,0.2222222222222222
mask_target_route_margins,s2hub_jackpot,subject_mod_holdout,0,75,10,0.39538461538461533,0.6328105039625399,0.2
mask_target_route_margins,s2hub_jackpot,subject_mod_holdout,1,78,9,0.4975845410628019,0.9654682819734708,0.1111111111111111
mask_target_route_margins,s2hub_jackpot,subject_mod_holdout,2,51,4,0.38829787234042556,0.6006890998471758,0.0
mask_target_route_margins,s2hub_jackpot,subject_mod_holdout,3,46,11,0.49350649350649345,0.7225954794576883,0.2727272727272727
mask_target_route_margins,s2hub_jackpot,calendar_mod_holdout,0,73,15,0.5827586206896552,0.7551059794662343,0.26666666666666666
mask_target_route_margins,s2hub_jackpot,calendar_mod_holdout,1,74,9,0.505982905982906,0.7585273153427942,0.0
mask_target_route_margins,s2hub_jackpot,calendar_mod_holdout,2,70,7,0.5736961451247165,0.4822081080089194,0.14285714285714285
mask_target_route_margins,s2hub_jackpot,calendar_mod_holdout,3,33,3,0.4666666666666666,0.5251897896661009,0.3333333333333333
mask_target_route_margins,stagebridge_jackpot,row_order_holdout,0,63,9,0.39711934156378603,0.8768818105172798,0.0
mask_target_route_margins,stagebridge_jackpot,row_order_holdout,1,62,7,0.6545454545454545,0.7377880446797818,0.2857142857142857
mask_target_route_margins,stagebridge_jackpot,row_order_holdout,2,63,15,0.6180555555555555,0.6358455028514853,0.4
mask_target_route_margins,stagebridge_jackpot,row_order_holdout,3,62,10,0.4807692307692307,1.1970866811638876,0.0
mask_target_route_margins,stagebridge_jackpot,subject_mod_holdout,0,75,12,0.29894179894179895,0.8180490235169816,0.08333333333333333
mask_target_route_margins,stagebridge_jackpot,subject_mod_holdout,1,78,13,0.5633136094674557,0.9894075684758266,0.3076923076923077
mask_target_route_margins,stagebridge_jackpot,subject_mod_holdout,2,51,5,0.3652173913043478,0.5467410581083362,0.0
mask_target_route_margins,stagebridge_jackpot,subject_mod_holdout,3,46,11,0.5766233766233766,0.5917400423402734,0.36363636363636365
mask_target_route_margins,stagebridge_jackpot,calendar_mod_holdout,0,73,15,0.5816091954022988,0.799225471154386,0.2
mask_target_route_margins,stagebridge_jackpot,calendar_mod_holdout,1,74,13,0.5283732660781841,0.7820088935902465,0.07692307692307693
mask_target_route_margins,stagebridge_jackpot,calendar_mod_holdout,2,70,8,0.6935483870967742,0.5082088611840214,0.125
mask_target_route_margins,stagebridge_jackpot,calendar_mod_holdout,3,33,5,0.6214285714285714,0.5541021297115198,0.4
