held_fold,target,rank,source,source_family,selector_loss,held_loss
1,S4,2,sleep_intrusion__absolute_plus_deviation__c0.1_b0.2,sleep_intrusion,0.6315058560354103,0.6841881985404471
1,S4,3,best_plus_cc_load__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_load,0.632131258935293,0.657554680036543
1,S4,4,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.632219783393602,0.6517838255635208
1,S4,5,best_plus_sleep_intrusion__absolute_plus_deviation__c0.03_b0.2,sleep_intrusion,0.6326079461053777,0.6692639491392391
2,Q1,1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.6523261832043838,0.6651398996717021
2,Q1,2,best_plus_cc_opportunity__deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.6529085485692284,0.6705706940339161
2,Q1,3,best_plus_cc_opportunity__absolute__c0.3_b0.2,best_plus_causal_chain_opportunity,0.6543680216073163,0.663054008594872
2,Q1,4,cc_opportunity__deviation__c0.3_b0.2,causal_chain_opportunity,0.65450729943048,0.6683630431093107
2,Q1,5,cc_opportunity__absolute_plus_deviation__c0.3_b0.2,causal_chain_opportunity,0.654707484925689,0.6648879713117867
2,Q2,1,ef_recovery_slope__deviation__c0.3_b0.2,energy_recovery_slope,0.6955489497163047,0.6361948459191377
2,Q2,2,ef_recovery_slope__deviation__c0.1_b0.2,energy_recovery_slope,0.6975986520209118,0.6401780926183408
2,Q2,3,ef_recovery_slope__absolute__c0.1_b0.2,energy_recovery_slope,0.6983300396413799,0.6430613585962572
2,Q2,4,ef_recovery_slope__absolute__c0.03_b0.2,energy_recovery_slope,0.6983502197627631,0.6482033885622959
2,Q2,5,ef_recovery_slope__absolute__c0.3_b0.2,energy_recovery_slope,0.6994091014425536,0.6378424774427852
2,Q3,1,best_plus_mobility_constriction__deviation__c0.03_b0.2,mobility_constriction,0.6557243565649198,0.7011162641816879
2,Q3,2,best_plus_mobility_constriction__deviation__c0.1_b0.2,mobility_constriction,0.6562345306466815,0.6979514341407217
2,Q3,3,best_plus_mobility_constriction__absolute__c0.1_b0.2,mobility_constriction,0.6565273062539267,0.694678398264095
2,Q3,4,best_plus_mobility_constriction__absolute__c0.3_b0.2,mobility_constriction,0.6575069481950271,0.6956046276760182
2,Q3,5,best_plus_mobility_constriction__absolute__c0.03_b0.2,mobility_constriction,0.657590559737058,0.69802985226804
2,S1,1,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,routine_regularity,0.5644960816495106,0.5646462020793432
2,S1,2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,routine_regularity,0.5647397941344519,0.5704064468278577
2,S1,3,best_plus_routine_regularity__absolute_plus_deviation__c0.1_b0.2,routine_regularity,0.5648373700815409,0.55820087585436
2,S1,4,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.5650541378440992,0.5591161232483021
2,S1,5,routine_regularity__absolute_plus_deviation__c0.1_b0.2,routine_regularity,0.5660387861915182,0.5649149286632106
2,S2,1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.5791435743305914,0.5324515603565537
2,S2,2,best_plus_cc_opportunity__absolute_plus_deviation__c0.1_b0.2,best_plus_causal_chain_opportunity,0.5793468067008993,0.5376280947060603
2,S2,3,best_plus_sleep_intrusion__absolute__c0.3_b0.2,sleep_intrusion,0.5793776117542917,0.5355383026147964
2,S2,4,best_plus_cc_opportunity__deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.58032686182579,0.5359623675594483
2,S2,5,best_plus_cc_opportunity__absolute__c0.3_b0.2,best_plus_causal_chain_opportunity,0.580494644860212,0.5404804378296043
2,S3,1,best_plus_di_prebed_consumption__absolute_plus_deviation__c0.3_b0.2,best_plus_digital_isolation_prebed,0.5259544764135247,0.524076540568637
2,S3,2,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5265472200273725,0.519412395682011
2,S3,3,best_plus_cc_arousal__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_arousal,0.5271817116141528,0.5239241257614187
2,S3,4,best_plus_di_social_isolation__absolute_plus_deviation__c0.3_b0.2,best_plus_digital_isolation_social,0.5276587660629037,0.5127926202703741
2,S3,5,best_plus_cc_load__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_load,0.5288743067051294,0.525468213546571
